dbcofls7**|디자인도 이쁘고 무늬도 스트라이프라서 굉장히 마음에 들어요 ㅎㅎ 근데 길이도 짧은 편이고 넥부분이 애매하게 많이 파여있어서 날씨풀리고 입든지 안에 티를 같이 입어야 할 것 같아요 ~~
eh**|이거 진짜 이뻐요 실물갑...베이지도 비침약간 있어요 근데 여기에 같이산 핑크색니트 입으니까 꿀조합이네요 너무 이뻐요 베이지색상이랑 아이보리랑 고민했는데 베이지가 훨 고급져보여요
jy33572**|저렴한 가격에 구매해서 약간의 걱정이 있었지만 오모나! 색깔도 이쁘고 좋았어요! 아직 계절감이 안되서 입고 나가지는 못했지만 이쁠것 같아요
jjangsu**|예전부터 와이드팬츠사고싶었는데 안어울릴까봐 계속 살까말까 많이고민했었는데 이 바지 물건이네요 ㅋㅋㅋㅋ 거의맨날입는거같아요 ㅋㅋㅋ 편하고 핏도 너무예쁘네요
qkralswls**|두께가 꽤 두꺼워서 따뜻해서 좋앗어용!!
eh**|핑크색 진짜 안받는데 이건 너무 이뻐요 처음에 페이지에서 봤을때 딸기우유색인가하고 색감안맞을거 같았지만 핏이 예뻐서 샀거든요 받았을때 진짜 탁한 채도낮은 상한우유색같았는데 저랑 잘맞아서 깜짝놀랐어요 저한테도 핑크가 어울리다니... 인생핑크색됐습니다 핏도 최고에요
jy33572**|원래는 다른 색상을 구매하려고 했는데 품절이되서 이 색깔을 구매하게 됬는데 후회없습니다 ÷) 색깔도 이쁘고 코트랑도 잘 어울리는 것 같아요!
dbcofls7**|여러가지옷에 레이어드해서 입으려고 아이보리샀어요 ! 얇은건 알고 샀는데 나시같은거 입고 입으면되서 괜찮아요 ㅎㅎ 무난하고 좋아요 !
jjangsu**|기본스트라이프남방이죠 ㅋㅋㅋ 아이보리로 샀는데 그냥 깔끔해요 그냥기본이라뭐라평할수가 ㅋㅋㅋㅋ 근데 스트라이프가 사진보다는 연한느낌이네요
k372749**|유행탈까봐 살까말까 하다가 무난한 색으로 구매했어요 청바지에 입어도 예쁘고 검은바지에 입어도 예쁘고 날씬해보여옄ㅋㅋㅋ
qkralswls**|두꺼운 옷을 안에 넣어입긴 힘들지만 따뜻하고 이뻐요!!!
k372749**|예뻐요 짜임이 두꺼운 니트 좋아하는데 딱 맘에듬ㅋㅋㅋ검정색은 비슷한 니트가 있어서 인디블루로 샀어요 약간 회색빛도 돌아서 무난하니 아무데나 입기 좋아요~~~!
jjangsu**|모카색이이뻐보여서 샀는데 색이 생각했던거랑 다르네여 ㅠㅠ 모카라기보다 쑥색같은느낌 ㅋㅋㅋㅋㅋ  브이넥이 생각보다안파여있구 질도 생각보단 별로였어요 ㅠㅠ
dbcofls7**|이런 디자인의 치마를 갖고 싶었는데 세일할 때 샀어요 ! 디자인이 깔끔하고 이쁘고 맘에 들어요 ! 치마가 조금 짧아서 날씨 풀리면 입어야겠어요 ㅠㅠ
xldgks79**|이거 생각보다 핏이 좀이상했어요.. 니트인가.. 니트이긴한데 좀 많이 얇아요 첨에왓을때 구김좀있어서 좀 다려입어야될거같아요 티 자체 모양은 마음에드는데 길이도 약간 어중간한게 펑퍼짐하네요
kmy1010**|세일 하길래 저렴한 맛으로 구매했는데 이 가격에 비해서는 질이 좋은 것 같아요 ! 근데 이런 통이 큰 바지를 제가 처음 입어보는라 좀 낯서네요 ㅠㅠ 잘 안입을 것 같긴한데 시도는 해보려구요 ! 여름용 같아요 많이 얇고 지급 입기에는 힘들 것 같습니다 ~~
thdbs05**|쫌큰대 이뻐요 여서스러워 보여서 굿이예요 근대 쫌소매가마니 커서 불편하긴하네욤..근대 접어서 입으면 갠찬아용 고고싱에서자주살께용
comna12**|좋아용 스판대박이예요 ㅎㅅㅎ근데바지가생각보다좀얇은편이예요!살짝작은감이없잖아잇구요!그래도 스판이좋아서 잘들어갑니다레깅스같이 몸매를잡아줘요 짱
