hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
chldpwl98**|그냥평범해요!! 면이 구김이 많이 가지 않는 면이라서 좋아요!!! 그냥 아무대나 입기 좋고 무난해서 좋네요~~~~ 색깔별로 가지고 있어도 좋을 것 같아요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
chldpwl98**|검정색사고예뻐서 흰색도 샀어요!!!안에 나시랑 같이 입으니까 예뻐요!! 시원해보이고 깔끔해요~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
psa82**|우선 반팔을 찾는데 깔끔한게 제일 눈에 띄었어요 평소에 심플한걸 좋아했는데 딱맞는걸 찾은것같아요 근데 막상오니까 요즘입기에 너무 더울것같아요 ㅠㅠ가을에입어야 시원하게 입을수있을것같고 목주위가 좀 끼게나오긴햇는데 옷자체는 너무이뻐요!!! 다음에 고고싱에서 또구입할게요~
psa82**|에코백 전부터 너무 사고싶엇어요 마땅히 살데도없고 이쁜것도 없어서 안사고 있었는데 고고싱에서 저렴한가격에 파는거보고 바로 구입했어요 흐물흐물할까봐 걱정했는데 생각보다 좀 작아도 막상 메보니까 이뻐요!! 핑크색도 하나 사고싶어요 ~~
hikdh**|배송은 거의 이틀만에 왔어요!받아보니까 색깔도 이쁘고 핏도 예쁘고 넘 좋아요158에 43키로여서 s를 시켰는데, 허리도 딱 맞고 기장도 한두번 접으면 예쁘게 알맞아요몇몇 후기에서 엉덩이 부분이 이상하다고 해서 걱정했는데 세미배기핏이니 당연한거같아요 ㅋㅋ이상하지두 않구요다만 새제품이다보니 냄새가 나고 주머니부분이 눅눅해요..ㅋㅋ 빨아입어야겠어요예뻐요~~굳
lsh02**|평소에 크게 입는 거 좋아해서 그냥 편하게 입을 티 살려고 찾다가 사게 됫어용~~~ 남색으로 삿는데 굉장히 만족하고 다른 색도 또 사고 싶을 정도로 좋아용~~~ 원래 그냥 무난한 거 좋아하는데 진짜 맘에 들고 이뻐요ㅎㅎㅎㅎ 가격대비 짱!짱!
plk9**|쇼핑몰에서 바지사서 성공한적이 단 한번도 없어서 걱정하년서 주문했는데 맘에 들어요ㅎㅎ 허벅지가 좀 두꺼운편이라 널널하지않은건 아쉽지만 그건 제 다리잘못이고 ㅋㅋㅋㅋ상품은 훌륭하네요 좀 더 일찍 살걸그랬어요맨날 쇼핑몰 여기저리 살때마다 다른데서 샀는데 이제 고고싱에 정착하려구요 태어나서 처음 후기 남겨봅니당 적립금 쏴줘요 뿅뿅
luvdiana**|핏이 딱 좋아요! 색깔도 이쁘구요 빠른배송 감사합니다 ㅠㅠ
dmsodmso03**|우선 가격대비 너무너무 저렴하게 구매했습니다. 청바지에도 치마에도 다양한 하의에 맞춰 입을 수 있을 것 같아요. 그리고 요즘 날씨에도 딱 입기 좋은 것 같아요ㅎㅎ좀 얇은 감이 있긴 하지만 여름에 잘 입을 거 같아요~~ 색감도 너무 좋습니다.
dmsodmso03**|스판에이치 청스커트랑 같이 입으려고 티도 2개 주문했습니다.스판이라서 잘 늘어나고 좋습니다. 색상도 너무 밝지않아서 다양하게 입을 수 있을것 같습니다. 요즘 날씨에 시원하게 입을 수 있을 것 같아요가격대비 너무 좋게 구매했네욤
