hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
yalluk**|기냥 이건 약간 후줄근해보인달까;;;;;;;;;;;;;;;길이감이 일반 반티들보다는 조금 짧음ㅇㅇ.....팔 길이도 사진에 비해서보다는 조금 짧은거 같기도하고.....?그래서 그냥 편하게 나갈때 후줄근해도 상관없을때 그런때 입을듯ㅇㅇ....
yalluk**|난 마음에 드는데 입고 나갓더니 사람들이 나보고 제리냐며... 톰은 어딧냐며....ㅠㅜ.......그래두 만족함; ).....길이감이나 핏, 넉넉함두 !!!!!난 마음에 드는데 입고 나갓더니 사람들이 나보고 제리냐며... 톰은 어딧냐며....ㅠㅜ.......그래두 만족함; ).....길이감이나 핏, 넉넉함두 !!!!!
mingve**|바지질도 좋고 박음질도 잘 되어있고 좋아요!
mingve**|쫀쫀하고 가격대비 질도 좋은거같아요!다리도 얇아보이고 좋네용
yalluk**|마음에 들어욧 살짝 작은것 같긴 하지만.... 살빼고 입어야지ㅠㅜ그런데 이너웨어를 안입으면 팬티라인이.....;;;;;그래두 굳굳나름 데일리(?)용으로도 쓰일 수 잇을거 같아욤원래 까만 슬랙스가 잇는데 데일리용으로 입으려고 또 삼요 짱짱
yalluk**|마음에 들어욧 살짝 작은것 같긴 하지만.... 살빼고 입어야지ㅠㅜ그래두 굳굳원래 까만색 슬랙스만 입다가 큰 맘먹고 스트라이프 있는 회색 슬랙스를 삿는데 까만색이랑은 또 다른 느낌이 나는듯나름 데일리(?)용으로도 쓰일 수 잇을거 같아욤
fashion**|쫀예!!!ㅋㅋㅋㅋ 슬랙스에 같이 하려고 샀는데 슬랙스가 아직안와서 ㅠㅠㅠㅠ 걍 팬츠에 했는데 이것도 짱이뻐요...ㅎㅎㅎㅋㅋㅋㅋ 가격대비 짱인둣 ㅎㅎ 실밥 풀어진데도 없고 짱조아영 따른색도 사고싶음.. 벨트 처음사보는데 여기저기 많이하고 다닐꺼같아여~
fashion**|아 아깝...4등이다 ㅠㅠㅋㅋㅋㅋ 핑크색 존존예에용 ㅎㅎㅎ 목부분도 짱짱하고 길이가 좀 어중간한뒈~~ 어차피 넣어입을꺼라 ㅎㅎㅎ 이뻐염!!ㅋㅋㅋ 그러케 여자여자한 핑크가 아니라서 좋은거같아여 ㅎㅎ 슬랙스 청바지 뭐 아무데나 입기 조아용~
fashion**|포토후기 1등이에여!!!!ㅋㅋㅋㅋ와!!!ㅋㅋ 이바지 이뿐데 왜 후기가 이케없지 ㅠㅠㅋㅋㅋ 벨트 같이 주문했는데 같이하니까 존존예.. 배송오느라 조금 밑부분이 찌그라들긴했는데 ㅋㅋㅋ 걸어놓으면 다시 돌아오겠쪄?!ㅋㅋㅋ 길이도 적당하고 찢은것도 완전 이뻐여~~
fashion**|깜장색 넘이뻐여 ㅠㅠ 아무데나 입기 조은거가테여 싼티도 안나고 ㅎㅅㅎ ㅋㅋㅋ 핑크나 소라 민트 색깔 많이 나왔으면 좋겠어요 진심 색별로 다지를텐데 ㅠㅠ 부탁드려욬ㅋㅋㅋ 쨋든 배송도 이틀만에 오고 완전 짱짱인듯 고고싱 대박나셈>.<ㅋㅋㅋ
fashion**|7000원인데 7000원같지않은거같아요!!ㅎㅎ 목부분도 짱짱하고 반폴라 찾아다녔는데 ㅠㅠ 보자마자 바로 이것땜에 고고싱에서 나머지도 질렀어요 ㅎㅎ 짱이뻐용!! 목부분이 따로 처리되있어서 짱짱 그래도 빨래할때 죠심해야게써여.. 늘어나면 또살께용
tlsdk39**|기대하고 샀는데 정말 기대이하에요...생각한 옷이랑 전혀 달라요... 옷도 흐물흐물하고 프리사이즈이긴하지만 너무 길고 너무 크고 진짜 별루에요 소매도 접어입고 바지에 넣어입고 옷이 너무애매해요ㅠㅠ 반품하기 귀찮아서 그냥입어요....
bswk**|~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
eun5**|포토후기 2등이네요ㅎㅎㅎ근래 샀던 옷들중 가장 만족스러운 옷이었어요!! 16000원에 구매했다는게 믿겨지지 않을정도로ㅠㅠㅠ예쁜 핏ㅠㅠㅠㅠ제가 많이 통통한 편이구 어깨도 넓은데 (후기 사진이 너~무 날씬하게 나왔어요) 너무 박시하지도 않고 붙지도 않게 잘 맞아서 기분이 좋았어요~ 바지에 입던 치마에 입던 다 잘 어울리는 것도 좋아요ㅋㅋㅋ아 그리구 색깔이 쇼핑몰 사진이랑 좀 다른데 새하얗기보다는 약간 아이보리 느낌이니까 참고하세요~!근데 목 라인이 훤히 드러나는 옷 부담스러우신 분은 피하는게 좋을 것 같아요~ 저는 오히려 시원해서 좋지만 자주 안입으시는 분들은 불편하실 수도 있을 것 같아요!
chu3890**|색상 민트샀는데 생각보다 너무 잠옷같아요...걍 따른색 살껄ㅠㅠ평소에 입고 다니기에는 쫌 힘들것같더라고요ㅠㅠㅠ제가 소화를 못시키는건지 모르겟지만 진짜 이건 정말....저는 사놓고 못입고 있네요ㅠㅠ 아쉬움이 많이남아요ㅠㅠ
jes78**|완전맘에들어요♥ 제가 키가커서 원피스나치마부담스러워서 못입었었는데 깅엄체크나시원피스는 길이도적당하고 예뻐요♥ 여름에 시원하게 보이기도하구용ㅎㅎ 꼭사시길추천합니당^o^♡ㅎㅎ
chu3890**|신발냄새 너무 심해요....냄새 빼려고 못신고 계속 베란다에 나뒀는데 안빠지더라고요...그리고 제가 신발 230신는데 이 신발은 엄지발가락부분이 너무 껴요ㅠㅠ225도 신고다니는데 이신발은 안되겠더라고요ㅜㅜㅜ 역시 신발은 신어보고 사야되나봐요
chu3890**|이번에 산것중 제일 맘에 들어요!! 스키니, 슬랙스, 반바지 완전 다 어울리고요 박시한 느낌이 좋아요!길이감도 좋고 특히 팔부분 길어서 귀여워보이고 좋네요. 같이 주문한 반팔티들도 많은데 얘가 제일 이쁜것 같아요!이번 여름에 고고싱에서 반팔티 더 사려구요.
chu3890**|그냥 깔끔하게 입고 다녀요
chu3890**|230신는데 신발사이즈가 너무커요ㅜㅜ디자인도 이쁘고 굽도 맘에들어서 어떻게든 신어보려고 신발끈 완전 꽉묶어보고 양말도 신었는데 걸을때마다 헐렁거리는게 안되겠더라고요..디자인은 진짜 이뻤는데ㅜㅜ230신는분들은 불편할거에요ㅠㅠ
lhb47**|이런 전부터 반바지 사고싶었는데 이번에 다른거 사면서 같이 사게됬는데 핏도 이쁘고 잘산거 같아요ㅎㅎ 담에도또 고고싱에서 살게요ㅎㅎ
eun5**|목 라인도 늘어나있지 않구 핏도 예쁘게 떨어져서 손빨래한다면 오래오래 입을 수 있을듯해여~~흰색샀는데 검은색도 사고 싶네요ㅎㅎ 비침은 있지만 안에 검은색 나시 입고 입으면 시원해보여서 오히려 좋아용 통통한 편인데도 예쁘게 박시해서 맘에들어요 추천합니다~~
chu3890**|기대를 많이 했던 옷이였는데 기대가 너무 커서 그런가 생각보다 별로였어요ㅠㅠㅠ목부분이 모델분이 입은것처럼 이쁘지않고 쭈글쭈글해서 전체적으로 후질해보여요ㅠㅠㅠ여기서 다른 반폴라티도 샀는데 걔도 그러네요. 그냥 반폴라티는 사지 말아야겠어요ㅜㅜ
chu3890**|완전 좋아요!!!깔끔해서 슬랙스랑 스키니 다 어울려요.제가 허리가 얇은 편이라 바지사면 다 줄줄 내려갔는데 벨트매고 다니니까 코디도 되고 편하네요ㅎㅎ근데 구멍잘못찾아서 구멍아닌곳에 끼다가 흐물흐물해진부분이있어요ㅠㅠㅠ얼마 안그런것 같은데 약하네요ㅜㅜ
chu3890**|색도 이쁘고 핏도 이쁘네요자주 입고 다니고 있어요!
eun5**|대만족!!!!! 너무 빳빳하지도 않고 그렇다고 흐물거리지도 않아 딱 좋아요~ 핏도 굳이 하의에 넣어입지 않더라도 차분히 떨어져서 편하게 입기 좋구여~ 만원 안쪽의 가격의 티라 크게 기대 안했는데 생각보다 오래 입을 수 있을 것 같아서 만족스럽습니당 추천해여~~
tlstndus05**|와드디어왓어요ㅠㅠ일단너무이뻐요!!!!!무난한 하얀티에가운데ㅜ똭하니 영어만써잇고 진짜심플하면 이뻐요ㅜㅜ처음에딱꺼냇을때는 크롭인줄알앗는데 막상대보면 엉덩이살짝가릴정도??에요!!팔길이도 딱좋은길이고 진짜너무이뻐요 밑에아무거나 입어도 잘어울릴거같아요!!!!!비침은 살~짝 있는정도?
misshong**|포토후기1등><주문넣자말자 품절품절품절ㅠㅠㅠㅠㅠㅠ그래서 블랙만 가질 수 있엇던 루즈티ㅠㅠㅠㅠㅠㅠ드디어오늘 받앗습니달!!!!이름처럼 정말 티구요 시스루처럼 입을 수 있는데사진 두개다 안보여서 아쉬워요ㅠㅠㅠㅠㅠㅠ제가 대구에 사는데 요즘 대구날씨에 입으면 검은색이라 더더울것 같은....땀흘리는대로 다 흡수될거 같아용ㅠㅠㅠ 재질은 야들야들하고 좋은데사진이랑 똑같은거 같아요!! 여기가 너무 더워서 입으면 좀 더울거 같아서 별4개했습니당^^가격 저렴한거 치고는 괜찮아용잘입겟습니당^^!
lhb47**|일단 루즈해서 엄청 여리여리하구요 짱이뻐요!!회색사고싶었지만 품절되서ㅜ근데 네이비도 이쁘고 잘산거 같아요ㅜ 핏 진짜짱bb 배송도 엄청빠르더라구요ㅎㅎ 담에또 고고싱에서 살게요~~
gksquf54**|크롭이라도 총기장51센치라 괜찮을줄알았더니 배가보이네요ㅋㄲㅋㅋ좀 신경쓰이긴한데 이뻐요
fl**|후기보고 M살까하다가26-27입는데 S맞아요!근데 딱맞아요 전 이게나은거 같아서 다행이에요~스판기는 진짜짱인듯쭉쭉늘어나서 짱맘에듭니닿
fl**|일단 제가생각했던... 그 기장과는 달라요 ㅎㅎ팔도 생각보다 엄청길게와요저한테 ㅎㅎ...그래도 티안에 넣어입으면 이뻐서입고 다닐려구요~~재질이 제일맘에 들어욯ㅎ
fl**|26-27입는데 S사니까 딱맞네요@검정색샀는데 정말좋아요후회안하고 다른색도 지금 고민중이에요 ㅎ색깔별로 다사고 싶어요 ㅠㅠ여름에 이거만입고 다녀야죠
coeka**|생각으외로 크고 되게 상품평말되로 고급져요ㅎㅎㅎ 가격에 비하면 진짜 대만족할수있는 제품인것같아요하지만 가죽이라서 각이 잡히지는않고 물건을 넣으면 모양이 다랄지는 그런제품인것같아요!!지퍼도 부드러워요 가죽제질도 부드럽고 굿굿 예쁘게 잘사용하겠습니다. 감사해요
wlsgml93**|저는 엠사이즈? ㅋㅋㅋ삿어용지금 입기에 좋은 날씨이이ㅣㅣㅣㅣ!!! 약간 통통해보이긴 하지만 ㄷ괜찮은듯..?...편하고 막 입고 다니기에는 좋은 것 같아용! 이런 바지 찾고잇다면 괭찮을 것 같아용!!!!!!!!!!!!!!!
juj9**|핑크로 주문했어요 진짜 예쁜 베이비핑크일줄알고기대했는데 받아보니 좀 탁한빛깔이더라구요...ㅠㅠ진짜 예쁜핑크색으로 원하시는분은 생각 잘 하고 사세용!!! 그래도 전 핑크가 좋아서 예쁘게 잘 입고다닐려구요!!!!ㅎㅎ키작은데 길이가 아주 맘에들아요 굿굿
tlstndus05**|토요일날시켯는데 오늘왓네요 ㅠㅠㅠ기다리기힘들엇어요근데 정말기달린보람이잇는거같아요 휜색입으면속옷비칠까마 쫌 입기그래서산건데 잘산거같아요 쫀쫀하고 답답하거나그러지도않아서 좋앗어요!!!!!!!!!!!다음에또 주문할께요~~
m1468**|고고싱 첫구매여서 많이 망설이다가 구매했어요고민했던만큼 핏이랑 색감이 이쁘고 맘에드네요배송도 하루만에! 원래 니트를 좋아하는 편이라서 더워디는 날씨에도 그냥 구매했는데 한여름 되기전까지는 저녁이나 많이 덥지않은 날에는 자주 입을수 있을거 같아요 치마.반바지.슬랙스.스키니 다 잘어울려요~ 이 니트는 실패할 가능성 거의 없을듯!
kinga**|평소s사이즈입는데 이건후기보니많이짧을거같아서 m시켯는데진짜너무커서후회햇어요..근데큰것만빼면예뻐요..색도예쁘고 에이핏도예쁘고 좀 얇은거랑 그런거만빼면굿굿
wlsgml93**|저는 검정색으오 샀어용!!!!!!!슬랙스 인터넷으로 사는거라 조금 고민됐는데 막상 보니깐 괜찮더라구요!!!!!! 약간 아쉬운거는 안 널널하달..까? 무튼 잘 입고 다니고있어요 바지도 얇아서 지금 입기에도 괜찮구요!!!!
coeka**|색이 좀달랐어요ㅎㅎ 예쁘긴해요 근데 저처럼 키가작은신분들은 엄청기실꺼예요ㅠㅠ 가격대비에 질이 좋은것같아요팔이 길줄알았는데 저는 생각보다 짧아서 안접기는 조금길고 접기는 짧은..? 그래도만족해요ㅎㅎㅎㅎㅎ추천해요 청치마도 같이샀는데 같이 입으면 예쁠것같아요
yr04**|진짜 발아프고 괜히산듯 ㅜ 신어서 바꿀수도 없고
kinga**|예뻐요ㅎㅎ지금날씨에입기딱좋네요.얇고시원하고.잘입을게요
aru**|목도 적당하고 예쁘네용!!딱딱한 느낌이 아니라 옷이 밑으로 떨어지는 느낌이어서 몸매를 이뻐보이게하는 효과가 있는것같아요!!!상체가 좀 있는편인데 라인을 딱 잡아줘서 좋았어요!목이 조금 올라와서 일반 스트라이프 티보다 유니크하고 여성스러운 느낌이 강한것같아요! 강추합니당~~~~
juj9**|s사이즈 주문했습니다~꼭 맞고 크거나 작거나 그러지않았어요핏사진의 치마길이가 다른곳보다 많이 길어보여서 주문했는데 실제로보니 길이도 비슷하고 짧은거같아요ㅎㅎㅎ그래도 너무이뻐서 잘 입고다닐거에요!!!!!:
juj9**|미키 너무귀요미!!!!!! 이런 얇고 하얀티는  속이 보여서 안입는주의였는데 미키보고 너무 갖고싶어서 샀어요!!!! 사진그대로고 너무 귀여워요
sely**|목짱짱하구 이뻐여
juj9**|순하리헤짐스키니!!주문한지 이틀?인가 정말빠르게 배송와서 기분좋은데 이뻐서 더 짱짱!!!헤짐이 혹시 바지마다 다를가 걱정했는데 같아서 다행이였는데 저 실들 색깔이 누런색이더라고요!! 흰색 실을 기대하시는분은 참고하세요~ㅎㅎ 스판있어서 25로 주문했더니 꼭맞아요!!!!!! 좋아요♥♥
sely**|일요일에 주문해서 오늘받았어요!배송짱빠르고 옷도엄청이뻐요ㅜㅜㅜㅜ얇아서 여름에두 입기 좋은거같아염
parksaer**|진짜 예쁜 와인색이구요. 얇아서 지금입기에 좋아요. 멜빵 탈부착되는것도 마음에들고 다리길어보이는것같아요ㅋㅋ만족만족
lovelyla**|너무 두꺼운 소재의 니트가 아니라서 봄,가을에 입기 딱 좋은것같아요. 요즘같이 아침&저녁으로 쌀쌀한 날씨에도 즐겨 입을수있을것같고요! 잘입겠습니당!
lovelyla**|니트라 두껍다고만 생각했는데, 요즘날씨에 입기 딱이에요.물론 점심시간즈음엔 덥겠지만.. 회사에 있으니 아직 더운것도 모르겠어서.. 아침&저녁 쌀쌀한 요즘에 잘입을수있을것같아요~
rladkdus**|목부분이 살짝 진짜 살짝 늘어났지만 평소에 잘 입고다녀요.뒷길이는 엉덩이 다 덮고요 앞부분은 딱 바지지퍼가라는 정도에요.
lovelyla**|고고싱 티셔츠는 언제나 후회없어요.면의 질도 좋고 다른티셔츠처럼 늘어짐이 있거나 하지않아서 자주 애용합니다. 바지도 언젠가 한번 도전해보고싶으네요~
rladkdus**|길이가 애매했어요.
lovelyla**|하얀색 티셔츠는 원래 잘 안입는데 ... 안에 나시 껴입기 더워서- 근데 이뻐서 구매하게됐어요. 딱 사진그대로에요.슬라브티라 다른 하얀티셔츠보다 더 비침이 잇지만 그래도 이쁘네요. 잘입겠습니다.
hsy12**|포토후기 3등인가요♥ㅎㅎ 무지무지나그랑티 핑크로샀는데요 색깔은 사진이랑비슷해요 크기는 확실히 박!시!하구요~처음뜯자마자 겨드랑이 실밥부터보였어요..ㅎ 근데이건 제가대충정리하면되니까 패스ㅎㅎ 옷원단부터 맘에들고 오래입을수있을거같애요 평생템♥ 무슨고고싱은 살때마다 맘에드나요>< 근데 약간 찜질복같지만 잘입으면 진짜이쁜거같애요ㅎㅎ 몸매가어떻든 잘 커버해주는거같애요 제가 퉁퉁해서 팔뚝같은거 엄청 고려하면서 옷을사는데 이옷은  팔뚝도커버해주는거같아요~ 다른색도사야겠어여♥ 감사해요~♥
lovelyla**|다른덴 다 괜찮은데 여름에 팔뚝 드러나는게 싫어서 7부티 찾아다니다가 고고싱까지 오게되었어요!고고싱 7부티는 언제나 후회없다는거~ 면도 좋고 핏도 이뻐서 더 사고 싶네요~
lovelyla**|맨날 티셔츠만 사다가 셔츠 처음으로 사봤어요.좀 통이 크긴하지만, 바지안에 넣어입거나 하면 이쁠듯합니다.면이 하늘하늘하고 얇아서 여름에도 즐겨입을수 있을것같아요!
hyy**|가격좋고 배색좋고 바로질렀어요~ 무난하게 평상시에 어디에다가 다 들고다니기 좋아요!!!
hyon3**|이뻐요!!기본인데말이필요업는듯
hyy**|갈색샀는데 너무잘입고있어요ㅋㅋㅋㅋㅋㅋㅋㅋ 아 산지는 좀 오래됐는데 후기를 이제야남기네요 갈색니트꼭 사고싶었는데 넘 잘산거같아요!!!
hyon3**|이뻐요ㅠㅠ엄청박시한데 귀여움
hyon3**|이뻐요ㅠㅠ진심후회안함 고고싱짱
hyy**|이거입고 인물이 산다니 어쩌니 옷색갈너무예쁘다 등등 진짜좋은소리만들었어요! 색이 우선 너무예뻐서 바로질렀고 길이나 쫀쫀함도 딱좋아요! 쪼오끔 까끌하긴한데 못견딜정도 전혀아니니 괜찮아요~~
lovelyla**|속바지라 사진은 못올리지만...ㅋㅋㅋ면이 완전 보드랍고 좋아요.검은색속바지만 있어서 하나 구매했는데 고고싱은 역시후회없네요!
hyy**|155.50인데 M시켰다가 진짜 도저히입을수없을정도로 커서... S로바꿨더니 사이즈딱맞더라구용 저랑비슷하신분들은 S시키시길..!
kksam**|이거이거 요물이에욬ㅋㅋㅋㅋㅋㅋ 처음엔 앞치마 같아서 이건뭐냐 이런거 왜입냐 그랬는데 입어보니까 너무 예쁘고 상의를 어떤걸 입어도 예쁜것같아요!!핑크색 반팔에 입었는데 그것두 이쁘고 그냥 흰티에 입어두 이쁘고....단점은 제가 키가 작아서그런지 멜빵이 흘러내리더라구요..ㅜ 그래서 단추를 더 올려서 다시 달았어요!! 제 키가 작은데 짧은거보니 키큰사람들은 고민을 해보시는데 좋겟어요!!
dlwndms**|이건 제꺼만 그런건지모르겠는데 오른쪽 주머니쪽과 오른쪽뒷주머니에 보풀이 너무심해서 교환신청해놨어요. 근데 보풀이심한거말고는 허리가좀크긴한데 핏이너무이뻐서 계속입고싶어지는옷이에요다른건몰라도 가격도 착하고 핏도 엄청좋아요
kksam**|진짜 예쁜것 같아요!! 친구랑 같이 똑같은 색으로 구매했는데 둘다 완전 만족이에요!! 지금 같은 날씨에 입을수 없다는게 정말 아쉽지만 검정스키니에 입으면 진짜진짜 이뻐요!!! 아쉬운게 있다면 냄새가 좀...근데 조금 지나니까 없어지더라구요! 앞으로 이쁘게 입을게요~~
dlwndms**|입지않고 옷장에넣어놨는데 좀 쭈글쭈글해졌더라구요.그냥입었는데 무난하게 이뻐요 가격대비굳굳bbb다른색도 살까생각중입니다튀지도않고 깔끔하고 박음질도잘된거같고 매끈하니 아주 마음에듭니다.9000원이에요 언능 사세요ㅎㅎㅎ
har08**|배송지 잘못적어서 배송이 좀 늦게왓어요.. 그래도 만족합니당색상도 이쁘고 다리핏이 이쁘게 잡혀요10대들이 입기에 적절한 상품인듯 하네요하지만 평소 사이즈보다 조금 더 크게 하셔야될 것 같아여본래부터 좀 작게 나온 상품인것같네여잘입을게여 ~
dlwndms**|이거는 사진이랑 진짜 똑같애요. 이뻐요 이건 티를 안에넣어서 입어도이쁘고 밖으로 빼내서입어도 이뻐요. 박음질도 괜찮고 이거입고 남자친구만나니까 남자친구가 귀엽고 이쁘다고 자주입으라고 하더라구요bb헐렁해서 더좋은거같아요ㅎ
dlwndms**|사진으로는 카키색으로 잘 안보이는데 받고보니따 정확한 카키색이더라구요~ 색깔도이쁘고 저한테는 약간헐렁하게 잘 맞았어요! 원피스랑 같이 입고있는데 상큼한 여대생된거같고 엄청 이뻐요 멜빵원피스랑 입으면 잘어울리는옷같고 박음질이 좀 덜되어있는데 교환할정도는아닌거같아요ㅎㅎ
opop59**|오 ㅋㅋㅋㅋㅋㅋ 가격이 비해서는 엄청 만족해요 이 신발 추천이요!
har08**|주소지를 잘못적어서 배송이 좀 늦엇지만만족해요 색상도 이쁘고 핏도 이쁘고다리 모양도 라인도 살아보이는것같아요 잘입을게요 ~
opop59**|생각보다 살짝 작았어요 하지만 만족해요! 그레이 색상 샀는데 색갈이 화면보다 약간 더 밝아서 주의하시면 좋겠네요 그래도 만족ㅋㅋ
ybl47**|완전 푹신푹신하고 색깔도 이뻐용!흰색은 깔끔하니 이쁘고 핑크색은 귀여워요. 몸집이 작은데 박시한 핏으로 떨어지고 친구들도 이쁘대요 ㅎㅎ 어디에 입어도 이쁠거같아요 진짜 추천해요♥
sojeong**|상체에 비해 하체가 더 두꺼워서 M사이즈를 입었었는데 후기 보고 하나 작은 사이즈 S 시켰더니 저한테 딱 맞았어요!! 허리도 딱 맞고 다 좋았어요~ 좋아요@@ㅎㅎ
naru06**|슬렉스로도 입구 멜빵으로도 입어서 좋아용
dpsk23**|화이트 S샀어요!! 배송은 시킨지 하루만에 왔구요 ㅎㅎ완전 빨라여!! 포장 벗기고 나니 한눈에 봐도 좀 작을것 같았다는;; 입어봤는대 들어가긴 들어가요 지퍼까지 잠구고 입으면 완전 딱! 맞아요 치마는 좀 짧은편이고흰색이라 안에 속바지 입으면 다 비칠거 같은.. 안쪽에 바지 내장된것도 살짤비쳐요.. 이쁜대..제가 뚱뚱한거 아니에요! 교복치마사이즈 65도 큰데이건 사이즈가 좀 작게 나오나봐요 s나 m중에 선택하신가면 m추천이요!! 그래도 이쁜 테니스치마!! 위에는 마가렛 크롭티입니다
naru06**|색깔자체도 이쁘고 길이도 적당해서 좋아용
naru06**|하이웨스트여서 길이도 적당하고 이뻐용 색깔자체가 맘에들어서 좋구, 다리가 굵으신분들이 입으시면 통이 넓어서 다리가 얇아보여서 좋아용 주름잡힌건 뽀인트
opop59**|짧을 줄 알았는데 딱 맞아여 키 커서 주져 하시는 분들 바로 ㄱㄱ
naru06**|파스텔톤으로 사서 색깔도 이쁘고 발목부분을 걷으니 영문이 있어서 너무 귀여웠어요. 특히 발목까지 올라오니까 더욱 좋은거 같아용
gkdms2**|키큰분들 참고!! 키 166 몸무게 47 착용사이즈-m 다들 많이 짧다고들 하셔서 m 샀는데 허리가 약간크긴하지만 만족해요 제 키랑 비슷하신분은 m사는거 추천드려요 길이ㅣ가 딱 적당한것같아요 멜빵안하면 허리가 커서 내려가고 구김이 있는느낌은있지만 그래도 이뻐요! 길이별로 신경안쓰시는분들은 s도 괜찮을듯 해요
dpsk23**|꺄아아아아아아ㅏ 드뎌 왔다는 무슨일요일에 주문, 입금하고 월요일은 공휴일이구 수요일에 왔어요 하루만에?? 왔는데 배송 넘 빠른듯가격보고 괜찮다 싶어서 블랙 샀는데 아이보리도 살껄... 하하하ㅏ하 키가 157cm인데 팔올리면 배 살짝보일 정도?? 160이상은 좀 짧을것 같음 같이 주문한 폴폴플리츠 테니스스커트 흰색이랑 입었는데 와... 말이 필요없다 끈은 사은품!!
gkdms2**|ㅇ고고싱에서 티는 처음사보는데 생각보다 괜찮았어요 배송도 2일밖에 안걸렸구요 핏도 괜찮구 멜빵에 입으려고 샀는데 안어울려서 아쉽긴하지만 티자체는 무난하니 이뻐요ㅎㅎ 가격대비 괜찮은것같네요 싼맛에 하나 사놓는 것도 좋은것같아요!
dpsk23**|샌드위치하고 오리지날(그냥 몰랑이^^)가지고 싶었는대 샌드위치가!! 진짜 귀여워요 ㅜㅜ 근데 생각보다 좀작아요 그래도 귀엽고 이쁘니까 괜찮^^ 크기는 손바닥보다 조금 큰?? 정도인듯 이거 꼭사세요 두개살껄 후회되는 몰랑부채
dkelqk**|어제입금시켰는데 오늘배송와서 너무좋았고다른티도 같이 주문시켰긴한데 이거기대가더많았는데! 기대한만큼너무너무예뻐요ㅠㅠ신축성매우좋음체크되있길래 산거도있긴한데 진짜신축성도괜찮은거같아요목늘어날걱정도딱히없고 오래입을수있을거같아요! 고무줄도넣어주시고 ㅎㅎ항상고고싱잘애용하고있어요 감사합니다 ㅎㅎㅎ♡
nsa285**|첨에 살때 기대전혀 안하고 봉우리 청 치마랑 같이 입으려고 산거였는데 그거 못입고 오부(검정)바지랑 같이입으니까 이쁘더라고요 남방 색깔이 좀 연하긴 한데 후회는 안해요  남방 입은거 본 사람들이 이쁘다고 어디서샀냐고 물어보더라구요 ㅎㅎㅎ 잘산것같아요!!!
dpsk23**|눈썹 그릴때마다 애들이 짱구 눈썹 같다구 진짜 못그렸는대 이걸로 그리면 눈썹 이쁘게 그려져요 추천가격도 쌈 꼭 사세요!!
asd2**|치마 중청으로 월요일날 주문했는데 바로 입금 확인해주셔서 이틀만에 입게 됬어여 !제질도 얇고 늘어나서 몹시 좋고여 ! 근데 생각보단 색깔이 진해여 그래도 어울리는 색상이 많아서 잘 주문한거 같아여 !그리고 팁 자기보다 한치수 큰걸 사는게 좋을거 같아여 !자주 애용해요 !!
dkelqk**|어제 입금했는데 오늘 도착했어요! 배송엄청빠르고 ㅎㅎㅎ 이거디자인도이쁘고 다른옷들도이뻤지만 신축성아주좋음 체크되있어서 이걸로샀는데신축성진짜좋은거같아요! 목늘어짐걱정도없고 오래입을수있을거같네용ㅎㅎ 근데상품문의에 초코로사면 블랙배송해준다길래 초코로주문해서 블랙올줄알았는데 초코색와서 좀 아쉽긴하네요 ㅠㅠ 제가잘못알았던건지그래도 디자인이쁘고 재질도너무좋아서 별5개요! 포토후기1등맞죠?ㅎㅎㅎㅎㅎ제목적는칸은따로없네요ㅜㅜ튼 여러번 고고싱에서 옷사는데 이번에도 맘에들어요 고고싱화이팅`~♡
asd2**|티 베이지색으로 월요일날 주문했는데 바로 배송확인 해주시고 발송도 빠르고여 여름에 입기에도 좋은 티인거 같아여 시원하고 좋아요 어울리는옷도 많을것 같고 얇고 좋아요 많이 주문해 주세요 !~
gpfla39**|바지사이즈가 조금크게 나온거같아서 좋아용 원래바지입으면 허벅지끼는대 허벅지부분이 널널해서 짱맘에들어요^_^! 10000%만족중!!후회없어용
yourturn**|안녕하세요^^같이 주문한 제품이 제고가 없다해서 배송 받는데는 조금 많은 시간이 걸리긴 했지만서도 택배를 받아보니 정말 기다린 시간이 안깝지 않을 정도로 이쁘네요저는 연청으로 주문했는데 색이 대박 이뻐요 마음에 쏙 드네요ㅎ 크기도 넘 작지 않아서 좋구요 제가 키도 크고 등치도 좀 있어서 넘 작으면 디따 바보 같은데 가방 끈도 길게 나오고 크기도 크고 저한텐 딱이네요가방에 뭐 잔뜩 넣고 다녀도 부담스럽지 않겠어요ㅎ다른 장식이 없어서 더 깔끔하게 보이기도하구요청 두께도 딱 적당해서 물건 많이 안 넣었을때도 가방이 뭉게지지 않네요 이 가방 정말 잘산듯해요ㅎ 가격두 착하고 제품도 이쁘고주저하시는 분들 걍 바로 사셔도 후회 없을듯해요ㅎ이쁘게 잘 쓸게요 번창하세요
vntnddl**|헤어밴드사고싶었는데 사게됬네요!! 완전이뻐요ㅠㅠ♥ 처음써보는거라 많이어색했긴했는데 그래도 완전만족 잘쓰고다닐께요ㅎㅎ
gpfla39**|와 진짜 짱짱 옷재질도 좋구 상체뚱뚱인데 널널하고 이뻐욤 배송도완전빠르고! 다른색으로 또구매할예정><♡
