sunju12**|잘 받았어요~공주님의 키: 155공주님의 몸무게: 46구매 제품 사이즈: 25제품 구매 후기:발목이 너무좁아서 입고벗을때 애먹었어요키가작아서 길이를 줄이면 발목이 조금 넓어지겠져?디자인은 이뻐요 날씬해보이고 허리도 잘 맞아요
key4**|핑크색!!공주님의 키: 167공주님의 몸무게: 52구매 제품 사이즈: 프리제품 구매 후기:분홍색샀는데 비침도 별로 없고 두께도 괜찮고 이뻐요~~배송이 좀 느리긴 했는데,,,, 제가 원하는 날짜안으로는 와서 괜찮아요
thfl34**|유이유장지갑 브라운 후기공주님의 키:공주님의 몸무게:구매 제품 사이즈:제품 구매 후기:아진짜배송6일만에왔는데ㅠㅠ 목빠지는줄 알았어요근데 기다린보람이 있군요ㅋㅋ너무 이뻐요 크기도 약간 커서 제가 원하는 크기고카드 수납공간도 많고,,색깔 고민을 많이 했는데요 블랙으로 할까 브라운으로할까 고민하다가브라운으로 골랐는데 후회안해요ㅋㅋ 진짜 이뻐요근데 약간아쉬운게 카드수납공간이 새거라그런지모르겠지만카드가 잘 안들어가요 사진넣는데도 좀 작아서 사진을 잘라서 너거등요ㅠㅠ아 지갑뒤에 있는 동전넣는데도 동전 많이 느면 안되겠어요 자국 다나서많이는 못넣고 다닐거 같아요그래도 결론은 이쁩니다잘쓸게요~
tkqkdcl**|열 팬츠후기>ㅁ공주님의 키: 166공주님의 몸무게: 50대.........구매 제품 사이즈: m제품 구매 후기:한사이즈크게살걸그랬나봐요.......................ㅋㅋㅋㅋ이쁜데욕심내가지고....꽉끼는데스판기가있어서 앉았다일어났다하니까 조금씩늘어나서 괜찮아요!이뻐요!구매후기 양식에 맞게 작성해주시면 적립금을 지급해드려요 ^^원치 않으시면 후기만 작성해 주셔도 괜찮아용~ ^^
wngussl67**|블랙샀어욤공주님의 키:공주님의 몸무게:구매 제품 사이즈:제품 구매 후기:블랙을 샀눈데 좋고 괜찬은거 같은데 좀 얇은것 가타욤 ,,, 배송 좀늦어서 ㅜㅜ 그래도전체적으로 괜찬은것 가타욤 ! 앞으로 고고싱 자주이용할게욤~
end82**|내다리가굵은건가...ㅠㅠ공주님의 키: 156공주님의 몸무게: 40구매 제품 사이즈: 25제품 구매 후기:허리도 딱맞공... 길이도 딱맞공... 색감도 정말정말 이뿌겅..3박자는 정말정말 조은뎅..................ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ너무 짜가영..ㅍㅍ퓨ㅠㅠㅠㅠㅠㅠㅠ...... 진짜 추븐 겨울날 땀내면서 겨우겨우 껴입엇쪄용...ㅠㅠ나 원래 25입어도 큰딩..ㅠㅠ 살쪄서그런가...ㅡㅡ 흑...ㅠㅠ모델분은 저보다 키도더크시고, 몸무게도쫌더나가시는뎅(지송..ㅎㅎ;;;) 이옷 어캐입으셧을까용..ㅠㅠ저는 이옷을사고난뒤에 모델의 다리가 얼마나얄븐건지 깨다랐쪄용..ㅠㅠ내가이브면 다리굵기 쩔리게 굴거보이는딩...ㅠㅠ 어째서.. 모델분은...흑..ㅠㅠ이것때문엥 별두개깍아용..ㅠㅠ 그래두... 옷은 겁나게 이쁘네용ㅎㅎㅎㅎ..병주고 약주고 인갘ㅋㅋㅋㅋ...그리거 역시 봄상품이라 그런지 쫌 얇긴 얇아쪄용ㅎㅎ 그건 맘에드러용! 얇은걸 찾고 있었는뎅ㅎㅎㅎㅎㅎ그리거 허벅지쪽에 스크레치가 맘에드네용ㅎㅎ 매력포인트랄까..?ㅋㅋㅋㅋㅋㅋㅋ이번엔 시간이 업써성 포토샵 못햇쪄용..ㅠㅠ 지송..ㅠㅠ 그래두 베스트상품후기를 기대하구있쯥니댱..헤헤헿ㅎ앞으로도 고고싱마니 이용할께요! 그래두 역시 바지는 고고싱이얌!!ㅋㅋㅋㅋㅋㅋㅎㅎ고고싱 파이팅^오^
seungjuw**|쏘~녀맨투맨후기공주님의 키: 160공주님의 몸무게: 52구매 제품 사이즈: free제품 구매 후기:역시..전 대두였어요.. 목부분이 진짜 조심스러워요옷은 진자 이쁜데 저한테 별로 안어울리는것같애요ㅠㅠ그래도 주변에서 다들 이쁘다고 해주고살~짝 어깬 넓어보여요
thfl34**|나크티 블랙 후기공주님의 키:158공주님의 몸무게:51구매 제품 사이즈:free제품 구매 후기:생각보다 얇네요 그래도 이뻐요~가격대비에도 좋고 가볍게 입고다닐수 있겠네요동생껄로 샀는데 좋아서방방뛰어댕겨욬ㅋ(아 사진은 동생이입은거구요 위에 키랑몸무게도 동생사이즈입니다)
seungjuw**|첫후기네요!공주님의 키: 160공주님의 몸무게: 52구매 제품 사이즈: free제품 구매 후기:이 남방 왜 문의도 없고 후기도 없는지 모르겟어요ㅠㅠ진짜 색깔 완전 감동인데..박시하게 나왔고요 언밸런스한 기장이라 넣어도 이쁘고 안넣어도 이뻐요ㅠㅠ아진짜 색깔 스릉흔드ㅎㅎ..ㅎ..
seungjuw**|패스 스키니후기!공주님의 키: 161공주님의 몸무게: 52구매 제품 사이즈: 28제품 구매 후기:어헣.. 몸무게까지 공개..븍흐븍흐.. 제가 살이 쪗나요.. 아님 이게크게나온건지 후기 보고 원래 27입는거 한사이즈 크게 삿긴 햇는데 딱맞네요 촌스럽지도 않고 예뻐요!! 다린 좀 짧아보여요ㅠㅠ
ock92022**|짱짱공주님의 키: 162공주님의 몸무게: 43구매 제품 사이즈: 26제품 구매 후기: 색도 이쁘고 배송도 빨라서 좋아요요 근데 사이즈가 작긴해요 ㅋㅋㅋ한치수크게 해서 26샀는데 ㅋㅋㅋ나름 잘 맞는듯 작은듯 해요 ㅋㅋㅋ이쁘긴 이뻐요요요구매후기 양식에 맞게 작성해주시면 적립금을 지급해드려요 ^^원치 않으시면 후기만 작성해 주셔도 괜찮아용~ ^^
gkdms10**|쏘녀맨투맨♡공주님의 키:공주님의 몸무게:구매 제품 사이즈:제품 구매 후기:구매후기 양식에 맞게 작성해주시면 적립금을 지급해드려요 ^^원치 않으시면 후기만 작성해 주셔도 괜찮아용~ ^^ㅠㅠ진짜 완전이뻐요!!ㅋㅋㅋㅋ제가원래 어깨가 좀 넓ㅇ 은데;;ㅋㅋ쏘녀입으니깐 어깨두 별로 안넓어보이고 좋아욯ㅎㅎㅎ완전 이뻐요!!!!
장현정|드리피 스키니(오렌쥐28)─>　공주님의 키: 163─>　공주님의 몸무게: 49~50─>　구매 제품 사이즈: 28 (27 입으면 딱맞거나 적을것같아서)
jim1**|프리즈가디건 네이비 후기공주님의 키: 155공주님의 몸무게: 45구매 제품 사이즈: F제품 구매 후기: 네이비 주문했구요!제가입었을땐 엉덩이다가렸어요 ㅎㅎ택배왔을 때 비닐?이라고해야되나??그게 다 찢어져서 왔더라구요;;;옷은 이뻐요ㅋㅋ잘입을게요!ㅎㅎ구매후기 양식에 맞게 작성해주시면 적립금을 지급해드려요 ^^원치 않으시면 후기만 작성해 주셔도 괜찮아용~ ^^
