150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
wldbswldbs4**|가격이 너무 저렴해서 질 많이 떨어질거 각오하고 있었는데 생각보다 너무 좋네요ㅎㅎ 잘입고다니고있어요
darin02**|검은색도 있엇는데 검은색 살까 빨강 살까 하다가 빨강 샀는데 집에 와서 보니까 정말 좋은 것 같아요!! 이것두 데일리 룩으로 정말 좋은 제품!!
darin02**|제가 딱 원하는 색이구 크기도 박시? 하게 입을수 있어서 데일리 룩으로 정말 좋은 옷인것 같아요!! 평소 베이지 너무 갖고 싶었는데 사게 되서 너무 좋구요 가격대비도 좋아요!!
wlsdnstmfd**|바지는 제가 원하더 스타일이었구요 색상도 예뻐요!! 넉넉하게 입는거좋아하는데 너무 편하고 좋ㄱ습니당ㅎㅎ
ldy32**|헤어밴드가 쫀쫀하니 헐렁하면 머리 고정이 잘 안되는데 고무줄이 강해서 잘 잡아줘 좋은 것 같네요 ㅎ
ldy32**|생각보다 엄청 얇은 재질이더라고요 그래서 놀라긴 했는데 크기는 프리사이즈라서 절대 작은 사이즈 아니고요 큰 편이에요 특히 팔 소매 부분이 그냥 평범하게 무난한 용으로 입으면 좋을 것 같네요
twtwlo**|이쁘네요. 기다렷다 받은 보람이 있어요ㅎㅎ 잘 입을께요.
wls6**|꽉붙거나 그러지 않아요 좀 넉넉하고 길이가 너무짧지도 않아서 좋아요색감도 이쁘고 편해요활동하기 좋아요
wls6**|"색상과 핏 다 좋아요그런데 팔부분이 보시다시피 좀 길어요그런데 문구를 사고나서 자세히봤는데 좀..ㅎㅎ""내 얼굴에 주먹을 날려줘 내가 살아있다고 느끼고싶어"""
wls6**|제 몸이 좀 마른편인데 이거는 너무 임산부 핏이에요ㅠㅠ 색은 이쁜데 옆으로 너무 커서 어떻게 입어야할지 잘 모르겠어요수선을 맡겨도 어떻게 해야할지..
park9**|옷은 진짜 예뻐요 예쁜데..한껏 꾸미고 오늘 처음 입고 약속나갔는데 팔 뒤에가 이렇게 다 튿어져잇네요...^^  친구가 말해줘서 알앗네요..다행히 가디건 챙겨가서 그걸로 가리도 다니고 있구요.....하 진짜 실망입니다...ㅜ
wls6**|155인데 약간 크롭느낌 없지않아 있어요개인적으로 이런 색감 바지 정말 가지고싶었는데 색감 맘에들어요약간 스판끼 있어서 편해요
65380825**|입었을때 부드럽고 느낌 좋아요. 딱 쪼여주는것도 좋고 가격에 비해 질 엄청 좋아요!! 혹시나해서 하나만 샀는데 몇개 더 사고싶어요!!
wls6**|이런 옷을 왜 파시는지 모르겠어요가로길이가(밑단) 비정상적으로 너~~~~~~~~~무 길어요제 몸 3명 들어갈정도로요이런 제품을 왜 파시는지 이해가 안되네요하의에 넣어입어도 워낙 품이 크니 회생불가에요덩치 좋은 제 남동생한테 입혀도 핏이 안살아요누가입어도 소화할 수 없는 옷같아요정말 별로에요
wls6**|딱 맞고 품질도 나쁘지않고 청바지에 입든 까만 바지에 입든 뭐 치마에 입든 다 잘어울려요!뭐고를지 결정장애 오시는분 이거 고르셔도 후회없으실거에요
eoyo**|주말에 여행을 위해서 9일날 입고되도 평소에 배송이 빨라서입을수 있겠구나 생각했는데 아쉽게도 늦어서 입지는 못했지만..여행 다음날 입었는데 색감도 이쁘고 딱 원하던 디자인에가디건이에요~^^ 고객에 의견을 반영해서 리뉴얼 되었다고 하는데정말 필요한 부분이 쏙쏙 반영된거 같아요 ! 무엇보다 남자친구도 이쁘고 너무 잘어울린다고해주니 기분도 좋아지네요 ㅎㅎ 고고싱 자주 이용할게요~~
somgk**|제가 생각했던 색상과 사이즈예요 사진이랑 똑같아서 좋아요ㅎㅎㅎ 한두번 빨래한다고 줄어들거나 그러진 않을것같네요! 잘입겠습니당
wls6**|500일 기념으로 남자친구 선물 줬는데잘어울려요 비치지않아서 좋대요가볍고 시원하대요!!!
wls6**|진짜 너무너무 이쁜데바람많이 불거나 아우터를 허리 선보다 높은걸 입으면 치마속에 바람이 들어와서 완전 속바지 다 보일정도로 펄럭여요..이쁘기는 정말 너무너무예쁨
wls6**|지금 집에서 추워서 입고있는데반팔 위에 입어도 안까칠하고 색이 무난해서 다 잘어울릴 것 같아요비싼 옷이 아니니까 비싼느낌은 없지만 그냥 그 가격대만한 품질인 것 같아요짜임도 적당하고 괜찮은데 처음은 실밥? 그런게 좀 많아요 정리하고 입으면 괜찮아요아 제 기준에서 소매가 조금 길어서 한번 접어입어요
wls6**|몸무게가 42~25 왔다갔다,, 말랐을 때 산 옷이었는데 이 옷 입으면 허리 밴드부분이 너무 작아서 허리가 눌리고 뱃살이 없는데 꽉 조여서 튀어나와요,, 다리 핏은 좋아요 입다보면 밴드부분이 늘어났으면,,, 좋겠어요 제발
wls6**|보라색이나 노란색계열 상의랑 같이 입으면 너무 잘어울리고 귀여워요!!끝이 살짝 A라인으로 벌어진 느낌이에요
320986451698422**|진심 예뻐요 ㅠㅠㅠㅠㅠ박시해서 접어입는데 박시해서 더예쁜거 같아요 ㅠㅠㅠㅠㅠㅠㅠ배송 거의 3주 걸려서 받았네요 ㅠㅠㅠㅠ배송 오래걸린 점 빼고는 너무 예뻐요 ❤️❤️ 꼭 구매하세요다른색상으로 하나 더 살까 고민중입니당 ㅎㅎㅎ
rsd57**|존예임더 후기가 좋아서 샀는데 역시예쁘네영여름에 잘입고 다닐거 같음허리는 아주 사알짝 큼키큰데 길이도 좋구여
rsd57**|애매템*다른 고객분들이 구매하실 때 참고할 수 있게 아래사항 기재 부탁드려요! ^^- 키, 몸무게 170 60-착용사이즈-착용 후 느낌은?(좋은점/나쁜점)찰랑찰랑하고 예쁨데 생각보다 짙은 소라색이구여제가 어깨가 넓어서 쉽알 어깨가 좀 좁네여살짝 간호사 유니폼같기도해여
gonga1**|색깔보고 너무 예뻐서 사게 되었어요. 색깔은 생각했던 거랑은 조금 달랐던 것 같아요. 약간 베이지 섞인 핑크인줄 알았는데 그냥 정말 연한 연핑크에 좀 더 가까운 것 같아요. 하지만 색깔 그래도 예뻐서 잘 입고 다니고 있습니다..... 이런 예쁜 파스텔 톤의 반팔티 흔하지 않은 것 같아요 ㅎㅎㅎㅎㅎㅎ
qordowls5**|생각 보다 작아오 ㅋㅅㅋㅋ 딱 맞습니다 배 완전 가려질 정도에요 ㅋㄹㅋㅋ 밑에는 좀 안이쁜...
yoonsu72**|너무편하고 좋아요ㅜㅜ다른색도 살까생각중ㅣ예요귀여워보이고 시원하고 너무 이뻐요꼭사세오ㅡ:)
yoonsu72**|시원하고 이뻐요치마지퍼가 조금 이상해서 올릴때 애먹었어요ㅜㅜ위에만 따로 자켓처럼 입어도 이쁘네오ㅡㅇ
nana22**|귤이랑 찍은 사진의 옷색이 너무 귀여워서 샀는데 사진보다 -5퍼정도는 어두운거 같은데 그래도 상큼해요. 이런색 옷 처음사보는데 여름에 잘 입을게요.
nana22**|자켓안에 입은게 부득촉감 브이반팔 블랙인데 어디에나 잘 어울리고 재질 부드럽고 찰랑거리는 재질에 목 라인 바느질 잘 돼있어용!
nana22**|배송받자마자 할인하는거 봐서 좀 ㅠ 슬프지만 여행가서 입으려고 샀어요! 색이랑 모양 상세샷이랑 똑같고 잘 입을게요.
nana22**|검정 기본자켓 사고싶어서 쇼핑몰 다 둘러보다가 날은 더워지고 비싼거 샀다가 안어울리면 어쩌지 해서 무난한 시크블랙자켓 구매했는데 배송도 빨랐고 날도 마침 안더워져서 입어봤어요! 너무좋아요 개인적으로 뽕 있는게 더 핏좋네요 단추푸르고 입으면 어디에나 코디 잘어울려요.
wogml48**|애코백이 캉골백밖에없었는데 때탈까봐 고민하다가샀어용 ㅠ가방이 너무이뻐요 엄마도 이쁘다해서하나더사려고요
yje10**|색이 진짜 예뻐요. 찢어진 부분이 무릎에 있어서 앉았다 일어날때 찢어지는 감이 있는데 그것마저도 예뻐요. S사서 길이가 조금 짧긴 한대 만족하고 이 바지 자주 입고다녀요 진짜 예뻐요오
585439298484125**|허리가 조금 남기는 하지만 그래두 생각 한것보다 핏도 이쁘고 색감도 좋더라구요!! 연청이라 너무 연해서 흰색처럼 보이지 않을까 걱정했는데 걱종할 필요도 옶이 딱 정단한 색감의 연청치마였어요!! 괜히 걱정 한 것 같내용ㅎㅎ 배송도 옴총 빨랐어요 한 2일인가 만에 왔어요!배송 진짜 빨라서 감동했어요ㅠ 옷도 정말 잘 받았고 잘 입을께요!! 진짜 강추드려요!! 너무 A라인이 아니라서 너무 퍼져있주않고 딱 이쁜 A라인 치마에요!! 정말 잘 산 것 같네용!!
1766352800286345**|처음에는 기장이 짧은 줄 알았는데 그것도 아니여서 너무 좋았어요! 약간은 진베이지 느낌도 나요!!
1766352800286345**|흰색 입으려다가 검정으로 구매했는데 검정도 너무 이뻐요! 검정에 연청바지 입으면 진짜 이쁠것 같아서 구매하게 되었어요!♥️
1766352800286345**|진짜 입으게 잘 입고 다녔어요! 색감이 생각보다 찡 하지도 않고 봄이랑 여름 그리고 초가을까지는 무난하게 입을 수 있을 것 같아요! 짱!
cherryn**|보자마자 사야겠다고 다짐한 옷! 받아봤는데 역시나 넘 이뻐요ㅠㅜ 진짜 후회없어용 고민하지 말고 바로 겟또해요
cherryn**|품절됐었다가 소라 색상만 입고 예정이라길래 바로 예약 주문해서 1주일 후에 받았어요! 진짜 예뻐요
kej63**|일단 색깔은 거의 비슷해요  재질은 그 부드러운 일반티가 아니라 뻣뻣한? 그런 재질인거 같아요! 목부분도 괜찮고~
kej63**|노랑색살때 같이 살려고 했는데 재고가 없어서 이번에 샀네요!  아주 좋아요! 무난하고  이번 여름에 잘입을꺼 같아요!
kej63**|허리 아주 좋아요~~~~~~~ 밑위가 좀 저한테는 길어서 조금 이상하긴 하지만 문제될꺼같지는 않아요~~ 엄청 편하게 입을꺼 같네요!
beeeye10**|여전히 예쁘구오 색만 더 다양햇으면 좋갯어요........ 갈색이라던지.... 베이지라던지...ㅠㅠㅠ 힘내주세욤 ㅠㅠㅠㅠ....
kej63**|색깔이 제가 생각한 색은 아니라 아쉬웠지만 핏은 정말 좋아요! 사이즈도 잘맞네요! 자주 입을꺼 같아요 품절안됐으면 다른색도 샀을꺼같아요ㅜㅜ
36237679**|아~ 제가 라벤더 베이지 두개 샀는데 둘다 색상 이쁩니다.특히 라벤더는 화면하고 같은 이쁜 연보라 색상이예요~청치마에 입으니 여성스런 색상이 잘 어울렸어요.가격이 믿기지 않을만큼 소재도 적당히(두껍지도, 얇지도 않은) 괜찮고, 색상, 디자인 다 이쁘네요~
kej63**|너무 이뻐요~~~ 맑은 날에 입고 나가면 정말 좋을꺼 같네요!  색깔도 이쁘고 잘입고 다닐꺼 같아요!
36237679**|색상이나 옷감은 이 가격에?? 라는 생각이 들정도로 이쁩니다. 디자인도 오버핏으로 청바지 청치마에 아주 잘 어울리네요. 색상도 화면상 그대로 이쁜 연보라색이고, 베이지색은 아무데나 잘 어울리는 적당한 베이지색상입니다.팔은 제 팔이 긴편임에도 길어요~ 모델처럼 한단 겉어 입어야 하는데 겉어서 입는것도 이쁩니다. 다만 타이트한 자켓 속에는 불편할꺼예요~ ^^가을까지 이쁘게 입을께요 ^^
kej63**|허리 이런건 맞는데 엉덩이가 커서 그런가 엉덩이쪽에서 입다가 죽는줄알았어욬ㅋㅋ 사이즈는 딱맞았어요! 이쁘네요 !
pyy1**|무난무난하게 입기 좋은 티셔츠에요! 한번 입고 빨았는데 길이감이 줄어서 치마안에 넣어입을 수 밖에 없어졌지만 로고가 심플하게 박혀있어서 괜찮은 아이에요
36237679**|무채색의 봄가을용 자켓이 없어서 고민하다가 샀는데 맘에 들어요. 살짝 긴 기장감에 어깨나 팔은 딱 떨어져서 어디에 걸쳐도 어울려요. 청바지, 운동화에도, 슬렉스 로퍼에도 어울리는 문안한 스타일 입니다. 가격이 싸서 기대하지 않았는데, 옷감이나 마감도 좋아서 후질근해 보이지 않습니다. 다들 가격 듣고는 놀라요~ㅎ
pyy1**|음 생각보다 색상이 탁한 핑크였구요 천은 얇아서 지금같은 날씨에 입기 딱 좋았어요 다만 너무 흐물흐물한 느낌의 후드티여서 발랄함 보다는 편안해보이게 코디하실 수 있으실거같아요
pyy1**|치마에 입으면 너무 청순하고 바지에 입으면 발랄해지는 아이에요 기장은 바지선 좀 아래로 내려오는 기장이구여 엉덩이를 반쯤가린다기 보단 살짝쿵 덮어주는 아이에요.
pyy1**|입자마자 사이즈는 마음에 들었어요ㅎㅎ 하지만 조금 걸어가다보니 허리가 많이 널널해지더라구요! 흘러내릴 정도는 아니에요ㅎㅎ 그리고 제가 엉덩이부분이랑 윗벅지가 좀 있는 편인데 그 부분의 신축성이 좀 떨어져서 아쉽네요..앉았다 일어나는데는 전혀 무리없구요 한쪽무릎을 가슴쪽으로 올릴때 조금 불편한 감이 있는데 격한 활동이 아니시라면 전혀 문제없을듯하네요
36237679**|요즘 박시한 스타일로 많이 입고 있는데 예상대로 박시한 스타일에 초여름까지도 걸칠 수 있는 얇은 소재입니다. ^^저는 팔이 긴편인데도 팔이 좀 길어서 자연스레 접어 입었는데 그것도 괜찮아요. 다만 안감이 좀 이쁘게 접히지는 않지만 신경쓰일 정도는 아닙니다.색상이 이쁘고 소재가 얇아서 봄과 초여름까지 유용하게 입을 수 있겠어요. 가격대비 정말 완전 만족이네요~ㅎ
94137652**|받자마자 바로 입고 나갔어요! 학교를 갔는데 친구들이 보고 다 이쁘다고 해주고 남자친구도 이쁘다고 말해줬어요 짱입니다 진짜♡
cowls17**|조아요 ㅋㅋ 길이두 적절하구 편하게 잘 임구 잇어요벨트는 좀.... ㅋㅋㅋㅋ 안쓸거같아요두께 생각보다 두껍지않아서 지금 날씨에도 괜찮아요 ㅎㅎ
kje82**|이거진짜 존예존예 진짜 질입구이싸ㅓ옹
ddungya**|드로잉T 흰색 구매 했는데 받자마자 냄새가 좀 나더라구요ㅜㅜ 구린 냄새가 아니고 진짜 새건데 시큼한 냄새?..ㅠㅠ 그리고 다른 티셔츠들은 안그랫는데 유독 이 티셔츠는 목이 잘 늘어나는 것 같아요 ㅜㅜ 그 점이 아쉽긴 하지만 어차피 올 해 여름 한철 입고 말거라서 만족하려구요!~
ddungya**|모델분은 날씬하고 후기 올라오신 여러 구매자님들도 날씬해서 이게 저한테 맞을지 안맞을지 좀 걱정되더라구요 그런데도 디자인이 너무 이뻐서 눈 딱 감고 구매 했어요. 배송은 좀 늦어서 지금 입기에는 애매하지만 선선할때 입으면 정말 좋을 것 같구, 사이즈는 잘 맞아요! 대신 목 부분이 답답하더라구요ㅜㅜ 그리고 어깨 트임부분이 좀 넓다고 해야하나? 그래서 속옷 끈도 다 보일 것 같구ㅜㅜㅋㅋㅋ 뭐 검정 브라자 차면 되겠죠ㅎㅎ 암튼 이거 14,000원에 개이득 했습니다.. 망설이시는 분들 얼른 ㅅㅏ세요 더 더워지기 전에 ㅠㅠ
hjswltn04**|색깔이 어둡단 소리를 많이 들었는데 저는 갠적으로 좋았어요 그리고 베이지색 치마랑 입으면 진짜 예쁩니당
hjswltn04**|사진이 실물을 안따라주네요 ㅠㅠ 실제로 입으면 핏 더 이쁘고 색깔도 사진이랑 똑같아요 여리여리해 보일수있습니당
heain3**|실물이 훨 .. 예뻐요 진짜 얇지도 않고 두껍지도 않고 여름이 입기 딱 좋은 거 같아요..! 레터링도 예쁘고 싼 가격에 너무너무 잘 샀어요!! ㄹㄹ
heain3**|남방 하나 사고 싶어서 뭘 살지 고민중에 제눈에 들어와서 구매했는데 너무 마음에 들어요! 색상도 실물이 훨 예쁘고 싼 가격에 잘 산거 같아요 ~~ ㅎㅎ
o0onop**|같이 주문했던 상품이 입고지연 되는 바람에 배송은 다른 때 보다 많이 늦어서 화가났지만 그래도 예쁜옷 보니깐 기분이 좋네요 ㅋㅋㅋ감사합니다
wlgus123**|좀 늦게 왔는데 옷이쁘니까봐쥴개요 어깨뽕이좀있는게 단점이고 딴거 다좋아요 시원한 재질이고 브이넥때문인지 은근 날씬해보이고 어떻게 입냐에따라 정장스럽기도하고 캐쥬얼해보이기도햐요
hmg4**|정장 바지같은데는 잘어울려요 부드럽긴한데 생각보다 색이 짙어요
wlgus123**|무난무난하면사 드로잉이 안심심하게 해주네요 오히려 이런 그림이 더 날씬해보이기더 하네요 테니스치마나 청바지랑 입어도 예뻐요 자주 손이 갈거같아요
jisu00**|이 셔츠 ㅠ 너무 이쁘죵 ㅠ 이거랑 같이 코디 되엇던 반바지도 삿답다~ 완벽하게 이쁘고 디게 여름여름하구 저런 스타일 좋아하는데 마침 고고싱에도 잇어서 바루 주문 햇엇용~><
wlgus123**|넘나리 예쁘네요 보통 뷔스티레 원치스 입으면 임산부같이 부해보이는대 뒤에 리본이 딱잡아줘서 넘나리 예뻐요 면도 얇아서 여름에 입기 딱좋아요 어넓이 한덩치하시는분들도 입으면 좋을거갗어요
jisu00**|보라색 완전 좋아하는데 이 보라 정말 이쁜 보라색이고 이쁘고 가격대비 완존 좋고 ㅎ 흰바지랑 긴바지 산거에 같이 입으면 짱일 것 같아용!
jisu00**|이 원피스는 정말.. 저는 아마 신상 업데이트 되고 그 다음날인가 삿는데 빨리 사길 잘햇네옹 ㅠㅠ 벌싸 품절이라니... 이 원피스는 정말 제가 원히던 스타일 옷이고 여름에 입기에도 좋고 그냥. 좋아요 이쁘고 ㅠ
wlgus123**|린넨인데 조금 두꺼운 린넨이라서 지금 입기는 덥구요 봄에 입으면 좋았을거같아요 연두색상도 너무 예뻐서 딱 봄스타일이네요 블랙샀으면 가을에 입어도 됐을거 같아요 그리고 어깨뽕이 있는편이라서 조금 아쉽네요
jisu00**|바지 처음에 M으로 햇다가 s로바궜는데 바꾸길 잘햇어용~~ 바지가 너무 이쁘고 화면보다는 밝은 색상이긴한ㄷ 그래도 이뻐요 조금 두꺼울수 잇겟지만 그래도 이뻐요!!
jisu00**|바지 s사이즈 살라했는데 품절이어서 M으로 삿는데 조금 크긴 하지만 그래도 종말 이뻐요 불편하지도 않고 입을때도 편하구 제질은 얇아 보여도 비침도 없구 암튼 이번 여름에는 이 바지로 맨날 입어도 문제 없을것같은 바지예용! 다들 꼭 사세용!!! 품절되기전에!!!
wlgus123**|편안하게 입고나가도 예쁘고 청바지나 청치마랑 입어도 예쁘네요 적당히 박시하고 편해서 자주 손이가는 친구에요 뒷프린팅도 너무 예쁘고요 목부붐도 너무늘어나는 소재가 아닌거같아요
js6**|초록색으로 샀는데 색감이 진해서 좋아요 쫀쫀한 편이구요 아이보리색 부분도 색감 이뻐요 길이도 적당하게 맞는 편이에요~
js6**|길이 발목 조금 넘게 닿고요 통도 많이 안좁고 넓지도 않고 적당해서 좋아요 색깔이 약간 청바지색보단 초록빛이 나는 것 같긴한데 별로 티 안나요~
js6**|가디건 아이보리로 샀는데 적당하게 맞아요 키가 158정도 되는데 골반좀 넘는 길이 같아요 색깔도 이뻐요! 보풀도 많이 안일어나서 좋아요
wow41**|검정 반바지가 필요해서 구입했어요너무 짧으면 어쩌나 했는데 아주 짧지도 않고 무난해서 자주 입을거같아요
ewon35**|옷은 정말 예쁜데 제가 골반이 넓어서 되게 부해보여요ㅠㅠ 그리고 고무줄이 허리를 안잡아줘서 아쉬워요ㅠㅠ
js6**|통이 생각보다 넓긴했어요 ㅜ허리 사이즈도 다른 고고싱 바지 s보다도 크더라고여 벨트하면 괜찮긴해요 ㅜ밑위길이도 짧은편이고 통풍도 잘되는 편은 아니에요 ㅠ바지가 무거워요
kite4**|이거슨..좀애매..디자인이 ㅠㅠ 막상입어보니까 엄청여리하고 마른핏아니먄 좀 안예쁠거같아요ㅠㅠ 잘 참고하세요 디자인도 잘 보시구 ... 살집이 좀 있으면 쉽게 부해보일거같네용 ㅠㅠ
kite4**|소매가 조금... 힘들어요 예쁘긴한데 잘묶어야되고 끈이 자꾸 풀러져서 ㅠㅠㅠ 힘들어요 자칫잘못하면 엄청 부해보이니까 참고하세용 되게 하늘하늘하고 밑엔 별로 안 깁니당 소매가 묶기가좀힘들고 잘풀려서 계속 묶어줘야된다는점말고는 맘에들어용
kite4**|이거너무맘에들어요ㅠㅠㅠㅠㅠ 재질도 잘 안늘어나는재질같고 가볍고 시원하고 아아아 맘에들어요 꼭 사길 ㅠㅠㅠ 진짜 추천 얇고가볍고 여름에딱이에요 이런재질로 또 사고싶음. ㅠㅠㅠ 추천합니다
tmzhffk**|진짜 너무이뻐요 제가 승모근도좀 잇고 어깨도 넓고 목이 짧은편이라 홀터넥 부담스럽고 처음 도전해봣는데 트임이 앞어깨만잇어서 승모근을 가려주고요 진짜 어깨라인 진심 너무 이뻐보여요 이거 입고 옷이쁘다고 엄청 소리 많이 들었어요!진심 진짜 사길 너무 잘햇고 다음주에 놀러가는데 이거 또입을거에요!!!
syh08**|검정색 박시한 옷 찾고 있었는데 생각보다 커서 맘에 들어요. 그리고 디자인도 이뻐욧 ㅠㅠ 잘 입고 다닐게요!!
syh08**|색깔도 여리여리하고 화면보다 보라색이 더 보여서 예뻐요! 그리고 얇아서 여름에 입어도 좋을 것 같아여~
saea19**|진짜 여름에 입기 이쁘네요 ㅎㅎ 밑에도 완전 퍼지는 형식이 아니라 더 이쁜거 같아요 다만 목있는데가 좀 허전하다는 느낌이 들어서 목걸이 이런거랑 차면 이쁠거 같습니다
ewon35**|예전부터 테니스 치마를 살까말까 고민하다가 후기가 좋아서 사게 되었는데 역시 후기대로 튼튼하고 핏도 예뻐요 그리고 다른 테니스 치마 정말 짧은데 이거는 길이가 딱 적당해서 좋아요! 허리가 조금 크긴한데 허리부분을 잘 잡아줘서 날씬해보여요 좋아용
ewon35**|색이 너무 예뻐서 사게 되었는데 화면 색과 똑같아요! 그리고 재질도 얇고 시원한 재질인데 튼튼해서 좋아용!테니스 치마랑 입으니까 너무 예뻐서 정말 자주입을거 같아요!!!
gmldiqk**|와정말 맘에드는 상품이었어요~~ 여름가디건사고싶었는데 사진만보고 너무예뻐서 바로 구매했는데 역시 구매하길 잘했어요ㅠㅠ 진짜 고고싱 7년째 이용중인데 매년 예쁜옷 구매하게해주셔서 감사합니다♡ 레드컬러도 구매하러 들어왔는데 품절이네요ㅠㅠ 다음에 꼭..!
erhe**|배송이 조금 걸렸지만 다행이 잘 도착했구요 슬리퍼 신고다니기 좀 그럴때 신으려고 보다가 디자인이 너무 맘에들어 구매하게됐어요 신발 디자인이 너무 귀여우며 사이즈는 잘 맞고 블랙색상으로할까 고민하다가 샀는데 베이지색상도 너무 잘어울리는거같아요 놀러갈때나 데일리로 자주 신을거같아요 이쁘게잘신을게요 감사합니다~♡
o6o**|진짜이뻐요ㅠㅠ 맨날 치마주문시키면 핏어쩡쩡해서 실패하구 인터넷으로안시켜야지했는데 역시고고싱!! 짱이뿝니다.. 저는 딱 보통 평균체형이구용 !!진짜추천해요ㅠㅠㅠㅠㅠㅠ오랜만에ㅜ득템했습당
hyejeong77**|생애 첫 롱스커트 구매에요!여리여리하게 흩날리는 모델컷이 넘 이뻐서 샀는데실제로도 똑같이 가볍게 살랑살랑움직이는게 너무 맘에든답니다.두번째 사진은 겉 스커트 비치는정도구요세번째는 속안감 비침정도랑 재질 참고하시라고 올렸어요! 안감있어서 더우면 어쩔까 걱정했는데 생각보다 얇아서 여름에도 입을 수 있을것같아요무난하게 블랙샀는데 4계절내내 무난하게 입을 수 있을것같구요~ 생각보다 퀄리티 너무 좋아서 흰색이나 소라색으로 재구매할 예정입니다!ㅎㅎ 많이파세용~~
my97778**|엄..제가키가큰편이아닌데쫌 짧다고느껴졋어요요새배나와서그런가ㅋㅋ근데색은이쁘고 고무줄이라 늘어나서 오래잘입을거같습니다
my97778**|지금바로입어야될얇음입니다시스루라서이쁘구요좀할머니같을까햇는데마니이쁩니다하나정도는 사서입고다니면좋을거같아용ㅎ
my97778**|"진짜 가슴크신분들은 사실때주의하세요ㅠㅠ고무줄이라그래서늘어날거같아서 삿는데 (가슴치수는 확인안하고ㅠ)다른곳은다맞는데가슴이 ""나여기있소""하듯이 너무가슴부분이 조이고 작습니다ㅠ가슴크신분들한번쯤은꼭고민해보세요색은이뻐요ㅠㅠ"
say01**|반팔티 4장을샀는데 재입고때문에 늦어서 2주넘어서받은것도있음ㅠ근데 진짜 싸게사서 좋아요 괜차늠 다른데에서는 이 티한장에 6900원 이렇게팔더라구여 그거생각하면 개꿀임 이것도 입을꺼없을때 입기좋아욤
say01**|블루색인가샀는데 생각보다 색이 독특해서 당황스러웠습니담 그런데 보다보니입을만하네요 그냥입을거엊ㅅ늘때 가볍게걸치기좋음 진짜 걍 기본티예욤
vkeh05**|생각보다 노란끼 있는 아이보리인거엍아요조금 아쉽긴하지만 그래도 이쁩니다많이사세염~~~~~
vkeh05**|예쁩니당 맘에들오용사이즈도 괜찮구요! 고민하시는 분들은 고민 말구 꼭 사세요 추천!!!!
sr9612**|배송이 빨라서 좋았어요 티는 저한테는 안어울려서..ㅠㅠㅠ 아쉽네요 그래도 배송은 좋았습니당~
sr9612**|보통이에요 ㅠㅠ 허리라임이 조금만 슬림했으면 좋겠어요. 그냥 무난하게 입기 좋은 것 같아요!!
62409860**|저 후기 진짜 잘 안쓰는데 이거 너무 예뻐요ㅠㅠ완전 여리여리해요 꼭사세여!!친구들도 다 예쁘대요ㅎㅎㅎ
chldms**|치마는 진짜 이쁜데 프리사이즈인데 골반이 걸려서 안올라가서 못 입을거 같아요 이건 진짜 마른사람만 입을 수 있는거 같네요
chldms**|이거는 보자마자 이뻐서 바로 샀는데 진짜 이뻐요 하늘하늘거리고 언발이라 더 이쁜 거 같아요
chldms**|이거 진짜 너무 이뻐요 키가 큰편이라 걱정했는데 무릎아래로 내려와서 너무 좋아요 근데 목부분에 있는 끈이 조금 아쉬워요
chldms**|쓰던 벨트가 망가져서 산건데 가격대비 이쁜 거 같아요 흰색이라 깔끔하고 바지나 치마 어디든 잘어울려요
chldms**|핑크색 진짜 좋아하는데 이 옷은 연한핑크라 너무 마음에 들어요 치마나 바지 아무거나하고 잘어울려서 좋은 거 같아요
chldms**|보통 m사이즈 입는데 고고싱치마는 거의s가 맞아서 s샀더니 허리가 조금 남네요 그래도 벨트가 있어서 진짜 이뻐요
jsy923**|밴딩처리 되있어서 편하구요~ 깔끔해요! 처음 입어봤을땐 별론가? 싶었는데 ㅋㅋㅋ 마음에 드네요~
chldms**|원래 바지가 불편해서 잘 안입는데 후기보고 샀는데 진짜 편하고 이뻐요 아무옷에나 입어도 어울리고 데일리로 잘 입을거 같아요
jsy923**|음... 저랑은 별로 안어울리는거같아요...ㅠㅠ 저렴해서 걍 반품안하구 입긴할껀데 음.... 그렇네요
chldms**|이거랑 비슷한 가디건이 있어서 살까말까 엄청 고민하다 산건데 비슷한 가디건보다 더 이쁜 거 같아서 엄청 만족해요 팔부분이 좀 길지만 접어입으면 되니까 상관없어요
chldms**|화면에서 보는 것처럼 진짜 이쁘고 데일리로 입을 수 있을 거 같아요 근데 지금은 좀 더워서 봄가을에 입으면 진짜 이쁠거 같아요
dbtls20**|조금 파였지먼 너무 이뻐용.. ❂‿❂  맘에 쏘오옥 듭니다 역시 믿고 사는 최애 쇼핑몰 고고싱 .. ❤️
dbtls20**|사진 그대로에용 ㅎ 근데 좀 작게 나온 거 같아요 163인데 적당합니다 길이!!!! 역시 믿고 사는 고고싱 ㅜㅜ
dbtls20**|짧은 걸 부단스러워하는 저에게 딱 .. (｡♥‿♥｡)  안성 맞춤이었어요!!!! + 여유도 있고 적당히 길어서 이쁘고 ~~~
