150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
qbxl06**|이거 진짜 예뻐요ㅠㅠㅠ 이거 입고 데이트한 날 남자친구가 진짜 예쁘다고 해줬어요!!! 구김이 잘 가서 한번 입을 때마다 다리미질을 해야하긴 하지만 그 귀찮음 덮을 만큼 예뻐욬ㅋㅋ 재질도 얇고 헤지는 그런 거 아니고 꽤 좋고 허리끈 묶으면 진짜 예뻐용 다른 색도 품절 아니었으면 샀을 거예요ㅠㅠ 고민하는 분들 걱정말고 질러요~~~~~ 159에 무릎정도 왔어용!!
wkddkfma74**|다른 분들 후기대로 예상은 했지만 처음에 구김이 너무 심해서 그냥 바로 입지는 못했어요.. 꼭 다려서 입으시길 추천하구요. 생각했던 것보다 훨씬 흐물흐물한 느낌이라서 잘 다리셔야 자켓 느낌이 나요. 길이는 엉덩이 덮는 정도로 적당했고 소재도 흐물흐물한 만큼 시원해서 한여름이 아닌 이상 초여름까지는 입고 다닐 수 있을 것 같아요. 색상도 맘에 들고 가격 대비 만족합니다.
girl23**|이뻐요ㅎㅎㅎㅎㅎ근데 엄청얇아서 잘못힘주면 찢어질것같은느낌...?그래서 조심조심 입어야할것같아요ㅋㅋㅋ얇아서 그런지 정전기도 잘나서 팔에 달라붙는게 좀 있지만 여름에는습해서 괜찮을것같네용
wkddkfma74**|일단 색상은 정말 잘 빠졌고 왜 인기 있는지 알겠더라구요. 보이핏으로 넉넉하게 입고 싶어서 L 사이즈 주문했는데 키가 많이 작은 저에게도 그렇게 길지 않아서 한번 가볍게 롤업해주면 딱 좋았어요! 하이웨스트이지만 많이 부담스럽지 않은 정도로 올라오고 신축성이 좋은 편은 아니지만 사이즈가 넉넉해서 편하게 입을 수 있어요!! 진짜 강추템입니당~
wkddkfma74**|벨트를 고를 때 얼마나 탄탄한지 구멍 갯수가 적당히 많이 있는지를 중요하게 보는데요. 굉장히 튼튼한 소재였고 구멍도 충분히 많이 있어서 만족해요~
wkddkfma74**|키가 많이 작은 편이라서 길이를 중요하게 보는데 키작녀인 저에게는 엉덩이 반 정도로 적당한 길이였어요. 소재도 탄탄한 느낌보다는 약간의 흐물한 느낌이 있었고 흰색이라서 비침도 있어서 안에 나시티는 입어줘야 해요! 저렴한 가격 대비 많이 만족했습니당:)
girl23**|사이즈에 왜 25-26인치가 적혀있는지알았어요....그 이상이면 팬티까지 다보일것같아요ㅋㅋㅋㅋㅋㅋㅋ전 27정도되는데 살을 좀 빼고입어야겠어요..ㅎㅎㅎ근데 진짜 치마는 이뻐요!!
girl23**|정사이즈 샀는데 하나크게살걸그랬어요ㅠㅠㅠㅠ여름에 발에 땀날텐데 딱맞아서 좀 답답할수도있을것같아서..그래도 딱 잘맞아서 괜찮아요ㅋㅋㅋㅋㅋㅋ청바지에도잘어울리고 모든옷에 이쁘게 신고다닐수있을것같네용
girl23**|이뻐요!!!!키가160이라서 발목에서 반뼘정도 보이는것같아요ㅎㅎㅎㅎ안에속치마도 적당히길어서 이쁘고 여름에 시원하게 잘입고 다닐것같아용다른 롱치마보다 이게 진짜이쁩니당!!!!
sloved11**|그냥 기본 블랙스키니에요ㅎ  허리가 커서 뒤에가뜨네요ㅠㅠ 요바지도 벨트하고입어야 할거같아요ㅜㅜ그거빼곤 무난해요!
sloved11**|레드색상.화이트색상구입햇어요ㅎ 레드 너무이쁩니다ㅠㅠ화이트는 뭔가..음...세탁한번하니 목이 훅늘어나서...아쉽습니다ㅠ
sloved11**|깔끔하고 좋아용ㅎ 박시하지않아서좋앗습니다.아쉬운점은...세탁기한번돌리고나니 목이 늘어나서...잘때나입어야할거같아요..ㅠ
kkoo**|접착력 좋고 편해요 오프숄더 입을때 안에 입으면 좋을 것 같아요 생각보다 편하고 괜찮습니다!!
sloved11**|화이트색상 구입햇구요 좋습니다ㅎ 깔끔하고 이뻐요:)제주도가려고 구매한건데 빠른배송감사해용!
kkoo**|재질도 괜찮고 핏도 이뻐요 냄새가 좀 안 좋긴한데 빨아서 입으니까 별 문제 없었습니다 싸게 잘 구매했어요
sloved11**|s사이즈 구매햇구용 기장 너무좋아요 딱원하던 기장이였습니다ㅎ아쉬운점은 허리가커요ㅠㅠ 그래도 벨트하면되니! 암튼 너무이쁘고좋아용ㅎ
kjh33**|짱이뻐요ㅠㅠㅠ기대안하고 시켰는데 입기 딱 좋은 날씨인거 같아요살집 있는편이라 안맞을줄 알았는데 맞아서 좋아요ㅠㅠㅠ 짱짱 고고싱
