hhhh7**|ㅇㅀ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)ㄹ
ok04**|브라운후기- 키, 몸무게160-43-착용사이즈브라운-착용후느낌은?(좋은점/나쁜점)생각보다 그리얇지도않고 가격대비 괜찬은거같아요짜임도 깔끔하게 되어있고첨입어서 좀어색한데 몸에 길들여지면이쁘게잘입을수잇을거같애요고민하시는분들 걍 사세여 ~
ok04**|포토후기3등- 키, 몸무게160-43-착용사이즈와인,블랙-착용후느낌은?(좋은점/나쁜점)생각보다 기장이 긴편이아니라서이쁘게 입을수있을거같애요 바지랑입으면 귀여울듯귀찮아서 코디는못하고 후기글때문에 바로입음ㅋㅋㅋ좀얇아서 추울거같아서 안에 뭐입어야될거같아요~가격대비괜찮은거같애요 두개샀으니까 적립금 두번주나요
choisr98**|블랙 예뻐요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)냄새 많이 난다고 해서 걱정했는데 생각보다 냄새 많이 안났구요2단으로 분리되어 있어서 생각보다 수납하기도 편해요가방도 별로 무겁지 않아서 괜찮고 크기도 적당해요클러치 처음 사봤는데 예쁘고 좋아요까만색이라 아무 옷에나 잘 어울려요싼 가격에 잘 샀어요. 잘 쓸게요
choisr98**|청록 예뻐요- 키, 몸무게156/45-착용사이즈26-착용후느낌은?(좋은점/나쁜점)평소 사이즈대로 샀는데 살짝 넉넉해요.청록색 후기가 없어서 좀 걱정했는데 생각보다 색이 짙어서아무 옷에나 잘 어울려요. 예뻐요.
qqaz**|마음에 들어요- 키, 몸무게 : 동생선물용- 170/??-착용사이즈 : M-착용후느낌은?(좋은점/나쁜점) : 가격에 비해 굉장히 좋아요!! 동생이 갖고싶다고해서 대신 주문해서 선물했는데 좋아하며 잘 입고다닙니다!! 하늘색이라서 어디에든 코디가능해서 굿굿!
dlaekdo11**|괜찮아요!- 키, 몸무게 : 154/46-착용사이즈 : F-착용후느낌은?(좋은점/나쁜점) : 괜찮아요 좋아요!! 그냥 장식하기에 좋은거 같아요~!!
dltcm11**|헨리넥- 키, 몸무게157-착용사이즈-착용후느낌은?(좋은점/나쁜점)그레이로 샀는데 일단 색도 이쁜것같아요목 부분도 전혀 불편하지 않고 쫀쫀하고 따뜻해요입을때하고 벗을때는 조금 힘들긴 하지만 ㅎㅎ;; 그래도 입고 나면이쁘고 편하고 좋네요 ㅎㅎ
dltcm11**|라붐- 키, 몸무게157-착용사이즈-착용후느낌은?(좋은점/나쁜점)레깅스가 쫀쫀하니 괜찮은것 같아요 ㅎㅎ다리길이가 조금 길어서 다리만 위로 조금씩 올려야되는데올려도 티가 많이 안나서 그건 별로 상관없는것같아요편하게 데일리로 입을수 있어요 좋은것같아요
dlaekdo11**|카키색상 솔직후기- 키, 몸무게 : 154 / 46-착용사이즈 : S-착용후느낌은?(좋은점/나쁜점) 솔직히 모델핏 생각안하고 주문했습니다.. 제 몸과 모델몸은 다르니까요ㅠ 제가 엉덩이가 너무 큰건가요.. 뒤에 밑에 부분이 무슨 부리처럼 튀어나와요ㅠ 길이도 제가 작아서 그런지 너무 어정쩡하고.. 치마에는 뭐가 흘렀는지.. 저걸 환불해야되는지.. 빨면 없어지긴 할런지.. 무튼 이번껀 좀.. 불만족 스럽네요 뭐 워낙 기대안하고 샀긴했지만ㅎㅎ 무튼 치마 중간까지는 딱 달라붙는데 밑에 부분은 너무 헐렁하네여..
dltcm11**|기모레깅스- 키, 몸무게157-착용사이즈-착용후느낌은?(좋은점/나쁜점)치마 길이도 생각보다 짧지도 않고 전체적으로 길어서 마음에 드네요같이 산 후드티랑 입었는데도 잘어울리고 데일리로 편하게 입기에 좋은것같아요재질도 나쁘지 않은것 같고 가격도 저렴한데 이정도면 진짜 괜찮은것 같아요 ㅎㅎ
dlaekdo11**|포토후기 1등@ 그레이&블랙- 키, 몸무게 : 154 / 46-착용사이즈 : 26-착용후느낌은?(좋은점/나쁜점) 완전 쫀쫀하고 좋아요!!! 길이도 적당하고 블랙이랑 그레이 주문했는데 둘다 좋아용~ 나중에 무릎늘어나서 못입을때 되면 하나더 사야징...ㅋㅋㅋ 두께감이 조금 없어서 한겨울엔.. 못입을꺼 같고 요새 많이 입어야겠네영!!
amoap**|후기- 키, 몸무게156 50-착용사이즈-착용후느낌은?(좋은점/나쁜점)일단 봄여름용이 아니라서 그런지 입었을때 낙낙한 감이 잇었구여양기모스커트라 입었을 때 포근? 따뜻?한 건 있었는데 많이 추울 때는 안에 뭘 신어도절대 절대 못입고 나갈듯 ㅎ=ㅠ그래도 편하게 입을 수 있는 거라 와인색도 다음에 재구매 의사 있어요허리가 몸에 비해 얇으신 분들은 제 키 몸무게에 s 주문해도 될것 같습니다
dlaekdo11**|블랙컬러-SOSO- 키, 몸무게 : 154 / 47-착용사이즈 : F-착용후느낌은?(좋은점/나쁜점) : 쫀쫀하니 좋네요 물론 뭐든지 처음사면 그렇겠지만.. 입어봐야 알것같아요.. 제 다리가 짧은것도 있지만 걷어 올리면 치마가 볼록하게 튀어나오구요 길이도 어정쩡하네요.. 긴것도 짧은것도 아닌 무튼.. 그냥 입습니다. 제가 손으로 짚은 곳이 치마기장입니다.
sjh270**|g,ma- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)떡대가 너무 있어보여요....근데 그래도 입으려구용ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
dltcm11**|네이비- 키, 몸무게157-착용사이즈-착용후느낌은?(좋은점/나쁜점)네이비 샀는데 색도 이쁘고 팔목부분도 완전 쫀쫀하다고 해야되나 ㅎㅎ모자 끈이 조금 길긴 한데 이거는 잘 묶으면 그냥 거슬리거나 하는건 없는것 같구요 ㅎㅎ레깅스에 입어도 괜찮고 그냥 바지랑 입어도 괜찮아요 데일리 용으로 하나 가지고 있으면좋은거 같아요 ㅎㅎ 품도 66사이즈 정도되면 넉넉하게 입을수 있을것같아요
amoap**|후기- 키, 몸무게156 50-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)후 일단 마르신 분 아니면 착용하기 힘들것 같아요제가 하체에 비해서 상체가 마른 편이라 44 55 사이즈임에도 불구하고 구매를 했었는데많이 타이트합니다 ㅜ 그리고 한겨울에 이너로 입기엔 조금 얇구요그리고 총 기장도 다른 니트보다 짧은 편이지 상세 사이즈 확인 꼭 하시고 구매하세요 ㅎ그래도 싸고 따뜻해서 입고 다니려고요~
sjh270**|ㅠㅠㅠㅠㅠㅠㅠㅠ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)가오리인줄 모르고 샀는데 가오리여서 당황.. 그리고 제가 목이 좀 두꺼운 편이라 불편해요 목이 좀 조이더라구요ㅠㅠ근데 옷자체는 따뜻한것같아요 겉에 뭘 못입겠어요 가오리가 너무 심해서ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
sjh270**|검정후기- 키, 몸무게-착용사이즈 29-착용후느낌은?(좋은점/나쁜점)바지 쫀쫀하고 좋아요 바지는 사이즈 때문에 인터넷에서 안사는데 처음 구매한것치고 진짜 잘 산것같아요 사이즈도 밑에 후기들처럼 한사이즈 크게 사니까 정말 딱이에요 가격도 좋고 다음엔 다른 색으로 하나 더 구매하려구용><
amoap**|후기- 156 50-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)진짜 이거 가격 대비 굳 ㅠㅠ싸구려 느낌 전혀 안 나고 예뻐요팔이랑 목 부분도 짱짱하고 마감 처리도 잘된듯다음에 고고싱에서 주문할 때 색깔별로 다 사놓으려고요다른 니트도 같이 샀는데 진짜 이거만한 게 없음 ㅎㅎ
zzzsi**|레드- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)디자인도 이쁘고 색도 나름 겐찬은거같고두께감도 좀 잇는거같아서 겐찬은거같아요이쁘게입겟숨당
zzzsi**|포그닝 베이지- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)입을때 안에 나시나 뭐 입어야댈꺼같아요안에 살짝비치네요길이도 엉덩이 사~~알짝 가리고박시한듯아닌듯하네욬ㅋㅋㅋ잘입을게용
pnal**|후기- 키, 몸무게160/53-착용사이즈-착용후느낌은?(좋은점/나쁜점)옷은 정말 예쁘고 편하고 따뜻해요그대신에 살이 좀 있는 편이라서 그런지좀 끼긴하지만이점은 보완되는거 같구요상의가 좀 큰거같지만 활동하기 편할거같아요~^^예쁘게 잘입겠습니다^^
ekehfdl**|유리아니트 후기:-)- 키, 몸무게 163-착용사이즈-착용후느낌은?(좋은점/나쁜점)이너로 딱이에요면이 맨들맨들하고 찰랑거리는재질입니당끝이 절개라도 되잇었으면 좋았을텐데짧은옷이 절개가안되어 있어서 옆태가 좀 어색해요
pnal**|크림셔츠후기- 키, 몸무게-착용사이즈m-착용후느낌은?(좋은점/나쁜점)가격도 이쁜데 옷도 이쁘네요~불편한점 하나도 없어요옷 정말 편해요!스판재질있어서 늘어나고 좋아요!잘입겠습니다^^
jkpk1**|후기- 키, 몸무게161-착용사이즈M-착용후느낌은?(좋은점/나쁜점)와인색샀는데 이뻐요 화면그대로고 진짜 와인색이예요 빨강이면 어쩌나 했는데ㅋㅋ 이가격에 이거면 만족입니다! 속바지도 같이 있어서 좋고요~
jkpk1**|후기- 키, 몸무게161-착용사이즈230-착용후느낌은?(좋은점/나쁜점)흰색샀는데 깔끔하고 이쁘고 그냥 사진그대로예요~ 사이즈도 정사이즈같고 이뻐용싸게 잘산것같아요^^
jkpk1**|후기- 키, 몸무게161-착용사이즈흰색-착용후느낌은?(좋은점/나쁜점)8800원치고 진짜 좋아요~ 색깔별로 다 사고싶어요 ㅋㅋㅋㅋ 두께는 딱히 두껍지않아요 흰색입었을때 나시 안입고 입으면속옷이 비칠정도? 가격치고 괜찮아요~
jkpk1**|솔직한 후기- 키, 몸무게 161 / 50대-착용사이즈28-착용후느낌은?(좋은점/나쁜점)핏은 이쁘고 사이즈도 잘 맞는데 색깔이 화면보다 좀더 어둡고 기모안감이라고 했는데 너무 얇아요ㅋㅋㅋ 기모아닌거하고 차이가 별로 없는.. 솔직히 좀 실망했어요~
kjr050**|음..- 키, 몸무게160-착용사이즈25-착용후느낌은?(좋은점/나쁜점)어..이게 보통 다른 바지들보다 작은거같은데..평소에 사는거랑 똑같이 25살까 아니면 기모니깐 26을 살까 고민하다가스판4%라고 해서 25를 샀는데 너무 끼여서 입기 너무 힘들어요ㅠㅠㅠㅠㅠㅠㅠ오빠가 생일이라고 사줬는데..입으면 괜찮긴한데 앉거나 하면 너무 힘드네요..그래도 입다보면 늘어나겠져?ㅠㅠㅠㅠㅠㅠㅠㅠㅠ느낌이 보들보들하니 좋긴한데다른분들은 한사이즈 크게 사시는게 좋을거 같아요!!
kjr050**|완전 이쁨..♡- 키, 몸무게160-착용사이즈-착용후느낌은?(좋은점/나쁜점)와 이건 진짜 대박임!!ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ이가격에 이정도로 이쁘면 어떡하뮤ㅠㅠㅠㅠㅠㅠㅠㅠ진짜 너무 잘산거같아요..블랙 있으면 사려했는데 없고 챠콜있길래 샀는데 진짜 너무이뻐요두께도 얇지않고 적당하니 너무 이쁜거같아요!!아무 바지랑 치마가 어울려서 이번 겨울에 많이 찾을거같아욯ㅎㅎ다른 니트 산거는 좀 다른게 와서 실망했는데 이 옷받고 다 풀린거 같아요~~다음에 회색도 살까 생각중입니당
kjr050**|이뻐욯ㅎㅎ- 키, 몸무게160-착용사이즈-착용후느낌은?(좋은점/나쁜점)사진보고 너무 이뻐서 샀는데 완전 이뻐요!!같이온 니트랑 입었는데 잘 어울리고요아쉬운점은 앞에 주름이 잘 안잡혀있네요ㅠㅠㅠㅠ그래도 허리가 지퍼랑 고무랑 같이 돼있어서 입으면 편했고, 길이도 적당하니많이 짧지도 않고 좋네욯ㅎㅎㅎ친구도 보고 이쁘다고 잘샀다고 해줬어요!!ㅎㅎㅎ고고싱 많이 이용하는데 후기를 잘 안썻는데 이번껀 진짜 이뻐서 다른사람들도 잘 샀으면 하네요~~
ysi88**|너무 맘에 들어요- 키, 몸무게 163/53-착용사이즈 L-착용후느낌은?(좋은점/나쁜점) 좋은점: 촉감도 좋고 사진이랑 실제로 받았을 때 너무 똑같아서 놀랬어요아이보리색으로 샀는데 색이 너무 이뻐요!! 잘 입을게요!!나쁜점: 딱히 없어요 아이보리색이라 때가 잘 탈거 같아요조심히 입을게요~~
guswls7**|아이보리 후기- 키, 몸무게-착용사이즈 162/47-착용후느낌은?(좋은점/나쁜점)사진만 봤을 때 얇은 편이라고 생각했는데 실제로 보니까생각보다 두껍고 튼튼하더라구요 목부분은 많이 튼튼하진 않은데괜찮아요~! 색도 이쁘고 길이는 엉덩이 약간 덮을 정도에요소재도 까칠한 게 아니여서 입기 편해요 많이 입을 것 같아요!많이 파세요~
guswls7**|차콜 후기- 키, 몸무게 162/47-착용사이즈-착용후느낌은?(좋은점/나쁜점)차콜색을 샀는데요 무난하고 괜찮아요!팔도 길어서 좋고 안에 입으면 따뜻해요잘 늘어날 것 같지도 않고 오래입을 수 있을 것 같아요~한 번 입고 나갔었는데 옷이 크지 않아서 더 따뜻했던 것 같아요많이 파세요~
diamo**|스커트- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)먼가 허리를 꽉 조여주는 그런 쪼임이 있을줄 알았는데 전혀 없어요.44~55반 이라고 쓰여있는데 66분들 입으셔도 편하게 입으실거 같아요.소재가 지금 입어도 따뜻할거같아서 좋구요, 단순 블랙이 아니라 세로 스트라이프가 있어서포인트가 되네요. 워커나 무스탕이랑 입어도 예쁠거 같아요.
diamo**|))- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)화이트 색상이라 쨍할거라고 생각했었는데 누란빛?? 좀 아이보리 색상이었구요.잘줄무늬는 예뻣어요. 기모안감이라서 겉은 딱딱해보이는 소재인데 안은 부들부들했구요다만 목 부분이 너무 많이 파여서 뭘 안입으면 조금만 숙여도 다 보이더라구요.그래도 날씨 추울때 입으니까 겹겹히 입어도 상관없는것 같아요.전체적으로 옷은 에쁩니다.
diamo**|블랙- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)너무 크지도 딱 맞지도 않게 넉넉해서 편안해요.블랙을 좋아해서 블랙 색상이면서도 너무 간단하거나 화려하지 않는 맨투맨을 원했는데정말 딱이구요. 길이도 요즘엔 크롭이 많아서 살꽭떪 항상 확인하고 있는데길이감도 맘에 들어요. 패딩이나 집업안에 입으면 굉장히 편하더라구요.
mstuno**|니트 짱♡- 키 160, 몸무게 54-착용사이즈-착용후느낌은?(좋은점/나쁜점)니트 정말 예뻐요!!!가격이 저렴해서 얇겠거니 했는데 생각보다 두껍고 색상도 너무 예뻐요♡레드랑 챠콜 주문했는데 색별로 다사고싶네요ㅎㅎ
tngkr71**|스판짱ㅋㅋ- 키, 몸무게 161-착용사이즈 27-착용후느낌은?(좋은점/나쁜점)스판은진짜 좋네요ㅋㅋ제가 사이즈를 작게삿나봐요ㅠ살쪄서 이젠 28을 사야겟어요ㅋㅋㅋ 흑청 사고싶엇는데잘산것같고 길이는 딱맞네요 접고싶었는데 그럴순 없을것같아요색깔이랑은 다 좋고 늘려입어야겟어요ㅋㅋ
jung9409**|카키색- 키, 몸무게 155-착용사이즈-착용후느낌은?(좋은점/나쁜점)좀 길긴 하지만 생각보다 되게 예뻐요!!! 잘 입을게요 ㅎㅎ
jung9409**|좀 길어요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)키가 작아서 그런지 생각보다 좀 긴것같아요 ㅠㅠㅠ세탁소 가서 길이 수선좀 하고 입으면 예쁠것 같아요 ㅎㅎ
mstuno**|스키니 짱♡- 키 160, 몸무게 54-착용사이즈 M-착용후느낌은?(좋은점/나쁜점)스키니 대박!!!너무 편하고 예뻐요!!♡♡발목까지 잡아주는 스키니 찾고있었는데 딱이예요!!색감도 너무 예쁘고 실제로 안보고 인터넷상에서 구매하면 어딘가 하나쯤은 맘에 안드는게 있는데 이건 정말 천도 별로 얇지도 않고 바느질도 튼튼한거 같아요!!!너무너무 맘에 들어요!!!재구매의사200%♡♡
jung9409**|예뻐요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)음 이너로 입을려고 샀는데 팔 부분이 좀 짧은것 같아요~그래도 예뻐요 잘 입을게요 ㅎㅎ
jung9409**|예뻐요- 키, 몸무게-착용사이즈 235-착용후느낌은?(좋은점/나쁜점)챠콜 235샀는데 생각보다 되게 예뻐요~~30,35신는데 35샀어요조금 큰데 끈 꽉묶어서 신으면 괜찮을것 같아요!!
guswn95**|톰꽈배기 니트- 키, 몸무게: 155cm.?-착용사이즈:프리-착용후느낌은?(좋은점/나쁜점)이미지보다 좀더 베이직한 색상에 브라운 컬러예요.붉을끼가 석여있었음 좋았을텐데. 기장이 의외로 좀 어중간 하네요.
tndlsl1**|괜찮아요- 키, 몸무게156, 47-착용사이즈m-착용후느낌은?(좋은점/나쁜점)s 는 작아서 m 으로 바꿨는데 이번엔 딱붙지가 않아요.. 반품하고싶지만배송비아까워그냥입을려구요ㅜ
tndlsl1**|좋아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)옷이 너무 부들부들하고 좋아요!!
tndlsl1**|좋아요11- 키, 몸무게156 47-착용사이즈그레이 s-착용후느낌은?(좋은점/나쁜점)처음에 냄새가 심해서 좀 그랬는데 입어보니 예쁘고 좋은거 같아요옷에비해가격이너무싼거같아요
tndlsl1**|좋아요- 키, 몸무게156 47-착용사이즈-착용후느낌은?(좋은점/나쁜점)좋은거같아요!! 단단하고 치마모양도 예뻐요!!
pek01**|그레이 S 좋아요굳굳- 키, 몸무게162 48-착용사이즈s-착용후느낌은?(좋은점/나쁜점)사진이랑 똑같아요 ㅎㅎ 핏이 제일이쁘고 생각햇던거랑 똑같아서 정말좋았어요 ㅎㅎ왠만큼 바람부는 겨울에는 좀 추울거같지만 요즘날씨엔 입기 딱좋은거같아요만족해요 ㅎㅎㅎㅎ
xodn**|잘 받았습니다- 키, 몸무게160 / 48-착용사이즈F-착용후느낌은?(좋은점/나쁜점)우선 배송이 너무 느렸어요..ㅠ브라운 색깔 너무 이쁘구요 생긴것도 사진이랑 똑같은데길이감이 좀 길어서 저한테는 좀 커보이고 부해보이네요..이쁘긴 합니다
cogml11**|스탠다드니트 후기- 키, 몸무게160cm 42kg-착용사이즈free-착용후느낌은?(좋은점/나쁜점)딱 배송 왔을때 사진ㅊ니럼 하얗지 않구 누리끼리해서 좀 놀랬어요ㅋ큐ㅜ기장도 살짝 짧은감이 없지않아 있지만 이뻐용
sg38**|이뻐요~~!- 키, 몸무게170,55-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점)이쁘구 목은 저는 별로 안쪼이는거같구 근대 재질이 보풀이 많이 생길 니트재질이에욤ㅎㅎ구치만 이번겨율 잘 애용할꺼같습니다 이쁘게 잘입을께요!
qkrwjddms19**|베이지 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)164/46상품평보고 클거 예상하고 샀는데 크게 이쁘게맞아요!!!상품평대로 부직포같은감은 있네요!~
ehska17**|블랙후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)저는 블랙으로 구매했는데요코디하기 편해서 너무 좋아쑈쑈진짜 재질도 부드럽고 따뜻해요!!겨울에 많이 ㄲㅓ내 입을듯ㅋㅋㅋㅋㅋ잘 입고 다닐께요ㅎㅎㅎㅎㅎㅎ
ehska17**|블랙 28- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)원래 27입는 편인데기모라서 28로 주문햇ㅅ는데잘한거같아쑈쑈쑈쑈생각보다 약간 얇은 느낌도 잇지만그래도 이뻐요!!!!!!!잘 입고 다닐께요`~~~~~~
jen70**|예뻐여- 키, 몸무게155,42-착용사이즈free-착용후느낌은?(좋은점/나쁜점)가격도 싸고 옷도 괜찬고 너무 좋아여가격이 싸서 옷 질이 않좋을 줄 알았는데 괜찬고,저는 검은 색샀는데 어디에나 입어도 무난하고 잘산거같아여~~따뜻하고 지금입기 딱 좋은 옷인거같아요~~~^^너무 맘에 듭니다 >_<
ehska17**|블랙후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 너무 얇아서 조금 아쉽긴 하지만그런거 빼고는 길이나 디자인에서는 만족해요!!날씨 좀 따뜻할때는 원피스 위에 맨투맨 하나 입어주면 좋을듯ㅎㅎㅎ색깔도 무난해서 코디하고 정말 쉬워요~~~~~~앞으로도 많이 이용할께쑈쑈쑈
smilegirl2**|만족- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점) 엉덩이까지 딱 가려져서 좋구요~ 가오리 핏도 맘에 들어요~
dc11**|아이보리 27- 키, 몸무게157/47-착용사이즈27-착용후느낌은?(좋은점/나쁜점)생각했던 재질이아니네요! 그래도 색은 원하던색이예요신축성있어서 짱짱하게 잘 늘어나요!!근데 살을 더 빼고 입어야 할것같아용ㅎ..밑위가 짧아서 그런지 허리부분이 골반바로 위에 걸쳐져서바지가 좀 작게나온것같은 느낌드네요!한치수 크게주문하는게 좋을것같다는 후기보고27구매했는데 잘했단 생각 듭니당 ㅎㅎㅎ
dc11**|아이보리 27- 키, 몸무게157/47-착용사이즈27-착용후느낌은?(좋은점/나쁜점)생각했던 재질이아니네요! 그래도 색은 원하던색이예요신축성있어서 짱짱하게 잘 늘어나요!!근데 살을 더 빼고 입어야 할것같아용ㅎ..밑위가 짧아서 그런지 허리부분이 골반바로 위에 걸쳐져서바지가 좀 작게나온것같은 느낌드네요!한치수 크게주문하는게 좋을것같다는 후기보고27구매했는데 잘했단 생각 듭니당 ㅎㅎㅎ
dc11**|포토후기2등!- 키, 몸무게157/47-착용사이즈S (그레이?)-착용후느낌은?(좋은점/나쁜점)지퍼가 너무잘안올라갑니다..올라가긴하는데 올리는건 1분걸리고내리는덴 3분이상 걸려요.. 이거 입고있다가 신호오면 입은채로 지릴정도네요하하흐흐ㅜㅎ 옷자체는 엄청예뻐요 완전예뻐요지퍼만 아니면 짱짱인데딱 걸리는 부분 다 잠궈보면 살짝 떠있네요이미입어서 교환은 힘들겠고 세탁소에서 수선가능하겠지여..?
dc11**|포토후기2등!- 키, 몸무게157/47-착용사이즈S (그레이?)-착용후느낌은?(좋은점/나쁜점)지퍼가 너무잘안올라갑니다..올라가긴하는데 올리는건 1분걸리고내리는덴 3분이상 걸려요.. 이거 입고있다가 신호오면 입은채로 지릴정도네요하하흐흐ㅜㅎ 옷자체는 엄청예뻐요 완전예뻐요지퍼만 아니면 짱짱인데딱 걸리는 부분 다 잠궈보면 살짝 떠있네요이미입어서 교환은 힘들겠고 세탁소에서 수선가능하겠지여..?ㅠㅠ다시말하지만 디자인이나 재질이나 모두 굿입니당..아쉽당
wldms2**|예뻐요 ! 225후기- 키, 몸무게 -착용사이즈 225-착용후느낌은?(좋은점/나쁜점)운동화 220사이즈 신는데 이건 볼이좁아서 그런지앞이 조금 남긴하지만 편하게 맞아요 !8센치인거 치고 정말 편해요.달리기도 가능해요ㅋㅋㄱ발목양말 신는곳까지 목올라와용.전 발목 높은거 싫어서 딱 좋은것 같아요. 자주 신을것같아요~~!적립금 주3
gksmf23**|괜찮아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)아이보리로 샀는데 블랙이 더 이쁠거같아요이것도 입었을때 이뻤는데 치마에다 입어야 더여성스러울거 같네요~블랙도 하나 사고싶어요ㅎㅎ
gksmf23**|이뻐요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송이 엄청 빨라서 좋았어요ㅎ펼쳤을대 약간의 구김이 있었지만 입었을때넘이뻐서 괜찮아요남자친구랑 커플로 입으면 더 이쁠거 같아요담엔 커플로 입어야될거 같아요~~ㅎㅎ
yujin07**|이뻐요ㅎㅎㅎ- 키, 몸무게167, 54-착용사이즈L-착용후느낌은?(좋은점/나쁜점)보들보들한감촉이조아요/ 좀얇고 위에 자크잇는데 목에닿으면따가워요좀 팔이 긴편이라 다른거 사면 짧거나 딱맞앗는데 이건 ㅇ넉넉해서 좋아요ㅎㅎㅎ좀 얇아서 속에 검은거 입으면 비치긴하는데 생각보다 훨씬 따뜻해요!!!ㅎㅎㅎㅎㅎㅎ그리고보들보들한촉감도 좋고ㅎㅎㅎ색상도 핏도 맘에듭니다ㅎㅎ비록 모델처럼 접어입는건 실패지만 그래도 만족해요!!그리구 생각보다 배송이조금느렷지만 그래두 조아용ㅎㅎ
gjvod4**|그레이후기-착용후느낌은?(좋은점/나쁜점)커서 이너보단 안에 많이 껴입은후 아우터로 입는게 좋을거 같아요.잠그면 끝부분이 흐물흐물해지는? 지퍼부분이 튀어나오는게 있어요 ㅠ그부분은 참을만한데 어깨선이 팔까지 내려와있어서 좀.. 옛날 옷같아여가오리핏 싫은데 가오리핏이라 ㅠㅠ.. 그래도 따듯하긴 해요유니클로 보아털보다 따듯한듯
eunchon**|보카시블랙♡♡♡- 키, 몸무게164?-착용사이즈free-착용후느낌은?(좋은점/나쁜점)가을에입기좋은옷인거같고요 바지위에나플레어스커트위에입으면이뻐용~~~ 자주 입을거같아요
rmfotjdjw**|와 진짜- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)진짜 진짜 따뜻해요.요즘 엄청 추운데 안에 반팔 입고 잠깐 밖에 나갔었는데 진짜 추운걸 못느꼈어요.가격도 저렴하고 너무 만족해요.근데 모자가 너무 납작해요.이 납작한 모자 퉁퉁하게 할 방법 있나요?
rmfotjdjw**|딱 보고- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)이쁘단걸 알았어요. 정말 이쁘네요
rmfotjdjw**|원하던 색상- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)제가 정말 땍 원하던 색상과 핏이예요.후회 없어요.
rmfotjdjw**|아 이뻐요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)제가 키가 작아서 좀 길긴 하지만 정말 이뻐요
rmfotjdjw**|이뻐요- 키, 몸무게151-착용사이즈-착용후느낌은?(좋은점/나쁜점)(착용사진 파일첨부용량은 2M이하로 제한됩니다이뻐요 그리고 주머니도 따뜻해요. 후회 없습니다.
qhfkrhdwn1**|이뻐요- 키, 몸무게 154-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 얇지만 무난하고 이뻐요~모든 아웃터에 잘 어울릴만한 색이예요!만족합니다~~~~~~
qhfkrhdwn1**|이뻐요!- 키, 몸무게 155-착용사이즈-착용후느낌은?(좋은점/나쁜점)완전 붙는 티일줄 알았는데 생각보다 넉넉하고요진짜 이뻐요 ㅠㅠㅠㅠㅠㅠㅠ
lje**|에스.- 키, 몸무게155.45-착용사이즈S-착용후느낌은?(좋은점/나쁜점)교복 팔십오정도입는데.이건 에스가 헐렁해요.넉넉하게입을수잇고. 몇번입엇는데. 팔목이 헐렁하고 길어요.한번접어입엇다는..카라부분도 다잠그면이쁘고.색이 너무 표백제같은 하얀색..재질도 그리좋은건 아닌거같은데 입기에나쁘지않구요.가격이 만이천원이면 딱 그정도하는거같습니다..얇긴하구요. 별네개반ㅋ
aa336**|이뻐요- 키, 몸무게 167-착용사이즈 29-착용후느낌은?(좋은점/나쁜점) 편하고좋아요^^
rlaxogml33**|그린..글쎄..구매한 줄 몰랐는데..어느날 보니 구매해 옷이 걸려 있더라고요헌데~ 솔직히 윗 사진과 달리 썩 예쁘진 않아요..오죽함 반품 시키라고 쏙싹 거렸을까..간절기라면 모를까 겨울에 입기엔 두깨도 얇고..fit도 안살고..허나 지가 저렴하게 구맬해 맘에 든다는데 어쩌겠어요그래 비추하네요
