hhhh7**|ㅇㅀ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)ㄹ
wjdrkdl**|포토후기1등 블루- 키, 몸무게167.50-착용사이즈-착용후느낌은?(좋은점/나쁜점)처음에 많이 까글거리지만 갠춘하네요
wjdrkdl**|포토후기2등- 키, 몸무게167.50-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 허리잘잡아주고 따듯해요
ekadl33**|포토후기2등!- 키157몸무게4-착용사이즈-착용후느낌은?(좋은점/나쁜점)이뻐요 길이도좋고 살짝 품이큰거빼곤 짱!
ehddmsr**|포그닝 꽈배기 니트 화이트 후기~♡- 키, 몸무게153.36-착용사이즈free-착용후느낌은?(좋은점/나쁜점)일단 눈으로 딱 봤을때랑 입어봤을때도 진짜 이뻐용!!엄마한테 보여줬을때는 튼튼해보이고 예쁘다고 했고요ㅎㅎ옷 패턴도 너무 이쁘고 흠잡을때는 없는데...좀 얇아요ㅠ그래서 따뜻하게 입으실려면 안에 어울리는 남방같은거랑 같이입어도 이쁘실것같아요아니면 두꺼운거 원하시는 분들은 다른거찾아보셔야될것같아요;;어째뜬 이런가격에 이런 상품을 판다는건 역시 고고싱밖에 없는것같아요!!감덩ㅠㅠㅠㅠㅠㅠ
whitemin**|맘에들어요- 키, 몸무게159 43-착용사이즈보카시블랙-착용후느낌은?(좋은점/나쁜점)역시 겨울엔 니트가 짱이에요 ㅋㅋ가격도 나름괜찮고옷 넘 이뻐용 ! ! ! ! ㅎㅎ자주 입을듯 !
whitemin**|귀여움- 키, 몸무게159 43-착용사이즈모델착용-착용후느낌은?(좋은점/나쁜점)소재좋고요 귀여워요ㅋㅋㅋ이런 맨투맨 갖고팟는데 좋아요~~~굿~~편한옷이 짱이에요 ㅋㅋㅋ
whitemin**|조아요- 키, 몸무게 159 43-착용사이즈모델착용-착용후느낌은?(좋은점/나쁜점)배송도 빨랏고 가격도뭐 나름괜찮구요편하게 잘입어질꺼같아용짱짱 맘에 들어요 ㅋㅋㅋㅋ이쁩니다 추천 ! !
whitemin**|좋아유- 키, 몸무게 159 43-착용사이즈 모델착용 블랙-착용후느낌은?(좋은점/나쁜점)배송도 나름 빨랏고 재질도 좋고요생각햇던거랑 딱맞네요이뻐요 굿굿~~~~~ㅎㅎㅎㅎ잘입을게용
whitemin**|엄청 큰사이즈- 키, 몸무게 159 43-착용사이즈 모델착용 카키-착용후느낌은?(좋은점/나쁜점)키가 작아서 엄청나게 길고 엄청나게 부해보이네요 ㅋㅋ모델핏처럼 예뻐보이긴 어려운듯 ㅜ ㅜ걍 엄청두꺼우니 추울땐 입기 좋은듯색깔은 이뻐용 ㅋㅋㅋ
whitemin**|커요 ㅜ ㅜ- 키, 몸무게 159 43-착용사이즈 모델착용-착용후느낌은?(좋은점/나쁜점)일단 진짜한겨울에도 입으면 따실꺼같은데키가작아서그런지 굉장히 커요부해보이고 ㅜ ㅜ 그래도 편하게는입을수잇겟네요
