lhk1**|네이비시켯는데 색이 잘못 배송와ㅛ아요ㅠㅠ 이미 오래전이도 하고 그래서 교환은 안햇는데 나머지 색도 나름 예쁜 갓 같아요! 잘입을게요
lhk1**|이 옷 정말 예뻐요!! 브라운 색상이라 가을과 겨울에 잘 입을 것 같네요 고고싱은 배송도 빨라서 정말 좋은 것 같아요ㅠ 좋은 옷 감사하고 잘입겠습니다!
lhk1**|이 치마 진짜 잘입고 있어요ㅠㅠ치마바지라서 어딜가도 편하게 입고 핏도 고무줄이라 걱정했는데 정말 핏 예뻐요!! 가격대비 정말 꿀템이니끄 꼭 사시길 권유할ㄹ게요!
dawoom10**|이거 진짜 이뻐요ㅠㅠ 근데 리본 길이가 짝이 안 맞아서 조금 아쉬워용 ㅠㅠ 그래도 넉넉하구 따뜻하구 이뻐서 넘 만족합니당
dawoom10**|처음에 어떻게 입는 지 몰라서 당황했는데 길이감 적당하구 나름 따뜻해서 좋았어요! 색 진짜 이뻐요 포근한 색..
dawoom10**|생각했던 것보다 훨씬 두껍고 보들보들해서 너무 좋았어요!! 조금 짧긴 하지만 어짜피 치마랑 같이 입을 거라서 상관없을 것 같아요ㅠㅠ 만족합니당
alswl**|색상을 다 사고싶었는데ㅜ 일단 와인색상을 샀어요! 너무 마음에 들어요~ ㅎㅎ 연말에 자주 사용할것같아요ㅎㅎ 배송도 빠르고 항상 고고싱에 만족합니다ㅎ
eun02**|배송도 빨랐고 바지도 진짜 마음에 들어요!!봄여름가을에 입으면 좋을거같구중청과 연청사이에 색이라서 너무 예뻐요특히 핏이 키작은 저에게 딱입니당 ㅎㅎㅎ 키크신분들한테는기장이 살짝 짧을 수도 있어요밑단이 너무 예쁘네요 !!!!
angel35**|그렇게 두껍진 않고 기장도 길지는 않은 편인데 무난하게 잘 입을 수 있을 것 같아요! 일단 뭐니뭐니해도 가격이 정말 저렴하니까 좋은 옷 산 것 같아서 뿌듯하네요. 만족합니다!
angel35**|먼저 일요일에도 수고해주신 고고싱 직원분들께 감사하단 말씀 전합니다. 덕분에 월요일 아침에 받았습니다! 저렴한 가격에 사서 그렇게 기대는 안했는데 생각보다 너무 좋아요! 팔을 올리고 있거나 주머니에 손을 넣고 있으면 팔뚝 부분이 부해보이긴 하는데 내리면 괜찮습니다. 키가 160cm인데 무릎 덮는 정도까지 오구요. 따뜻하네요~ 굿굿
alswl**|처음에 받았을땐 굽이 생각보다 높고 두꺼워서 당황했는데 직접신어보니깐 높은만큼 다리도 얇아보이고 이쁘고 만족스러웠습니다! 제일 좋았던점은 굽이 높은데도 오래신었는데 발이 아프지도 않고 편하게 신었습니다ㅎㅎ
eunhye75**|옆에 라인이 들어가 있어서 정말 날씬해보여요~ 기모가 많이 얇은 기모긴 하지만 촉감 부드럽구저렴한 가격에 비하면 퀄리티 좋습니다!!
86758315**|귀여워요 그냥 기본템 !!! 다른거 사면서 배송비때문에 금액 맞춘다고 샀어요 힝힝 아무튼 조아엽
yanghyeji9**|우선 디자인보고 샀는데 예뻐서 만족합니다 다만 좀 많이 얇아서 요즘 날씨엔 안에 타이즈 입어야할 거같아요 그리구 안에 타이즈 신으려고 L샀는데 허리가 딱 맞는거 보면 그렇게 큰 L은 아닌것 같네요
yanghyeji9**|제가 덩치가 있어서 그런지 사진보다는 좀 꼈지만 그래도 부들부들해서 좋네용 다만 좀 얇아서 바람이 들어오기도 합니다 안에 껴입는 용도로 좋을 것 같아요 살을 빼야겠네요...전반적으로 만족입니다
yanghyeji9**|제가 덩치가 있어서 그런지 사진보다는 좀 꼈지만 그래도 부들부들해서 좋네용 다만 좀 얇아서 바람이 들어오기도 합니다 안에 껴입는 용도로 좋을 것 같아요 살을 빼야겠네요.......
pjh04**|고고싱에서 숏패딩 화이트색상을 구매했던적이 있었는데 너무 이쁘게 잘입고 다녔어서 믿고 2개 주문했어요! 사진으로만 봐도 괜찮아보여서 하나는 선물용으로 주문했어요! 옷도 너무 따뜻하고 원단이 너무 마음에 들었어요!
heo11**|기모 안감이라 따뜻하구 좋아요! 소매통 보고 좀 당황했지만 옷은 귀엽습니당!! 좋아여~~~~
