845012205624421**|조끔 배송오자마자 하자가있어  기분이 많이 않좋았네요 하얀가방이라 검은 물질이묻은건 이해하겠는데  어깨띠쪽으로해서  칼집이 나있더라고요 칼질하실때 잘해주세요ㅜ 뭐 그외에는 편하게 잘사용햇고요 생각보다 커서 더좋았던것같아요ㅎㅎ
leemy04**|배송이 느려서 약간 그랬지만~ 그래도 옷이 좋으니까 마음에 들었어요!! 일단 천도 좋고 바느질도 잘 되어 있어요~ 고고싱에서 옷 처음 구매하는건데 마음에 들었어요 기본으로 어디든 받쳐 입을 수 있어서 기본템으로 추천합니다~♡!!
845012205624421**|키가커서 짧아보이긴 하였지만 너무나도편하게 잘 입었습니다ㅎ다만 값이값인지라 색이 빠지는게있더라고요 하얀백팩에 파랗게물이 들긴하였지만그래도이쁘게 입었습니다
byunhg**|평상시 물건을 많이 안가지고 다녀서 크기 고민했는데 적당한 크기를 찾은 거 같아요. 크기도 크지않고 정당하고 마음에 들어요 그리고 가격이 저렴해서 걱정했는데 저렴해 보이지않고 좋아요 깔끔하고 무난해서 편안하게 들고 다닐 수 있을 거 같아요 !! 이쁘게 잘쓸게요 !!
parkbb**|꺄 바지 사게됫는데십일날 시켜서 오늘왓지만 진짜 대대대 감동이에요 배송지연때문에 고고싱관리자분들도 너무 고생 많으셨을텐테 손편지까지 넘넘감사드려요진짜 이바지 넘넘 좋구요 전봇대 다리인 저에게 딱맞는 옷입니다  색감도 진짜 넘이쁘구 사진이랑 별차이없어요 무엇보다 엑스엘시키려고햇는데 작을까봐 L입어두 괜찮고 정말 넘편하네요 고고싱 감사드리구 앞으로도 많은 이용할테니 수고하세요 너ㅁ나좋은것♡
audwn**|저는네이비색상으로구입했는데..색상이너무예쁜것같아요..제가원래M사이즈를입는데,일부러티넣어서입을려고한사이즈크게샀는데좋은선택이었던것같아요!그대신길이가조금긴것같더라구요ㅎㅎ예쁘게잘입겠습니다!
rladbwjd1**|저는 색깔 두개중에 고민을 하고있엇는데 남색살려고 햇더니 품절이라해서 그냥 카키색도 나쁠꺼같지않아 연카기 색으로 샀는데 나쁘지 않네요 가운데에 자수 깔끔하게 밖혀잇고 팔 부분에 하트 있는것도 너무 이쁘네요~~~남색도 있으면 남색도 사고싶네요
audwn**|저는아이보리색상으로구입했는데너무귀여운티인것같아요ㅎㅎ치마랑입었을때너무너무예뻐요!길이도딱적당하고,민들레꽃으로된장식?그게포인트!너무귀엽고,예뻐요~~너무얇지도않고좋아요ㅎㅎ예쁘게잘입겠습니다!
rladbwjd1**|저는 깔끔하고 무난하면서 가죽으로 되어잇는 클러치백을  원했었는데 가격도 저렴하고 가죽이고 크기도 적당하고 무난하게 깔끔해서 샀는데 배송도 엄청 빠르고 흠집없이 깔끔하게왔는데 너무 이쁘고 흡족합니다.원래 그레이 살라햇는데 검은색이 아무옷에나 코디가 잘 될꺼 같아서 검은색으로 샀는데 역시나 잘됏니다~~
wken72**|"허벅지 살때문에 스키니를 잘 못입고 다녔는데  이옷은 살도 커버해주고 진짜 짱 편해요~| 바지는 원래 사이즈 때문에 인터넷에서 안사는편인데 편해보이고 많이 구매들 하셔서 저도 구매해봤어요 아주 만족합니다 ㅎㅎ 바지는 잘 늘어나서 자기 치수보다 한치수 작게 사셔도 충분할거같아요~~"
audwn**|저는살구핑크를구입했는데..사진보다는좀더진한핑크색인것같아요..제가예상한것과는다른색상이지만너무예뻐요!길이도적당하고,좀얇을줄알았는데생각보다두께도있어서봄에입기딱좋아요!그리고소매길이가길어서더귀여워보이는것같아요~
