jugnun**|와..제가진짜원하던자켓이예요..가격도만원에서이만원대가격으로 예쁜자켓찾으려고 여러쇼핑몰을보고해봤는데 고고싱에 들어와서 아우더누르자마자 19000원인 착한아이가..☆길이도 적당하고 어떻게입던지 진짜예쁜거같아요 사진상안예쁘게나왔지만 엄~청까만 촌스러운검정색이아니고 브라운이살짝들어간 워ㅇ싱이라해야하나..싼티안나고 예쁩니다진짜..특히나 가격은 더더사랑해요..♡
ahzk**|저는 회색을 구매하였는데 생각한거보다 길이가짧고 어깨부분이 꼭껴서 쫌그렇지만 그것빼고는 옷도이쁘고 색도 갠찮고 다른부분은 다조아요♡ 청바지랑 가디건안에 입으면 이쁜거가타요!!! 티를바지안에다 안 넣고 입어도 짧기때문에 편하기두해요 !
jugnun**|배송은 이틀만에 빠르게왔는데 확인을 방금했네요ㅠㅠ제가 팔뚝이 많이두꺼운편인데요..근데 요거는 66반사이즈까지 가능하데서 예쁘기도하고 원래 구입하고싶었던 티셔츠라 고민고민하고샀는데요..절대 고민하실필요없으실거같아요..진짜..저 사진은 제가 이번에 산 티셔츠와 집에있는 남방하고 청바지하고 어울릴거같아 저렇게찍어봤어요~~진짜 예뻐용 면 소재도 얇지않고 적당해서 봄.가을.겨울입어도 좋을거같아요!!강추~~♡
ahzk**|나시가필요해서 나시를구매 하였는데 이번으로 두번사는건데 두번다맘에들어요 !! 착용감도좋고 편하고 배송도빠르고 재구매까지 하고싶을정도로 맘에들고 조아요!! 비치는 니트나 티안에다입으면 갠찮을거같아요~~~♡다음에도 또 구매할게요~~~♡♡♡♡
wldh02**|가격이 너무 싸서 좋아요 !!!!사이즈는 좀 넉넉하게 입을 수 있긴한데팔이 좀 넉넉하지 않아요 ㅜㅜㅜ그래도 가격  싼 편에 비해 면 소재도 양호해요박시하게 입을 정도는 아니지만작아서 불편한 정도도 아니고 그냥 딱 편하게 입을 수 있답니당 !
wldh02**|진짜 가격대비 짱짱 좋아요 ㅋㅋㅋㅋ색이 너무 맘에들어요가격이싸서 핏 같은것도 기대안했는데 몸에 알맞게 맞아요한개 더 사놓고 싶을 정도 !
guswl70**|처음 받았을때 조금 흐물흐물 해서 놀랐지만 책이랑 지갑이랑 필요한 것들을 넣으면 괜찮아져요!ㅋㅋㅋㅋ 그리고 심플해서 더 이쁜거 같아요 끈 길이도 딱 적당한거 같아요 길지도 짧지도 않고 정말 적당해요! 그리고 검정색 도 하나 더 구매하고 싶을 정도로 이뻐요 기본적으로 하나씩 있으면 정말 좋을 것 같습니다.
guswl70**|이뻐요!!! 처음에 약간 커서 놀랐지만 밑에 바지나 치마에 넣어서 입으면 이뻐요 ㅋㅋㅋ 특히 청치마랑 잘 어울리는 거 같아욬ㅋㅋ 흰색 주문해서 어디에서 입어도 이쁠것 같구요 약간 비쳐서 더 이쁜거 같아요! 배송만 빠르면 정말 좋을 거 같아요!! 이게 인기가 있어서 늦었지만,,ㅋㅋㅋ 어쨋든 이쁘구요 어디에든 같이 입기 좋은거 같아요 기본으로
ry**|피팅사진하고 똑같아요.캐쥬얼한 가방필요했는데 잘쓸게요~
guswl70**|진짜 이뻐요!!! 이 옷을 슬랙스랑 입을려고 샀었는데 역시 같이 입으니깐 이쁘네욬ㅋㅋ 그리고 청치마랑 같이 입어도 이쁘고 겉에 걸쳐입는 식으로 입어도 이쁜거 같아요 보기에 약간 빳빳한?? 그런 느낌인줄 알았는데 받아보니까 좋은 제질인 거 같아요 ㅋㅋ 근데 배송이 생각보다 너무 느려서,,,많이 기다렸어요,,, 하지만 옷은 정말 이쁜거 같아요!!
rlawndud63**|색깔진짜 조녜네요♡♡♡♡으악 감사히 잘입겟습니다 ㅎ
thsdpdms**|아래까지 쫀쫀하게 발목정도까지 잡아주고있구요답답하지는 않은정도에요사이즈는 26으로했었었요대부분의 티에는 잘받는것같아요가격도 괜찬운것같아뇨 추천합미당~~!
guswl70**|이뻐요~~~ 제가 평소에 자주 입을 기본 티를 찾고 있었는데 이거 보고 바로 샀어욬ㅋㅋ 제가 좀 통통?해서 입었을 때 딱맞으면 어떡하지 고민했는데 받아서 입어보니까 좋았어요!! 많이 타이트하지도 않고 적당히 타이트해서 이쁘고요 어디에든 받쳐입을 수 있어서 좋은 거 같아요 통통하신 분들 걱정업이 사세요!!!ㅋㅋㅋㅋㅋㅋㅋ
