syyi**|실수로 모델분 키를 안보고사서 키작은 저한텐 매우 길더라구요.. 그래서 수선을 엄청 많이했다는..ㅠㅠㅠㅠ 그래도 핏도좋고 이번에 연주때 정장으로 입었는데 매우 좋고 통도 넓어서 편하규 좋았습니당ㅎㅎ 전신사진을 안찍어서 없네요 ㅠㅠ
dhwogml**|별 기대없이 구매했는데,택배 오자마자 입어봤는데 너무 이뻐서 놀랐네요 ㅠㅠ인생템 됬어요 ㅎㅎ 자주 입고 다니구요 !핏도 박시하기는 한데 적당하고 여리여리해요 !색감도 화면이랑 똑같이 이뻐요 !
seonwoo27**|그냥 기본티 하나 갖고 싶어서 구매했는데 나쁘지 않습니다. 팔소매가 약간 길어서 예쁘게 딱 떨어지네요. 근데 목 넣는 구멍이 되게 작아서 머리 넣을때 늘어날까봐 되게 조마조마 해요. 아래 입은 치마도 고고싱 상품입니다ㅎㅎㅎ 청치마랑 어울릴 것 같은데 같이 살 걸 그랬어요.
dhwogml**|가격도 저렴한데 핏도 이쁘고 ㅠㅠ질도 튼튼하고 좋아요 ! 그리고색감도 이쁘네요 ㅠㅠ치마 길이도 짧지않고 적당하구요 !왜 인기 많은지 알겠네요 ㅎㅎ
leejiso**|여기는 항상 배송이 빠르네요 목요일 입금하고 토요일에 받았습니다 그런데 실밥이랑 구겨짐이 심한 상태로 왔어요ㅜ 옷은 이쁘네요 마음에 듭니당
seonwoo27**|롱패딩 이 가격이면 꼭 사야하는거 아닙니까?!!!! F살지 L살지 일주일동안 고민하다가 결국 L로 했습니다. 길이는 만족하는데 역시 품이 많이 남네요ㅠㅠㅠㅠ 그래도 F샀으면 길이가 짧아서 아쉬웠을 테니까 그냥 이대로 입겠어욧! 저 주머니를 다 쓸지는 모르겠지만 주머니가 많아서 좋고, 겉부분이 질겨서 긁혀도 잘 안찢어질 것 같아요ㅎㅎ 손목 부분도 짱짱하게 조여서 좋네요. 단점은 이번 겨울에 입다보면 알겠지요. 싸게 롱패딩 하나 건져갑니다. 고고싱 감사해요~
dhwogml**|돈이 별로 없어서 안살려고 했는데 ,너무 이뻐서 충동해버렸네요 .., ㅎ택배 오자마자 입어봤는데화면이랑 똑같이 색감도 이쁘고핏도 이뻐요 ㅎㅎㅎ여리여리 하구여 !!
wldms40**|길이는 엉덩이를 덮진 않습니다 일반적인 평범한 니트에요 간절기에 이것만 입어도 이쁘겠네요 가격대비 질도 괜찮습니다 추천해요
wldms40**|창고방출?할 때 사서 크게 불만이 없어요..하하 일단 길이는 종아리가 보이는 길이였고 색상은 말그대도 어두운 핑크입니다 겉이 보들보들해서 감촉도 좋네요 잘 입을게요!
wldms40**|구매한지 하루만에 받았습니다 배송은 여태껏 늦은 적이 없어서 굉장히 만족해요 일단 가디건 블랙색상과 브라운색상을 샀는데 전체 길이감은 엉덩이 사알짝 덮는 길이고 소매가 어엄청 길어서 깜짝 놀랐지만ㅋㅋ접어 입거나 하면 되니 괜찮습니다 얇지않고 쌀쌀해지는 날씨에 입으면 딱이겠어요 잘 입을게요!
