snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
rlt11**|비추 실망이예요 바지가 애매하게 생겼어요평소 s를 사면 살짝 낑길줄앟았는데 생각보다 엄청 커요!!!!엄어어어어청!!!참고해주세요...
ican06**|헝 ㅠㅠ평소 m사이즈를입는데 골반이 좀큰편이라 올리기힘들었고..27~28입는데 너어무 쫄리더라구오..ㅎㅎ 그래도 바지는 이뻣어욤 ♡ 밥안먹고 입죠뭐!! 일자핏으로 밑에 떨어지고 색상이 밝은편인데 안뚱뚱해보여요! 왜슬림핏인지알거같아요! 인기많은덴 이유가있는듯..예뻐오♡..
rlt11**|생각보다 맘에 들어요!!!별 기대안하고 구매했는데 생각보다 예뿌고 저한테 딱 맞는거 같아요 색깔도 좋고 전체적으로 맘에 들어요길이는 아주 살짝 짫은감이 있어요
ican06**|너무이뻐요! 뒤에도 괜찮고 화면색상보다 조오금 어둡지만 유용하게 자주입을거같은 옷이에요! 뒤에묶어야되서 조금 불편한감이있지만 괜찮은거같아용 ^♡^/예쁘니까 ! 기장이 좀짧긴한데 뷔스티에는 다 고만고만하니까 ! 예쁘게입을께용!
ican06**|예뻐욤 !! 질도 솔직히 잘안따지지만 이정도면 괜찮고 이가격에 유용한거같아요! 뷔스티에나 원피스 안에 입을려고 샀는데 잘 어울리고 좋아욤 ! 박시도아니고 그렇게 붙어서 부각되는거도아니라 딱 이쁜거같네요^♡^!
zyh04**|처음엔 블랙이랑 옐로우 중에 고민했었는데 옐로우 사길 잘한듯 합니다!!블랙옷은 평소에 너무 많이 입어서 이번에는 산듯한!!느낌으로 옐로우 선택했습니다❤️❤️ 하지만 블랙도 사고싶은... 담에 또 사도록 하겠습니다ㅎㅎ
jyjung09**|이거 진짜 귀야워요 ㅜㅜㅜㅜ 제키에 무릎 덮습니당 진짜 입으면 안귀여운 사람도 귀여워집니다 이거 꼭사세요 ㅜㅜㅜㅜㅜㅜㅜㅜㅜ!!!!! 진짜 귀여워요 ㅜㅜ
ican06**|와 정망 이뻐요ㅜㅜ 사진고자라그렇지 핏도 모델핏??같이 옷이 예쁘게 떨어지고 실물 존예에요.. 흔한 플라워 원피스보다 이게훨 이쁜거같고 날씬해보이고 가슴뽕?있어서 정말 예뿜니다..♡ 별 다섯개주고싶어욤 길이감도 딱이라 짧지도 길지도않고 딱이뻐요~ 여름에나 봄이나 초가을에 입을수있을거같아요^~^ 뒤태도이뻐용 ㅜㅜ밴딩이라 편하고 안쫄려욤
carat25**|처음에 시킬 때는 이렇게 까지 클 줄은 몰랐는데 막상 와서 입어보니까 엉덩이 밑? 쪽까지 내려와서 엄청 박시했는데 그래도 입으니까 예뻐서 마음에 들어요~
jyjung09**|쫀쫀하고 입고있어도 딱 몸매잡아주고 안늘어나는느낌?? 처음엔 옷대비 가격이 쫌 높다 생각했는데 입자마자 그런생각 싹사라지고 또 사고싶어요 ㅜㅜ 너무예쁩니다'ㅜㅜㅜ!!!!
jyjung09**|가격만큼 쫌 얇긴하지만 박시하고 예뻐요ㅠㅠㅠㅠ헝헝이거디자인진짜이뻐미침 ㅜㅜㅜ 옆에 한 2센치정도 트임있는데 진짜 대존예 ㅜㅜㅜ!
jyjung09**|만원이라는 가격이 믿기지 않을정도로 도톰하고 질이 진짜 좋아여 ㅜㅜ 이거 왜 이제 발견했나 싶을정도로 진짜 퀄리티도 좋고 제키에 엉덩이 딱 덮는 길이라 너무 좋습니다!!!!!
zaqxsw11**|프리사이즈여서 부담감없이 입을수있고 편해서 좋아요
lsy9907**|이건진짜 내인생템!!!!  키가작아 많이 길긴하지만 넣어서입어도예쁘고 목도잘안늘어나고 소재도얇아서 좋아요!  비치는게싫다면 안에 나시입으면될듯?  너무 무지는 싫다하면 이거사는것도나쁘지않을듯  왜best에들어갔나했더니 옷이너무좋음!!!  그리고가장큰장점 배송빠릅니다
lsy9907**|생각보다 길이도 적당하고 팔길이도 마음에들었어요! 친구랑다른색으로 샀는데 트윈룩으로도 괜찮은듯?해요 간단한생일선물로괜찮은것같아요!
lsy9907**|생각보다 길이도 적당하고 팔길이도 마음에들었어요! 친구랑다른색으로 샀는데 트윈룩으로도 괜찮은듯?해요 간단한생일선물로괜찮은것같아요!
aen9911**|포토후기 1등인가요ㅎㅎ..오늘배송 입어봤는데 너무이뻐서 처음으로 포토후기 남겨요ㅠ❤허리에 안감?이있어서 그런지 더 얇아보이고 이뻐요ㅎㅎ블랙사고싶어서 아쉬웠는데 재고들어오면 살려구요!!!!배송도 짱빨라요 감사합니당
lsy9907**|무지검은색 반팔티 사고싶었는데 친구꺼사다가 같이사게됬네용 목도생각보다 안늘어나고 진짜얇아서 더위잘타는 저도 시원하게잘입고다녀요 하나더 살까 생각중입니다 근데 살짝까끌까끌해서 따가운거안좋아하는사람은고민좀해봐야할것같아요
dkdldj**|배송빠른편이었어요~~검정할까흰색할까고민하다가흰색질렀어요ㅎㅎ롱티가필요해서샀는데실제로보니더이쁘네요~검정도이쁠것같아요~~넥라인도쉽게늘어질것같지않고핏도박시하니이쁘고~첫구매인데너무좋네요이쁜상품고마워요~ 고고싱!!잘입을게요~
12917986**|검정삿고 후기보고구김이잇다고해서걱정햇는데치마부분만그렇네요 상체가길고키가큰편이라 치마가짧을줄알앗는데 적당하니괜찮네요 싼티도많이안나요 치마가좀나풀거려서 안에잘입어야될꺼같아요
skql97**|수학여행간다고 급하게 산거치고는 엄청 예뻐요 빳빳한 재질이라 앉았다일어나면 주름이 생기지만 딱히 신경쓸정도로 깊은 편도 아니구요 길이도 딱 적당해요!다만 아쉬운게 있다면 허리부분이 조금남아요ㅜㅜㅜㅜ제키와 몸무게이신 분들은 s하시면 딱 맞으시거나 약간 헐렁하실듯해용
lindan01**|상품이 생각보다 질이 좋아서 깜짝 놀랐어요. 디자인도 깔끔하고 평상시에 어떤 옷이랑 입든지 다 잘 어울릴 것 같아요. 기본 스커트로 하나 장만 하면 좋을 것 같아요.
12917986**|린넨이라시원할꺼같고많이비치진않네요 단점이끈이얇아서입고벗을때불안불안하네요 키가큰편인데 길이감도나쁘지않아요
cyk16**|진짜 인생바지에용~ 원래 허리 28정도인데 딱 맞아요~ 길이도 적당해요~ 배송도 빠르고 좋았어요 하체비만인데 다리 두꺼워보이지 않아요
12917986**|블랙이랑고민햇는데 카키도괜찮네요 블랙도담에사야겟어요 카키인데 흐린카키에요ㅎㅎ먼가색깔이특이하니 좋아요잘입을께요
dkdldj**|리뷰남기는건처음이에요그만큼상품이너무만족스러웠어요!실물진짜이쁜원피스구요!!보자마자너무예뻐서 기대이상이었어요ㅠ끈도안흘러내리고(전어깨가넓은편입니다ㅠ)어깨좁은분들은끈부분이조금클수도있을것같아요재질은너무좋았구요 린넨이라시원할것같구요~저한테는무릎덮는기장이구요~저처럼키작은분들에게너무귀엽고예쁠것같아요~~입을때벗을때살짝불편한건있어요 못입을정도절대아니구요!!ㅎㅎ엉덩이부분은심하게타이트하지않았어요~~걷는데도불편한거없구요~~고고싱첫구매인데 너무만족스럽네요자주올것같아요 이쁜상품고마워요~~~
12917986**|옷재질이두껍고 색깔도이쁘고 옷이짱짱해요ㅎㅎ목라운드도안늘어날꺼같아요 이번에산옷중에 옷이튼튼하니좋아요잘입을께요
k0**|2번째 산 바지여서 역시 실망시키지않아좋았습니다! 제가 허벅지가 진짜두꺼운데 훨씬 얇아보여서 좋아요! 허벅지 자신없으시면 꼭 사세요 재구매의사★★★★★
k0**|m을 살껄 그랬나 싶으면서 살짝긴치마도 허리가 남긴하지만 나쁘진않아요 같은디자인 m은 딱맞으면서이뻤는데 l도 기장이많이길지않아서 좋습니다!
12917986**|이거잘산거같아요 재질이얇고시원할꺼같고 프린트도이뻐요 슬라브티같은재질같아요ㅋㅋ몇장더쟁여놓고싶네요 잘입을께요
12917986**|지인짜~ 오버핏이에요ㅋㅋ남자사이즈네요 얇고 옷이하얗고예뻐요 시원하게잘입을수잇을꺼같아요 커플티로입어도좋을꺼같아요
skin1**|ㅎㅎ....주문한지 10일만에 온 귀한 케이스 입니다! 색상은 정말 사진이랑 같아요! 근데 글리터들이 빨리 가라앉아요! 흔들어 보면 이쁜데  움직임은 금방 가라앉는다는거ㅋㅋㅋ  제 폰은 아이폰 로즈골드 색상이구여 케이스랑 잘어울립니다  그리고 두께감이 있는거 감안하시고 사셔야할꺼같아요 그럼이만 총총
12917986**|사진이랑색깔도 똑같고 얇고 괜찮은거같아요 박시하네요비지안에 넣어서입으면 괜찮을꺼같아요 색도 시원해보이고 좋아용
12917986**|색상고민햇는데 그레이색상도괜찮네요 박시하니 옷질감도좋고 예쁘게잘입을수있을꺼같아요 비치는재질아니고 옷도짱짱하네요
guswjd73**|제가 샀던 반팔티중에서 제일 싸게주고 샀는데 퀄리티 절대 뒤지지않아요ㅠㅜ 다른색도 사려구요!ㅎㅎ 편하게입든 꾸밀때입든 무난해서 다잘어울려요♡
12917986**|재질자체가 얇고시원하니좋은거같아요 이번에 산옷들중에제일마음에 들고 몇장쟁이고 싶네요ㅎㅎ핏도좋고이쁘네요ㅎㅎ
12917986**|재질자체가 얇고시원하니좋은거같아요 이번에 산옷들중에제일마음에 들고 몇장쟁이고 싶네요ㅎㅎ핏도좋고이쁘네요ㅎㅎ
lelo13**|저는 초록,베이지 구매했어요초록은 생각보다넘 예뻐요인생탬!! 고고씽옷 지난번 구매했던것도다예쁜데 이옷도 마음에들어용^^
guswjd73**|흰색 7부티는 처음사보는데 짱좋아요ㅠㅜ 베이지바지에 입으려고샀는데 대박이뻐요ㅠㅜ 맨날맨날입을거에요ㅎㅎ당장사세요!!
yanghyeji**|여성스러움은 있는데 잘못입으면 살쪄보이기 쉬운 옷이라 코디를 정말 잘 해야 할 것 같더라고요 진청보다는 연청이 잘 어울려요 받쳐입기에
12917986**|브라운이랑블랙중에고민하다블랙삿는데괜찮네요 뒤에가길어서 엉덩이쪽가려줘서좋은거같아요 질도괜찮고좋네요 담번에주문할때다른색사야겟어요
yanghyeji**|하얀 기본 슬림티에 입으면 정말 이쁠 것 같아요.저거 하나만 입기에는 어깨부분이 긴 것 같기도 하고그래서 기본티에 입으면 좋을 것 같아요
yanghyeji**|기장은 엉덩이 밑까지 내려와서 숏팬츠에 입어도 이뿌더라고요  치마 입은 것처럼 아니면 넣어서 입어도 좋더라고요 베이직한 앞 대신 뒤에 세련되게 무늬가 있어서 뒷태여신용 인 것 같아요
yanghyeji**|신축성이 좋았어요 예전에 긴팔 슬림티 샀을 때는 신축성이 하나 없어서 입고 벗기 불편했는데 이건 스판이 엄청 좋아서 활동하기도 편하고 뷔스티에랑 입으면 정말 잘 어울려요! 살 타기 걱정스러우면 남방에 입어도 좋을 기본티 인 것 같아요
guswjd73**|그냥 교복에 입거나 기본티로 입으려고 산건데 진짜잘산거같아요! 검은색 사고보니까 다른색들도 다사고싶은정도에요ㅎㅎ 대박좋으니까 고민하지말고 사세요!!
yanghyeji**|딱 캐주얼 하게 입을 만한 멜빵 원피스!! 어디에나 잘 어울리는 베이직한 소재에 앞 뒤에 주머니 있어서 실용적이네요 !!!!
guswjd73**|작은 크르스백이 필요했는데 딱 마침 맞는 이가방이 보이더라구요ㅎㅎ 만원밖에안해서 기대안하고시켰는데 되게 기대이상으로 좋아요!
yanghyeji**|어린이집에서 입고 활동해야 하는데 옷이 너무 편하구요 어디에나 잘 어울리는 기본티라서 정말 좋아요 소매 접힌 부분도 바느질이 잘 되있어서 좋은 것 같아요^^
yanghyeji**|목 뒷부분이 바느질이 잘 안 되있어서 전 제가 따로 바느질 해서 뜨지 않게 했구요 그거 빼고는 입었을 때 불편함은 없어서 무난하게 여성스러움을 나타낼 수 있는 옷인 것 같아요
yanghyeji**|허리 밴딩이라 입기 편하구 활동하기 편하게 기장도 딱 좋아요^^ 여성스러우면서 편해서 좋더라고요 강추요!!!!!!
red999**|이름처럼 스판이 아주 쫀득하니 좋았어요 트임이있지만 과하지않아서 기본 에이치라인 치마로 여기저기 매치하기좋고 무난무난! 뱃살은 없는 편이라 허리부분은 편한데 허벅지살이 많아서 좀 빼고입으면 핏이 살것같아요 날씬하신분들이 입으면 정말 예쁠듯해요
red999**|이 가격 실화인가요 가격대비 진짜 짱이에요 속바지 덕분에 치마바지같은 느낌이고 미니스커트임에도 정말 편하게 입을수있었어요 에이라인이라 허벅지도 좀 얇아보이고 움직일때도 편하고 전체적으로 만족스러워요 하지만 한번 세탁후에보니 속바지 박음된곳이 다 뜯어져있더라고요 그것만좀 개선되면 좋을것같아요!
12917986**|하비이긴한데 핏은좋은데골반이너무넓어서찡기고 팽창된느낌이네요 구김이잘갈꺼같긴하구 스판기 잇어서좋긴하네요
12917986**|흰색이랑기본으로두장샀는데 사진이랑똑같고 흰색보단검정색이더이쁜거같아요ㅎㅎ기본티로여름에시원하게잘입겟습니다
425090892**|여름에 입을 반팔티 찾다가 빨간색 보고 눈에 딱 들어와서 구매했어요!줄 사이가 너무 얇은것도, 넓은 것도 아니고딱 예쁘게 되어있어서 부해보이거나 이상해 보이지 않더라구요완전 추천합니다
red999**|이거 진짜 사길 잘한것같아요! 린넨자켓이랑 여성스러운핏의 자켓은 있는데 캐쥬얼한 느낌의 자켓이 없어서 살까말까 고민했는데 재고가 있단말에 바로 주문하고 빨리 받을수있었었어요 소매트임 정말 마음에들고 한번 접어있었을때 더 예뻐보여요 뒷트임이 있어서 편하고 핏이 딱 제가 원하던 그런 핏이였어요 살짝 걸쳐입어도 예쁘고 기본템이에요!!
12917986**|목라운드가짱짱해보이고생각보다는타이트해보여요금방늘어날꺼같지는않고 편하게잘입을수잇을꺼같아요 부들부들하고
425090892**|끄앙 ㅠ 다른 사이트에서 보고 너무 비싸서 고민하다가여기서 발견하고는 바로 사버린 원피스에오!!!불랙이라 그런지 몸매도 날씬해 보이고기장도 너무길지 않아서 완전 만족입니다><
425090892**|똥배가 나와서 너무 딱맞을까봐 걱정했는데나름 넉넉하니 예쁘게 맞아요!기장도 딱 마음에 드는 만큼 내려오고 느낌도 좋고! 완전 추천합니당
12917986**|오픈숄더에입으려고화이트샀는데 수량을두개체크한줄몰랐네요ㅋㅋㅋ화이트인데 먼가 땀에쩔은색처럼누런색이에요;;80B입는데 속옷끈만떼고 겉에입으면 괜찮을꺼같아요 헐렁해보이는데 흘러내리지는않네요
tjsdud7**|색감 진짜 말이 필요없을정도로 너무 예뻐요 ...ㅠㅠ 검은색 살까 파랑색 살까 고민하다가 파랑색 삿는데 검은색도 사고싶어요 ! 디자인도 너무이쁘고 만족스러워요 ~
red999**|완전 맞춤!!!! 싸이즈도 잘맞고 여성여성하면서 시크한 느낌도주고 저렴하게 잘산것같아요 다른 쇼핑몰에서는 2만원대였는뎅ㅎㅎ허벅지가 두껍고 엉덩이가 있어서 걱정했는데 생각보다 많이 안달라붙고 스판끼가 있어서 편해요 그리고 좀 날씬해보여용
425090892**|세젤편이라고 해서 고민하다가 하나 장만했어요! 블랙이 워낙 심플해서 다리도 얇아 보이고 길이도 길어보이네요!쫀쫀한 밴딩도 완전 마음에 들어요!
tjsdud7**|사진이랑 색깔 똑같아요 !! 배송도 이틀만에 오고 ㅠㅠ 색감 진짜 너무예뻐요 ~ 샛노랑색 갖고싶었는데 이렇게이쁜 티셔츠 사서 너무 기뻐요 강추해요 ♡
425090892**|흰색이랑 같이 여름에 입을 용도로 샀는데완전 강추! 입으면 몸매가 슬림해 보이고!!나시 원피스안에 입기 딱이더라구요! 추천합니다
red999**|저는 가격이 싸길래 진짜 얇은면에 비칠꺼라 생각했는데 전혀!완전 짱짱한면에 두께감있어서 비칠걱정없이 편하게 입을것같아요기장도 그리 길지않아서 넣어입기도 빼입기도 좋을것같고프린팅도 예쁘게 나와서 마음에드네요 대신에 한여름에는 좀 더울것같아요
425090892**|여름에 기본으로 입을 티 고민하다가 샀습니다!슬림한 티라 이름이 그래서 그런지 입으니까 정말 슬림해보이는 것같기도하고착용감도 좋아요! 추천합니당
my0101**|딱 사진 그대로에요 단추 잠가서 치마 안에 넣어 입거나 흰티 위에 입으면 이쁠 것 같아요ㅎㅎ 주름이 좀 있기는 한데 다려서 입으면 될 것 같아요^^
beuty**|일단 그렇게 짧은 길이가 아니여서 좋았구요. 리본도 꽉 묶으면 잘 안풀려요ㅎㅎ 전체적으로 봤을땐 진짜 이쁜데 아쉬운건 면이 좀 까슬해요ㅋㅋㅎ 그래도 옷 잘 산 것 같아서 맘에드네요.
subin99**|저 이런 멜빵 처음 사보는데진짜편해요..ㅋㅋㅋㅋㅋㅋㅋ뚱뚱해보일까봐 걱정했는데전혀 뚱뚱해보이지도 않고 편하고 시원하고 그냥 다 좋아요!!!그리고 옷자체가 귀여운것같아욤
beesh**|옐로우 블랙 두개 구매했는데 편하고 좋아요 ㅠ 배송도 따른 쇼핑몰에 비해 엄청빠르고 가격대비 짱짱 고고싱 첫 구맨데 넘만족스러움 길이도 딱적당해요 핑크랑 화이트도 살까봐여ㅜㅠ
mirue20**|옷은 저번주에 왔는데 후기를 이제 올리네요 ㅠㅠ소풍이 수요일이라 늦게 오면 어떻게 하나 하고 걱정하고 있었는데 다행히 고고싱 배송이 빠르네요!! 원피스도 너무 이쁘고 저한테 길이랑 핏이 잘 맞는것 같아요 고고싱 애용하겠습니당 ㅎㅎ
18882934**|원래하얀옷좋아해서 실수로2개샀지만뭐ㅋ 다제가입어두될듯ㅋㅋ 시원한소재구완젼박스하진않고 적당해여 잘입으께여
18882934**|실수로2개구매 그것도다른옷도...;;;ㅋㅋ잠올때결제해서그런가봐요ㅋ 그냥입어야줘ㅋㅋㅋ젠장ㅋ이뻐요 살짝두껍네여 팔뚝얇아보임
18882934**|도전한색깔평소흰색검정회색 아니면 잘안입거든요ㅎㅎㅎ근데모델이입은게넘예뻐보여서샀는데저한텐대략난감이지만 ㅋ 이쁘긴해요얇지도두껍지도않은적당함
18882934**|한여름에입어도될만큼얇고이뻐요날씬해보여서 데일리로ㅡ편하게입을수있을꺼같네여6개샀는데그중 이게젤가격대비맘에듬
18882934**|딱찾던색에재질여름에좋을듯다른색으로2개더구매예정ㅎㅎ대박임그냥ㅋㅋㅋ편하고이쁘고깔끔 가격대비가성비최고인듯해요~~~자주입을듯
18882934**|이뻐요깔끔하구 ㅎㅎ 3살만더어렸어도..매일입구싶은옷인뎅...ㅋㅋ 소녀소녀하고 단정해보여요ㅋㅋ신랑도이쁘고귀엽다고하네용ㅋㅋ 더살빼서이쁘게잘입겠슴돠
ots70**|이뻐요!!! 근데 아이폰 7 시켰는데 구멍이 잘안맞네요
ots70**|길이도 적당하고 이뻐요 주름이 져서 쭈글 거려요
nhnh03**|조아요 무료배송 가격맞출려고 그냥 싼거아무거나 담는데도 다 가격대비 퀄리티 괜찮은것같아요 아무게나 받쳐입기 좋습니다
nhnh03**|허리가 프리사이즈라 저한테는 좀 널널한데 옷넣어서 입으면 딱괜찮고 이뻐요. 키작은 저한테 길이도딱이고 봄여름가을까지 입을것같아요
nhnh03**|고고싱 옷들 정말다괜찮은것같아요 가격대비 핏도 이쁘고 여성스럽고 다조은데 구김이 좀가는편이에요 세탁도좀까다롭고 그래두만족해요
my0101**|생각했던거랑은 다르지만 나쁘지 않은 것 같아요~ 그냥 후리하게 입기 좋은 티인듯?ㅎㅎ 품도 낙낙해서 통풍도 잘 될듯ㅋㅋㅋㅋㅋ
sksekf**|거의 뭐 인생치마라고 생각합니다 ㅋㅋ 실물은 사진 딱 그대로 생겼어요. 여름에 다리 탈까봐 겁나는데 딱 적당히 가려주면서 덥지도 않게 트임도 있고 소재도 시원해요 ㅋㅋ 더군다나 키도 엄청 작은 편인데 딱 길이 좋게 내려오네요. 다만 왼쪽에 지퍼부분이 처리가 깔끔하게 안되서 붕 뜨긴 하는데 그것말고는 완전 만족합니다.
sksekf**|사진 잘 보이시나요?처음 딱 봤을 때, 짧기는 정말 짧습니다 ㅋㅋ 입으면 배꼽 위까지 와요골지티라서 입었을 때 약간 더운감도 있어요.그런데 가격대비 질이 좋은 것 같아요. 신축성도 좋고, 베이직해서 이쁘기도 이쁩니다. 다른 색도 살 의향있어요 ㅎㅎ
yse98**|사실 딱 달라붙는 티 입는 거는 처음이라 걱정을 많이 했는데 많이 뚱뚱해 보이지도 않고 어디에나 잘 코디 할 수 있는 옷인것 같아요!다만 생각했던 것보다 길이가 짧아 구매하실 분들은 참고하셔야할 것 같아요
my0101**|목 둘레가 좁고 어깨선이 애매해서 그런건지.... 어깨가 부해보여요ㅠㅠ 어깨가 적당하신 분이 입어야할 것 같아요 저는 어깡이라서ㅠㅠ 기대했었는데 저한텐 안 맞는 것 같아요ㅠㅠ
yej48**|재질 좋고 디자인도 이뻐요 사이즈도 제가 원하는 맞으면서도 약간 널널한?핏이라서 맘에 들어요~ 이번 여름동안 잘 입을거 같네여 ㅎㅎ감사합니당
yej48**|재질 좋고 디자인도 이뻐요 사이즈도 제가 원하는 맞으면서도 약간 널널한?핏이라서 맘에 들어요~ 이번 여름동안 잘 입을거 같네여 ㅎㅎ감사합니당
twcck**|좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요
twcck**|좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요
twcck**|좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요
twcck**|좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요
khjj1**|허벅지랑 허리랑 맞추기 힘들어서 엠으로 그냥 샀는데 넉넉해서 좋긴하지만 확실이 작은 사이즈보다 핏은 안나오는거같아요ㅜㅜ그래도 길이가 적당하고 편해서 화이트샀는데도 잘 입고 있어요
yej48**|하체비만이라 사이즈 안맞을까봐 걱정했는데 좀낑기긴 했지만 나름 잘맞더라구요!! 왠만한 사이즈는 작은데 이 바지는 그래도 맞아서 칭찬해주고싶네요 ㅎㅎ 신축성은 많이 없는 것 같아요 그래도 막 불편하진 않아요 ! 이쁜 옷 감사합미다~
my0101**|솔직히 별 기대 안하고 샀었는데 너무 너무 맘에 들어요~~ 길이도 적당하고 디자인도 깔끔해서 좋아요 근데 얇기때문에 안에다가 이너를 꼭 입어줘야돼욤 흰색이라 더 잘 비침ㅋㅋ
wjs0e**|생각보다 딱달라붙는 느낌이아니라 조금 아쉬웠는데 색이나모양은 모델컷이랑 똑같은거 같아요. 그리고 굉장히 얇아서 시원하겠네요~
khjj1**|청멜빵 디자인 중에 진짜 이쁜거 같아요 근데 이거 치마 부분이 생각외로 타이트해서 입을 때 당황당황...색깔도 이쁘고해서 살 좀 빼고 많이 입어야겠어요
coconuti**|바지 라인이랑 색 다 마음에 들어요~다른 후기들을 길이가 보니 짧다고 해서 엄청 짧은 줄 알았는데, 생각보다는 짧지는 않더라구요 ㅋㅋㅋㅋㅋ밑단도 예쁘게 잘린 느낌입니다~~잘 입을게요!
rmffmd**|옷 괜찮아요~~ 이렇게 싼 티가 보면 질이 넘 안좋은게 가끔 있는데이건 색별로 가서싶네용ㅎㅎ 이쁘고 자주 평소에 입을 수 있을것같아요!!
althdbst**|이건 배송오자마자 입어봤는데 기장이너무짧지도안고적당했던거 같아요 하체가 좀 두꺼워서 짧은게싫어서 너무짧으면어쩌나 싶었는데 괜찮았어요 노란색은첨입어봤는데 이뻐요
417743498**|그렇게 많이 비치지도 않고 딱붙지도 않아서 부담없이 입기좋아요~ 저는 주로 원피스나 자켓안에 입는데 친구들이 이쁘다고 하더라구요
417743498**|끈길이 조절이 된다고 해서 구매했는데 티안나게 조절되서 더 마음에 들어요!! 몸에 칭칭 감기지도 않고 무엇보다 남자친구가 너무 좋아하네요ㅎㅎ
lgy81**|기본 반팔로 좋아요~~!! 너무 박시한거 안좋아하는데 크기도 적당한것 같고 비침도 많이 심하지 않아요~~ 남방안에 입으면 예쁠거같아요
lgy81**|사진보다 색깔이 쬐끔 어둡긴한데 이뻐용~~ 뒤에 리본 묶는게 포인트같아요!! 안에 흰 슬라브티 입어도 이쁘고 검정색 쫄티입어도 예쁠거같아용
lgy81**|딱 제가 좋아하는 느낌의 슬라브티에요~~~! 여리여리한 느낌때문에 슬라브티를 좋아하는데 재질 좋아요! 뷔스티에 원피스에 입으려고샀는데 좋네용!!
rainbow06**|제가 하비다 보니까 이걸 입었을때 다리쪽이 널널하다는 생각이 안들었요 그렇지만 그래도 색깔이 정말이쁘고 해서 만족해요!
py25**|면이 부드럽고 참 좋아요.색깔도 실물로 보는게 더 예쁜것 같습니다ㅎㅎ실재로는 모델 샷만큼 어깨가 많이 파이지는 않는 것 같아요. 그래서 더 좋아요ㅎㅎ아무튼 만족하는 제품이에요 굿~~!
py25**|모델 사진 보고 시원해보여서 바로 질렀습니다.사진에서 보는 것 만큼 주름져 보이진 않아요.잘 비치지도 않고 여름에 잘 입을 수 있을 것 같습니다.아주 만족합니다 굿굿~~
py25**|무슨 색 살지 고민하다가 네이비로 질렀습니다.결과는 만족 스러워요.옷이 허리 숙이면 잘 파여서 뒤로 잘 정리해주는 게 좋을 것 같아요.재질은 평범한 블라우스 재질이고 시원하고 좋네요. 굿굿.진주라는게 반 잘린 플라스틱 단추에요.
py25**|신상 나오자 마자 바로 질렀습니다ㅎㅎ다행히도 뜯자마자 너무 예뻐서 만족했어요.천은 봄 까지는 입기 좋은데 여름에는 걸치는 용도 아니면 좀 더워요.핏은 약간 박시합니다. 굿굿이에요~~
13213579**|꺄륵 좋음ㅎㅎ 아주편하고 앞으로 당당하게 기숙사앞 편의점 이용할거임ㅎㅎ그레이도 샀는데 블랙이 더 날씬해보임 기분탓인가 헤헤
13213579**|딱 좋으네요 머 붙는다길래 살짜긴장탔는데 전 키가 작아서 그란지 별로 안붙네염 개 편하고 이뿌요 배송드 개빠름~ 난블랙후기 쓰고싶었는데 ㅈㅏ꾸그레이로 되서 그레이 씀ㅎ 암튼존좋~~~~~
