snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
cbcb**|배송이빨라서너무좋습니당 깜끔하고이뻐보여서시켰는데 가격에비해 엄청짱짱하고 목부분도안늘어날거같아서 좋아요 길이거생각보다되게길어서 원피스됨 ㅋㅋㅋ좋아요
tlaakfl**|옷이 좀 약해서 다리 쫙 벌리면 찢어지겠어요ㅋㅋ물론 요거 입고 쩍벌 할일없겠지만ㅋ길이도 좋고 배송도 하루만에받아서 좋네요항상 3~4일 걸렸었는데ㅠㅠ
tlaakfl**|자수 예쁨요색상은 화이트가 더 괜찮은거같아요네이비는 좀 더워보이니까ㅎㅎ글고 생각보다 옴청 커요.....ㅋㅋㅋ
ryuhs11**|숄더리본 미니원피스를 구매했는데 진짜 여름원피스로 좋을만큼 시원해요! 끈으로 묶어서 입는거라서 리본있어서 이쁘고  색도 이뻐요ㅎㅎ
cdh16**|가격도 싸고 배송도 빠르고 입을때 편해요길이도 적당하고 여름에 입기 좋을것 같아요그리고 벨트도 탈착가능해서 편하고 좋아요!어디에도 잘 어울리고 날씨랑도 맞아요!
12208618**|음, 한번 입구 출근했는데 , 바지 핏이 이뻐요! 편하구요 :) 사이즈도 잘 맞구ㅎㅎ이쁘게 잘 입고 다니도록 할게요! :)
12208618**|아직 안입어봣는데  ,사이즈 잘 맞고 좋아요 !ㅋㅋ날씨도 덥고 하면 , 밝은컨셉으로 입어볼까해서 샀는데..어울리려나 모르겠어요 헿ㅎ..ㅋㅋㅋㅋ잘입고다닐게요!
12208618**|진짜..존예..직장에서 마감근무를 하다보니, 밤에 추워서 입고 다니는데..핏 아무리봐도 존예 입니다! 코디고자이다보니 코디하기가 어려워요 ㅠㅠㅋㅋ흡 그래도 잘 맞춰 입으려 노력중이예요 !ㅋㅋㅋㅋ
12208618**|옷 세탁하기전에 잠깐 입어봤는데 , 이쁘고 괜찮았어요 :) 내일 한번 입고 출근 해보려구요! :) 몸 밸런스가 잘 안맞다보니 어깨 안맞거나 팔길이 짧고 그럴까봐 걱정햇는데 , 다행히 잘 맞는것 같아요 :)
wltn59**|네이비색상주문했어요배송진짜빨라욬ㅋㅋㅋ3시에주문햇는데4시에발송ㅋㅋㅋ허리도밴딩이라 편하구여 기장도 무릎덮어서이뻐요얇아서 비칠줄알앗는데안에안감잇어서 안비챠서조아여
jed11**|옷 이뻐요  색상도 괘얀코 시원하게 보이네요  아직 미착용이지만 가격대비만족합니다  고고싱 반은실패  반은 성공인데 이정도면성공
28942224**|진짜 찰랑거리고 싼티도 안나서 완전 좋아요 색도 딱 이쁜 카키색! 완전 맘에들어요!! 구김도 잘 안가고 깔끔하게 입기 딱 좋은것같아용
hols**|흔한 디자인이 아닌거 같아 구매했어요!! 깔끔하고 예뻐요!! 어디든 함께 코디해서 입기 편해 자주 입을 것 같아요~~~
hols**|흔한 디자인이 아닌거 같아 구매했어요!! 깔끔하고 예뻐요!! 어디든 함께 코디해서 입기 편해 자주 입을 것 같아요~~~
hols**|무난하게 이뻐요! 네이비는 깔끔하고 군더더기 없어요 다만 소재가 린넨이라 구겨짐이 좀 있어성 다려입어야합니당 여름엔 시원할 거 같아요
rnldu**|소재도 시원하고 고무 밴드라 너무 편해요ㅎ 안감이 종아리는 가리지 않아서 더 여성스럽고 이쁘네요ㅎ 허리가 고무긴 하지만 여유가 많은 스탈은 아님 참고!!
lhe11**|가볍고 기본인데 저렴해서 좋아요친구결혼식갈떄 안에 받쳐입고갔는데 너무 좋아요! 반팔만입어도 팔뚝살도 가려줘도 더 맘에듬 ㅋ
rkgud2**|색이 진짜 사진이랑 똑같아요색은 이쁜데 길이가 너무 긴게 아쉽네요그렇게 길줄은 몰랏거든요ㅠㅠ그랴도 여름에 입기엔 좋은것같아요
rkgud2**|아이보리로 구매했는데 옷이 왓을때 먼가 힘이 없어보얐어요근데 입는데는 별 지장 없는것 같숩니당나쁘지않은 옷이었어요
rkgud2**|저는 검은색으로 삿는데 옷이 사진이랑 똑같아욧그리고 얇아서 지금 입기에 적당한 옷이에요무난하게 입기 좋은 옷 같숩니당!!
rnldu**|보자마자 이쁘고 귀여워서 샀는데 역시 이쁘네요 넘 짧지도 않고 패드는 답답할거 같아서 바로 떼어 세탁했음ㅋ  불편하지 않음 그냥 입으셔도 무방~!
dkdld28**|뽕이 조금 딱딱한거랑 제가 말라서 그런지 뽕이 좀 더 있었으면 하는 바램이 ..ㅠㅠ 그래도 편하니 크롭티같은거 입을때 자주 입을거같네여
dkdld28**|쫀쫀하면서도 편하고 예뻐요 사진이랑 똑같은데 살짝 아쉬운게 있다면 입었을때 뒤에 주머니 모양이 안예쁘게 잡히는거같아요..그래도 자주 입을거같네여
고**|고고싱 쪼꼬미언니 후기155cm / 45kg세상 러블리 해보이고 싶을때 추천해드립니다^^ 핑크색상은 살짝 톤다운된 차분한 색상으로 부담없이 입으실 수 있구용~ 지금 날씨에 단독으로 착용하시기 좋을 거예요! 데이트 룩으로도 짱짱! 저에게 길이감이나 디자인적으로 아주 맘에 들었던 상품이예요 동화원피스라는 이름 처럼 아기자기하고 귀여워보일 수 있는 예쁜 상품이랍니다. 매우 추천해드려요♥
bha11**|우선 안에 캡이 내장되있어서 정말 좋네요~!! ㅎ속옷보다 잘 잡아주는건 아니지만 이 더운 날씨에 속옷위에 나시를 또입고 옷을 또 입는거보단 훨씬 좋은거같아요!!
zjqh1**|배송 진짜 빠르고 옷도 무거울 줄 알았는데 엄청 활동하기에 편해요! 사이즈도 넉넉하고 고고싱 자주 이용해야겠어요 짱입니당
