hyomin04**|모델언니처럼저렇게청순한핏은 150cm분들께는 안나와요오히려좀야한거같아요 ㅠ 윗부분트임이 너무 깊어서 안에 나시 꼭꼬꼭꼭꼭!!! 입으셔야하구요연청진청둘다잘어울릴꺼같아요! 전체적으로 귀엽구 발랋한느낌이에요 :)약간 부~ 하단느낌이 없지않아 들지만 그래도 가격에 비하면 만족해야하는거겠죠 ?
tmdgusdms**|입고지연이라 좀 늦게 받았지만 그래도 배송 만족하고 받자마자 입어보니까 진짜 이뻐요ㅠㅠ 워낙 키가 작아서 롱원피스 좋아하는데 진짜 질산것같은 그런 기분 ㅠㅠ 후 진짜 항상 고고싱에서 옷 자주사는데 한번도 실망한적 없던것같아요~ 옷 너무 맘에 들어요!!!
qkwl**|와인색구매햇는데 모델분께서 같이 피팅한 티셔츠도 구매해서 같이입엇는데 이뻐요~~~~~~  저한테 기장은 조금 짧은듯한데 펄럭거리는 디자인이아니라서 별로문제없이 괜찮은거같아요 ~~ 두께도잇어서 좀더추워져도 계속입을수잇을꺼같아요
hyomin04**|사진이랑 그대로에요~하비인 저는 ㅠㅠㅠㅠㅠ 긴셔츠에 같이산 배기랑 입으니까나쁘지 않더라구요!!! 더이쁘게입으려면 살부터좀많이빼야겠지만 ㅠㅠㅠㅠ.. 저는 아이보리색으로샀는데 비침도 별로 없고 길이는 좀 긴편이에요!!
xkj**|예쁨!!! 제가 검정색으로 구입했는데요 후 진짜 예뻤음요ㅠㅠ 카키도 괜찮아서 고민하다가 제가 와펜달린 항공점퍼 여기서 또 구매해가지고 걍 검은 색 샀거든요ㅋㅋㅋ 근데.. 검은색 사기 잘했다는 생각이 들 정도로 진짜 예뻤어요!! 제가 루즈핏 많이 입어서 그런지 너무 크지 않고 넉넉하니 편안하고 예쁘게 핏이 살아서 좋았어요 와펜 그거랑 크기 비교하면 별로 차이가 없음ㅋㅋㅋㅋ 길이도 그렇고 품도 그렇고 음..아닌가ㅋㅋㅋ 둘 다 크기는 대책없이 큰게 아니라 예쁘게 크니깐 너무 걱정하지 마세요 그냥 루즈핏 박스핏 잘 안입는 사람들은 어색할 수는 있겠죵 괜히 떡대 있어보일까 너무 걱정하지 마세요ㅋㅋㅋ 너무 예뻐서 빨리 입고 싶다...
hyomin04**|정말사진이랑똑같아요!!!!!색깔도, 박음질도 너무 이쁘게 잘 되어있어요!길이도 저한테는 딱 적당하구요 (짧지만 이쁜? 그런핏이에요~)스키니랑입어두 이쁘고 반바지랑 입어도 이쁠 아무데나 잘 어울릴 그런 옷인거같아요~만족이에요  :D
myunghee**|제가 와인색을 좋아해서 와인색 줄무늬의 단가라티를 찾고 있었는데 고고싱에 제가 찾던 와인색 줄무늬의 단가라티가 있었어요! 단가라티는 많이 봤어도 와인색 줄무늬 단가라티는 못봤었는데 사게 되어서 정말 좋네요~ 모델분이 함꼐 코디하신 원피스와 같이 사서 입어보았습니다ㅎㅎㅎ
qkwl**|핏이 진짜 이뻐요~~~ 박시하게 이쁜핏으로 딱 떨어지네요ㅎㅎㅎ 여기저기 입기좋아요 디자인도 이쁘고 맘에드네요ㅎㅎㅎㅎ 가격대도 괜찮고 두껍지않아서 요즘 날씨에 걸쳐입기좋을듯 해요 ~~~ 검정색살려고 햇지만 디자인이이뻐서 이거삿네요ㅎㅎ
foreverjh**|완전 귀여워요 !!!제가 키가 진짜 많이 작은편이고 통통한데롤업해서 입으니까 길이도 괜찮고착용감도  편하고 핏도 여유있으면서도 이쁘게 잘 떨어져요 !!완전 만족 만족 !!자주 입고 다닐 것 같아요 ^^감사합니다 !!!!!!!!!!!!!!!!!!!!!!
hyomin04**|이쁘고화면그대로에요! :)흰색 사시는 분들 조심하세요! 얇아서 다 비쳐요ㅠ그래도 가격에 비해서 고퀄! 만족합니당 :D 두께가 얇아서 겨울까지입는건 무리일꺼 같구요!지금부터~ 가을 그리구 늦가을까지도 입기에는 충분한 두께인것 같아요!고고싱에서 자주 사는데 사는데 마다 만족인거같아용 더 이쁜옷들 많이 올려주세용~
meriel**|단가라 와인색 샀습니다.옷 재질도 색상도 너무 마음에 듭니다~~~!가격대비 대대대만족이에요^^ 옷이 보들보들해서 입으면 기분좋아요.그냥 기본티로 입어도 좋고 위에 아우터 입을때 안에 이너로 입어도 이쁠 것 같아서 샀는데 정말 딱 좋습니다!
qkwl**|옷이뻐요~~~~ 제가 키가 큰편이라 소매가 조금 짧앗지만 적당히 이쁜핏이에요ㅎㅎㅎㅎ 아무 바지에나 간단하게 입을때 좋을것같아요 옷은좀 얇은편이고 지금입기딱인듯해요~~~~~ 추워지면 안에 이너로입으면되겟네요ㅎㅎㅎㅎㅎ
xkj**|괜찮았어요~ 음 제가 키가 좀 작아서 그런지 기장은 엉덩이 다 가려주는 정도였고 품도 넉넉했어요 다만 저렴하게 구매했으니 당연한거지만ㅋㅋㅋㅋ어음.. 박음질좀..ㅋㅋㅋㅋ 한 번 빨고나면 분리되어있을것같은 박음질 상태가 좀 걱정이었습니당ㅎ 싸게 샀으니 딱 만족이에요~ 소매 부분이 딱 아무것도 없이 천으로 걍 소매 감싼 느낌이라 좀 허전하더라구요 그런게 두 번 정도 돌돌감으니 나름 예뻤어요 후드 집업이랑 한번 같이 입어봤는데 엄청 떡대 있어보였어요 걍 같이 입지 말아야할듯ㅋㅋㅋ.. 암튼 그냥저냥 괜찮았어요~ 그리고 사진 왜안올라가죠 개빡
meriel**|블랙, 와인 시켰는데 후기들 말대로 배꼽 위로 올라옵니다. 운동의지를 불태우는 옷이네요ㅎㅎㅎ색상은 상품설명에 나온 사진들이랑 똑같아요!재입고 기다리고 기다리다가 산 건데 나름 만족스럽습니다~살 좀만 더 빼서 이쁘게 입으려구요~
myunghee**|원피스를 찾고 있었는데 보자마자 마음에 들어서 샀어요! 요즘 가을이라 와인색 옷이 많이 나오던데 역시! 제가 찾던 이쁜 와인색이에요~ 그리고 원피스에 주머니가 있어서 편해요! 이 원피스가 허리라인을 잡아주는 원피스가 아니라서 부해보일까 걱정했는데 괜한 걱정을 한 것 같네요 부해보이지도 않고 핏이 정말 예쁘네요^~^
dkdus0**|슬랙스가 하나도 없어서 후기들이 빵빵해서 구매했는데 역시ㅜㅜ키도 작고 다리도 짧은 저에겐 슬랙스는 조금 무리엿나봐요.. 제가 하비여서 작은키때문에  s를 시켯어야햇지만 불안해서 m시켯는데 역시 허리는 크고 나머지는 적당? 이라해야되나..  암튼 핏은 잘못살린것 같아요ㅠㅠ 그래도 옷의 재질이나 스판기하나는 짱짱인거 같아요!! 저한테는 비록 핏이 안살지만 옷은 정말 짱짱인거같아요!
phj08**|요즘 맨날 슬랙스만 입었는데 이 옷이 눈에 들어와서 구매했어요! 하체가 그리 날씬한 편이 아니라 스키니 입는 게 좀 부담 스러웠는데 이 바지는 종아리를 가려줘서 너무 좋아요~ 색깔도 화면에서 봤던 색 그대로고 진짜 말 그대로 이뻐요 이번 가을부터 초겨울까지 이 바지 자주 입을 것 같아요 한겨울에 입을 수 있을 진 모르겠지만 이뻐서 입을 것 같아요
meriel**|사이즈는 M 시켰는데 조금 컸어요.보통 고고싱에서는 28사이즈 입는데 이건 허리가 조금 크게 나온듯합니다.허리는 사진에 첨부한것 처럼 너무 커서 수선했더니 딱 좋게 이쁩니다.그리고 기장은 생각보다 짧은 것같아요. 키가 작은데도 입으면 9부 길이 정도 되는것같아요. 키 크신분들은 짧을 수도 있을 것 같아요.그 외에는 바지가 정말 쫀쫀해서 좋아요! 수선후에는 핏도 정말 이쁘게 나와서 대만족 입니다^^
zl**|좋아요 색상도 화면이랑 똑같아요근데 정말 크네요ㅎㅎㅎㅎㅎㅎ원래 기장이길거나 큰 셔츠는 바지에 꼬깃꼬깃 넣어서 입는데이건 넣어 입어보니 근육질몸매처럼 뭔가 부~~해보여요ㅎㅎㅎㅎㅎ그래도 색상이나 디자인이 마음에 드니 잘 입고 다닐게요
dkdus0**|블라우스 재질이 면일줄 알앗는데 오히려 더 좋은 약간 찰랑거리는? 독특하다고 해야하나...? 블라우스는 첫구매여서 표현하기 좀 힘들지만 정말 생각햇던 의외로 좋았어요! 비침은 예상하고 삿는데 이너색은 검정보단 흰색나시를 입고 입는게 더 이쁘더라구요! 아무튼 첫 블라우스구매 대성공했어용~
meriel**|카키색상 사이즈 28 시켰어요! 사이즈는 정말 좋네요.이렇게 애니원 면스키니 4개째네요ㅎㅎ키가 작아서 항상 바지 시키면 수선했어야됐는데 길이 적당해서 좋아요.그리고 발목 쫀쫀해서 핏도 좋은거 같아요~색은 생각보다는 좀 밝은 카기에요. 이쁩다만 그래도 저는 블랙이 제일 좋은 거 같아요
cherish**|생각했던거보다 많이 크긴한데 뭐.....루즈핏으로 입어야지요...청치마랑 입으려고 샀는데 그냥 스키니나 슬랙스랑 입는게 더 이쁘네요. 분홍색 샀는데 색깔도 맘에 들고 무엇보다 소매가 길어서 좋네요~~!!요즘 날씨 추워졌는데 소매가 길어서 다행이에요....
thdbs12**|진짜 박시한 나그랑티에용 ㅇㅅㅇ근데 뭔가 입었을때 목부분이 살짝불편한기분..?그치만 싸고 이정도 재질이니까 그냥입으려고요하나씩 꼭 있어야 할 기본템 인것 같네용고민하지말고사세요~~ 전 네이비색깔로샀는데와인색도 예쁠듯 ㅎㅎ
thdbs12**|55반-66 넉넉하게 입는 편인데요상세사이즈보고 m말고  s를 시켰거든요근데 딱 적당한거같아요 제 키에 저 길이가 엉덩이는 다가려줘요 ㅋㅋㅋㅋ허벅지가 살이있는편인데 가려서 잘입어야겠어요 예뻐요!고민하지말고 사세용가격도 싸고 이름처럼 남방+자켓이에요
cherish**|사진으로 보는거보다 실제가 더 예뻐요! 그리고 생각보다 소재도 좋은거 같아요. 더운소재도 아니고 부들부들해요~~ 잠궈서 입어도 이쁘고 가디건으로 걸쳐도 이쁘네요. 솔직히 기대 안했는데 입어보니 잘산거 같아요~ 다른색도 사고싶었는데ㅠㅠ품절이라 ㅎ흰색으로 샀는데 이것도 나름 괜찮네용
cherish**|마른편이라 딴데서 산거는 거의 헐렁거렸는데 이건 딱 맞네요~~~ 쫀쫀해서 몸에 딱 달라붙고, 소재도 덥지 않은 소재인것 같아요. 가격도 다른곳은 4천원이 젤 쌌었는데 여긴 3천원이라 부담없이 샀어요~~화이트 색상도 구입해봐야겠네요 ㅎㅎ
ghr9**|지퍼도리 백팩 블랙색상!배송은 주문한날 바로 출고해주셔서 이틀도 안 걸린 거 같아요!빠른 배송 감사합니다~가방은 기본 디자인에 수납공간도 적당히 있어서 참 마음에 듭니다시중에서 이런 기본 가방에 옆에 우산까지 넣을 수 있는 포켓 있는 가방이 별로 없는데 편리해요~ 소재는 겉은 면 같고 안은 폴리 같아요생활방수 정도는 될 거 같습니다 !안에 아이패드 정도 넣을 수 있는 주머니도 있어서 편리합니다가격도 정말 마음에 들었어요!원산지 한국이네요 오래 들어서 망가지더라도 재구매의사 있습니다~요청드린대로 하자 없는 상품 보내주셔서 감사합니다!굿굿!!  계속 팔아주세욤:-)
lmj43**|초록색 구입했어요!!~  색상은 화면이랑 비슷한거 같구 두께도 좀 적당해서 지금입기에 괜찮아요~하나단점은 약간 팔길이가 어정쩡한느낌?...낮에는 더워서 살짝 롤업해서 걷어올려서 입었어용 저만 그런걸수도 있지만 팔부분이 조금만 더 짱짱하면 좋겠어요!!
chn9**|155 50 인데요 좀커요 .. 많이 소매올려도 팔쪽이가오리라서 조금애매해여 ㅎㅎㅎㅎㅎ 그냥 코트안에입던가 잘입어봐야핳꺼같아요 체크 스타일은 제스타일인데 작은분들은 고민해보세요 팔3번 접어야됩니다 ㅎㅎㅎㅎ 허벅지위까징 길이도 딱좋은데 옆으로 넘커요 호ㅗ
