kopiu9**|핏이 너무 애매해요 너무 찰랑거려서 불편할 정도 넣어입으면 괜찮은데 빼입으면 핏이 너무 애매해지는ㅠㅠ.. 찰랑거ㅓ리고 착 가라앉아서 어깨라인이 잘 드러나는건 좋아요
kopiu9**|적당항 핏에 목부분이 잘 늘어나지 않아서 좋은것 같아요 진짜 기본적인 베이직 아이템 이라서 다양하고 많은 옷들과 코디하기 편해서 좋네유
eunji82**|옷은 예쁜데 저한테는 안어울려요ㅠㅠㅠㅜㅠ 원피스로 입는 것보다는 로브로 입는게 더 이쁜것 같아요. 배송은 빠르게 와서 좋았어요~~
eunji82**|옷 너무 편하고 예뻐요~~요즘 제일 자주 입는 옷이에요ㅎㅎㅎㅎ 어떤 하의에도 잘어울리고 좋아요!!! 예쁜 옷 감사합니다.
kiz04**|와 재질이 진짜 시원해요 지금입기 엄청 딱이구요 넘 귀엽고 예쁘고 핏도 저랑 안 맞을 줄 알고 좀 걱정하고 샀는데 잘 맞아서 정말 좋아요 편합니다
alslsi**|핑크골드가 더 이뻤을거같지만심플함을 추구하고자 실버를 샀습니당귀엽구 이뻐요 찰랑찰랑 생각보다 잘보이구여큐빅이 쪼오금 싼티나보일거같기도한데예뻐서 괜찮아요ㅎㅎㅎ힣히 근데 진주하트링? 그게 좀 더 이쁜거같아요싸고이쁘니까 사세요!
alslsi**|흐에에ㅔㅇ 넘이뻐요귀걸이 너무좋아해서 옷보다 많을 지경인데살 생각 없었는데 사게됐어요ㅋㅋㅋㅋ원이 생각보다 크긴한데 이뻐요 걍이쁩니다 사세요 사야해 귀엽구 이뻐요
skj**|색도 이쁘고 허리도 딱 맞고 길이도 안정감있어요! 와인색 좋아해서 샀는데 너무 맘에 들고 잘 입고다닐거 같아요~~ 세일가격으로 사서 더 좋네요!
eunji82**|옷 너무 예뻐요!!밑에 치마도 고고싱에서 산거에요ㅎㅎㅎ 팔뚝살을 잡아줘서 너무 좋아요ㅋㅋㅋㅋㅋ예쁘게 잘입을께요!!! 노란색도 사야겠어용~~~~
eunji82**|여성스럽게 보이게 해주는 옷이에요~~~다만 옷에 구김이 잘가서 아쉽네요ㅠㅜㅠㅜ원래 그런 재질이라 그러겠죠? 잘입겠습니다!!
eunji82**|배송은 5일 정도 걸린거 같아요!! 저는 급하게 입을껀아니여서 괜찮았어요~~~ 옷은 너무 예뻐요~몸라인이 이뻐보이게 해주는 옷이에요. 저는 뱃살이 보여서 살빼고 입어야겠어요ㅠㅠㅠㅠㅠㅠㅜㅠ옷 재질은 엄청 얇은 재질인데 안에 속치마가 있어서 비치거나 하지는 않아요. 다만 앉거나 일어날때 조심해야될꺼같아요ㅋㅋㅋㅋㅋㅋ옷 찢어질까봐..... .
guswn86**|노란색 너무 튀고 안어울릴까 했는데 전혀 그렇지않아요! 너무 이쁘용!! 친구랑 트윈으로 입어도 이쁠거 같아요 편하기두 엄청 편해요!!
guswn86**|이뻐요! 보통 저런 디자인 스커트는 바람불면 뒤집어 지는데 이건 전혀 안그렇네요!! 색상도 너무 이쁘고요!♡ 사진처럼 크롭에 입으면 엄청 이쁠거같아요!
guswn86**|사진보다 색이 밝아요! 흰색이랑 입을때 가장 이쁜거같아요!! 기장도 날씬해보이는 기장이에요!! 근데 속치마랑 원래 치마랑 꼬매질때 살짝 뒤틀린거같더라구요 ㅠㅠ 그래서 입으면 그부분만 툭튀어 나와요ㅜㅜ
guswn86**|일단 생각보다 M인데 허리랑 기장이 엄청크더라구요ㅠㅠ 기장 수선해서 조금 짧게 입으면 엄청 이쁠거같아요! 딱 가을에 어울리는 색인거 같아요! 근뎅 다림질도 빳빳하게 되서 왔으면 좋았을 텐데요 ㅠㅠ 아쉬워요 ㅠㅠ 수선 집가니까 다림질 못하는거 라고 구러더라구요  집에서 해야죠...ㅜㅜ 그래도 가격대비 퀄리티나 디자인 너무 마음에 들어요♡
guswn86**|핑크 진짜 조녜에요! 바지랑 입어도 이쁘고 치마랑 입어도 이뻐요!! 옷도 엄청 뚜껍지 않은데 안에 비치지 않아서 좋아요 ㅎㅎ사진은 사진선택이 안되서 올릴수가 없네요ㅠㅠ
guswn86**|딱 지금 날씨나 한여름에 입기 좋아요소재도 부드럽고 시원해요! 흰색이라서 비칠거 같았는데 안에 속치마가 있어서 비치지 않고 부담없이 입을수 있을거 같아요근데 왜 모바일은 사진등록이 안되나용??
ashley**|일단 받았을 때 색이 너무 예뻤어요!딱 원하던 청록 색이었고재질도 엄청부들부들하고 좋아요!근데 어깨가 좀 넓어보인다는 점과 천이 너무 부드러워 속옷자국이 선명하게 난다는 점이 좀 아쉬웠어요 ㅠㅠ 전반적으로는 만족합니다~ 가격이 싸니까요!
hmin8**|저는! 검정색 샀는데요!! 이 옷이 프리사이즈라 그런지통도 너무크고 그냥 편하게 입어야 되는거라 이쁘지도 않아요ㅎ 근데 진짜 편하긴 편해요 짱! 아 그리고 재질이 생각보다 많이 빳빳해요 저도 사기전에 빳빳하다는 후기봤는데 진짜 생각보다 더 빳빳해요 뭐랄까..종이 같아요 근데 정말편하답니다!!ㅎㅎ 가격에 비하면 편하게 입으려고 하나쯤사는것도 나쁘지 않을듯해요
jjaa991**|진짜 귀여운옷이고 티입을때 딱붙는거 입는게 더 예뻐요!!저옷입고 전부다 귀여워보인다고 할정도로 옷이 진짜 궈여워보이는 옷이에요!!단 가슴큰사람은 안입는게 좋더라구요!!잘 안잠기고 단추가 벌어져서 좀 그렇더라구요ㅠ
jjaa991**|진짜 예쁘고 괜찮고 시원해요!!!!어디 놀려갈때나 아님 잠깐 어디나갈때 입어도 되고 중요한곳에 갈때 입어도 될거같아요!!생각보다 야하지도 않아서 좋아요!!!
heseo94**|흘러내리지않을까 걱정했는데 하루종일 뛰던지 걷던지 딱 그자리에 흘러내리지않고 있더라구요~ 저는 편했어요! 어깨넓은 옷들이나 오프숄더 때문에 끈이 걱정되었었는데 아무걱정 없어졌어요~!
heseo94**|리본이 잘 풀려서 입고나서 박음질을 했어요~! 처음 딱 입고나갔는데 러블리하다고 귀엽다는 소리 들었어요 ~ 옷은 하늘하늘 하고 예뻐요♡ 색감도 좋고 마음이 듭니다~!!
elf9lo**|아주 좋습니다!! 몸에 딱 맞게 달라붙고 어떤 옷에도 기본템으로 잘 어울려요ㅎㅎ 여리여리해 보이고 좋아요!! 아이보리 색상도 하나 장만해야겠어요!
elf9lo**|이뻐용ㅎㅎ 아침에 고데기 할 시간 없을 때 이것만 입음 해결되는 것 같아요ㅎㅎ 너무 오래 착용하면 머리가 조여서 살짝 아프긴 하지만 괜찮아용ㅎㅎ 다음에 다른 색상으로 또 사고 싶어요ㅎㅎ
