dudwn9**|린넨처럼 하늘하늘하기보단 받쳐주는 느낌의 재질이에요~그렇다고 또 두꺼운 소재는 아니라 여름에 입기에도 부담이 없네요ㅋㅋㅋㅋ 66도 잘맞게 입을 수 있고 기본템으로 충실합니다 가격대비 짱 대신 비침은 있고 칼라?부분 잘정리하고 입어야  할 것 같아요 벌어짐주의!
ym101**|너무이뻐여ㅠㅠㅠㅠ 작은가방을 장만하고 싶어서돌아보던중 이게 눈에 띄어서 구매했습니다~~받고나니 생각보다 많이 작기는 하지만 필요한것만집어넣으면 괜찮아욬ㅋㅋㅋㅋㅋㅋ그레이색상이였나?그거 샀어요 색깔이 이제 제일 예쁘고 보는사람마다 이쁘다고 하네요♡♡
dudwn9**|예뻐요~~- 키, 160-착용사이즈 L-착용후느낌은?(좋은점/나쁜점)색상도 예쁘고 핏도 스키니하지않고 일자라 스타일리시합니다!! 키는 작지만 덩치가 있는편인데 잘맞아요 다만 어깨끈부분이 불편하네요 다른건 대만족
bamsong**|니트너무부드럽고이뿌네요.루즈해서여성스럽구입엏을때핏이정말이쁘게나와요ㅎㅎ무난한디자인이라어디에도잘어을려서가을겨울아주자주입을것같은생각이드는옷이네요^^니트치고저렴한가격에놀랐는뎅퀄ㅇ리티보구더맘에드네요
cndska61**|정말 예쁜 것 같아요. 핏도 잘맞고 지금 걸치기 딱 좋은 것 같아요. 약간 제가 몸집이 있어서 걱정했는데 정말 잘 맞고옷에도 문제가 없어서 좋네요^^무엇보다 어떤 옷, 바지랑 입어도 잘 어울리는 것 같아서 좋아요. 이번 가을 동안 편하게 입을 수 있을 것 같아요ㅎㅎ
bamsong**|너무너무이뻐여ㅎㅎ뒤에가고무줄이라편하면서도앞에는단추라너무캐주얼스럽지도않은게어디에서나입을수있는스타일이에요ㅎㅎ사이즈도넉넉해서활동하기편하구앞으로많이입구다닐것같아요♡밑단이더좁길바라긴햏는데오히려넓어서발목이얇아보이네여ㅋㅋ
jykim24**|옷이 진짜 이쁜데좀 짧은게 많이 아쉽네요엉덩이 간신히 덮는정도인듯그래도 옷은 진짜 예쁘고 좋아용완전 만족이요 이제 가을되서 이거 잎고다니면 좋을거 같아요요즘같은 날씨에 일교차 심하니까 입으면 딱일거같아요옷 진짜 이쁘고 최고애요!!!!!!
ses03**|기장도 맞고 흰색이라서 비침은 좀있지만 안에 나시입고 입으니까 괜찮아요~마음에들어요 ㅎㅎ
ses03**|키가 작아서 기장이 맞을까 했는데 딱맞아서 기분좋앗어요~발목까지 조아줘서 너무 마음에 들어요 ~~
seunga5**|와인이 색이너무 예뻐서 길이감이 찾던것보단 길었지만 주문했어요. 근데 핏이 생각보다 좀 별로더라구요.. 허리묶으면 그렇게 나쁘진 않은데 전 오픈해서 입으려고 했거든요. 오픈해서 걸치듯 입으면 굉장히 몸이 커보이는..? 실제로 체격이 그리 큰편이 아니라 다른 트렌치코트나 자켓걸치면 그렇지않은데 이아이는 다르더라구요ㅋㅋ 입을까말까 엄청 고민하다가 결국 반품해여ㅠ그치만 색은 정말 예뻐요!허리 묶어서 입으실분들은 괜찮지만 저처럼 오픈해서 입을 생각으로 구매하실분글은 한번더 고민해보는것도 추천합니당
dlstjs72**|하이웨스트반바지찾고있다가 이쁘길래클릭해서 모델분핏 보다가 색도예쁘고 핏도예쁜거같아서 주문했더니 역시나예뻐요..첨에제가m사려다 s샀는데 s사기잘한것같아요!입다보면 살짝 늘어나는것같고 편하고 청색이라 위에옷도맞춰입기편해요~ㅎ
minimung**|그전에 블루색상으로 입어보고 너무 편해서 블랙색상으로 주문했는데요...... 종아리쪽이 급격히 좁아지는 느낌이 있었구요... 그전과 핏도 달랐어요.. 음/....그렇네요.. 기대했건거 보다는 약간 못미치는 정도에요 ㅜ
dlstjs72**|제가 하체가 두껍지도 날씬하지도않은..그냥 보통정도인데 이거사서입었는데 스판이라 잘늘어나고 편하고 하이웨스트라서 다리도 길어보이는핏이라 옷이참예쁘게잘나왔어요!색깔이 진청색깔이라 막 청바지색말고 좀어두운색이고 편한고이쁜거찾으시는분들한텐 좋을것같아요
dlstjs72**|이건진짜 핏이 장난아니예요..그냥진짜최고라는말밖에안나오는..사고선 진짜 더워서 아직밖에입고못나가는데..집에서 입어봤을때..진짜 지금까지제가 샀던 니트중에제일예뻐요약간 가오리핏인데 그냥어떤스키니나 바지에도매치잘되고 편하게입기도이쁘고 그냥예뻐요 최고!!
sj12**|기장도 적당하고 편해요!
gmlqls12**|키165에 몸무게 50이구요 사이즈는 M샀더니 딱 맞아요 골반이 넓어서 항상 바지를 고를 때 걱정이많았는데 생각보다 잘 들어가고 입기가 편해서 좋아요~ 생각했던 핏이날까 했는데 완전 만족스럽습니다.잘입을께요 감사합니다~~~~~~
didwjstk**|레드랑 화이트 구매했어요~ 가격이 저렴해서 엄청 얇을줄알았는데 아니었어요. 생각보다 두깨감이 있어서 놀랐습니다~~ 입었을때 참 따뜻하구요, 튀는거없이 기본스타일이라 매일매일 자주입게 될거같아요! 이거 다른색상도 구매하고싶네요 완전 만족입니다^^
heeya14**|포토후기 1등맞죠?ㅎ.ㅎ여행가기 전에 가을에 입을 만한 옷을 여러개 샀는데 제일 만족한게 이 티예용 비가와서 마지막날에 쌀쌀했는데 적당한 두께감에 소매길이 땜에 좋았구용핏도 어깨 안 넓어 보이는 딱 떨어지는 핏이라 해야되나?? 완전 제일 마음에 들었어요ㅎㅎ! 이 티는 조만간 다른 색으로도 더 구매할 예정!
didwjstk**|목부분이 답답하지않을까 걱정했는데 전혀 그런거없구요, 신축성이 좋아서 편해요~ 브라운색깔 구매했는데 화면이랑 색 똑같음ㅎㅎ 두깨도 도톰한 편이라 추운날에도 자주 입을수 있을듯합니다~ 근데 살짝 까쓸까슬한 느낌이 있어요ㅜㅜ 안에 나시받쳐입어야할듯?ㅠㅠ
wendy6**|하얀색을 구입했는 데 이렇게 비칠지 몰랐다. 그냥 스타킹 처럼 비친다고 생각하면 되겠다. 안에 하얀색 나시를 구입해야 겠다. 플레어 치마에 입으면 예쁠 거 같다. 하얀색은 많이 비친다는 걸 주의하면 좋을 거 같다. 다른 색 옷은 잘 모르겠지만..
didwjstk**|레드랑 화이트 구매했어요~ 가격이 저렴해서 엄청 얇을줄알았는데 아니었어요. 생각보다 두깨감이 있어서 놀랐습니다~~ 입었을때 참 따뜻하구요, 튀는거없이 기본스타일이라 매일매일 자주입게 될거같아요! 이거 다른색상도 구매하고싶네요 완전 만족입니다^^
chlgpwl05**|ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 아정말 좋아요 제가 하비라서 치마 즐겨입는데요 딱붙는게 이쁘구요 진짜 이름처럼 찰떡져가지구 완전 내스타일.. 그리고 색깔도 딱 사진이랑 똑같애서 좋은거같애요 많이들 참고하시고요 전 블루도 조만간 살까합니다 흐흫ㅎ
wendy6**|사실 미키 마우스 가방보다 개인적으로 이 가방이 더 마음에 든다. 미키마우스 가방은 좀 귀여운 느낌이라면 이 가방은 좀 시크한 느낌을 준다. 심플하고 무난하게 들고다니기에 좋은 가방이다. 하얀색 가방을 구매했는데 약간 때 타는 게 걱정이긴 하지만 크기도 적당하고 괜찮은 가방이다.
wendy6**|진짜 예쁘다. 하얀색을 구입했는데 미키마우스 캐릭터라 그런지 가방이 귀엽다. 미키마우스 캐릭터가 있으면 어떤 옷이든 좀 귀여운듯..검정색은 잘 모르겠지만 하얀 바탕에 검은색 미키마우스 있는 게 더 잘 어울리고 예쁜 거 같다. 사실 선물용으로 샀는데 선물 받은 사람도 엄청 마음에 들어헸다.
didwjstk**|평소 27입고 M사이즈 구매했는데 잘 맞네요~ 실선은 확실히 초록색이구요ㅎㅎㅎ 실선빼곤 색감은 화면이랑 같아요. 근데 다른 하이웨스트에 비해선 허리를 좀 타잇하게 감싸주지는 않는듯해요ㅜㅜ 허리뒤쪽이 조금 남아서 그런듯한데 그래도 전체적으로 핏이 괜찮아요~ 스판도 적당하고 가격대비 좋은 상품인듯합니다~
wendy6**|아직 사용하지는 않았지만 사진보다 실물이 작은 거 같다. 작아서 싫은 건 아니고 개인적으로 적당한 크기인거 같다. 검은색을 구입했는 데 안쪽에 빨간 안감의 색깔이 마음에 든다. 촉감도 부드럽다. 나중에 친구랑 만날 때 들고 가면 좋을 거 같다.
wendy6**|너무 작은 걸 사서 망했다.. 평소에 내 몸을 너무 과대 평가 했던 거 같다. 그거 말고는 옷은 좋다. 근데 진짜 다리 얇은 분들이 입으면 좋은 옷이다. 위에다가 회색 박스 티 같은 거 입으면 잘 어울릴 거 같다. 마감질도 괜챃고 다리 얇아 보이는 날 입을꺼다
didwjstk**|핑크구매했는데 색깔이 넘 예뻐요 사랑스러운 핑크색이네요~~ 화면 그대로에요~ 까슬까슬하지도 않아서 편하게 입을수 있을듯해요. 안쪽이 좀 비쳐서 나시는 받쳐입어야할거같구요~ 단점이라면 어깨선이 좀 밑으로 쳐져있어서 어깨가 살짝 넓어보이는거같아요ㅜㅜㅎㅎ 옷이 좀 구겨져서와서 사진에서는 구김이 많이보이는데 다려서입으면 더 이쁠듯요~
chlgpwl05**|후기보고 다들 탄탄하다해서 샀는데 정말 맘에듭니다ㅠㅠ 따른데는 디자인 이쁘면 다 흐물거리는 얇은거였는데 이건 두껍고 좋아요 완전 강추입니다 ㅎㅎ 사고나서 매일 이것만 들구다녀요ㅠㅠ♡♡ 안에 실밥들이 좀 있던거만 빼면 완전 깔끕하고 편하고 좋아요 ㅎㅎ
