qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
swat2**|색상이 너무 이뻐요 색상이 밝아서 그런지 얼굴이 확 사는 느낌?? 연한 핑크색이라 아이보리나 연청 하의에 입엇더니 더 이쁜거 같아요 또 이런 색의옷은 타이트한 것보다는 조금 통이 잇어서 여리여리 해보이는 것이 더 이쁘고 잘 어울리는 거 같아요
swat2**|정말 기본적인 티이지만 그만큼 어느 하의에 매치해도 이쁠거 같아여 이 가격에 이정도의 질이면 거져네요 두깨감도 적당히 잇어서 일교차가 큰 날씨에도 아무것도 안 걸쳐도 좋고 통이 커서 한 낮에는 바람이 슝슝 들어와요 그리고 여리여리해보여서 너무 좋아요
znznsj**|이거 진짜 완전 이뻐 진짜 이갠 긴말없이 정말 이뿌니깐 뻘리 사세요 그리고 이거살때 사이즈 원래입던 사이즈보다 한치수 작게사야할껄요? 제가 원래입던 사이즈로 샀는데 허리가 크더라고요 암튼 이거 놓치지말고 사세요 대박 상품!! 좋습니다
znznsj**|막 그렇게 짧지않고 진짜 길이도 적당해요 쪼이지도 않고 완전 편안한 반바지를 원하는사람들에게 추천!
znznsj**|진짜 이옷 가벼운거 인정! 음..그리고 길이가 쫌 약간짧다는점? 옷길이 짧은거 좋아하는사람 이거 추천해여 옷도 가볍고 얇고 지금 이달에 입게 가장좋을듯합니다 옷도 가볍고 하지만 무엇보다 이뻐요 정말 이쁩니다 빨리빨리 놓치지말고 사시길
znznsj**|이거 대박 옛날치마같은 느낌이 들긴하지만이쁨! 저는 참고로 분홍색을 샀지만 무난하게 그냥 검은색으로 사는게 나을듯해요 분홍이 어울리신다고 생각하시는 사람은 분홍사도 괜찮을듯해요 길이는 무릎밑정도? 정말 편안하게 입고 다니시면 아주 좋아요~
znznsj**|버터스퀘어 반티! 저는 아이보리로 샀는데요 이뻐이뻐 완전이뻐 >< 내맘에 쏙 들었어요 한번사서 입어보아요 맘에 들어하실꺼에요 여기서 옷사고 후회한적 없답니다 약간 박스티같은 느낌이 들긴해요 반바지같은거에 같이 입으면 이쁠듯!!
znznsj**|대박 좋아여~~!!!!! 진짜 진심 부담스러울정도로 완벽해요 이거 덕분에 자신감도 업!! 한번사면 다시또 사고싶으니 두개정도 사시길! 정말좋아요 믿고 보는 고고싱 한번사서 입어보세요 정말진짜 완전 대박 망설이제말고 빨리 주문하세요 놓치면 후회합니다~
sylvia09**|초코색 생각보다 이쁜것 같아요ㅎ무난해서 잘입을 수도 있을것같구요잘 받았습니다^^감사합니다~
vheh07**|난 s사도되는데 종아리가 끼더라고 ㅋㅋㅋ일을 해서 그런가봐ㅠㅠㅠ 그래서 m으로 샀는데 ㅋㅋ종아리는 괜찮은데 허벅지가 안맞는다ㅠㅠㅠ어쩜좋지??ㅋㅋㅋㅋ그래도 갠춘 잘 입고다니고있어 편하게그래서 이건 아니면 친구 줄까도 생각하고있어ㅋㅋㅋㅋㅋ 뭐랄까 배기 느낌이여서 잘안맞았나바ㅠㅠ다 맘에드는건아니더라궄ㅋㅋㅋ
