qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
wlgp03**|진짜 완전 짱!!!!!!!!!!!!! 이건 꼭 사야해요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 강추 강추 ㅋㅋㅋ 하얀색 샀는데요 검정색 있으면 검정색도 하나 살것같아요 ㅠ_ㅠ...... 정말 예뻐요 ㅋㅋ 깔끔하게 막 입을수 있고 ㅋㅋ 나시로도 가디건으로도 따로 입을수있고 진짜 강추
wlgp03**|그냥 편하게 입을 자리에서 살랑살랑  귀엽게 입으면 될 것 같아요 ㅋㅋㅋ 깔끔하고 귀엽고 화면 그대로에요 ㅋㅋ 색깔별로 사놓으면 좋을 것 같아요 가격도 저렵하니까 ㅋㅋㅋ 하얀색 샀는데 비침도 없고 시원하게 잘 입고 다닐 것 같아요 ~ 입어보고 다른 색도 살게요 ㅋㅋㅋㅋㅋ
yjkim98**|밴딩으로된 바지 찾다가 샀는데 진짜 가격대비 엄청 좋은거 같아요 편하게 입기도 좋고 위에 아무티나 입어도 다 잘어울리네요 근데 그레이 받고 살짝 당황했어욬ㅋㅋ 그레이가 아니라 약간 밤색?그 색이던데 그레이사실분들 참고하세요 다음에 시킬때 베이지도 하나더 시키려구요
tnsdl19**|청바지에입으면짱이쁩니다ㅎㅎ핏도
tnsdl19**|살도티가안나고!무슨옷이든다어울립니다
gmlqls1**|너무귀여워요ㅋㅋㅋ잘입을게용
tnsdl19**|길이도적당하고!입기좋습니다
wlgp03**|진짜 맘에 들어요 ㅋㅋㅋ 귀엽고 근데 살짝 더 길어서 박스핏으로 입으면 좋았을텐데 길이는 그렇게 길진않아요 ~ 제가 키가 작은데도 ㅎㅎ 질이나 디자인은 정말 맘에 들어요 깔금하니 ㅎㅎ 색깔별로 사고싶을정도로 예쁘네요 ~~ 비침도 없고 좋아요 ㅋㅋㅋㅋ
tnsdl19**|흐르는듯한핏과 무슨옷이든다커버가되는옷!
jgj89**|흰색이라 많이 비치고 소재도 너무 얇아서 싼티나보여요 ㅜㅜ
gmlqls1**|편하게 입고다닐수잇어서 너무너무좋아용♡
tnsdl19**|핏이좋고!길이도적당하고좋습니다ㅎㅎ
wlgp03**|음...솔직히 고고싱 하면서 제일 실망했던것 같아요 ㅋㅋㅋㅋㅋㅋ 매우 두껍고 뭔가 엄청 크네요.... 줄여서 입어야 할것같은데 줄여서 입으려면 수선비가 어마어마하게 들것같아요 ㅋㅋ 그래도 싸게 샀으니까 뭐 ㅋㅋ 줄여서 잘 입도록 할게요 ㅎㅎㅎㅎㅎ
gmlqls1**|마음에들어요 요즘미키마우스에 빠져서..♡다른거또구매하려구요
jgj89**|이건 나름 갠차나요~
wlgp03**|옷 사면서 마침 속바지가 필요해서 하나 샀어요 ~ 살색 사고싶었는데 없어서 검정색 샀는데 괜찮네요 ㅎㅎ 짧고 딱 붙어요 근데 가격이 가격인지라 좋은질 기대 안하신다면 만족 하실것같아요 ㅎㅎ 저는 실이 쭉쭉 계속 늘어난다고 해야하나 ㅠ_ㅠ 그거 말고는 괜찮아요 ㅎㅎㅎㅎ
dkssk47**|배송은 괜찮았구요여성스러운느낌 원했는데.괜찮네요~비침도 많이 없구요길이가 좀 애매해서 스커트에 입는게 이쁜것 같아요.
chfhd03**|네이비 구매하고 마음에 쏙 들어서 와인까지 재구매! 치마속에 속바지까지 있어서 여름에 따로 속바지 챙겨입지 않아도 되고 재질도 바람 잘들고 그래서 시원하고 좋아요  사이즈도 평소 55입는데 딱 맞고 길이도 그렇게 짧지않아서 부담스럽지 않아요
sidhd7**|흰무지티 진짜 사고싶었는데ㅠㅠ완전좋아요!!!좀 크게입는거 좋아하는데 이거완전 넉넉한핏..♡진짜 어디든 입어도 잘어울릴 옷인거같아욯ㅎㅎ
ydw12**|색이 너무 이쁘고 캐릭터가 귀여워서 샀ㅅ는데 청치마 청바지 반바지 아무거나 다어울리고 편해서 좋앗어요!!색이진짜 조녜..이거 핑크색 완전추천이요!!
ydw12**|진청색을 샀는데 색도 너무 예쁘고 이쁘게 잘찢어져서 너무좋앗어용 끝도 적절하게 남고 길이도 적당해서 너무 좋앗는데 허리가 좀남아서 아쉬웠어요ㅜㅜ그래도 예뻐서 만족스러워요!!
thakf93**|하얀색235사이즈구입!!굽이잇어서그런지바닥은푹신푹신하고좋은데사진으로보이듯이짝짹이로만들어져서왓네요..처음에별로신경안쓰다가한번신고나갓는데한쪽발만발등에물집생기고너무불편햇어요이미한번신어서교환은안되겟지만다른분들꺼도조심해주세요
ydw12**|처음으로 고고싱에서 h라인 스커트를 구입 해보앗는데요!!색도 너무 밝지 않고 너무 꽉끼일꺼봐 걱정했었는데 너무 꽉끼이지도 않아서 엄청 편햇어용 그리구 특히 핏이 너무 조아요..ㅠㅠ한번 빨았는데 색도 안빠지고 너무너무 예쁜것 같아요!굿!!
kmja**|베이지랑 소재가 조금 다른거 같아요네이비가 좀더 도톰한듯기분탓인가요? ㅎㅎㅎ흰티에 혹은 스트라이프에도 괜찮네요베이지를 m 하니 길이가 딱 적당하길래이것도 엠했어요약간 교복같기도한데 그래서 더 맘에 드네요속바지 따로 안챙겨입어도되니 좋아요
kmja**|길이가 짧다는 평이 많아서 M사이즈 했는데허리는 살짝크지만 옷을 넣으면 입을만 합니다.에스 샀으면 허리가 딱 맞을거 같은데길이가 너무 짧았을거같아요엠사이즈 길이가 저한텐 적당한듯해요운동화에도 구두에도 잘 어울려요그리고 바지있어서 편해요
gywjd22**|예뻐요!!지금입어도 더울것 같진 않아요~ 두껍지않고 진짜 한 여름엔물론 덥겟지만 청스키니랑 입으니 잘 어울리고 예뻐여끈이 많이 불편하고요 ㅜㅜㅜ 잘 묶어야해요펄럭이는게 바람도 잘 통하고 예쁩니다!정장같으면서도 캐주얼하고 다용도로 입을수있을거 같아요!
gywjd22**|예뻐요!!지금입어도 더울것 같진 않아요~ 두껍지않고 진짜 한 여름엔물론 덥겟지만 민소매랑 입으니 잘 어울리고 예뻐여길이감 땜에 살짝 무거운데요펄럭이는게 바람도 잘 통하고 예쁩니다!정장같으면서도 캐주얼하고 다용도로 입을수있을거 같아요!
thakf93**|아이보리색구입햇구요청바지에코디하니가진짜이쁜거같아요♥♥그리구미키도너무기여워요ㅜㅜ진짜잘삿네용
qlfflqj**|그냥 그래용
qlfflqj**|진짜 이쁘고 좋아요 데일리룩으로 이뻐용
qlfflqj**|진짜 아무때나 아무데나 입기딱좋아요!!!!
qlfflqj**|이쁘고 평소에 입기 좋은거 같아요
sooeun**|평소에 원피스를 자주 안입어서 조금 어색하기도 했는데 계속 입어보니까 심플하기도 하고 귀여운 것 같기도 하고 튀지 않아서 저는 정말 좋았어요ㅎㅎ 생각보다 길이가 길고 폭?이 넓어서 조금 아쉽긴 했는데 제가 마른편이니까 그건 어쩔 수 없죠ㅠㅠ 그리고 옷 자체는 스판이 없어서 입을 때나 벗을 때 엉덩이랑 가슴때문에 조금 힘이 들어요ㅠㅠ 그래도 편한건 진짜 편해요!!잠옷같은 편안함ㅎㅎ감사합니다!
gjtpfha**|짱이뻐요!
gjtpfha**|핏도 이쁘고 딱 맞는거같아요 잘입을꼐요~~!
gjtpfha**|디자인도 맘에들고 딱 입어봣을때 정말 이뻣어요!!추천합니당~!
unique**|저는 목이 좀 늘어져서왔네요 그래도 뭐 넉넉하니 목핏만 맞았다면 예뻤을듯해욤
thakf93**|검은색구입했어요!!처음에색깔고민진짜많이고민햇는데검은색사길잘한것같아용!제가이런가방은다번잡하고꽉찬그림잇는것뿐이여서무난한가방찾고잇엇는데완전대만족!♥♥
glgls**|기본티로 흰색이랑 검정색이랑 주문했어요~~~검정색은 괜찮은데흰색은 비치네요ㅎㅎ그런데 뷔스티 속에 입을거라 괜찮아요!!얇아서 시원할거 같아요^^많이 입고 헤지면 또 사고싶네요품절되서 안 팔지만 않는다면요ㅎㅎㅎ감사합니다
gmlsskq**|평소에 상의 66사이즈 입어서 옷이 맞을까 걱정했는데 ㅎㅎ 이쁘게 잘 맞아서 좋았어요. 흰색 구매했는데 깔끔하고 기본티로도 좋고 어디갖다대도 이쁘게 잘어울리네요 ㅎㅎ 이쁜티 좋은가격에 팔아주셔서 감사합니다 ^^ 번창하세요 ㅎㅎ!!
gmlsskq**|저는 피팅된 옷이 이뻐서 빨강치마로 L 사이즈 구매했어요. 실제로 받아보니까 뒤에 지퍼부분이 조금 생각보다 싸보이기는 했지만 ㅠㅠ 그래도 치마는 너무 이쁘네요. 고고싱 너무 싸고 이쁜 제품 팔아주셔서 감사해요 . 앞으로 더 애용할게요 ㅎㅎ
mir**|배송 엄청 빨랐어요 사진하고다르게 허벅지가 남아서 좀 줄여야겠지만 나머진 괜찮아요  물빠짐은 다크진이라 어쩔수 없는 거 같네요 진청으로 구매하려다가 다크진이 있음에도 더 이뻐보여서 샀는데 역시 잘 선택했네요 ㅎㅎ 모양도 좋고 스판끼도 있고 허리도 다른데서 사면 큰데 고고싱은 많이 안커서 항상 좋아요
glgls**|그냥 기본티가 없어서 샀어요얇아서 여름에 입기 딱 좋은거같아요~마음에 들어요ㅎㅎㅎ
ekdns54**|이뻐용 제가 허벅지가 조금 두꺼운편이라서 바지입기를 꺼려하는데요 요즘 긴치마있는데 유행이라서 하나샀는데 이뻐요 깔끔한 디자인이라서 셔츠에 입어도이쁘고 티에입어도 이뻐요
glgls**|가격도 완전 저렴하고이뻐요~~~~~~별로 기대 안했었는데자주 입을거 같아요!!잘 입을게요!!
thakf93**|봄에는이모양맨투맨삿엇는데이번엔반팔티♥♥미키너무이쁜거같아요ㅜㅜ저는흰색으로삿구용길이도굿굿담에미키티더살려구요ㅎㅎ
skekd02**|한시간넘게 이런제질의 가방을 찾으러 다녔는데고고싱에서 찾았네용 ㅎㅎㅎ일반 천으로된 가방처럼 흐믈흐믈거리지도 않고엄청 빴빳하고 두껍고 튼튼해요왠만한 전공책넣으면 찢어질것같던 다른 가방들이랑은차원이다른 퀄리티에용 크기도 적당해요 수납공간도 넓어서 좋아요~~
ekdns54**|처음에 살까?말까? 고민 많이 했는데요 진짜 사길 잘했어요 제친구들이 적당히 비치고 이쁘다고 했어용 너무너무 만족스러워용 사이즈도 제가 조금 통통한 편인데요 살때 사이즈가 하나라서 안맞을까봐 걱정했는데 딱 맞아용 저는 조금 널널하게 입고싶었거든요 정말추천입니당
ekals90**|무난하고 이뻐여요즘 날이 덥다 춥다해서 반팔입기는 부담스러운데딱이에여
jjss**|진짜 뜯자마자 실망했었음,,, 진짜 비추에요천조각 온줄 완전가볍고 초딩들사용하는 까끌거리는 천조각같음. 오천원도 안되보이고 진짜 이건 이가격에 팔면안된다고 생각함.실망해서 반품시켰는데 반품도 아주느립니다. 한달다가겠어요~~~~^^!휴많이 실망이네요 다시는안살듯
pa9412**|옷너무예뻐요!!!!!체크남방하나사려고했는데 예쁜거잘산거같아요더더워지기전에많이입어야겠어요티에걸쳐입으도예쁘고그냥입어도예쁘고색도맘에들어요
celestia**|블랙 샀는데 다른 색도 이쁠 것 같아요청 멜빵에 입어도 이쁘고크롭 니트가 아니여서 반바지에 넣어서 입어도 이쁠 것 같아요여름에 입기에 좋은 시원한 소재이고비치는 것도 부담스럽지 않을 정도로 적당해요소라색도 이쁠 것 같아요!거칠지도 않고 부드러워서 좋았어요
thakf93**|길이가길어서좋구요티도심플하게꽃이딱잇어서이뻐요!!ㅁ많이입게될꺼같은티!ㅎㅎ네이비색삿구요박시한티좋아하시는분들한테좋은거같아용♥♥
celestia**|M샀는데 너무 컸어요아담하신 분들한테는 S사이즈 추천해요다른 청멜빵보다 짱짱하고 디자인도 이뻐요다만 아쉬운건 사이즈 하나ㅠㅠ리뷰 많이 보고 구매한건데 그래도 이쁘니 잘 입고 다니려고해요~진청보다는 연청이 더 이쁜 것 같아요상태도 좋고 만족해요
thakf93**|스티치진짜귀여운듯ㅎㅎㅎㅎ이런티들을이가격에살수있는게좋아요♥♥고고싱티진짜이뻐요!!길이도적당하네용~
alswn25**|완전예쁘네요!!잘산거같아요~~왜주문폭주인줄알겠어요  허리도고무라서완전좋아요 치마를잘안입는데예뻐서한번사봤는데굿이네요 많이많이파시구요 예쁜옷많이많이올려주세요!!!!!!!!!!!!!!!!!!!!
gus23**|1. 두께가격대비 두께 두꺼워요!5~6천원 저렴이 옷들 흐물거리고 비치는 그런 옷 아니구용빤빤하면서 보드라운 재질이에요. 두께나 비침측면에선 받아보셔서 후회는 안하실 것 같아요.비침 없습니다~2. 사이즈제가 고고싱에서 티셔츠 3개를 시켰는데 2개가 품이 컸고, 이 옷은 그나마 잘 맞았어요.제가 체구가 작아요. 체구는 작지만 살이 붙은 통통한 타입인데, 이 옷 입으면 약간 박시? 루즈?한 핏이 나오네요.반티라 셔츠 팔이 팔꿈치까지 내려옵니다.4. 색상색감은 딱 네이비! 사진과 같아용. 그래서 무난하게 입을 수 있을 것 같아요그리구 산 3개의 옷 중에 이 옷이 제일 맘에 드는데ㅎㅎ 심플하면서도 포인트 있어서 좋네용
vnglgl20**|재질이 좋고 귀여워요
vnglgl20**|색도 이쁘고 사이즈가 굳
vnglgl20**|색도 이쁘고 재질도 좋아요^3^
jksl9**|사이즈는 생각보다 넉넉한편은 아니였어요.어깨부분도 좀 작다고해야되나 통통하거나 체격있으신분들이 입기엔 작을수도 있을거 같아요.디자인이나 색상은 사진과 동일하구요. 오히려 사진보다 더 예쁜거같아요. 얇아서 여름에도 입기 좋을거 같네요사시면 후회안하실거같아요~~
vnglgl20**|이뻐요
vnglgl20**|너무넘 귀여워요
vnglgl20**|안감도 좋고 이뻐요^-^
vnglgl20**|색도 맘에들고 사이즈가 정말좋아요^^
gus23**|1. 두께두께 은근 두꺼워요 시중에서 파는 오육천원 짜리 흐물거리는 옷들이 아니에요. 몇 번 빨아도 이상없을 것 같아용저렴한 가격에 비해 두께 좋습니다.2. 사이즈제가 하체에 비해 상체 살이 많은데요. 그래도 체구는 작아요. 체구가 작지만 살이 붙은편입니다.길이는 넣어입기도 빼입기도 딱 예쁜 길이인데, 품이 좀 크네요!체구 작으신 분들도 참고하시구요. 체구 작으신 분들은 좀 박시하실 거에요.3. 색감밝은색 카키가 아니고 '어두운 카키+애쉬' 섞은 느낌이에요.너무 밝은 카키거나 초록이 많은 카키는 자칫 촌스러울 법한데, 이 옷 색깔은 안그래용톤다운된 카키 색입니다!4. 기타질감 부드럽구 괜찮아요. 또한 제가 심플한 옷을 좋아해서 이런 옷 좋아하는데, 심플한 거 좋아하는 분도 만족하실 거에요다만 목이 반폴라 형태인데... 역시나 모델분의 핏이 나오진 않더군여 흑.. 그래서 여기 착샷 올린 사진은 목부분 접고 찍은 겁니다~
jksl9**|밑단까지 붙긴하는데 색상도 사진이랑 조금 다르고생각보다 너무 밝은청색이라서 손이 덜가는 옷이에요그리고 스판끼가 생각한것보다는 없어서불편해서그런지 잘안입게되는거 같아요ㅜㅜㅜㅜ그래도 재질이나 지퍼나 박음질은 가격대비 괜찮아요
ronii**|처음에는 제 스타일이아니라서 사고난 후에 걱정 했는데 걱정했던것에 비해 마음에 쏙들었어요 샤랄라한 느낌이고 여리여리하게 보여주는 것도 있어서 좋아요
dkfk13**|딱맞고 편해서 좋아요!!맘에들어용♡
k042**|진짜짱좋아요
thakf93**|심플해서더이쁜티셔츠♥♥허니진바지랑같이입으니까다잘어울려욯ㅎㅎ진짜왕이쁨!어디든잘어울릴거같아요!ㅎㅎ이쁜옷싸게사서너무좋아용
fpahs**|화이트로 주문해서 받았어요~비침이 있어 시원해보이고 너무 이쁜것같아용 ㅎㅎㅎㅎㅎ반바지랑 같이 입으니깐 짱짱!!잘입을께요~ㅎㅎㅎㅎㅎㅎ
gus23**|썸웨이 반티 '회색'으로 구입했습니다.1. 두께시중에서 파는 오육천원짜리들 옷 보면 얇잖아요~ 어떻게 입나 싶을 정도의 얇은 그런 옷 아니구은근 두툼해서 흐물거리지 않습니다. 몇 번 빨아도 목 늘어짐 걱정 없을 것 같구요.가격 대비 재질이나 두께는 좋아요~2. 사이즈제가 하체에 비해 상체 살이 많아요. 체구는 작지만 살들이 붙어있는? 통통한 타입이죠!이 옷이 저에겐 좀 컸습니다ㅠㅠ 길이가 긴건 아니에요. 사진으로 보시다시피 넣어입거나 빼입어도 예쁜 기장이구요.품이 저에겐 좀컸어요ㅠㅠ 그래도 박시하게 입고 다니려구요.3. 비침없습니다!4. 기타옷 자체는 깔끔하고 예뻐요. 글자 프린팅 하자 없이 잘 나왔구요! 심플한 디자인 좋아하는 분이라면 좋아하실 거에요!
rose29**|딱 생각했던 정도네요ㅎㅎㅎ나쁘지않아요 잘입겠습니다~~~
thakf93**|이티셔츠처음부터너무사고싶었는데드디어삿네요ㅜㅜ기대한만큼너무이쁘고 귀여워요♥♥박시해서더귀여운거같아요!진짜많이입을꺼같은티셔츠♥
gkdl00**|이쁘긴한데 앞에 단추부분이 처음에는 좀 뻑뻑해요..
gkdl00**|생각했던것보다 짧긴하지만 그래도 이쁘고 촉감도 좋아요 ㅎㅎ
gkdl00**|기본티로 입기 좋아요 ㅎㅎ 어떻게 스타일링해도 다 어울리는것같아요 ㅎ
gkdl00**|길이감이 짧지 않아서좋아요. 신축성도 짱짱 좋은데 하나 아쉬운건 너무 달라붙어요....
ljh1**|옷색갈부터 마감처리까지진짜이뻐요ㅠㅜㅠ엄마가보더니 또주문시키라네요ㅎㅎㅅ시원해서 좋꼬 옷또이쁘고매치도잘되는거가따서 좋아요ㅎㅎㅎㅅ집오자마자 봣는데  존예...ㅎㅎㅎㅅ이쁘게잘입을께요ㅎㅎㅆㅎ
ljh1**|옷너무이뻐요ㅜㅜㅜㅜㅜ단점잇다면 약간짭네요ㅎㅎㅎ그래도 치마나바지에입으면 진짜이쁠꺼가따요ㅎㅎㅎ가격에비해너무이뻐요ㅜㅜㅠㅜㅜㅜㅎㅎㅎㅎㅎㅅ이쁘게 옷입을께요ㅎㅎㅅㅆ
ekfeh**|S사이즈구매했습니다진짜편해요 바람도잘통합니다아쉬운점은 세탁하면 보풀이생겨요ㅠㅠ이점빼고는 다좋아요슬림한핏이라날씬해보이구요추천!
rkddid50**|예뻐요 ㅠ 긴 치마 필요해서 삿는데 정말 마음에 들어요ㅠ무난하게 입으려고 검은색 삿는데 핑크도 사고 싶어요 ㅠ여성스럽고 제가 키가 작아서 너무 길까봐 걱정했는데 적당해요 캐주얼하게 입어도 잘어울릴거같아요 완전 맘에 들어요 강추 ㅠ계절도 안타는듯ㅎㅎ(겨울빼고)
jyj0003**|한치수크게사라고해서m샀지만 후회중이에요ㅋㅋㅋㅋㅋㅋㅋ길이는대충맞지만허리가너무커서아빠바지입은격남..사이즈잘고민해서사시고재질은여름에입기에좋네요!안에 반팔입어도 괜찮아요배송은빠른편이었고 다음에 살땐 잘봐가면서사야지..ㅎ
rkddid50**|M사이즈 구매했는데 진짜 딱 세미배기핏ㅋㅋ좀 더 루즈핏으로 입고싶으신 분은 한사이즈 크게 사는 게 좋을 거 같아요 밴딩이라 편하고 소재도 좋아요 다만 배기핏이라 엉덩이쪽이 부해보이는 건 어쩔수없는 듯 ㅠㅠ가리고 입으면 예쁠 듯 해요 ㅎㅎ
wjdgp16**|티 제질이 매우안좋음진짜 안좋음 너무 사이즈는 맞음 감사해용 ㅋㅋㅋ밴딩처리좋실밥정리 안됨
thakf93**|무지브이넥티하나사고싶엇는데이번에싸게잘산거같아요!!끝에살짝옆트임되잇는것도너무맘에들어요♥♥
kjeun05**|이거좋아요ㅋㅋ
kjeun05**|그냥기본ㅋㅋ뭐나쁘지 않은듯
kjeun05**|생각보다너무라인들어나긴하는데ㅋㅋ그리고 색이 화면이랑 너무다름ㅋㅋ근데그냥 귀찮아서 입고다님
kjeun05**|잠옷으로딱이에요
kjeun05**|이거좋아요! 하늘하늘해요
ekqls82**|생각보다 길어서 궁댕이 가려줘서 좋았음!! 그냥 학교 추하게 가고 싶을때 바지에이거입고 모자쓰면 끝!1
ttyy1**|예뻐용~~~^^길이도 넉넉해서 입기편한거같아용
ttyy1**|예뻐요~~~~재구매의사있습니다
ekqls82**|그냥 아무거나 입어도 어울리는듯!
ekqls82**|검정색이랑 회색바지 친구랑 같이 샀는데 입고지연때문에취소했는데 너무 이뻐서 재주문했어요ㅠㅠ 짱짱
ekqls82**|목부분 처리가 약간 꾸깃ㄲㅜ깃? 하지만 색깔도 이쁘고 핏도 좋아요 그냥 무난무난하게 막입기 좋은듯!
thakf93**|전파란색글씨로되잇는거보자마자하얀색으로삿어요!!!너무너무이뻐요ㅜㅜ이런티처음봐용♥♥글씨가파란색이라그런지시원해보이는것같아요><진짜많이입게될듯해훃♥♥
tnrdud19**|개인적으러 슬라브재질을 좋아하고아일렛스타일도 좋아해서 바로 구입하게된 옷인데요차콜로 샀어요!근데 끈이 빠져있는 채로 배송와서 조금 놀랐어요..원래그런건가...ㅎㅎ...아무튼 끼우면서 끈 끝에 재봉처리라든가 그런게 안되어있어서 실밥이 늘어지고 그랬어요ㅠㅠ 천이라서 라이터로 태울수도없고..ㅎㅎ.. 그래도 옷감은 진짜 맘에들어요 제스타일 ㅎㅎ리본을 예쁘게 묶을 줄 몰라서 뭔가 2프로 부족하지만 예뻐요! 예뻐! 싸고 좋습니다 ㅎㅎ
jlove75**|주문하고 배송까지 너무 오래걸렸어요ㅠ이주 넘게 기다렸는데 제가 더위를 많이 타서 여름에 비칠정도로 얇은 옷을 자주 입는데 잘 산거같아요!민트색이라서 모델언니처럼 흰바지랑 입으면 이쁠거같네요가격도 적당하고 다만 개인적으로 목부분이 쪼끔 맘에 안들지만..그래도 이쁘네요 잘 입을게요!
fbdmstj**|생각보다 두껍긴 해도 덥다 느껴질 정도는 아니였어요 옷도 이쁘고 핏도 이뻐요ㅎㅎㅎ
hannah89**|그냥무난라게 입을수잇는거가타용 이쁘게잘입늘게여 ~~~~~~
jlove75**|인기상품이라 배송이 느릴거라는 건 알았지만 이렇게 오래 기다려야할줄은..ㅠ입금하고 이주 넘게 기다려서 겨우 받았어요ㅠㅠ옷은 무난합니다 흰바지나 청치마에도 잘 어울릴 거 같네요비침도 그렇게 심한 거 같진않고 핏도 적당히 이쁘네요:)
thakf93**|에스사이즈로시켰는데허리가너무크네요ㅜㅜ수선해야할거같아요ㅜㅜ다리붙히고잇으면플레어스커트같아서여성스러워보이는것같아요!!허리만수선하면진짜이쁠꺼같아요♥♥
rudtlf96**|월요일에 임급해서 수요일에 택배받았어요연청 색깔이랑 찢어진 부분도 이뻐요잘입을께요!!
tnrdud19**|저는 핑크랑 화이트 시켰는데일단 핑크가 더 예쁘다는 개인적인 생각입니다핑크가 생각한거랑은 좀 다른색이었지만모델컷에는 좀더 화사하고 밝은 분홍색이면직접 받아본 건 조금 더 코랄빗이고 연하고 뭐 색감 차이가 있네요 그래도 디자인이 뭔가 분홍색이랑 잘어울리는 느낌?ㅎㅎ 이미지가 달라서 두개 구입하길 잘한것같아요! 흰색도 단아하니 예쁩니다 ㅎㅎ아쉬운 점은 넥라인에 덧덴 자국이라고 해야하나넥부분만 2중으로 되어있어서 좀 티가나요신경스이긴 해도 전체적으로 보면 예쁘니까 괜찮아요 ㅎㅎ 재질도 좋고 가격대비 좋습니다!!많이파세용ㅎㅎ
thakf93**|처음에중청시켯다가나중에연청으로바꿧는데바꾼거진짜후회안합니다!!보이핏바지처음으로사보는데핏이너무이뻐요♥♥저는에스사이즈로시켰어용!ㅎㅎ허니진바지싸고이쁘고정말좋아요다음에또구입할거에용><
bora66**|보자마자 귀엽고 가격도 저렴해서 샀어용근데 제가 가슴이 큰편이라 윗부분이 꽉 맞네요 ㅠㅠㅠㅠ 꽉맞을거란 생각은 못했는디ㅠㅠ 그래두 귀여워서 입을려구요 길이는 무릎좀 올라오구 적당해요
tnrdud19**|저는 네이비 시켰는데요~다른 리뷰에서 보셨다시피 엄청 커요!!ㅋㅋㅋ근데 이게 큰 맛이 있네요팔이나 전체적인 기장감이 길고 재질도 두꺼워서 한여름보단 초여름,초가을에 입기 좋으실 것 같아요하이웨스트보다는 일반 흰색 반바지나 스키니가 잘어울릴것같아요흰색 반바지 입고 앞에 살짝만 넣어주면 루즈하고 세련된 핏으로 입으실 수 있을 것 같네요 ㅎㅎ박시한 핏 좋아하는 분은 당장 구매하세요!!
ssn34**|사이즈도 넉넉해서 편하고, 너무 귀여워요~
ssn34**|니트소재라 하늘하늘한거같고,,입으면 너무 이뻐요♥
ssn34**|좀 사이즈가 큰감이 있지만이쁘게 입고 있어요~~
dptmf26**|에이 이것도 빨리도착하면 바로 작성해서 포토리뷰1등 해보고팠는데 아쉽ㅎㅎㅋㅋㅋㅋ연청 m 시켰어용~.~ 마른 27인데 딱맞아요 28넘어가시는분들은 M 추천 ㄴㄴ배송도 빠른편이고 연청스키니가 없어서 살까말까 고민하다가 편하고 핏도 예쁜것같아서바로 주문했어용ㅎㅅㅎ)~ 저는 밑단 살짝 접어입는편이라 그렇게 접어서 입으니까 예쁘네용밑위도 반하이st 라서 편하고 예쁘게 입을것같아요 꼭꼭 추천이용
ssn34**|기본티로 완전 좋은거 같아요통도 넉넉하고 편해요~
ssn34**|여름 치마여서 그런지 얇은감이 있지만허리도 고무줄이라 편하고 이뻐요♥
ssn34**|옷이 넉넉해서 편하게 입을 수 있어요~얇지도 두껍지도 않아서 좋은거 같아여!!
tnrdud19**|다른 밴딩 스커트보다 살짝 가격에 부담이 있지만면 재질이나 디자인은 정말 예뻐요!사실 밴딩인줄 모르고 시켰다가 놀랬어요...ㅎㅎ...밴딩 부분이 한단 말려있던데 그러면 좀 짧아서 안예쁘고 다 늘려서 입는게 예뻐요~ 이해하실려나ㅎㅎ아무튼 청순하고 예쁜 것 같아서 맘에 듭니다~~
a666**|이거 너무이뻐요 ㅎㅎ 살짝 길이가 짧긴하지만 진짜 무난하고 바쳐입기좋고 그야말로 환상!!곧 흰색도 주문할려구요 재구매의사 100퍼입니다 ㅎㅎ 박시핏이진짜이뻐요!!요즘엔 이런 박시핏이 이쁘니깐 고민하고 잇으면사세요!!진짜 절대절대 후회안할겁니다 ㅎㅎ 이런 무난한티는 꼭!!하나정도있어야죵 진짜좋아요!!
dptmf26**|1등으로 상품후기 작성합니당 ㅎㅅㅎ)~처음에 버블블라우스랑 하이스키니 연청 두개 셋트로 입은거 보고 너무 시원하고 예뻐보여서둘다 구매했습니당dd 키가 큰편이라 블라우스 입으면 좀 웃길것 같았는데 팔길이는 팔꿈치에서 멈추는게 좀 아쉽긴한데 예뻐요좀 비추는 편이라서 꼭 안에 흰색이너를 착용해야할것같아요 재질도 가볍고 좋은편이라 자주 입을것같아요 추천 ^-^dd
tnrdud19**|어제 배송와서 오늘 입었어요!생각보다 배송은 빠르지 않았지만 그래도 이번주 안에는 왔네요 ㅎㅎ 솔직히 처음에 원피스 받고는 놀랬어요 가격도 가격이라 조금 더 퀄리티 있길 바랬는데천도 너무 얇은게 좋은 것 같지 않고..제일 아쉬운 점은 기장이 다른 것보다 길다는 게 어깨끈만 길고 실제적인 치마 길이는 별로 길지 않다는 점이에요ㅠㅠ 결국 어깨끈 묶어서 입었어요 그래서 살짝 짧은 느낌도 있어요디자인은 예쁜데 아쉬운 점이 많네요여름에 입기는 괜찮은 것 같기도 해요잘입을게요~~
thakf93**|가격에비해너무이쁜반바지♥♥에스사이즈로시켰구요허리도딱맞고길이도딱마음에들어요!!허니진바지진짜좋은듯!다음에허니진바지더살거예용♥♥
