remember**|브이넥을 굉장히 좋아해서 여러 종류의 니트로 된 거 입어봤는데그 중에서 진짜 핏예쁘고 은근 두꺼워서 따뜻도 해요ㅠㅠ짱!이 넥라인이 일단 양옆으로 많이 안퍼져서 모양도 예쁘고소매는 제가 팔이 좀 긴편인데도 여리여리하게 길게 내려와서 보호본능 장난아닙니다....강추위 겨울에 안에 이너 얇은거 입어주고 입으면 진짜 따땃해요!!사세요ㅠㅜ진짜ㅠㅠ강추해요!!
dms18**|처음에 포장띁었을때 너무 커서 당황했었는데..ㅎㅎ정돈해서 매니까 진짜 이뻐요포인트주기에 딱이네요
dms18**|동생이 슬랙스 가지고싶다고 해서 선물하려구 구매했어요~ 지금입기엔 좀 얇지만 정말 맘에 들어하네요ㅎㅎ
dms18**|생각했던거보다 바지가 앏아요..그냥 안에 스타킹 신고 입으려구요얇은 무한매력슬랙스 m입으면 허리는 살짝 크고 엉덩이는 딱 맞았는데 이건 m이 생각보다 널널하네요 느낌이랑 핏은 이뻐요~ 잘입겠습니당
lma10**|아이보리 살까 카키살까 고민하다가 카키샀는데 색이 정말 예뻐요 그리고 안에기모가 있어서 따뜻합니더
dms18**|일단 남방도 두툼하구 재질도 부들부들하니 좋네요.박시해서 안에 폴라티 입고 입어도 편할거같구 코트안에 단독으러 입어도 !! 팔 기장이 생각보다 길은데 두번정도 롤업하니깐 이뻐요
wldms09**|받자마자 빨지 않고 바로 입었는을 때에는 굉장히 박시한 핏으로 입을 수 있었는데 한번 세탁기로 빨면 바로 3분의 2 사이즈로 줄어듭니다. ㅎㅎ 팍시한빛을 기대하구 구매하신다면 다른 후드티를 고르시는것을 추천합니다!!!!
huibin**|목도리가 길이도 길고 도톰하고 지금처럼 추운 날씨에 정말 찰떡인 상품이에용 먼지도 별로 안날려요
dksdudgo**|진짜 너무 예뻐요!!까끌 까끌한거 빼고는 딱 좋구요귀여워보여요ㅋㅋ약간 비치는데 검은 스타킹 신으면 괜찮아요저렴하고 귀엽고 좋네여
osb42**|항상 회사 다닐때마다 입고 다니는 이 패딩 완전 데일리룩 강추아이템 ㅠㅠㅠ
osb42**|쫀쫀하구 아주 좋아요!!!
rladmswl9708**|네이비도 사고 이번에는 카멜색상 저는 갠적으로 네이비가 더 이뻐요❤️ 하지만 카멜도 무난해서 안에 흰티가 더 잘어울리는 거 같아요 가슴쪽에 프릴노 있어요
boo**|모델분 핏이 너무 이뻐서 구매했는데 사실 쫌 걱정됐어요 제가 원피스가 진짜 잘 안 받는 옷태라 그런데 입어보니까 생각했던 것보다 훨씬 이뻐요 허리라인 잡아주는게 예뻐보이는 포인트예요 꼭 사세요
