kjo99**|가격대비 너무 이뻐요!안에 긴 가방끈도 있어서 놀랐습니다생각보다 작긴한데 귀엽네요!!
cks**|골지 양말은 어디에나 다 잘어울리는거 같아요 약간 얇은 감이 있긴하지만 가성비 좋습니다 잘 신을게요~
cks**|중청바지가 필요해서 주문했는데 모델핏과 유사하고 좋아요! 허리가 조금 크지만 추울때 안에 스타킹 입고 입어도 돼서 더 좋은거같아요 잘 입고 있습니다~~
iamgodslo**|베레모 쓰는법이 어색하지만 제품 자체는 깔끔하고 예뻐요.컬러는 사진에서 보는것과 거의 똑같아요.
wnrmffo2**|손목부분이 살짝 펑퍼짐한거 빼고는 만족입니다. 색상은 화면과 똑같네요. 겨울블라우스로 입기 좋을 것 같아요.
iamgodslo**|보들보들 딱맞는 핏 ,신축성도 약간 있어서 편해요
ms0105**|꺅!예전부터 롱롱!원피스 가지고싶었는데 요 짤막한 키가 안받쳐줄까봐 무서워서 못샀는데 세일하길래 6천원쯔음하길래 아 이건 신이내려주신 기회야 했죠! 브라운컬러가 있었더라면 좋았을텐데 싶었지만 네이비면 어ㅡ떻습니까 하하 세일하잔아요♡ 꺅 배송올때 요 원피스가 재일 걱정이였어요 너무 길까봐 흐ㅡㄱㅠㅜ 생각보다 막 수선이...ㅅ..시급핵!!! 할정도가 아니고 꽤나 적당해서 놀랬죠! 후기보니까 리본쪼이면 옆이 뜬다하는데 주름을 잘 잡아주면 안뜨더라구요!! 근데 리본이 이상하게 한쪽이 길더라구요 그래서 양쪽을 잡아보려하는데  긴쪽이 더  쪼이는건도ㅔ는데 쪼인거 풀고 더 안쪽으로 넣으려고하머ㅡㅕㄴ 리본이 안들어가고 가만히있어서ㅠ 리본 한쪽은 길이를 잘라야할거같아요! 그거빼면 좋습니다! 기모가 있기는한데 막 두껍고 그러진않더라구욤 근데 뭐 이날씨에 짧은치마도입는데 롱이니까 춥지는않으니까 좋아요!놀러갈때 꼭꼭 입어야겠어요!! 아그리고 저 사진 니트도 고고싱 더루즈한니트 올리브그린이랍니다! 이거도 짱이뻐요 3천원인데 이코디세트가 무려 만원도안해요!니트가 흰색이면 좋았겠지만 뭐 다른옷이랑 매치하면 되니까요!!아무튼 다들 고고싱하세용 뀨갸ㅏ갹>♡<
ms0105**|우와 이거진짜 이뻐요! 세일하길래 이참에 아우터좀사자!! 하고 둘러보다가 코트가너무 가지고싶은데 마침 이게 9천원이지뭡니까??? 코트가 9천원이라니 질도 나빠보이지않고 아이보리가너무 이뻐서 9천원인데 뭘고민해 그냥 샀죠!! 꺄핳핳ㅎ 코트에 어깨 각?도 안잡혀서 어깨가 넓어보이지도않고 귀여워보이고 제가 코트잘못입으면 늙어ㅎ보이는데 이건 어깨때문에 귀여워보이고 길이도 적당하고 막 두껍지는 않은데 춥지는 않더라구요!!!또 엄청 흰 아이보리가 아니가 약간 톤다운된 크림색? 이라서 부담스럽지도 않았고 완전 이뻐욤 꺅 배송왔을때 좀 구겨져서왔는데 뭐금방 없어지더라구욤 질도좋고 가격은 더좋고 아진짜 평성 고고싱만할께요 꺄ㅏ깎♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡
khj99s**|블랙살까, 아이보리 살까 고민하다가 그냥 두개 다 샀습니다! 후회 없어요~ 옷 코디에 따라 번갈아 매려구요~^^
khj99s**|몇날 몇일을 고민하다가 드뎌 사게된 백입니다! 역쉬..상품평이 왜 좋은가 했더니 이 가격에 이정도이면..만족할만 한것 같아요~^^ 집에 있는 다른 에코백보다 훨씬 맘에 들어요~
khj99s**|지난번에 블랙 샀는데, 생각보다 길이감, 두께감 괜찮아서 이번엔 다른 색상 카키로 구매했어요~! 블랙과 별 차이는 없지만..ㅎㅎㅎㅎ 기회가 된다면 베이지도 구매하고 싶어요 ㅎㅎ
khj99s**|앞으로..고고싱에서 물건 주문할때마다 사이드로 이 양말은 깔별로..하나씩 살까 합니당 ㅎ.ㅎ맘에 들어요
khj99s**|원피스 코디용으로 제일 무난한것 같아요! 두꺼운 양말은..신발 늘어날까봐..잘 못신겠는데..이건 적당히 발 감싸주고 좋은거 같아요~!
khj99s**|이너용으로 알아보던 중 가격대비 괜찮은것 같아 주문했는데, 많이 두껍지 않아서 오히려 맘에 들어요~ 목 부분도 꽉 쪼여주는게 아니라서 불편하지 않고, 편하게 입을 수 있어요~ 다른색으로도 구매할까 생각중..입니다..
ms0105**|원래는 흰색을 사고싶었지만!! 품절되어서ㅠ 그래도 이런 니트히나쯤 갖고있어도좋으니까 일단 올리브그린을 샀어요!원래 이런색이 잘어울리기도 했어서! 어머나세상에 근데 화면보다 색이 더이쁘더라구요! 말린풀색??ㅣ라해야하나 그냥 카키색은아니고 살짝 노란끼있는 올리브유색...? 아무튼 흔한색은아니고 생각보다 이뻐서 좋았어요! 니트자체 실이 얇아서그런건지 니트가 두껍지는않아요 근데 엄청 촘촘하고 짱짱해서 딱히 춥지는않더라고요 바람도 잘안들어오고 3천원치고는 질이 정말 굿인걸요! 아솔직히 만원쫌 넘어도 별소리안할만큼 괜찮은 아이에요 무난하게 아무데나 입어도 너무좋아서! 목부분도 안늘어날거같고 적당한 넓이라서 흘러내리지도않고 쪼이지도않아요! 핏도 적당해요 빵실하지도 달라붙지도않아요! 그렇다고 너무 애매하지도않구요! 뭐그냥 기본템이라 할만큼 좋아욤 꺅 애쉬퍼플인가 그거랑 크림색도 사보고깊고 빨강도...그냥 친양합히다 짱>☆<마지막은 최대한 색 비슷하게 찍어봤어욤! 완전 똑같지는않지만 하하하흐하핳ㅎ>♡<
5716705**|옷이 큰거빼고는 나쁜건 없어요.커서 그런지 축 쳐지는 느낌이있어요~편하게 입기에는 딱이랍니다.
5716705**|생각보다 얇고, 좀 커요
5716705**|음...그냥 쏘쏘예요생각보다 얇고 왔는데 옷에 실밥들이 잔뜩.....마감처리가 잘 안되어있더라구요그냥 입기편할듯해요~
5716705**|레깅스 아주아주아주 쫀쫀!!!!!!!!!운동가면서 입어도 편하고 쫀쫀하고 두터워서 딱입니다!
5716705**|오~~두툼하고 따뜻하고 기장도 괜찮아요진짜진짜 좋아서 블랙 하나 구입했는데 추가로 아이보리랑 블랙 하나씩 더 구입할 예정이랍니다~
5716705**|생각보다 기장이 짧았어요안에 이너를 입고 입으니 괜찮아요소재는 보들보들하고 좋아요~~^^손이 자주 가는 옷이 될듯해요~
5716705**|아주 편하고 좋아요~기모가 약간 얇아서 지금은 입으면 좀 춥더라구요^^그점빼고는 괜찮아요~~~
wldms72**|진청 일자바지 사고싶었는데 생각보다 그렇게 진한 진청은 아니에요 근데 허리 헐렁한거 싫어하는데 허리 적당히잘맞고 기장은 좀 길어요!
gds**|제가 입기에는 앞 기장이 좀 짧긴하지만 여리여리하고 여성스러워서 너무 이뻐요
whgus11**|남자친구와 데이트 할 때 입으려고 구매하였는데요, 차콜로 구매하였는데 코디하신 것 처럼 검정색 니트와 입으면 정말 이쁩니다. 자주 입게 될 것 같습니다.
whgus11**|저는 검정색으로 구매하였는데요, 데이트 뷔스티에 OPS 랑 같이 입으려고 샀습니다. 보들보들하고 스판도 좋습니다. 보풀 일어날 것 같은 재질도 아닌 것 같습니다. 추천드립니다.
whgus11**|회사 송년회 때 입었는데 깔끔하고 이쁩니다.모직 재질이여서 따뜻하고 포근합니다.165 이상 분들에겐 짧은 감이 있지만, 만세를 하지 않는 이상 올라가진 않네요. 지금 세일 중 인데, 추천 드립니다.
vhkwls1**|반품할꼬야.... 전체적으로 슬림하게 나온편인데 팔은 너무 작잖아요....... 기대했는데 아쉬위요
vhkwls1**|배송비 안낼려고 샀는데기본양말로 싸게 잘 샀어욤!ㅋㅋㅋㅋㅋㅋㅋㅋ 당일배송도 아니였는데 하루반 만에 와서 진짜 깜짝 놀랐어요... 고고싱 대박....
sgg01**|신상 나오자마자 구매했는데 날씨가 풀려서 입어봤어요! 니트 자체가 여리여리한 느낌이고 크림색상이다보니 무슨치마를 입어도 잘 어울리고 청바지에 입는것도 정말 예뻐요!봄니트라 지금 입기엔 얇기도 하고 비침이 좀 있어요! 그래도 잘 구매한거같아요 ㅎㅎ
74226753**|색상이 다 마음에 들어서 무슨색살지 많이 고민한 끝에피치색깔 샀는데 넘넘 맘에 든다ㅠㅜ가격 대비완전 짱!!
566880088**|가격이 너무싸서 딱히 기대는 안했는데 색감도 이쁘구요 남자친구도 이코트입은거 너무 좋아하네요 정말 후회안합니다. 다들 꼭사세용!
sghr61**|천이 진짜 부드럽고 재질이 좋아요~~~ 목 부분도 원하는 대로 길이 접어서 입을 수 있어서 만족합니다~
linz**|추운나라로 여행하게 되서 뜨시게 입을만한 스타킹찾다가 무발잇길래 이거 샀어요 정말 따실거같네요 만족합니다
linz**|오.. 저 크림색샀는데 진짜 여리여리...봄되면 입으려고 산건데 껴입으면 딱히 지금입어도 상관없을 거같아요 다른색도 구매할 의향 진짜 정말 있습니다
linz**|이 니트가 3000원에 팔린다는 거 자체가 말이안되요 허허 카키랑 레드 삿는데 기본니트로 입으려고 삿어요 어쩃든 가격대비 엄청 만족합니다 진짜 색깔별로 다 사고 싶었는데 품절이라는거 너무 아쉽네요
maximu**|예쁜것같아용ㅋㅋㅋㅋ저는 원피스 말구 스커트에 매치해서 입었는데 이뻤습니당ㅋㅋㅋ 활용도가 조아요 마니파세용
genying30**|크림색이 생각보다 좀 노랗네요 옷에 먼지도 잘 달라붙고요ㅠㅠㅠ 커서 좋기는한데 색이랑 먼지 때문에 조금 아쉬웠습니당...
genying30**|색이 진짜 예뻐요!!! 일자라서 핏도 예쁘고 안 뚱뚱해보이고 다리도 길어보입니다ㅠㅠㅠㅠㅠㅠㅠ
ji0104**|진짜 이뻐요 제가 스윗자몽색 샀는데 밝은 갈색이라서 색감도 맘에 들고 니트의 쫀쫀함도 맘에 들어요!ㅠㅠ♥  항상 니트를 사면 다 후회하고 그랬는데 이건 그럼그 없어서 좋아요♥ 다만 좀 아쉬운 점이 있다면 좀 짧다는 점이지만 그래도 니트가 이쁘니까 가격대비에 좋은 것 같네요
whalstj01**|목이 짧은 사람에게도 적당히 올라오는 목폴라 입니다 따뜻하고 좋아요 이너로 입기 굳입니다..
dkflss**|이거 진심 도톰해요...이가격에 이퀄리티라니 정말 고고싱 옷은 다퀄리티도 좋고 이쁜것같아요! 진짜 거의 4만원급 하는 옷이에요! 핏도이쁘고 도톰해서 정말 잘산것같아요!
dkflss**|진심이뻐요ㅠㅠ 진짜도톰하고 핏이면 그런거 다좋아요! 따로 착샷은 안찍어놨지만 옷 정말 맘에들어요 할인할때사서 더 좋아요 색감도 이뻐요 너무노랗지않고
ipdsk**|바지 입을게없어서 찾다보니.. 아닛?! 가격도 저렴하고 계다가 기모?! 직접 입어보니 완전편해요!!!! 핏도 장난아니고 계다가 넘나 따순것... 강추위에도 괜찮습니다! 롱패딩이랑입으면 더이뻐요ㅎㅎ
ipdsk**|갈색이 너무예뻐서샀는데 직접 받아보니 더이쁘다는!!! 진짜 고고싱은 너무 이쁜옷들만 주시는거같네요ㅠㅠㅠ 이래서 내가 고고싱단골이지... 돈이요세 쪼달려고 자꾸만 사게된다는!!ㅋㅋㅋㅋ
alsdus09**|사서 입어보니까 길이가 길지도않고 펑퍼짐하지도않고 딱 맞는게 딴니트들이랑은 달라서 좋아요ㅎ 작게있는 패턴도 너무귀여워요❤️
ipdsk**|산지 한~~~~참됬지만 지금올리는 리뷰...촉감도 넘나 부드럽고 무엇보다 기장이길어서 너무좋아요!! 엉덩이가넘 커서 짧은거 못입는데 이건 길구 핏도이뻐서 너무나 좋습니다!! 담에는 다른색도나왔음 좋겠내여^^
alsdus09**|일자바지사고싶어서 찾아보다가 가격도 저렴하고해서 구매했는데 스판도 좋고 길이도 적당하고 예쁩니다ㅎㅎ 마음에 쏙 들어요❤️
heeji**|비슷한디자인다른색있는데갈색도삼예쁨길이도ㄱㅊ음날풀려서빨리입고싶음셔츠에입으면조녜일듯-
heeji**|드디어 롤업할수있는 바지를 찾음근데 물빠짐이 대박임오자마자 물티슈로 박박도아니라 슥슥닦아봤는데 물빠짐오짐단독세탁세번은해야될듯
y059**|무난하게 크림색으로 하려다 많이 비칠 것 같은 예감이 들어서 핑크로 했는데 좋은 선택이었어요ㅋㅋ 제품컷에서는 인디핑크 느낌인데 실물로 보면 연한 팥죽?스러운 연보랏빛이 살짝 도는 컬러예요! 보통 니트에서는 흔히 볼 수 없는 색감이고, 넥라인-소매의 물결무늬나 꽈배기 패턴이 포인트가 돼서 베이직한 하의에 매치하면 딱일 듯합니당 너무 예쁘고 다 좋은데 컬러군이 좀 더 다양해졌으면 좋겠는 (._. )...
bac12**|겨울치마가 필요하기도 했고 체크치마가 없어서 사고싶었는데 마침 딱 체크 H라인 치마가 보여서 보자마자 고민없이 주문했네요 ㅎㅎ 오자마자 입어봤는데 딱 맞아떨어져서 너무 좋았습니다.코트는 무스탕이든 다 어울릴거같아서 자주 입을거같네요
heeji**|괜찮은거같음 옷처음에왔을때 납작했는데 꺼내놓으니 올라옴동생놈이랑 같이입을라고 라지샀는데 남자한테는좀작은건지 얘가돼지인건지...ㅎ 괜찮으거같어요 싸게날풀려서한번도입고나간적은없움
gryud990**|가벼워서 좋은거 같아요 팔길이도 적당하고 근데 엄청 따뜻한 정도는 아니에요 !! ㅎㅎㅎㅎㅎㅎ
gryud990**|목이 길고 길이거 약간 짧지만 계속 입다보면 편하게 입을수 있을거 같아요!!! 추천해요 ㅇ다른색도 살꺼에요
gryud990**|기모가 들어있어서 편하고 좋고 따숩네요 아쉬운게 있다면 제가 키가 작아서 살작 기네요 ㅋㅂㅋ
krs64**|브라운 색이 젤 이뻐서 샀는데 색깔이 너무 마음에 들어요~재질도 보들보들하고요~갈색코트에 잘 어울려요~~
krs64**|베이지로 샀는데 진한베이지라 코코아색에 가까워요~리본이 너무 이뻐요~가끔 머리에 포인트 주고 싶은 날 하기 좋네요~~^^
ge2310**|양털 후드집업,후리스,후드티 중에서 고민하다가 결국 고고싱에서 후리스 샀는데 일단 배송 정말 빨라서 좋았어요 ㅎㅎ!! 배송 엄청 느린 쇼핑몰도 있다는데 고고싱은 이틀만인가 왔습니다 !! 키가 커서 사이즈가 안맞을까봐 걱정했는데 엄청 넉넉하게 나와서 키큰분들 사이즈 걱정안하셔도 될것같아요 ㅎㅎ 디자인도 이쁘고 정말 마음에 듭니다 ㅎㅎ!! 마음에 드는 옷 있으면 고고싱에서 또 구매할게요 ㅎㅎ!!
krs64**|목부분이 많이 헐렁할 것 같았는데 꽤 땡땡 (?)하고 그렇다고 입었을 때 꽉 끼는 느낌은 아니에요. 핏도 괜찮고 데일리로 입기 좋아요~~~
wjy49**|옷 진짜예쁜데 까슬거려요ㅠㅠ 안에 나시입고 입었는데도 목부분이 따가워서 자꾸 신경쓰이더라구요... 그것빼면 정말 예쁩니당
wjy49**|재입고예정이여서 이틀정도 기다린것같아요ㅠㅠ 근데 옷 입어봤는데예뻐요~ 밴딩이라서 허리에 맞게 고정해주고 치마바지라 편해요~
y059**|오래전부터 체크 코트를 살까 말까 고민했었는데 요 제품 보자마자 패턴이 어지럽지도 않고 핏이 똑 떨어지는 게 예뻐서 구매했어요! 소매 통도 그렇고 옷 자체가 품이 커서 많이 껴 입고 걸쳐도 불편하지 않고, 보기보다 얇은 편이라 애초에 이너를 잘 챙겨입게 되더라구요ㅋㅋ 부직포st 재질이 아니라 보풀도 잘 안 일어날 듯하고 밋밋하게 입은 날 딱 포인트가 돼 줘서 만족합니다 (〃'▽'〃)
yulee11**|니트 팔이 짧긴한데 색도 예쁘고 가격대비 괜찮은거 같아요 색도 사진에서 본 그대로고 자주 입고 다닐거 같아요!
kimy43**|저는 모델분처럼 날씬하지가 않아서 어느정도 고려하고 샀는데 생각보다 부해보이지 않아서 너무 좋아요! 소매가 포인트여서 이것만 입고 다녀도 예뻐요 ㅎㅎ
kimy43**|기본티로 좋기도하고 저는 그냥 입고 다녀도 좋더라구요! 소매랑 어깨랑 길이가 적당해서 좋고 신축성은 더더욱 좋네요ㅎㅎ 흰색이라 비침이 조금 있지만 그래도 재질이 크게 얇은건 아니라 많이 신경쓰이는 정도는 아니에요! 만족합니다~
kma05**|음 여리여리 해보이길래 일단 주문했습니다 생각보다 실이 얇아서 봄에 단품으로도 잘입을거같아요 단지 짜임이 약해서 춥겠어요 겨울엔 기장은 짧은감 있지만 품이 커서 너무 좋아요 그나마 여성스러워서 코디잘될것같아요
uijean9**|제 키가 평균키인데 많이 크긴했어요. 그래도 입었을 때 막 엄마꺼 뺏어입은 느낌은 안나고 예뻐요! 아 저희 엄마 키가 180인데 엄마가 입었을 때 길이가 딱이더라고요ㅎ
kelly54**|기장이 짧을거라 생각하긴 했지만 실제로 보니 더 짧았어요. 제 키에는 골반정도까지 온다고 보면 됩니다. 약간 벌룬핏이어서 박시한거 좋아하는 사람들한테는 추천해요. 기모 없는거 샀는데 겨울에는 패딩 안에 입으면 되고 봄애는 이거만 입어도 될 것 같아요. 옷 자체는 이쁘고 섁깔도 예쁜 회색이라 안에 입을 상의도 칼라 매칭하기 퍈해요. 재질도 좋아요. 막 싸구려처럼 보이지는 않아요 다만 제 키에 하체가 좀 있는 분들은 골반까지 오다보니 하체가 오히려 부각되어서 별로 안예뻐 보일수도 있어요. 그럴 경우에는 스커트랑 코디하는게 이쁠 것 같아요.
ch96**|밴딩에다가 안감이 속바지라 세상 편한 치마..☆ 색도 예쁘구 도톰해서 지금 입기 딱 좋은 것 같아용
ch96**|요즘 이 코트만 입고다녀용 생각보다 덩치있어보이지도 않고 색도 부담스럽지 않은 색이라 입고다니기 좋아요!
ch96**|양말 잘 내려가지도 않고 좋아요! 색도 예쁘구 여리여리해 보이는 양말~.~!! 여러개 쟁여놓고 싶어용
1789576971335133**|진짜 편해요ㅎㅎ
tkdwl5**|좋아요 키가 작은데 기장이 딱 입니당얼른 추운날씨가 얼른 풀려서 입었으면 좋겠습니다 !!!
toddlf8**|작지도 않고 너무 크지도 않고 색깔도 너무 예뻐서 어디든 잘 어울려요~~ 요즘은 나갈때 그냥 롱패딩 입고 이 가방 메고 대충 나가요ㅋㅋㅋ 학교 다닐때도 쓰기 좋을꺼 같아요!
tpdls76**|이거 계속 사고 싶었는데 구매해서 너무 좋아요..완전 핵귀요미..박시하고 부들부들하고 솜사탕 눈사람 같음 이거 오자마자 입고 나감ㅎㅎㅎㅎㅎㅎㅎ
tkdal0**|여러분 이건꼭사세요!!!!!!!!!!!!!!!!!!!!!!!!정말 여리여리의 끝이에요!!!!!!!!!!!!!!둘다샀는데 요즘 이것만 돌려서 입고있어요남자친구도 이쁘다하고 브이넥이 깊게 파인것도 아니고은근 섹시하면서 여리여리하고 ㅠㅠ소매큰것도 너무이뻐요이가격에 이 퀄리티 진짜 좋네요!
tkdal0**|어깨선 때문에 넓어보일까했는데 괜찮아요재질이 너무 좋아서 계속 입게되요 부들부들하고 좋아요!
17041004**|와 진짜 최고로 예쁘고 가격대비 가성비 짱이네요 여자친구가 너무너무 좋아합니다. 강력 추천합니다
17041004**|실물깡패 여자친구가 너무 좋아하드라고요 다만 가슴이 큰 분들은 꽉낄수잇다는게 조금아쉽지만 진짜 예쁘게 잘 나왓습니다
yjw0412**|진짜따듯하고좋아여이거입고나가면개꿀입니돠♥♥♥♥얘들이저보고샀어영ㅇ여영이거갸꿀아고여 생각보다배송도빠르드라규요
tpwls12**|완전 크롭이네요~~ 넣어 입지는 못하구 짧아서 그냥 빼놓고 입어야할듯요그리고 어깨가 부해보여요ㅠㅠ 저처럼 넓은 분들은 더 그래보일듯..해요
jsm898**|저번에 아이보리색을 구매해서 믿고 검정색 구매했어요!흰색보다는 안 이쁘지만 그래도 너무 좋았어요!편한건 물론이고 우선 이게 진짜 인생바지!!다음에 다른 제품도 자주자주 구매할거예용!
tpwls12**|처음에 불량이 와서 교환했는데 그래도 빨리와서 다행이에요ㅠ 8년 넘게 고고싱 이용하면서 이런적이 손에 꼽는데.. 그래도 처치가 빨라서 좋았네요 이 지퍼는 튼튼해요!
tpwls12**|진짜 도톰하네여~ 흰니트가 없어서 샀는데 치마나 청바지에 다 잘 어울릴것같아요 근데 길이는 좀 짧은감이 있네요!
skyseo**|저번에 클래식핑크 색사고 너무 예뻐서 다른 색상도 사려고 마음먹었는데 마침 세일해서 얼른 샀어요ㅎㅎ 배송도 빠르고 색도 예뻐요 믿고사는 고고싱♡
tpwls12**|평소에 26입는데 실측사이즈보니까 26은 배가 좀 낄거같아서 27샀어요ㅜ근데 입다보니까 늘어나서 전체적으로 조금 널널하네요ㅠ_ㅠ 일단 길이 조절이 되는게 너무 좋고 기모라서 좋아요!! 진청인데 흑청같기도해서 더 이뻐요 ~~
rladnwls**|색깔도 괜찮았고 길이도 너무 너무 좋았어요! 뒤에쪽 honey jean 마크가 너무 더러워서 보고 조금 아쉽긴하지만 잘 입을게요~!!
tpwls12**|아직 추워서 이것만 입진 못하지만 팔이 트여있는 니트랑 입으니까 이쁘더라구요~ 날 풀리면 이거만 입어볼라구요  치마도 고고싱거에용!
yuna822**|이 옷이 4500원이라는 것에 매우 만족하고 착한 가격이라고 생각했는데 받아보니 뭔가 4500원 값을 하는 거 같으면서 그것보다는 더 좋은 상품이에요 받았을 때 털이 좀 붙어있어서 그건 떼고 입었어요 고고싱에서 굉장히 많이 사봤는데 이번에도 역시 성공이네요 세일하는 상품이라 적립금 사용 불가라는 점이 좀 아쉽긴 했지만요 니트가 조금 얇은데 요즘에 선선한 날씨라 괜찮은 거 같아서 입고 나갔더니 안 추웠어요 니트 굉장히 예뻐요 맘에 쏙 듭니다 고고싱 정말 사랑해요
47879613**|처음 받았을때  어랏, 핏이좀 어정쩡한데? 생각이 들었어요 근데 잘 차려입으면 귀엽다는 소리도 듣고 매우 예뻐요! 사기를 고민하시는 분들 ! 가격대비 짱이고매우 만족하고있습니다
tpwls12**|고고싱에서 산 레이어드 시스루티랑 같이 입었어요!! 저렇게 레이어드하니까 예뿌더라구용 단품으로 폴라만 입어두 여성스러워요~ 근데 보풀이 엄청 잘일어나네요ㅠ
ind062**|항상 코트는 직접 입어보고 사는 편이여서 인터넷으로 구매한건 이번이 처음이였는데용 어벙벙해보일까봐 걱정많이했는데 핏도 진짜 너무 예쁘고 가격대비 진짜 최고인거 같아옇ㅎ블랙으로 샀는데 아이보리하나더 주문하려고요ㅎㅎ
aq9**|목 잘 안늘어나는 걸로 찾고있는데 생각보다 가격비해 잘 안늘어나서 좋아요ㅋㅋㅋ안에 입을려고 산거라..얇기도 그냥 딱 면정도? 면보단 얇은정도? 흰색은 어쩔수 없이 비치긴 한데 안에 입을꺼라 전 괜찮았어요ㅋㅋ
52595891**|어디든 무난하게 잘어울려요! 소매 팔랑팔랑한게 포인트인데 빨리 날이 풀려서 아우터 안입구 단품으로만 입고싶어요 ㅠㅠ
aq9**|색은 사진이랑 똑같고 안에 목폴라티랑 입으니 굿굿노랑색으로 샀는데 입으면 난리납니다 화사해보여요ㅋㅋㅋㅋ길이는 저한테 쪼금 긴편인데 그래도 잘 입고 댕깁니다!
jh060**|좀 작긴 한데.. 예뻐요 그리고 실용적인것 같고 잘 쓸것 같아요 처음에 배송왔을때 냄새가 좀 심했는데 몇일 밖에 냅두니까 괜찮네여
aq9**|바지 오자마자 입어봤는데 진짜 핵 편해요 핵!!!!!!!!!완전 쫀쫀하고 신축성도 굿굿 편한바지 찾고 있으시면 꼭 사세요 진짜 대박입니다ㅋㅋㅋㅋㅋㅋ
young12**|체크남방 잘 안입는데 이뻐보이길래 삿어요이뻐요 맘에듭니다~~~~~~~~잘입을께요~~~~~
aq9**|색은 사진보다 조금더 밝아요ㅋㅋㅋ크기도 생각 보다 큰데 안은 넓어서 좋습니다! 단점이라고 하면 냄새가 심하게 나는 정도ㅜㅜ 꼭 베란다에 걸어놓고 냄새빼고 쓰세요ㅠㅠ 그거 말고는 다 좋습니다ㅋㅋㅋ
aq9**|그레이 색깔 보고 반해서 바로 샀는데 품이 쪼금 생각 했던것 보단 크고 길이가 품에 비해 짧다 해야하나 그래도 색이 너무너무 이뻐서 굿굿 지금 입기 딱 좋은듯합니다!
aq9**|색깔은 사진이랑 거의 비슷하고 완전 만족ㅋㅋㅋ진짜 귀여워요 브라운도 하나 더 구매할려고 합니다!!!! 키가 작아서 엉덩이는 다 덮고 해도 이쁩니다 이뻐요
s987**|키가 160인데 무릎? 무릎 조금 위에 까지 오고 길이는 적당한데 안이 까칠까칠해서 안에 뭐하나입고 입어야 할것같아요.
aq9**|크로스백 생각 크기가 커서 괜찮았어요! 딱 지갑 핸드폰 등 필요한 것만 넣고 다닐수 있을 정도ㅋㅋㅋ저는 만족합니다
36054065**|다리가 길어보여요
36054065**|아주 잘 입고 있습니다.청바지에도슬렉스에도모두 잘 어울립니다.가격도 저렴완전 대 만족
36054065**|부들부들촉감 좋구검은색이라 먼지 묻을까 했는데옷감이 안 묻어 좋습니다.가격대비 대만족
rhwndus**|색깔이 정말로 에쁩니다!! 가격도 저렴한 편인것 같아요. 꼮 사세요!! 다음에 색깔별로 다 사볼게요!!
yoon**|오래 기다려서 받았는데 별로 안예쁨 ㅠㅠㅠㅠㅠ 진짜 울고싶었음.. 길이도 짧고 단추도 헐겁고 너무 얇고 재질도 그닥.. 아 그리고 밑부분이 사이즈가 작아서 단추를 다 채울 수 없음 길이도 너무 짧고 ^^근데 소매부분 접으면 예쁘고 카라부분 예쁘게 펀칭되있어서 나름 만족함 새로운 디자인 가디건이라서 맘에듦
154186005**|제가 키가 작아서 걱정했는데 기장도 맞고 좋아요아이보리랑 핑크 살까 고민했는데 아이보리도 사고 싶네요!키 착으신 분들도 강추합니다!
inmymind50**|일단 배송이 엄청 빨라요 하루만에 왔어요!모델분께서 입은 것처럼 흰바탕 티셔츠 받쳐 입으면 예쁜 것 같아요 ㅎㅎ 옷이 박시하고 엉덩이까지 가려주는 길이라서 체형이 크게 드러나지 않고 참 예뻐용 ㅠㅠ 개인적으로 후드 달린 옷을 좋아해서 참 맘에 들고 귀여운 것 같아요 ㅎㅎㅎㅎ 감사합니다 ~~
rkdnjs04**|진짜 너무이쁘고 색감도 안흔해서 좋은거같아요 ㅠㅠ 친구들도 다 이쁘다고하고 정말 입을꺼없을때 저거랑 청바지입으면 넘 이뻐효 ❤️
vnfmstjsg1**|레깅스에 신을라도 샀는데 잘어울리네요 신어보고 괜찮으면 다음에 더 구매해야겠어요 잘신겠습니당 ~~
vnfmstjsg1**|기본양멀 필요해서 샀는데 딱 깔끔하고 좋아요!  하나만 샀는데 여러개 다시 구매할것같습니다 잘신을게여
vnfmstjsg1**|양말 잘안벗겨지고 좋습니다 지금은 추워서 잘 못신뎄지만 봄에 잘 신겠습니다 다음에 또 구매하겠습니당 ~
vnfmstjsg1**|분홍계열 니트가 필요해서 구매해봣는데 색감 너무이쁘고 착용햌ㅅ울때 느낌도 좋아요 잘입겠급니담 ~~!
vnfmstjsg1**|기본 맨투맨 필요해서 구매했능데. 딱 잡아주는 누낌은 아니지만 편안하게 자주 입고다닐수있을거같아요
vnfmstjsg1**|큰 귀걸이 하나 사고싶어서 구매했는데 사진이랑 똑같아요} 나름 퀄리티 괜찮네요 잘 착용하겠습니당
vnfmstjsg1**|얇은 니트 필요해서 하나샀는데 재질도 괜찮고 전체적으로 괜찮습니다! 다만 조금 축 늘어지는 느낌은 있네요
nanena**|벨트완전 맘에 들어요 ㅜㅜ 전부터 벨트가 엄청 필요했었는데 예쁜 벨트 찾아서 좋아요>< 이번엔 두꺼운곳도 사보려구요
vnfmstjsg1**|블라우스 색감 넘이뻐용 ! 전체적으로 만족합니다 별로 기대안했었는데 기대이상이라서 아주 만족해용~~
