zxc99**|처음엔 저렴해서 질이 안좋을 거라고 생각했는데 빨아도 목도 안늘어나고 가성비 좋습니당 ㅎㅎㅎㅎ
422341392**|어깨패드가 조금 허술해요 ㅠ 좀 반대로 움직여요 앞에 옮기면 뒤로 자꾸 가고 ㅠㅠ 근데 어깨패드빼면 진짜 대박예쁨 잘입을게요 ㅎㅎ
parksein05**|아이보리로 구매하였고요!봄에입기 딱좋은 두께감과 컬러입니다 화면 그대로이고요~~~치마와 입어도 찰떡입니닿ㅎㅎ브이넥이라서 답답해보이지도 않고 청바지랑 입어도 찰떡이에요!!
tree88**|작을까 고민했는데 딱맞고 예쁘더라구요 목이랑 손목쪽이 제일 마음에 드는것 같아요 그냥 입어도 예쁘고 가디건에 입어도 예뻐요 ~!
tree88**|베이지 색으로 샀는데 조금 큰데 그래서 더예쁜것 같아요 셔츠에 입어도 예쁘고 흰 맨투맨에도 잘어울리더라구요. 마음에 들어요 감사합니당~~
tree88**|사진에 비해서 조금짧은것 같긴 한데 디자인이 너무예뻐요 ~~다음에도 또 구매할게용 ㅎㅎ~
hg971**|이번에 괌에 놀러간다고 구매했어요!! 안감이 있어서 비치지도 않고 딱 좋았답니다^^ 넉넉한 품이라 맛나는거 먹을때도 배에 힘주지 않아도 되고 아주 좋았어요 ㅋㅋ
dkgml123**|예뻐요~! 사이즈 걱정했는데 사이즈도 잘맞고 실물색상도 넘 예쁘구 배송도 빠르고 만족합니다 잘 신을게용
ghdgusgml**|일단 처음으로 슬랙스를 사봤는데요! 처음 왔을 때 생각보다 너무너무 얇아서 좀 놀랐어요.. (실제로 엄청나게 얇아요 위에 입은 티보다도 얇은정도??) 하지만 핏이 어마무시하게 예쁩니다 제가 키가 큰 것도 마른 것도 아니지만 핏 와 끝장납니다 ㅠㅠ 제발 사세요 레알 추천드려요 ㅠㅠ 얇은 것 걱정되시면 속바지 하나 입고 입으시는 것 추천드려요~ 위에 티도 고고싱에서 산 거에요!!(사이즈 s 샀어요)
uiseok99**|이 옷도 수학여행때 입으려고 샀는데 예뿌네염ㅋㅋㅋ조끼가 조금 컸는데 구래도 예쁘게 입을것가타용♥️
wnthdgml**|옷 색깔 너무 이쁩니다! 크기는 박시한편이고요! 편하게 아무데나 입고 다닐 수있어요!! 학교 다닐따 매일 청바지에 입고 다니고 있습니다
uiseok99**|예쁜 바지 있어서 달려와씀니당 ㅠㅠ 일단 핏이 너무 예뻐요오ㅠ진짜 매일 입고 다닐듯,,,,,허리는 클줄알았는데 의외로 딱 맞더라고요 길이도 너무 예쁘고수학여행때 예쁘게 입겠습니당♥️
eunji88**|인기가 많은만큼 너무 예쁘고 딱 샤랄라하게 떨어지는 핏이라서 너무 맘에 들어요 ! 재질도 부들부들하고 딱 봄날씨에 입기 좋을것같아요 제 키에 종아리 절반정도로 오고 팔도 와이드 한 핏이라서 너무 맘에드네요 곧 날씨 풀리면 이것만 입고 다닐것같아요 진짜 고민중이시라면 꼭 사시는거 추천드릴게요
108899010**|08 너겟T 핑크를  샀는데 생각보다 좀 진한 핑크색이어서 놀랐어요.사진보다 좀 더 진한 색깔이에요.  그래도 청치마나 멜빵치마에 잘 어울려서 좋아요!
sjrnfl98**|레이스가 너무 예뻐요블라우스 겉에 입어도 괜찮구단독으로 입었을때도 예뻐용블랙이 차분해보이고 무난해서 활용하기 좋을거 같아요^.^
46378170**|가볍게 입기 좋은 티에요!! 항상 고고싱에서 옷주문하는데 티셔츠같은 부분은 너무 좋은거같아요
46378170**|옷이 너무 타이트하게나왓어요.. 살집잇는사람들은 못입을거같아요ㅠㅠ허리와 어깨부분 사이즈좀 넓혀주세요ㅠㅠ
46378170**|사이즈가 너무 작게 나왔네요.. 그래서 반품했네요 다른옷들 사이즈를 크게해주세요...ㅠㅠ너무작아서 못입겟어요
mj0104**|바지 디자인이 마음에 드는 옷이 없어서 못 사고 있다가 이 바지를 보고 마음에 들어서 사게 됬는데 실제로도 사진처럼 디자인이 예뻐서 좋았어요 스판이 없어서 처음에는 조금 불편하기도한데 입다보니까 조금 늘어나서 지금은 편해요 인생바지입니다!!
chujin**|신축성이 없다는 걸봤지만 허벅지 부분이 딱 라인 잡혀있고 그런줄 몰랐었는데 ㅠㅜㅠㅜ 위 아래 다른 특징은 좋았어용
chujin**|옷 재질이 생각했던 거랑 달랐어요 ㅜㅜ 제가 잘 읽지않은 잘못이지만.. 옷 기장은 딱 알맞아서 좋았어요!
chujin**|정전기가 심해서 몸에 착 달라붙어요..ㅠㅠ 소매가 다른 옷들과는 달리 특별해서 좋았는데 정전기가 너무 심해서 아쉬웠어요 ㅠㅠㅠ
chujin**|부들부들하고 팔 기장도 딱 맞고 적당한 리본길이!! 정전기도 잘 안나서 너무 좋아요~ 잘입을게요!!^^
yunsun1**|배송 빨라서 좋았구요!! 자켓은 전혀 19.000원 같지 않아요 진짜 짱이에요!! 근데 너무 구김져서 와서.. 그냥 누가 반품한 거 그대로 보내준 느낌 들어서 기분 좋지는 않았어요ㅜㅜ
audqh30**|기다리고 기다렸어요.. 엄청 늦게 배송왓구요 생각보다 색이 많이 진하네요 베이지색샀는데 살짝 시멘트 색..? 옷도 되게 커요 엄청 기다린만큼 실망이 쫌 크네요
axorb7**|이거 진짜 이뻐요!!! 저도 이런 옷 저한테 안 어울릴까 싶었는데 진짜 아무한테나 다 잘 어울려요ㅠㅠ 가디건에 입어도 잘 어울리고 그냥 원피스만 입어도 너무 예뻐요!
axorb7**|데일리하게 입기 좋아요!  핏도 적당해서 대충 청바지에 입기도 좋아요ㅎㅎ 노란색도 생각했던것보다 쨍한 노란색이라 마음에 들어요!
asdf44**|그레이랑 같이 샀는데 블랙보단 그레이가 다 이쁜것같아요! 그래도 블랙도 괜찮아요!편하기도하고 기장도 딱 맞아요! 다만 목쪽이 넓어요! 참고하세요~ 그래도 편하고 이쁘니깐 괜찮습니다!
asdf44**|진짜 이뻐요! 편하기도하고 기장도 딱 맞아요! 다만 목쪽이 넓어요! 참고하세요~ 그래도 편하고 이쁘니깐 괜찮습니다!
asdf44**|키가 작어서 그런지 살짝 길어요ㅠㅠ 발목 살짝 위까지 와요 그래도 데일리로 입으면 좋을꺼같아요!! 품도 살짝 크지만 나쁘지않아요!
asdf44**|너무이뻐요!! 4,5월에 입기 딱 좋아요~ 치마랑 입어서 이쁘고 바지랑 입어도 이뻐요!! 다만 단추가 쉽게 떨어질것처럼 되어있어서 한번 꿰매고 사용하면 더 좋을꺼같이요~
asdf44**|너무이뻐요!! 치마랑 입어서 이쁘고 바지랑 입어도 이뻐요!! 다만 단추가 쉽게 떨어질것처럼 되어있어서 한번 꿰매고 사용하면 더 좋을꺼같이요~
eks28**|싸게 잘샀어요! 깔끔하게 입기도 좋고 아무옷이나 잘 어울리네요~~ㅎㅎ이제 날씨 더워지면 더많이 착용할거 같아요!!
ckcs65**|불편할줄알았는데 편하고 예쁘고요 다만 누가 환불했던거줘서그런지 기스가 많이나있어요 신발은 가격저렴하게 잘샀고 무난하고 이뻐요
ckcs65**|옷이 좀비춰요 많이화려하고 목이불편해요그닥이쁘진않아여 배송 기다리는데 좀오래걸렸어요화면에서는 이쁘던데 받아보니 ㅎㅎ...좀 다르네요
19688625**|바지가 좀 더 짧았으면 더 이뻤을거같아요 그래도 발목까지 잘오고 근데 제가 키가작아서그러치 입고나가보니까 괜찮더라구용 허리가 밴딩있어서 제가 마른편인데도 딱맞고 오히려 밥먹으면 넘쪼여요..^^ 아주 편하고 잘입고댕깁니다
dlgodls2**|제 키가 156인데도 기장도 딱 적당하고 아담해 보일 수 있는 적당한 오버핏에 팔에 레이스때문에 불편 할 줄 알았는데 정말 아무 느낌 없이 이쁨을 주는 거 같아요!! 초록색 샀는데 색도 정말 마음에 듭니당^^
kim**|지퍼가 좀 뻑뻑하긴 해영..ㅜㅜ 저렴해서 그런듯 그래두 색깔 잘빠지구 핏 이뿌니까 괜찮아영 위에 옷도 고고싱꺼에옹!!!
leejihui32**|사이트에서 예쁜 옷을 완전 고민하면서 찾고 있었는데 고고싱에 딱 들어와서 찾은 것 같아요 ! 완전 짱 예뻐요 ❤️
kim**|진짜 너무 상큼한거 아닌가여어^~^!!!! 날씨 더 풀리면 이거에 청반바지나 청치마만 입을거에용ㅎㅎㅎㅎ
tmfdk**|생각보다기장감 있어서 좋으네요소재도좋고 너무박시하지않기도 하고  기본핏 데일리로 입기좋은거같네요ㅎ검정이라 지져분하게오면 안입을랬는데  먼지하나없이 깔끔하게오서 굳굳 하네용ㅎㅎ 잘입을께요
853817478060637**|정말 말 처럼 차르륵 떨어져요 처음엔 앞에 목 부분이 너무 막혀서 답답하고 촌스러워 보일 까 했는데아니고 예쁜것 같아요
tmfdk**|절대 비치니깐 나시입어주는 센스! 리본도 큼직해서 살짝 가려주는 느낌나서 좋은거같아요 ㅎ여름까지 ㄱㄱ 싱
tmfdk**|소재가 부들부들 ㅎ 넘부들어서 기분좋게 입고 있어요~ 기장도 저당히길어서 청치마 자주입는 저에겐 딱이에요 ㅎ
tmfdk**|봄용으로 사봤는데 괜찮은거같아요 ㅎㅎ 비오늘 오늘같은날 입고나감 좋겠네요 ㅎㅎ이쁘게 잘입을께요~
shineu**|음 일단 스판끼는 없구요 없을거라고 생각하긴 했는데 진짜 없어요 그래도 늘어나지 않는건 좋네영 원래 바지 L입는데 크게나왔다는거같아서 M샀는데 맞네요
shineu**|조금 얇은 감이 있는데 여름 옷이니깐 괜찮아요빨면 쭈그러들진 않겠죠!?!?!??! 사이즈는 넉넉하고 좋아요
rlatkfk50**|정말 정말 이쁘고 튼튼하고 좋아요!!검정색에코백사고싶어서 그냥 사보았는데 정말 좋아요!!!!꼭사세요!!!
rlatkfk50**|색이 약간 생각보다 어둡더라고요!머스타드색보다는 연두색같은 느낌이..그래두 이뻐요!!!!ㅎㅎㅎㅎ
rlatkfk50**|약간 스판기가 없어서 불편하긴한데 정말 이뿌고 좋아요! 한 사이즈 정도 크게 사면 좋을거 같아요!!
pop309**|잉 ㅠㅠㅠ 같이 코디된 원피스보다가 이 가디건이너무 예뻐서 처음으로 하얀 가디건 도전인데 진짜 여리여리핏이에요 짱짱예뻐요
pop309**|옷이 진짜 색감이 너무예뻐요 !! 부드러운 딸기우유색이라서 봄에 잘 어울리는 컬러로 너무 잘산거같아요ㅠㅠㅠ
733844023**|진짜 예뻐요 너무 화려하지도 않고 막 심플하지도 않고 사길 정말 잘했다는 생각이 들어요! 너무 예쁩니다 ㅠㅠㅜㅜ
733844023**|주름이 많이 생긴다는 구매평이 있어서 걱정했는데, 저는 잘 모르겠어요! 일단 무지 편하고 제 키가 큰 편이라 걱정했는데 사이즈도 잘 맞고요 ㅎㅎ
733844023**|엄청 예쁘고 어디에 코디해도 좋을 것 같네요! 지퍼가 달려있어서 분실할 걱정도 없을 것 같아요.
733844023**|진짜 편하고 예뻐요. 다리도 엄청 얇아보이고 편하게 입기 좋은 것 같아요! 믿고 구매하셔도 될 것 같네요 ㅎㅎ
answlguswlg**|요즘 롱치마에 빠져서 찾아보다가 치마가 너무 이뻐보여서 블랙하고 베이지 색상 둘다 구매했어요 ㅎㅎ 둘다 셋째주에 입고된다해서 여유롭게 기다리고 있었는데 블랙 색상먼저 보내주셔서 감사했어요ㅎㅎ 제 키가 작아서 그런지 치마가 생각보다 길었는데 키 크신 분들은 모델분 처럼 잘어울릴거 같아요 살짝 아쉬운것은 지퍼가 좀 뻑뻑해요ㅜㅜ 그 부분 말고는 없는거 같아요! 사진속에 치마에 뭐 묻은것처럼 보이지만 거울이 드러운것뿐이에요ㅠ
bestyus**|생각보다 통이 조금 넓어요 그리고 재질을 약간 후들훟들..? 부드럽고 얇은 재질인줄알고샀는데 다른재질이더라구요ㅠㅠ 전에구매했던건줄알았는데 다른건가봐요 그래도 가격대비 질이 나쁘지는 않아요! 남방안에 입기도좋도 청바지같은거랑 단독으로 입기도 좋은것같아요~!
733844023**|진짜 편하고 예뻐요. 사이즈도 딱 맞고 너무 좋은 것 같아요! 다른 색상도 구매하려고 해요 ㅎㅎ
dbsrkgus11**|예뻐요. 학교에 입고갔더니 애들이 다 예쁘다고 했어요. 그런데 중간중간 실밥이 터진 곳도 있고..마감이 깔끔하지는 않아요.
dbsrkgus11**|정말 예뻐요. 딱 이런 티를 찾았었는데!!4900원이라니! 유후 ~ ! (*^-^*) 가디건이랑 입으려고 샀는데맘에 들어유
yeji04**|이쁘네요~~~^^요즘 보라색이 유행하는데 ㅎㅎ맘에 듭니다!!!지주 입게 될거 같아요보라색이 청바지에 잘 어울려서청바지에 입게 될 가 같아용
dkswltjs**|받자마자 입어봤는데 재질도 두껍고 탄탄해서 오래오래 입을수 있을거 같아요! 사이즈도 여리여리하고 아무옷이나 걸쳐도 예쁘더라구요 따뜻하고 요새 다시 추워졌는데 잘 입고 다니고 있어용
gmds4**|여거여거 너무 좋아요 이거는 그래도 두고두고 입을만큼 좋은거 같아요 데일리로 좋고 스판도 좋아오
chgml123**|치마가 생각외로 많이 짧았어요. 하지만 배송은 주문하고 얼마 않있다가 와서 제가 원하는 날짜 안에 맞춰서 입을 수 있어서 좋았어요
rldudsk**|공무원 준비하는 학생입니다. 학교에 입고 다니기에 심플하면서도 박시핏이라 활동하기에도 편하답니다. 무엇보다도 모자가 커서 머리가 들어가서 좋아요. 밑에 검정 트레이닝 바지 입고 입으면 아주 이쁘답니다. 그래서 이번에 베이지오 하나 더 장만할까해요
97371334**|이거 핏 완전 저한테 딱이에요 정사이즈 샀는데 적당히 스핀끼도 있고 다리가 딱 이뻐요 너무 편하게 잘 입고 다닙니다 색상도 딱 좋은 진청이라 코디하기도 좋구요 검정색도 구매할까 생각중이에요! 이 바지 진짜 추천합니다!
bjy66**|라벨라 반팔 레터링티셔츠는 심플해서 바지든 치마든 어디에 입든 다 잘 어울리더라구요!! 가격대비 만족입니다!!
bjy66**|저희 엄마가 부츠컷 찾으셔서 제가 옷 사는김에 저희 엄마께 매일매일 세미부츠컷 블랙을 사드렸는데 엄청 잘 입고 다니시더라구요!!저희 엄마가 또 사려고 들어가봤더니 블랙은 품절이라고 하셔서 아쉬워 하시더라구요ㅠㅠㅠ만약 재고 풀리면 저희 엄마 하나 더 사드릴예정이에요!!
97371334**|배송은 엄청 늦었지만ㅠㅠ 알고 기다린거니까요! 루즈하게 툭 떨어지는 핏이 제가 딱 원했던 느낌이에요 손목도 한번 잡아줘서 코트가 좀 박시한데도 여성스러운 느낌이 군데군데 묻어나구요 기장이 많이 길지만 저는 만족합니다 옆에 트임이 있어서 걸을 때마다 종아리가 살짝 보이는게 시원스러워 보이고 긴 기장감을 커버해주는 듯한? 앞에 잠그고 끈 묶어도 이쁩니다 너무 좋아요 만족만족해요
soomin06**|무난하게 입기 좋을 것 같아요! 면이랑 핏이 마음에 들어서 블랙도 구매하려구요 면티가 종류가 많아서 어떤걸 사야될지 고민 많이 했는데 구냥 고민하지 마시구 지르세용!! 완전 맘에 듭니당
soomin06**|화이트랑 네이비랑 같이 구매했는데 네이비는 생각처럼 어두운 색이 아니라 보통 네이비보다는 밝은 네이비 였어요! 살짝 블루 같은...? 그래도 핏이 맘에 들어서 그냥 입으려구용 맘에 듭니당!!
jskim10**|안에 원피스나 뷔스티에에 입을 딱 붙는티가 필요했는데 싼가격에 비해 완전 괜찮은거같아요근데 티셔츠가 아무런 무늬도 없었으면 더 이뻤을텐데 그게 좀 아쉽긴 히지만 그래도 완전 만족합니당 ㅎㅎ
jskim10**|일단 재질 자체는 좋았고 길이도 적당하고 속바지가 있어서 편했어요!!근데 확실히 밴딩이다 보니까 뒷모습 핏이 너무 안이쁘더라구요..프리사이즈라 사이즈도 크고..확실히 밴딩이 없는게 이쁜거같아요ㅠㅠ
soomin06**|브라운이랑 검정중에서 고민 엄청했는데 무난하게 어디에나 걸쳐입으려고 검정색으로 구매했어요! 너무 박시하지않고 엉덩이 1/3정도 덮는게 딱 제가 원하던 핏이예요!! 팔기장도 딱히 접어 입지 않아도 괜찮아용~ 원하는 핏의 가디건을 구매해서 너무 좋아용
gmds4**|와..... 이거 진짜 물건이에요ㅠㅠㅠㅠㅠ 저 멜빵좋아하는데 키가 작아서 절대절대 긴거는 안사는데 이거는 디자인보자마자 주문해버렸어요 ㅠㅠㅠ 그리고 그리고 허리가 28정도 되는데 좀 편하게 맞더라구요~
gmds4**|좀 팔부분이 넉넉한 편이긴 한데 입으면 이뻐요 디자인이 너무 이뻐서 주문했는데 만족합니다 굳국
khy21**|실제로 입어보니까모델언니랑 같은 핏을기대햇지만..뭐 그정도는 아니엿지만 나름 이뻣음. 색상이 이뻐서 그런지 다른색상도 탐나내요
dldbwls08**|팔 길이는 적당한데 전체적인 길이감은 짧은 것 같아요 ㅠㅠ 치마에 넣어서 입고 싶은데 팔 올리면 다 빠져요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그래도 디자인 너무 예쁘니까 마음에 듭니다 또 이용할게여,,
480623599**|품절상태여서 일주일 정도 기다리다가 주문햇는데 .. 주문한 보람이 엄청 잇네요 !!!!! 남자친구랑 같이 옷 맞춰서 입고 놀러가는가 좋아하ㅐㅓ 이번에도 옷 맞춰 입고놀러갓는데 너무 예뻣어요 ! 고민하시는분들 고민하지말고 주문하는게 좋습니다 >__<
tlsguswn94**|음.. 사진으로 봤을 때보다 커요. 통도 넓습니다.그리고 얇네요. 목도 금방 늘어날 것 같아요. 이 점이 마음에 드시면 사시는거 추천드려요. 그래도 보라색은 이쁘고 프린팅 된 것도 이쁘고 가격도 싸요.참고로 저는 와이드팬츠에 급하게 입느라 흰색 티를 같이 입었습니다
tpwls94**|밑위가 짧다는 후기를 봐서 고민하다가 상세페이지 밑위 길이 보고 구매했는데 진짜 좀 낑겨요 내려입어도 걷다보면 민망해질거 같은? 스판은 좋아요 지퍼는 빨리고장날것 같습니다.살을 좀 빼면 밑위부분 좀 괜찮으려나..
gkssk98**|치마길이도 안짧고 되게 귀여운 핏이에요 제 팔뚝이 굵은 탓에 입고 팔올릴때 약간 땡기긴하지만ㅠ 밑에 손목부분에 레이스?고 이쁘고 리본은 약간 장난감같지만 그래도 이뻐여
tpwls94**|상품은 ... 사실 많이 실망했어요 색깔이 너무 빛바랜 색이더라구요..진한 색이라 삿는데... 겁나게 빨아대서 물빠진 느낌? 저처럼 진한색인줄알고 구매하시는 분들은 비추입니다! 핏은 너무 크지도 작지도 않고 전 딱 좋았어요
tla98**|좀 기다렸지만 옷이 이뿨서 넘 좋네여 임산부라 안맞을줄 알앗는데 가슴만 좀 끼고 다 괜찮네요 ^^기다린 보람이있는듯!
sul56**|디자인때문에 여리여리해 보이는 것 같아서 좋구, 확 튀지는 않지만 데일리로 무난하게 잘 입을 수 있을 것 같아요
sul56**|일단 색이 엄청 예쁘구요, 길이도 적당한 것 같아요! 여름에 데일리로 자주 입을 것 같습니다~
sul56**|머스타트가 생각했던 것 보다 탁해서 처음에 놀랐는데, 청치마랑 같이 입어보니까 되게 예뻐요’
sul56**|재질이 면?이라서 일반적인 오프숄더에 비해 확실히 데일리로 입어도 적당히 무난하게 입을 수 있는 것 같아요
sul56**|배송도 빨랐고 질감도 좋아보여요! 쫀쫀해서 입을 때 잘 늘어나고, 입으면 다시 허리로 촥 붙어용
54331214**|남자친구 만나러 갈때 입엇는데 남자친구가  너무 좋아햇어요 정말 촤르르 떨어지는 핏이고 그냥 ..너무 이뻐요 그리고 진짜 고급....미쳤어요
tncjq**|저한테는 사진보다 더 넉넉했어요그래서 좋았지만요 ㅋㅋㅋ 모자도 커서 쓰고 다니기도 좋아요  길이는 엉덩이 까지 내려오고 팔 길이가 길어요 얇아서 봄에 걸치고 다니기 딱이예요 운동할때나 보통때도 입어도 넘 좋아요 만족스럽습니당
sonjisu07**|좋아여 좀 박시하구요77까지는 입을 수 있을거 기ㅡㅌ아요
cocomong0**|졸업사진 찍을때 입으려고 급하게 샀는데 기대이상이였어요!!길이랑 핏이랑 다 만족스러웠습니다 (˃̶᷄‧̫ ˂̶᷅๑ )
gusdk13**|연청치마같구싶어서샀는데배송도엄청빨리와서일단좋았구요스판이엄청좋아서s입을수있어서기분도좋았어요디자인도예쁘고딱히짧은거같지두않고길이도딱조아용
aldud69**|기본적인 아이템중에서 제일 무난하면서도 여ㅅㅓㅇ스럽게 보일수잇는 베이지색을 사봣는데 후회가  없습니다 ㅠㅠㅠㅠ진짜 꼭사세용 너무 이쁘더라구용 검은색 롱치마랑 입어도 이쁩니다 여러분 꼭 사세용 !!!!
aldud69**|간편하게 입으면서도 샤랄라해보이는 치마 한번 사봣는데 후회안합니다 진짜 애들이 고고싱에서 요번산옷 다이쁘다 하네요 ㅠㅠㅠ그중에 이옷도 너무 이쁘다합니다 ㅠㅠㅠㅠ 허리가 더얇은상태에서 입으면 더이쁠겋같아요 ㅠㅠㅠㅠ너무이버용 하얀색 사고싶엇지만 후기보면 누런하다길래 검은색 삿는데 사길잘한것같습니댱
aldud69**|이건 뭐 기본 적인 베스트 상품이지만 다른곳에서도 흔하게 볼수잇눈 아이템이지만 고고싱에서 가격도 사게 팔길래 사봣습니당 특히 고고싱 모델분들이 이쁘셔서 젤 끌리기도 햇구용,, 근디 후회햇던게 이저까지 안산게 후회되더라구요 그정도로 너무 이쁩니다 꼭사세용!
aldud69**|이거 진짜 존예 ㅠㅠㅠㅠㅠ제 친구들이 이거 입어보고 탐난다고 다 이쁘다고 자기들도 사겟다고 난리입니다 아니 근데 저는 어깨가 넓어서 올라가서 그런지 쫌 짧더라구요 ㅠㅠㅠㅠ 그래서 살좀빼구 싹 이쁘게 입어야겟습니당 애들이 자기들한테 팔으라는데 절때 안팔구 제가 꼭 살빼서 입을거에요  ㅠㅠㅠㅠㅠ넘 이뻐요
aldud69**|매는 가방이 하나 필요하긴 햇엇는뎅 살까말까 고민하다가 삿는데 후기보니까 냄새난다하시던데 진짜 가죽냄새가 첨에는 심하지만 향수뿌리고 통풍좀 시켜왓더니 괜찮더라구용 심플하면서도 너무조아요 일단 젤맘에드는건 저는 가방에 화장품을 좀 마니 넣고다니는데 안에 많이 넣을수잇어서 정말 좋습니다
aldud69**|와 진짜 이건 꼭 사세용 무늬가 애매할까봐 걱정햇는데 전혀 촌스럽지않고 진짜 이거 입엇을때 애들이 저 아닌줄일앗다는 소리도 들엇고 이쁘다는 소리도 마니들엇습니다 심지어 시내갓을때 다이소에서 알바생이 물어보더라도요 원피스진짜 이쁘다고 어디서삿냐고 고고싱에서 삿다고 말해드렷습니다 ㅋㅋㄱㅋㅋㄲㅋㄱㅋㄱㅋ 이건 꼭 사세용
gogol**|보자마자 완전 마음에 들어서 바로 구매했어요! 치마바지란 점도 무척 맘에 들었고요 ㅋㅋ 예뻐요. 허리는 여유롭게 묶는거 보다 딱 맞게 묶는게 더 이쁘더라고요. 그리고 옷이 좀 커서 그런가 목쪽이 좀 내려와서 안에 나시 입거나 천을 좀 덧댈까 싶기도해요..
doctorye**|솔직히 기대 하나도 안했는데 너무 예뻐서 놀랐어요몸매를 다 드러나게 해주는 옷이긴 한데 장점만 부각시켜주는 옷 같아요넘 이쁘게 잘입겠습니당ㅎㅎ
doctorye**|이 가격에 이 가방 절대 다른데서 못살것같아요 넘 귀엽고 ㅠㅠㅠㅠ 싼티도 별로 안나요! 블랙색상도 사고싶어지네욤ㅎㅎㅎㅎ넘 이뻐요 진짜ㅠㅠ
doctorye**|진짜 너무 이쁘고 사랑스럽고 발랄해요! 사이즈 넉넉하구요 색감 넘 이쁘구요ㅠㅠㅠㅠ 완전 만족합니당 헤헤헤헤헤헤헤헤헿
gogol**|덜 핑크합니다. 20대 후반 30대도 무난히 입을 수 있는 컬러예요. 그리고 리본이 의외로 좀 길게 와서 당황.. 그렇다고 리본을 크게 묶을 수도, 작게 묶어서 아래로 길게 늘어뜨릴수도 없어서 고민중입니다.
baeksm6**|길이도 딱 맞고 제가 약간 살이 있는데...사이즈도 딱 맞았어요! 옷 너무 이뻐요ㅜ 봄에 입기 너무 좋은 옷이네요!
755233162**|너무 편해요...ㅠㅠㅠㅠ진짜 꼭사세요!!!핏도 정말 이쁩니다애
gogol**|음... 제가 마른 몸매라 핏이 딱 달라 붙지 않아서 별로 안 예뻐 보였어요... 55분들 입으시면 예쁠듯... 뒷밴딩이라 엉덩이 윗부분 남아서 붕 뜨는 것도 별로...  그래도 디자인은 예뻐서 좋았어요 ㅜㅜ
skgpdus11**|치마 잘 늘어난다고 하는 리뷰가 많길래 걱정했는데 생각보다 안늘어나는거 같아요. 그리고 사진보다 니트 두께 얇음
tlqjf90**|오 예뻐요별 기대 없이 주문한건데실제로 보니까 더 예쁘네요크기도 저 사진정도로 예상한 대로 딱이네요이 귀걸이 하고 머리 풀르면은은하니 포인트 되고 좋네요진주색도 진짜 진주가 아니라 저렴해보일까 걱정했는데안그래요. 은은하니 예쁘네요꽃모양이 양쪽이 살짝 다른데요, 이것도 이 가격에 별 문제는아닌 것 같아요. 자연스럽고 좋네요.잘쓸게요
skgpdus11**|안에 속바지 안감도 있어서 속바지 또 입고 입으면 훨씬 좋아요 사계절 다 잘 입을수 있을듯
755652552**|배송도 너무 빨랐고 옷은 진짜 너무너무 예뻤어요 ㅠㅠ 하자도 없고 길까봐 고민했는데 다행히 딱 이쁜길이 ! 앞으로 고고싱 정말 애용할께용
wjdsk06**|저는 제가 생각 햇던거 보다 길이 짧을 줄 알았는데 적당한 길이여서 너무나도 좋앗구 비침이 약간있어지만 착용감은 너무 좋아고 벚꽃사진 찍을때 너무 좋앗어요ㅜㅜ 고고싱 좋아요ㅠ
52864474**|음 얇으면서 많이큽니다 팔도 길어서 엄청 여리여리 해보입니다 팔통이되게크고 가오리핏이라서 위투입기가 어려우지만 옷은 예뻐요
yeeun3**|예뻐요 사고 후회 전혀 안했어요  지금 입기 딱 좋아요 겉옷 없이도 입기 좋네요 짱짱 추천합니다.
52864474**|품이 엄청크네요 오프숄더로 입기에는 좀 그래서 그냥입을건데 생각한 것보다 목선이 옆으로 많이 파였어요 나시원피스에 입으니까 이뻐요 맘에들어요
dudfks0**|너무 예뻐서 친구들한테 칭찬받았어요 굽도 적당하고 다리도 예뻐보이고 어떤 옷이든 잘 어울려서 아주 좋아요
dudfks0**|굽이 조금 낮아서 아쉽지만 발도 편하고 아주 좋아요 디자인도 예뻐서 다른 색으로 또 사고 싶어요
dudfks0**|제가 평소에 치마를 안입어서 어떤 치마를 사야할지 몰랐는데 신드롬 스커트가 다른 사람들도 많이 산 상품이라서 한번 사 봤어요 스판기도 적당하고 핏도 예뻐서 아주 좋아요
514094548928590**|진짜 쵝오 댓긍네 너무 짧다는게 많아서 이주동언 살까말까 걱정했는데 막상 입어보니까  그렇게 걱정할정도로 짧지는 않앗어요 베리지 삿는데 색깔도 촌스럽지않은 베이지이엿고 특히 프릴부분이 너무이뻐서 완전 여자여자느낌이에요 진짜 짧을까바 걱정하시는분들 웬만하면 그냥 사세요 요즘 치마랑 별로 차이가 없어서 이쁘게 입으실수 잇으세용
jhmj02**|리본 묶는 거 넘나 어려운 것... 그래도 블라우스는 진짜 옘버요 ㅠㅅㅠ 딱  봄 느낌...!
jhmj02**|맘뭉이 너무 귀여워서 질렀는데 생각보다 길이가 길어요 참고하고 사세요...! 그래도 멈뭉이 너무 귀여워서 후회 안 해요ㅠㅠ
514094548928590**|일단 색깔이 제가 생각햇던것보다도 너무 이쁘고 환한느낌이여서 좋앗어용!!!!다리도 얇아보이고 봄 여름에 많이압고다닐수 잇을거같아용
52864474**|검정은 안비칠줄 알았는데 이런..비치네요 그래도 두꺼운 면티보단 시원할듯합니다 맘에들어요 ㅋ
