zxc99**|처음엔 저렴해서 질이 안좋을 거라고 생각했는데 빨아도 목도 안늘어나고 가성비 좋습니당 ㅎㅎㅎㅎ
wonju8**|정말 가볍고 좋아요~ 정말 싸게 잘산것 같아요!! 잘입고 다음에 또 이용하겠습니다!!!!!!
wonju8**|흰색도 사고싶어요ㅠㅠㅜㅜㅜ 너뮤 이뻐요!!!!! 잘입고 다니겠습니다!!!! 고고싱 옷들 넘 이쁜거 같아용
wonju8**|"간편하게 잘 쓸수 있을것 같아요!!!!!!! 곧 시험기간인데 잘쓰고 다니겠습니다!!!감사해요|~~~~~"
rlawldus6**|조금 크긴하지만 바지에 넣어입으면 될것같아요 어디에나 잘 어울려서 자주입을꺼같아요 흰색이라 조금 비침이있어요
bella07**|이뻐요 사길 잘했다는 생각들었어요가디건안에 잘받쳐입구있고요타쇼핑몰보다 저렴해요 가격비교되더라구요블랙이 무난할거같아 블랙삿구요 화이트두 사고싶을정도예요 ㅎㅎㅎㅎ이쁜옷 잘입을게요^^
mingzzo7**|가격도 저렴한 편이고 밝은색 구두가 없어서 고민 끝에 질러버렸습니당 평소에 신발을 230~235를 신는데 작은 것 보단 나을 것 같아서 235를 주문했는데 약간 크지만 작은 것보단 나은 것 같아요 아직 밖에 나가서 신어보질 않아서 오래 신어도 편한지는 모르겠지만 잠깐 신어봤을 땐 괜찮았어용 고고싱에서 산 바지랑 같이 코디해봤습니당!
mingzzo7**|갖고 있는 바지 중에 없는 스타일이었지만 살땐 후기가 하나도 없어서 고민하다가 샀는데 요즘 살찌기도 했고 모델 언니 핏도 헐렁한 일자바지 핏이 아니라 s가 원하는 핏처럼 안나올까봐 걱정했는데 허벅지는 역시 붙지만 종아리부터 일자로 떨어져서 슬림일자핏으로 보여용 신축성은 진짜 좋습니당!
girl59**|색감 사진 그대로예요~~ 연핑크에 샤랄라하니 예뻐요.배송은 오래 기다렸어요ㅜ손목부분이 생각보다 쪼여요.옷재질도 부드러운것 보단 까슬까슬합니다.
tlqjf90**|치마가 반쪽만 있고 반쪽은 위로 덮어 덧대 묶는 형식이에요걸어다니면 옆에서 보일 것 같아서 살짝 신경이 쓰이네요사이즈도 적당하고 나쁘지않지만 치마가 반쪽씩 되어있는 줄 몰랐는데 잘 보고 살걸그랬어요안에 속바지 입고 입어야겠어요그래도 편하고 두께도 적당하고 검은 옷 잘 안사는데검은색인데 원피스라서 그렇게 무거운 분위기도 아니고좋아요
o87103**|생각보다 사이즈가 넉넉해서 조금 당황했어요단추안잠그고 걸치는형식으로 입어야 할거 같아요색상은 마음에 들어요 딱 생각했던 색상이에요주머니도 있었으면 좋았을텐데요즘날씨 간단히 걸쳐입기는 좋은거같아요
lsy30**|후기 보니 누렇다는 말 많아서 걱정했는데 생각보다 심하지 않아요 입고 사진찍으면 하얀색 같아요! 끝자락 마감처리가 조금 보기 싫긴 한데 비치지도 않고 길이도 적당해서 그냥 입으려구요ㅎㅎ 롱스커트 처음 사본건데 이정도면 만족합니다.
tjtjdrud**|배송시킨지 3일만에 왔어요 고고싱은 항상 배송이 빨라서 1차만족이고 옷이 너무 맘에들어서 2차 만족스러운거 같아요ㅠㅠ 지금 입기 딱 좋고 여름에 저렇게 반팔에다가 입어도 이쁠거같고 재질이 시원한 재질이라서 여름에도 입으면 딱 좋을거 같아요 ㅎㅎ 무늬도 너무 이쁘고 길이도 제가 154정도 되는데 저정도 길이에 오니깐 키가 아담하신분들은 참고하시면 좋을거같아요! 그리고 끈도 조절 가능해서 너무 좋아요!
36636259**|베이지보다는 카키색에 가깝지만 이정도 가격에 재질과 핏이 마음에 들어 다른 색도 구매하려 합니다~~~^^
jane**|1월에 시켜서 지금 받았으니.. 3개월을 기다렸네요 옷자체는 맘에 들어요 근데 키 165 미만이신 분들에겐 질질 끌릴 정도로 길어서 비추요,, 의자에 앉아있으면 바닥에 닿을 정도? 옷은 여성스럽고 이쁜데 너무 기다리기 힘들었어요ㅠ 목에 하는거는 안하는게 더나은거 같아요 배송때문에 별조금뺐어요 너무 했어요 별다른 보상도 없이 하염없이 3개월을 기다렸어요
