hanb**|완전 이뻐요!!저거 저렇게 안 매고 옆으로 두 쪽 다 한 쪽으로 매도 이쁘더라구요 ㅠㅠ 핑크 짱!!완전 이쁘요 ㅋ
jms38**|비비크림제가 화장품을 많이사서 화장품을 좋아하는데 이번꺼사고 나중에 좀더 살려고맨투맨이랑 이거랑 같이 주문했는데 아담하고 이뻣어요여기 이 바비켓은 좀 괜찮은 물건들이 많은거 같구요이것도 제가 피부땜에 얇게바르는데 얇게발라도 좀 좋은거 같구요나중에 되면 큰거하나 살려구요ㅎㅎ
jms38**|우주선 맨투맨진짜 이뻐요제가 처음받았을때는 좀 큰가?작은가?걱정도 했었는데 잘맞아서 좋구요목주변이 좀 넓어도 이뻐요ㅎㅎ모델언냐가 입은거랑 좀 많이 비슷해서 이뻐요ㅎㅎㅎ지브라 박스도 이뻣어요ㅎㅎㅎ
mnzx35**|만족굿!저는 얇은 장지갑을 원했는데요제맘에 딱드는 요아이!슬림지갑을 봤는데 카드넣는 공간이 2개 밖에 없고돈넣는 공간도 하나라서 살까말까 고민하다슬림지갑시즌2보고 질렀습니다!까아><넘넘 맘에 들어요~자세히 보시면 워싱처리가 되었어서 더 이쁜것 같아요!친구들도 이쁘다고 하고!대만족입니다^^
mnzx35**|만족굿^^*저는 블랙으로 샀어요!블루와 블랙중에서 고민하다가 초록색을 좋아해서블랙으로 구매했는데 맘에 들어요! 사진이랑 똑같구요다만 블랙은 끈색깔이 너무 형광 연두라서너무 튀는것은 별로다 하시면 블루사시라고 추천해주고 싶네요!근데 정말 진짜 나름 이뻐요! 신고 나가면 이목이 집중 될꺼에요어디서든 눈에 뛰거든요ㅋㅋㅋ무게감은 진짜 전혀 없고 신었을때 굉장히 편해요!스키니랑 매치해서 입으면 이쁠것같은 신발이에요
mnzx35**|만족굿~맘에들어요!세개다 사고 싶었던 가디건 컬러라뭘 살지 고민하다가 그린 컬러를 샀는데 이쁜것 같아요쫌 큰걸 자주 입는데 키크고 덩치도 있는데 저한테도 넉넉하구요일단 엉덩이를 살짝 가리는 길이라 어떤 바지를 입어도 어울릴것같아요그림에서 본것과는 달리 약간 두툼해서 반팔티 입구 가디건 입으면 더울정도에요^^고민하고 있으시다면 하나 지르세요!후회 안하실꺼에요~
rudwn9**|ㅋㅋㅋㅋㅋㅋ이ㅃㅓ요처음엔살땐아머지괜히삿다이랫거든요근데신어보니깐이쁜것같아요위에랑앞에서볼때진짜이뻐요근데좀할머니효도신발같은느낌조금들구요사이즈만잘선택하시면안불편할것같아요사면그렇게후회는안하실꺼에요레드튈꺼같아서안사시는분우리학교에레드신은사람봣는데그렇게안튀구요레드가더이쁜것같아요전튈거같아서안삿는데아무튼네이비도마음에들어요
rudwls18**|미스트사서 조금 써봤는데 아직 효과는 잘 못본것같아요 ㅠㅠ꾸준히 써볼려고요 ㅎㅎ 근데 조금은 진정된것 같기두 해용 ㅋㅋㅋ싼가격에 좋은상품 주셔서 감사합니당 ^00^
jh83**|딸기딸기!ㅎㅎㅎ케이스 완젼기여워요지금하고잇는데 얼굴이막 땡긴다는ㅋㅋㅋㅋ그리고 푸딩?푸딩같아요!바를때 재밋음ㅎㅎ!근데 향이 새콤달콤 딸기맛향이랑 똑같아요ㅋㅋㅋㅋ먹고시픔
tngml23**|포미닛 맨투맨 후기!
김혜빈|>레드밀리 맨투맨 레드를 주문했는데요조금 큰 감이 없지 않아 있지만그게 이 옷의 매력인듯 ㅋㅋㅋ배송도 빠르게 오고 만족만족입니다~
jh83**|좋아요ㅎㅎ아직 써보지는 않앗는데좋을것같아요!케이스도 완젼 귀요미라능
gusqls15**|ㅋㅋㅋ이쁜데생각보단좀작아여 ㅋㅋㅋㅋㅋ근데 이쁘구여별5개드립니다
jh83**|팩브러쉬ㅎㅎ이거 좋아요촉감도 좋고무엇보다 팩할때 편해서 무척 좋다능!
jh83**|ㅎㅎㅎ촉감도 좋고다좋은데핏이 쫌 과하다는ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사이즈가 작게 나온거 같아용!그래도 못입을정도로 짝은건아니니깡원래블랙사려고 햇는데 품절이라진그레이 삿어요 진그레이도 나쁘진않은듯이너로 활용하기 정말좋다는>.<
gusqls15**|ㅋㅋㅋㅋㅋㅋㅋㅋㅋ레드샀는데 좋아여 이쁜데 좀큼ㅋ
김혜빈|후회안해요~남방하나 살려고 했었는데포포남방이나 레이드 남방 중에서그냥 포포남방시켰는데요이뻐요~후회안하실듯
gusqls15**|좋네여좋아서별5개드리는데 너무 기대했나봐여
김혜빈|레알돌청!이번에 밝은색 바지 하나 살려고 했는데레알돌청스키니가 후기도 좋고 그래서 샀는데배송도 빠르고 받아보니까 정말 이쁘더라고요.그리고 뒷주머니 모양이 리본모양<ㅋㅋㅋ맘에 들어요~
jh83**|이쁜데ㅜㅜ바지는 이쁜데 커요ㅜㅜ으헝헝헝그래서 교환하려고요ㅜ그래도 바지 자체는 이쁜듯이거 사려고 하시는분들 많이 뚱뚱하신분아니면한사이즈 작게사시는게 좋을듯해요스판충분하니깡그래도 이쁘용
jh83**|^.^이뻐용!근데 무게감잇어요입으면 무거운거 잘모르는데 옷만 들어보면 굉장히 무겁다능하하하그래도 이뻐요!그리고 후드가 되게 큰듯ㅎ
김혜빈|좋아요~딸기 톡스파잉 팩을 샀었는데팩브러쉬가 없어서 불편했었는데이번에 옷사면서 같이 사서 써봤는데요역시 손으로 한거보다 팩브러쉬로 한게 더 좋더라구요만족해요~♡
jh83**|앤디후드!ㅎ앤디후드 와인삿는데색이뻐요ㅎㅎㅎ근데쭈리면은 아닌듯그냥면같아요ㅋㅋㅋㅋㅋㅋㅋ살짝얇아서 겨울에입으려면 이너든든하게 입어야 할듯
ehdduddl19**|예뻐요~~~~~~~느낌도보들보들하구 너무예뻐요>.<정말정말맘에쏙들어요 ㅋㅋㅋ게다가이렇게싼가격에 !!!!!!!!!!!!!!!!!!!!!!!!
gpwls31**|음...괜찮은데 쫌 많이? 커요 ㅜ ㅜ팔길이가~ 그리고 한번빨면 금방늘어날꺼같은? ㄷㄷ그래서 별하나 뺏구요 배송은 정말 빨랐어요 ㅎ
jh83**|이쁨ㅎㅎㅎㅎ예뻐요^.^근데 배송이 많이 늦엇음ㅜ다 이쁜데 아미 로고가 아랫쪽에잇네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ암튼 이쁨!ㅎ
ehdduddl19**|사진이랑똑같아요~사진이랑정말똑같아서너무좋았어요 ㅋㅋㅋ뜯자마자입어봤는데 정말예쁘더라구요근데 정말보풀이많아서 ㅠㅠ그건쫌그랬구그리고 별하나뺀이유는 생각보다 옷안에 느낌이 거칠거칠(?)하달까...쫌그래요~~그래도정말예뻐서 잘입고다닐수있을것같아요^^
shdusg**|키스스캔들소녀틴트1호레드 후기 ♥일단 너무너무 좋구요 ㅎㅎ ~♥색상도 너무이뻐서 좋아요 ㅋ번질번질하지않고 입술색만 촉촉하게 변해서더욱더욱 자연스럽구요 ㅎㅎ ~ ♥♥근데 입에 들어가면 맛이 그렇게 좋진않아요ㅋㅋ 좀쓰다는;;;...ㅋㅋㅋ근데 먹는게 아니니까 ㅎ 바르는거니까별점 100개 주고싶어요 ♥~~
love91en**|맘에들어요음...우선 배송은 진짜 생각보다 일찍왓어요제가 목요일 무료배송때 주문햇는데도 토요일에 바로 도착해서 좋앗습니다ㅋㅋ역시 인터넷쇼핑은 총알배송이 짱이에요ㅋㅋㅋㅋㅋ뭐 어쨋든...바지는 첨에 화면상으로는 청색?블루빛이 약간 도는데받아보니까 거의 블랙이네요ㅋㅋㅋㅋㅋㅋ화면에서처럼 약간 블루빛도는게 맘에들엇는데...그래서 별한개 빼구요그리고 바지 사이즈도 솔직히 걱정햇는데진짜 딱맞습니다ㅋㅋㅋㅋㅋㅋㅋ너무 작지도 않고 그렇다고 크지도 않구ㅋㅋㅋㅋㅋ가장 편하게 입을 수 있는 반바지를 산거같아서 좋네요계속 이 바지만 입고다닐듯....ㅋㅋㅋㅋㅋㅋ암튼 맘에 듭니다^^많이 파세용
qtd50**|후기이이이~~!처음에 살려고 막 후기 다 봤는데 크다고 하시더라고여;;그래도 후회는 안한다길래 샀는데 딱 보자마자 별로 크지는 안은데 옆이 길다고 해야대나..?하튼 그래요 ㅜㅜ그래도 괜차늠 ㅎㅎ아무것도 안넣은 상태에서 해보니 이상해서 교복들 가방에 다 집어넣었더니 괜찬아여 ㅎㅎ;;후회는 안해여 ㅎㅎ근데에.. 쫌 ㅜㅜ 고고싱 나빠여!!ㅜㅜ 제가 이거랑 다른거 35마넌 이나 샀는데 사은품이..사탕1개...ㅠㅠ지난번에 옷 2개 주문할때는 그래도 수면팩이라도 줬는뎀 ㅠㅠ 막 어떤 사람은 양말도 받궁..ㅠㅠ아직 옷이 다안와서 그른거겠져?ㅎㅎ 전 믿어요..ㅠㅠ 사은품 마니주세여~~
tnwks**|네이비 샀어요고고씽에서 벌써 몇번이나 구매했네여구매할때마다 좋은질과 빠른배송때문에 항상 만족해요.목.금 무료배송기간을 이용해서 자주 구매하는편입니다.이번에는 시스루 블라우스 네이비 색을샀는데실제로보면 사진보다 좀더 많이 비치는 스타일이구요긴바지보단 반바지에 어울리는 블라우스인거 같아여이뻤어요 ㅋ 질도 좋고 배송 -_-b 무료배송기간이라 기대안했는데어제 점심에 주문했는데 아침에 왔어여 ㅋㅋㅋ빠른배송 좋은질 모든점에서 만족해여 ^^
김나경|붐붐숏팬츠!이건 별 하나빼여ㅠㅠ디자인은 일단 이쁘구여ㅋㅋㅋㅋㅋㅋ제가 원하던 길이엿음ㅋㅋㅋㅋㅋㅋ사이즈는 제가 스키니 27입어서 m삿는데 좀 커여;;ㅠㅠㅋㅋㅋㅋㅋ그리구 재질!!!!!!!!!!!!! 뭔가 안 좋아염ㅠㅠ아 재질 좀 실망햇어여ㅠㅠ냄새도 안 좋고 재질도 뭔가 안좋아여..뭔가 꺼칠꺼칠?하다고 해야하나 막 이랫음;ㅋㅋㅋㅋㅋㅋㅋㅠㅠ어쨋든 재질만 빼면 다 이뻐여!ㅋㅋㅋㅋㅋㅋ사은품도 좋앗구!마지막으로, 이 바지 빨면 냄새 없어지죠? 그리고 이거 가을,겨울에 스타킹이나 레깅스로 레이어드해서 입어도 이쁘겟죠?..
noble05**|예쁩니다^^생각했던거보다 만족스럽습니다~색깔도 이쁘고~ 편하고~ 잘산거같아요두꼐도 적당해서 지금 입기 좋은것같아요^^
김나경|밀리 맨투맨전 이거 네이비로 삿어여~이것도 뭐.. 사진이랑 다른거 없어여!보나마나 이것도 이뻣어여ㅋㅋㅋㅋㅋㅋㅋㅋ반바지랑 입어도 이쁘고 스키니랑 입어도 이쁠듯 해여!좋아요 좋아ㅋㅋㅋㅋㅋㅋㅋ
김나경|인디언 맨투맨이것도 오늘 같이 왓는데!바로 입어봣는데ㅋㅋㅋㅋㅋㅋㅋㅋ159인데 길이 좀 긴것 같구여팔도 좀 길어여ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그런데 대게 이쁜거같음ㅋㅋㅋㅋㅋ이것도 대만족!!^^
김나경|하찌가디건후기!와ㅋㅋㅋㅋㅋㅋㅋ드디어 오늘 왓어여ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전 네이비 색상으로 주문햇어여~제 키가 159인데 길이가 엉덩이쯤이에여쪼금 길어여ㅋㅋㅋㅋㅋㅋㅋ대박 이쁨!!!!!배송이 너무 늦엇지만ㅠㅠ이뻐서 다 용서되여!!!!!!ㅎㅎ
jysh08**|예쁜데요예쁜데 저한테는 쫌 너무 딱맞음 ㅋㅋ그리고 좀 많이 비쳐요..........그래도 귀여움!^^!
jysh08**|이ㅃㅓ여예쁜데여 전 보라색샀는데 생각했던것보단 좀 색이밝아여그리고 쫌짧음 ㅋㅋ 키가커서그런지.............ㅜㅜ그래도 예뻐여
sa**|좋아요!!오늘 집에오니깐 의자에 택배가있더라구요!!!상자가 지브라모양이엿어요 완전이뻐요ㅎㅎ상자버리지말고 필요할때써야겟네요오자마자 옷갈아입고 바로입어봤어요~따듯하고 좋아요. 자크도 잘 올라가구요~워머빼고다녀도 별로상관은없을듯..티안나요 !제가 키가좀작거든요.151cm..인데 ㅎㅎ좀큰거같지만 좋아요 남방위에다가 걸치려고 삿거든요길이는 한..허벅지중간에서좀위?아무튼 너무이쁜듯하네요ㅠㅠ이거 맨날입고다닐꺼에요!!후드집업이라서 교복에다가입어도좋고사복에다가 그냥입어도이쁘구요~별 만개주고싶음ㅎㅎ키가 150중반 정도부터는 딱맞고좋을듯ㅎㅎ? 처음사는건데 배송도빨랐어요30일날 새벽에시켯거든요!! 아무튼 너무이쁨ㅎ
cjy84**|아나...이거정말 대박아이템이에요!!!!!!!제가 옷 이것까지 네개샀는데 이거1위임..제가 빨강색을 그닥으로생각해서 맨투맨이나 티셔츠빨강색을안샀는데 사진보니까 정말이쁘더라구요그래서 한번샀는데 팔은좀길고 크기도크지만이건 큰게매력임...이맨투맨계속보고있으면빨강색때문에 빨려들어갈거가타요~~~~~~~~~와 이거 진짜 맘에들어요ㅠㅠ이거 정말 사면후회안합니다근데 후기들보니까 샘플오던데 저는 안왔네요;;다음에는 샘플꼭보내주세요~~고고싱♡
cjy84**|와~와이거정말맘에듬.....제가이거말고 다른것도샀는데이거진짜맘에듬 얇기는 좀 얇았지만 안에다 머받쳐입으면정말좋음!!이거짱임!!><진짜 이거지르시면 후회안함정말 고고싱 대박나세요!!
suh08**|~후기~입금하고 하루만에 왓어요 ~다른 분들이 가방에서 냄새 난다고했는데전 냄새 안났어요 ~근데 가방 크기가 생각보다 좀 작은듯...박스 뜯어보니까 가방운 구겨져?있었꼬요 ㅠㅠㅠ사은품은 비비 샘플이랑 브라이트닝 마스크가 왔어요 ㅋㅋㅋ그래도 가방은 맘에 들어요!!!정말 잘산거같아요 ~
cjy84**|보이스키니후기~와~이스키 스판짱이에요~~ㅎㅎ제가 인터넷에서는 스키니사는게불편했어요사이즈를 어떤거로 사야하나고민도많았고;;제가직접재보고하니까 28정도되더라구요그래서샀는데 좀많이딱맞네요 ㅋㅋ 조금 살빼면되겠죠색상도이쁘고핏도 괜찮고 이스키니는진짜위에 아무거나입어도 잘어울리고 이쁠거에요!!제가 고고싱 이번에 두번째구매인데진짜 후회없이잘산거같구요~정말 고고싱 짱!!
jay06**|귀여워요!이거 완전!! 귀엽다는!!요즘들어 피부가 어두워지고있어서 삿는데 염(이거는 포장뜯기전 사진)써보니까 조큼 하애진듯!!뭣보다 귀여어서 좋아요!! 나중엔 큰거사야징!ㅎㅎ
cjy84**|873맨투맨 후기!추석연휴끝나고 시킨거라 일주일정도걸렸지만..배송긴거빼고는 정말 맘에들어요;제가 처음 이맨투맨사려고 바로지르려다가 후기들보고 짧다고해서;;제가 167정도되거든요;;딱오자마자;이거 안맞겠다고 돈아깝다고 생각했는데 입어보니 그렇게 작지는않은데제키에는 좀안맞네요아담하신분들이입으시면 정말 이쁠듯!
jay06**|이뻐여ㅎ핏은 제가 허벅지가 좀굵ㅇㅓ서 조콤 안살지만 그래도 이뻐요!!
jay06**|이뻐여>_조금커여 손을 다 덮는정도;;배송 6일걸렷는데 추석연휴로인한 공장의 적은수량 어쩌구 해가지고이해할라구 노력중;;별뺀이유는크고 오래걸리고 사은품도 업엇다는점에서.. 흐규흐규
stella34**|완죤좋아요!늦게올려서 미안합니다!처음에 왔을때 박스를 뜯어보니 꿈치크림이 짜짠!!꿈치크림 크기는 작지만... 그래두 만족합니닷!ㅎㅎ효과두 엄청 좋구요! 발랐더니 촉촉하고 매끄러워욧! 사기잘했어요근데...샘플은 없나요...?
loolil**|메롱이티 후기화면으로 봤을때 넘귀여워서 산건데실용성이 좀.. 낮을것 같네요얼굴 흰부분 색상도.. 너무 흐릿해요화면에서는 예쁘게 보이는데 그냥 회색처럼...바지에 그냥 받쳐 입기는 뭣한데이거 하나 반품하거나 환불하기에는 가격이 좀..그래서가죽자켓 안에다가 받쳐입을려구요입닫고 살짝 가려주니까 해골 같기도 해서 그럭저럭^^;티 자체 핏은 이쁜데 '메롱이'의 완성도가 약간 부족하네요~
loolil**|아미 후드 후기화면으로 보는것 보다 입고 거울봤을때가 훨씬더 이뻐요사실 주문해놓고 후회해서 반품하려고 글까지 올려놨는데이번에 주문한 것 중에 제일 맘에 들어요길이도 넉넉해서 예쁘고 색상도 화면만큼 칙칙하지도 않아요뭣보다 두께가 있어서 겨울에도 안에 티하나만 받치면 완전무장일거 같네요~
loolil**|텍사스 후기힙이 가려질 줄 알고 샀는데 생각보다 길이가 많이 짧네요.모델언니랑 키차이가 있어서 그런가166인데 골반에 간당간당해서.. 스키니랑 입기도 뭣하고 ^^;그냥 배기바지 같은거랑 편하게 입어야 겠어요.가오리 모양인거랑 색깔은 화면만큼 이뻐요~
gusgpwjd**|아아아아아아아!!!!!이거 너무커요ㅜㅜ 이뿌긴이쁜데 제몸에 비해 너무너무너무커요ㅡㅜ 그래서 별점은 1로했음!!
yosim**|맘에들어요 !우선 옷의 모양이나 색깔이 이런건 제스타일이라서 마음에 들었구요.문제는 너무 얇아요 ㅠㅠ 정말 솔직하게 후기쓸께요.너무얇아요 사진으로 보시다시피 지금 모자부분을 형광등에 비쳐서 찍은거거든요?얇아요 ㅠㅠ약간 추운 가을날은 못입을듯????그리고 이건 루즈하게 입어야 예쁜것같아서 ..안에 나시보단 반팔티가 나은것같더라구요 .제가 나시입고 했는데어깨쪽이 넓어서 지퍼를 내리는 스타일로하면 어깨쪽이 싹~보여요 ㅋㅋㅋ반팔입고해야겠어요옷은 다 맘에드는데 너무 얇다는게 흠이에요! ㅠㅠ 너무얇아요 이렇게 얇은줄은 몰랐었어요 ㅋㅋㅋ다른분들은 이점 고려하고 주문하세요전 얇아도 이런스타일을 선호해서 잘 입을듯해요 ㅋㅋㅋ
wlsflekd**|마틴미니백!이거처음받자마자너무귀여운거에여 ㅎ정말 맘에들었어여 ㅎㅎ
o0o52**|너무 이뻐요너무너무 맘에 들어요~제가 뭔하던 스타일이거든요 ㅎㅎ옷도 너무 이쁘고요 잘 받았습니다 ㅎㅎ
shw08**|배송엄청빨라요!!!!!!!!!!!13번째구매!금요일 1시2시쯤?그때 주문했는데 토요일 오전12시도안되서 왔어요ㅋㅋㅋㅋ배송진짜빠르구요~제가 키 163인데 허벅지 중간보다 살~짝 위에 와요!!!!핏도 루즈해서 통통한 분들도 입으시면 귀여울거같다능.........ㅎㅎㅎ근데 옷이 좀 비춰요흰티입고 입엇는데안에입은 흰티가비춘다능......ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래도 겨울에도 위에 코트입으면 예쁠거같애요!!!!!!!1안에 느낌도 까끌까끌 하지 않아서 좋아용한가지 아쉬운점은 좀만더 두꺼워서 비추지만 않앗더라면좋앗을것을ㅠㅠ빠른배송감샤!!!!!!!1
tnwlsdldi1**|쩝...기대기대 엄청 많이 했는데 에나멜이라면서요!!!에나멜도 별로아닌거 같고냄새도 진짜 많이나고화면이랑너무다르네요쩝... 진짜 별로네여...싼가격\맛이라고샀는데실망이네여...ㅠㅠ
haju16**|백팩후기 ~가방 넘넘 맘에 들어요 !!근데 배송넘늦게오구 사은백개가넘어요품 업어서 별 1개 뺏어요가방에대한별은 백개가 넘어요 ㅋㅋ암튼 가방 너무 잘받앗구요, 또 얼마뒤에 잠바랑 신발 살껀데 고고싱에서 주문할께요 ~그때는 배송 빨리 해주셔야 되요 !암튼 가방 정말잘받앗습니다수고하세요 _ 'ㅡ'
skmrt10**|파우치 등등아이라이너랑 틴트랑 미스트랑이것저것 사다가 파우치가 너무 이뻐보이는거에요~그래서 하나 질렀는데크기도 적당하니 좋습니다 !!잘쓸게요 ^^
ssh95**|하찌가디건 와인ㅎㅎㅎㅎ하찌너무 이뻐요.전 와인으로 샀어요.와인 정말 너무너무 예쁘고 후회같은건 조금도 하지 않았는데배송..너무 늦었어요.한 2주일정도되었네여//ㅠㅠ어쨌든 옷 진짜 예뻐요.언니는 다른곳에서 샀는데 솔직히 비교됨..ㅋㅋ우월하게 예쁜 하찌가디건.ㅎㅎ
jisun09**|이쁨!!완전 이뻐요~~~생각보다 작긴했지만 전 냄새는 안나는거 같드라구요~코디하기 좋은제품같아요~~~
jisun09**|이쁨완죤이뻐요ㅎㅎ다른분들이 크다그래서 크면 얼마나 크겠어 하고 생각했는데정말 상상이상이였다는...ㅋㅋㅋㅋ그래도 뭐 많이 들어가니깐...ㅋㅋ이쁘구요~전 허리끈 그냥 잘라버렸어요ㅋㅋㅋ하여튼 이뻐죽겟어요 아주그냥ㅋㅋ
jisun09**|아직...아직안써봤는데 써봐야겠어요ㅋㅋ다른분들 후기가 너무 조아서ㅎㅎ근데 생각보다 양은 적었어요~ 두개 살껄그랬나봐요ㅋㅋ
jisun09**|이뻐요~보통 틴트보다 좀 작긴했지만 괜찮은것 같애요ㅎ귀엽구 바르면 이쁘니깐 지르셔도 괜찮을것 같네요~
jisun09**|완죤 짱!!!제가 블랙헤드 많은편이거든요ㅠㅠ근데 진짜 거짓말안하고 두번썻는데 많이 없어졌어요ㅎㅎ완전 추천합니다!!
jisun09**|음좋네요!!뿌리면 시원해서 너무 좋아요ㅋㅋ근데 생각보다 많이 작았어요ㅎ
suy80**|트립빅백!예뻐요~~진짜!!생각햇던거보단좀다르지만그래도정말맘에들고이뻐요!!!!!!수학여행때들고갈꺼에요!잘쓸게여감사합니당^^
suy80**|예뻐요~~진짜맘에들어요ㅠㅠ색도이쁘고뜯어진것도고급(?)스럽고이뻐요ㅠㅠ아감동ㅠㅠㅠㅠ역시기다린보람이잇어여..잘입을꼐요!!!!!!!!!
suy80**|...진짜생각햇던거보다너무작아요...그샘플??그런거같아요ㅠㅠ담에는더큰거사야겟어요!!잘쓸꼐여~
suy80**|>귀여워요!!배송은좀늦엇지만괜찬아요생각대로많이작네요ㅠㅠ그래도맘에들어용~~잘쓸꼐여~
rhdmstjs**|^.^ 최고ㅎ.ㅎ 이거 사서 오늘 밧는데 ㅠㅠ 이뻐요 근대 좀 얇네요 ㅋ;; ㅋㅋㅋㅋ 그래더 입을수 잇어요 ㅋㅋ
li97**|밀리 맨투맨이란!! 대박이에요ㅎㅎ어제 그저께 시켰는데 방금 받았어요~슈가 장지갑이랑 같이 시켰는데 슈가장지갑이 12일날 입고된다는소식에..ㅠㅠ밀리맨투맨 먼저 보내달라고 했어요~^^입어봤는데 팔이 조금 길더라구요..ㅠㅠ프린팅이 뜯어지는(?) 재질이 아니더라구요~근데 저는 샘플같은 사은품이 없더라구요...유△유저는 튀는걸 별로 안좋아해서... 네이비를 시켰는데요~ 만족한것 같아요~^^고고싱에서 산 옷만 이것까지 3개가 되네요~^^ 악세사리도 1개 시켰으니까 이제 곧 오겠죠~ㅎㅎ저도 나중엔 사은품 꼭 챙겨주셰용~고.고.싱.짱!!
lousging**|괜찬아요음 일단 배송은빨리온거같구요 두께가 정말얇아요..특히 딱붙는거라 벗을때 찢어지고 늘어날거같은.....제대로벗지도못하겠드라구여ㅠ가을에입기엔좋은거같아요 영어적힌거 프린팅인줄아랐는데 좀 다른재질이더라구용그냥볼땐그냥그런데 입으면이쁜거같아여 재질도 부들부들하고 가볍고좋네여~단지좀 많이 얇을뿐ㅠㅠ
jinxb**|후기후기좋앗어요ㅕㅋㅋㅋㅋ진짜 스판대박ㅋㅋㅋㅋㅋ완전 편하구용!!!!어디에 입어도 잘 어웅ㄹ일꺼같아욯!앞으로 고고싱ㅇ자주 이용해야겠어요ㅎ모던보이워커랑 퀘ㅡ트하이진 잘 받앗ㄱㅜ요!!!!엇ㄴ니들ㅋㅋㅋㅋㅋ이쁜ㄴ옷 많이 올려줘서 거마어여ㅎㅎㅋ앞으로도 부탁ㄱ할ㄲ[ㅔ욯ㅎㅋ
jimin07**|좀 실망이네요옷이 아무래도 잘못 만들어진것 같은데...세로보다 가로가 더 긴 경우는 대체 뭐죠?옷은 완전 펑퍼짐 한데 길이는 엄청 짧아요다시 확인해 보니사이트 상의 사진으로도마네킹에 걸어져 있는 모습이 정면으로 찍히지 않고 위로 찍혀져서 길이감도 알 수가 없게 해놨네요아무리 저렴한 값이지만 좀 실망이네요저 옷 입고 나가지는 못할것 같네요배송비가 더 크게 나가는 터라 반품은 하지 않지만한번확인해봐 주실래요?이게 원래 이렇게 펑퍼짐하고 ㅅ길이가 짧나요?거짓말이 아니라 정말 세로보다 가로가 더 길어요화가납니다 정말
ekal38**|어쩜ㅡㅡ어쩜이렇게이쁠수있음ㅋㅋㅋㅋㅋ?완죤대박이쁨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나름장신?이라 피팅언니같이길게늘어지지는못했지만그래도 좀 긴티받쳐서 살짝 티가 보이게 입으니까 나름 간G삘나떠염헤헤레알 구라안까고 눈팅만30번하다가 10%로할인쿠폰 발급해주셔서그래서 당장샀는데 앞으로도 할인쿠폰팍팍쏘면 막 다 살꺼 같은 예감이 듦무튼 처음사보는건데 무지무지만족해떠염♡♥
minjung14**|바비펫 펑키 룩 스무딩 비비크림 1호일단 별이 네개뿐인 이유는 기대하던 사은품이 없어서에용......ㅠ,ㅠ그래도 상품은 매우만족이엇지만...ㅎㅎ 가격도 괜춘하고용 배송도 굳이였어요!고고싱 땡큐!
minjung14**|키스 스캔들 소녀틴트 1호 레드아아ㅏ아아아아ㅏㅏㅠㅠ 틴트는 맘에들어요 색도 이쁘고 딱 좋아하는 크기에다 앙증맞기까지한데용다른분들은 다 사은품오셨던데 전 아우터랑 바지랑 화장품도 세개나 주문했는데 양말도안오고샘플들도 하나도 안왔어용ㅠㅠㅠ 아 뭐지 받고싶었는뎅ㅠㅠㅠㅠ 그래도 상품은 대만족이니까별하나만 빼겟습니당! 아참 배송도 만족만족
minjung14**|스모키 하이진우앙 이거완전 다리길어보임ㅋㅋㅋㅋㅋ 완전대만족~.,~s작을까봐 m사이즈샀는데 스판대박이라서 s사도될껄그랬어용ㅋㅋㅋ핫팬츠불편하던데 이건완전편해용ㅎㅎ 그래도 허벅지살쫌만빼고입어야예쁠것같애용스모키 하이진 강력추천!! 고고싱 사랑해욤~
minjung14**|캘리바람막이생각보다 두껍지는 않았구요, 요즘에 입으면 딱 맞아요.안에 안감 완전 맘에들어요ㅋㅋ 아주아주아주 즐겨입도록 하겠습니당고고싱 완전 사랑해욤
yunjoo20**|-생각보다 좀 큰데 그래도 이뻐요 ㅎㅎㅎㅎㅎ예쁘게 잘입을수있을거같아요~
payn**|오오~일단 하이진인만큼 다리가 길어보이구요,S사이즈를 샀는데 조금 작아보이는데 스판끼가 짱짱해서 정말x100 편해요 대박!!근데 색깔은 화면보다 조금 더 진한거같은데, 그게 더 이쁜거같아요 ㅎㅎ
payn**|도토리남방!!!이 남방 정말 맘에들어요!!기장도 딱좋고 사진 그대로고 몸에 적당히 타이트하게 붙어서몸매도 딱 이뻐보이네요 가격도 저렴하고 ㅠㅠ정말 만족해용
payn**|드디어왓어요 ㅋㅋ배송은 좀 느렸지만 전품목 주문폭주라니까 그건이해해요'_'디자인은 전체적으로 괜찮아요.그런데 역시 굽이 좀 높다보니까 불편하고 발이 아프네요 ㅋㅋㅋ새신발이라서 그런가...어쨌든 잘신을게요~
tomeetb**|이뻐요!
tomeetb**|그냥귀여움
tomeetb**|ㄱ이쁨!이뻐요!
tomeetb**|그냥기본티...되게얇아요
tomeetb**|따뜻하고 이뻐요!
