kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
owoa**|두께가 어떤지 모르고 당장 입으려고 샀다가 얇은거보고 옷장에 고이 넣어 두었어요..ㅜㅠ 3월쯤 날 풀리면 입으려구요. 핏이랑 디자인이 너무 마음에 들어서 제대로 안보고샀다가 옷장행이네요ㅜㅜㅋㅋ 그래도 얼마안남았으니 그때를 기다리려구요ㅎㅎ!
prettyju**|생각보다 길이가 괜춘하네영 색감은 사진처럼 하얗진 않지만 그냥 아이보리 색이예요 살짝 촌스러 보일 수 잇지만 편하게 입고 친구들이랑 놀러갈 수 잇겟네여ㅎㅎ 그래두 검정 살걸 살짝 후회중이네여 그래도 만족~
qkqdh33**|검정색뿐이라 아쉬웟는데ㅜㅜㅜ 넘나 예쁜것....배송이 좀 늦기도하고 비닐이 뜯겨져있었지만ㅠㅜㅜ 옷은 최고예여!되게 귀염귀염한 핏ㅎㅎㅎ검정색이라서 무난하게 입을 수 있을거같아용~~그래더 냄새가 좀 나서 한번 빨고 입어야겠슴당...
keyma**|겨울이여서 따뜻하고 알바할때 입는 바지살려는데 이바지 보고 따뜻하고 편할거같아서 샀어요 ㅎㅎ 입어보니까 신축성도 너무너무너무너무좋고 따뜻해요! 얇아서 걱정했는데 입고 나가보니까 넘나좋은것,, 꼭사세요 여러분
owoa**|받아서 보자마자 놀랐어요 생각보다 많이 얇더라고요ㅜㅠ 지금 날씨에는 추워서 못입을거같아요.. 아쉽지만 날이 조금 풀리고 3월쯤 입으려구요ㅠ 그래도 이 가격에 디자인이나 재질은 나쁘지않은거 같아요ㅎㅎ 여유가 되면 다른 색깔로도 사입고싶어용!ㅎㅎㅎ
keyma**|겨울 세일해서 10900원인가 샀는데 색도 너무너무예쁘거ㅜㅜ 키가 171인데 딱 예쁜 길이라 너무맘에들어여! 고고싱역시 실망시키지않네요☺☺ 사려는 분들꼭사세여 두번사세여그냥ㅎ너무예뽀요
wldnjs00**|확실히 바지 입고 운동해도 될만큼 편하더라고요 ㅎㅎ 그리고 다들 바지 예쁘다고 해줘서 너무 좋았어요! 잘 입을게요! 감사해요!
wldnjs00**|바지가 정말 쫀쫀해요! 근데 발목까지는 다 못잡아주더라구요ㅠㅜ 그래도 색도 예쁘고 전반적으로 너무 맘에 들어요! 잘 입을게요!
as2132**|브라운색깔을 시켰는데 와... 제가 원하던색깔 그대로더라구요 사진과 별차이이없고 있다면 조명색깔을 빼고 약간진하다고 생각하시면될것같아요 어째든 너무이뻐요!
as2132**|크게입는것을 좋아하는지라 모델분 입으신것보고 시켰어요 색깔도 정말 이쁜 진청색깔에다가 핏도 여리여리...완전이쁨니다 5개상품을시켰는데 그중 가장 맘에들었어요!!
owoa**|집에서 입어서 그런지 조금 누렇게 보이더라고요. 그거말고는 부들부들하고 따뜻해서 좋았어요! 제가 좋아하는 디자인이라 많이 입고다닐 것 같아요ㅎㅎ 청바지에도 치마에도 잘어울려서 잘산것같아요 후회없어요ㅜㅠ 내일 당장 입고 나가려구요!ㅎㅎㅎ
ekqls87**|되게 싸길래 그냥 니트종류가 없어서 불렀는데 질이 너무 좋아서 깜짝 놀랐어요 어깨선이 밑에 있어서 살짝 어깨가 넓어보이는감도 없지않아있는데 색감이나 질이 너무 좋아서 다 커버쳐줘요!! 믿고사는 고고싱ㅎㅎ
sky11**|적당히 쫀쫀해서 몸에 착달라붙어요! 어디에 매치해도 다 잘어울리는 제품인 거 같아요 ㅎㅎ남방안에 받쳐입어도 이뿌고
gpal**|검은색 코트는 필요했는데 이 코트는 다른 코트들과 다르게 저렴하면서 퀄리티는 높아보여서 구매했어요! 생각처럼 가격대비 되게 두꺼웠어요!ㅎㅎ 두껍다보니 따뜻하기도 했구요~ 한가지 아쉬웠던 점은 목부분(카라)가 다림질이 안되서 그런지 붕떠있어더라구요. 그래서 어깨는 더 넓어보이고 목은 사라진거같았어요.. 옷 입기전에 목부분 다림질해서 입는것을 추천해요! 그것 빼곤 맘에들어요ㅎㅎㅎㅎㅎ 나중에는 베이지색도 구입하고 싶네요.
eun30**|바지 정말 최고에요 인생바지 굳굳색도 너무이쁘고 롤업해도 이쁘고 안해도이쁘고 두번째사네요!!근데 제구 허벅지가 뚱뚱해서 아무래도 좀 늘어나는 자국이 나긴하지만그만큼 많이입어서 그런것같아요색빠짐도 완전 거의없고전체적으로 완전 좋아요!왕창사서 쟁여두고싶네요 ㅎㅎ
owoa**|받아서 입어봤는데 후기에서 칭찬하는 이유가 있는거같아요! 롱패딩 안 입으려다가 처음으로 사서 입어봤는데 이 가격에 이정도면 진짜 싸고 좋은 패딩하나 산거같더라구요ㅎㅎ 이번 겨울 아우터가 패딩하나밖에 없었는데 이 롱패딩까지해서 잘 보낼 수 있을 것 같아요~ 잘입을게용!!!
ghkal04**|니트 많이 가지고 있지마 이 니트가 제일 마음에 드네요색상도 가을가을한 느낌이고 소재도 좋아요그리고 넉넉한품이라서 더좋았어요  이 니트입으니깐다른 니트들이 맘에 안들어서 문제네요 ㅋㅋㅋㅋㅋ색상이 더 많으면 추가로 더 구매하곻싶어요!!
loveyn07**|길이도 품도 맘에 들어오! 세일할때 아주 저렴하게 이런 코트를 구매할 수 있다니!!! 가격대비 만족합니다^^ 이번에 또 고고싱에서 네이비 롱코트도 구매하였믐데 그 후기는 다음에 입을때 찍어서 같이 올릴게용^^
