dkrud**|이쁩니다- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)카멜색상구매햇어요 배송도빨랏고 좋앗는데옷에구멍이나서왓습니다 ㅠ 그래서 교환신청햇구요!딱봣을때 진짜 가디건이 이쁩니다 ㅋㅋ 교환얼른해서입고싶네요 ㅜ 이제날이좀더 풀리면 입기가 조금 두꺼울거같기도한데 .. 그래도 두고두고 잘입을거같습니다! 이뻐요고민하시는분들은 사셔도 후회안하실거에요ㅋㅋ옷에구멍난거만 잘 확인해서 보내주세요 ㅜ
gydnjs24**|포토후기- 키, 몸무게166/51-착용사이즈-착용후느낌은?(좋은점/나쁜점)면도 좋고 색상도 이뻐서 맘에들어요ㅎ소재가 일반티랑은 다르고 좋아요어떤거랑 매치해서 입어도 이쁠거같아요착용감도 좋고 고고싱에서 기본티는처음 사보는데 만족스럽네요 ㅎ
gjskdus1**|치르치르남방후기- 키, 몸무게155.38-착용사이즈free-착용후느낌은?(좋은점/나쁜점)이번에 고고싱에서 옷처음시켜보는데 포장이진짜 깔끔하게 잘되서 오는거같아요!딱 받아보고 쫌그겠다 싶엇는데 가오리핏이라 그런지 아방해서 귀여워요~면도 싸구려 면이아니구 오래 두고두고 편하게 입을수있는 재질이예용!저는 하얀스커트랑 같이입엇는데 바지 치마 다 색다르게 입을수있을꺼같네요!이번에 옷을 많이시켜서 그런지 흰긴팔티 두장이랑 머리끈 사은품으로받았는데 잘쓸께요!
jinhui5**|포토후기 3등- 키 153 몸무게 39-착용사이즈 25-착용후느낌은?(좋은점/나쁜점)바지는 고고싱에서만 구입하는데 이번에도 역시 후회하지 않는 구매네요!색깔도 저한테 딱 마음에 들고 무엇보다 발목까지 딱 맞아서 좋네요다음에도 또 바지 구입할게요!
skyeong**|포토후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)그그냥 무난하네요원래 다른제품 회색 사고 싶었는데 품절이라서이걸로 네이비 샀는데 그냥 그저그래요같이 시킨 프릴 원피스랑 코디해봤어요셔츠에 잘 입고 다닐 수 있을 것같네요원피스에도요봄에 잘 입고다닐게요
abc3**|연청후기키는161이고 몸무게는 ㅋㅋㅋㅋㅋㅋ50ㅋㅋㅋㅋ옷살때 남여공용같은거는 s사고여자옷은 m사는데사람들이 어깨가 파워어깨된다했는데 저는 그정도는 아닌거같아욯ㅎㅎ그리고 돌은안나왔지만 모래가 조금나왔어요...이미알던거라 베란다에서 털었습니닼ㅋㅋㅋ그리고 냄새도 좀심하길래 베란다에 널어놨곻욯ㅎ봄비그치고 화창해지명ㄴ 입으려구요옷맘에듭니당ㅎㅎ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)
gydnjs24**|포토후기- 키, 몸무게166/51-착용사이즈-착용후느낌은?(좋은점/나쁜점)블래씽 롱티&원피스 아이보리로 샀고요디자인이 이뻐서 샀는데 실제로 봐도 사진처럼 이뻐요~기장은 원피스로는 못입을거같은데 원래 그냥 티로입을생각이어서자르거나 넣어입을라구요 핏은 박시해서 팔이좀 떠요전반적으로 이뻐여ㅎ
skyeong**|포토후기 2등-착용사이즈-착용후느낌은?(좋은점/나쁜점)이번에 구매한 것 중에서 제일 실망인 상품이에요색감도 이쁘고 스크래치도 이쁜데 신축성이 너무없어요그리고 사이즈가 조금 작게 나온 것 같네요27입으면 딱 맞는데 이건 힘겨워요제가 살찐건지는 모르겠지만 ㅋㅋㅋㅋ너무 신축성 좋은 스키니만 입고다녀서그런지너무너무 불편해요 그래도 색감은 이쁘네요
skyeong**|포토후기 2등- 155-착용사이즈-착용후느낌은?(좋은점/나쁜점)원래 카키색을 좋아해서 그런지 만족스럽네요그런데 카키색에서 조금 탁한느낌? 이에요재질이 부들부들할줄알았는데 조금 뻣뻣하네요그래도 잘 입고 다닐 수 있을것같아요벌써 반팔티가 나오다니 시간 빠르네요ㅋㅋㅋ가격이 싸서 너무 좋아요
skyeong**|블랙 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)무난하게 잘 들고 다닐 수 있을것같네요
rlatjdus**|후기!-!- 키, 몸무게158/-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송 입금한지이틀만에 와서 놀래써여...♡옷은처음봤을때너무커서놀랐어요뒤부분이너무부해보이고 제가다리가짧은데ㅜㅅㅜ더짧아보이는.. 키크시거나 다리기신분들은잘소화하실듯여!근데 넣어입으니까 예ㅓ뻐여!!!!넣어입구다녀야겟서여
skyeong**|포토후기- 155-착용사이즈-착용후느낌은?(좋은점/나쁜점)제 키가 작은데도 불구하고 너무 짧네요만세하면 엉덩이가 다 보여요그리고 지퍼가 너무 짧아서 입기 힘들어요혼자서 잠구기도 힘들것같네요벗기는 더 힘들어요 벗을때 정말 힘들었어요그래도 가격이 싸니까 그냥 입으려구요
wldmsd**|후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)두께감잇어서따뜻해요!!!!지금입기딱좋은거같아요
yyuu24**|이뻐요- 키, 몸무게155/49-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 싸보이지않아요!엄청얇고 바람막이같을줄알았는데 의외로 두꺼워요색상은 화면보다 약간 어두운 카키색같아요시보리부분도 짱짱하고 괜찮습니다!근데아쉬운점은 약간 가오리핏이라는거..
k372749**|포토후기- 키, 몸무게156?-착용사이즈S-착용후느낌은?(좋은점/나쁜점)배송도빠르고 가격도 저렴해서 좋아요쫀쫀해서 많이 늘어날거같지도 않고 핏도 예쁘게 잡아줘서날씬해보임ㅋㅋ고고싱너무좋아염~~~~~~
wldmsd**|이뻐요!!!!- 키, 몸무게158.46-착용사이즈-착용후느낌은?(좋은점/나쁜점)신축성이좀없지만무난해서이쁜거같아요~
k372749**|보카시블랙 포토후기- 키, 몸무게155/40?-착용사이즈-착용후느낌은?(좋은점/나쁜점)만원도 안되는 가격에 가격대비 진짜 잘산거같아욤전에 네이비색도 삿는데 좋아서 보카시블랙으로 또삼ㅋㅋ배송도 빠르고!!많이파세용ㅎㅎㅎㅎ
yyuu24**|맘에들어용- 키, 몸무게155/49-착용사이즈26-착용후느낌은?(좋은점/나쁜점)정말 맘에들어요!!!키가작아서 항상 바지길이를 수선했었는데이건 꼭 맞아요!! 발목부분까지 완전 쪼여서다리라인이 더 이뻐보이네요~~가격대비 아주 만족해요~
toqha32**|가격만큼.- 키, 몸무게 156.45-착용사이즈-착용후느낌은?(좋은점/나쁜점)봄이나 가을에 입기 좋아요일반 후드집업 두깨정도? 인것 같고 무게는 가벼운 편이네요.날씨 애매할때 입기 좋은거같아요 ㅋㅋ길이는 딱 적당하게 오고어깨 넓어보인다는 후기 있어서 걱정했는데 걱정안해도 될거같고핏되는 느낌의 야구잠바예요두꺼운 옷은 못 껴입을듯
rhrhtld**|네이비- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)색상고민 많이해봤는데 네이비가 젤이뻐보여서네이비로샀어요 키가 156인데 길이안짧구 뒤에 엉덩이도가려줘서 짱좋아요 얇을줄알았는데 살짝두께감도있구까슬까슬하지도않은거같아요 목부분쪼이는거 말곤만족해요 어느옷에나 잘어울려서 코디하기편할거같아요이 니트는 안늘어나는재질같아서 오래오래입을수있을거같아요배송도빠르고 이정도가격에 싸게잘산거같아여!!완전히날풀리면 그때단품으로 빨리입어보고싶어요ㅜㅜㅜ
yyuu24**|이뻐요- 키, 몸무게155/49-착용사이즈-착용후느낌은?(좋은점/나쁜점)일단 사진에보이는 그대로에요!근데 작을꺼라는거 예상은했지만 정말 별로안들어가네요중지갑이랑 립스틱하나 들어가는정도..근데 무난하고 이쁩니다!끈부분이 약간 아쉽기도해요 ㅠㅠ
bbang49**|1등!?- 키, 몸무게 163. 5.?-착용사이즈 박시해용-착용후느낌은?(좋은점/나쁜점)일단 착용느낌 너무좋구요 부들부들해요 오늘은 흐려서입진못했지만 해쨍쨍할때 입을려구요허리에 감아도 예쁠거같아요!!!가격도 착하고 이뻐요나쁜점은 아직못찻겟네요 고고싱에서 옷살때마더저렴하게사고 다 겟갯겟!! 기분좋습니당>좋은상품 부탁드려용
mk93**|굿굿 ㅋㅋ좋아염- 키, 몸무게160 48-착용사이즈F-착용후느낌은?(좋은점/나쁜점)좋아용ㅋㅋㅋ배송도빠르고 저렴하구ㅜㅜ고고싱최고에여만많이이용하지만앞으로도많이 이용할게용적립금쏴주세용
july8**|포토후기입니다!- 키, 몸무게162 54?3-착용사이즈M-착용후느낌은?(좋은점/나쁜점)와우 일단 빠른배송에 놀랐어요!ㅎㅎ 빠른배송 감사드립니다. 그리고 딱 입었을때 확실히 스판기가 있어서 정말 정말 좋았어요!그리고 핏이라든가 길이라든가 제가 원하는것처럼 딱 나와서 정말 좋았어요!ㅠㅠ정말 인생슬랙스인듯!! 앞으로도 좋은 옷 판매부탁드립ㄴㅣ당~잘 입고 다닐께요 ㅎㅎ
july8**|포토후기입니다~키 162 몸무게 53?4맨처음에 택배 딱 받았을때 저는 흰색인줄 알고 샀는데 오트밀 색상이라서 놀랐어요 ㅠㅠ 잘못온줄 알고 ㅠㅠ근데 포토후기 1등의 글을 보니 오트밀색상 이라고 써있네요 ㅠㅠㅠ 제 불참이예요ㅠㅠ흰색인줄 아시고 사시는 분들은 주의하셔야 겠어요.. 반품할까 했는데 옷질이라든지 촉감이 좋아서그냥 입고 다니려구요 ㅎㅎ 그리고 옷길이는 제 엉덩이 반을 가릴만큼 생각보다 길어서 놀랐어요!그래도 촉감이 너무너무 좋아요!ㅎㅎ 앞으로도 좋은 옷 판매 부탁드려요~ 그리고 빠른배송 감사드립니다!
charm01**|28- 키, 몸무게160 ㅡ 50대-착용사이즈 28-착용후느낌은?(좋은점/나쁜점)완전짱@블랙으로 샀는데 뱃살때문에 걱정이였지만~허리도 딱이고!허벅지며 그핏도이뻐요!!
charm01**|와인후기!- 키, 몸무게 160 ㅡ 50대-착용사이즈-착용후느낌은?(좋은점/나쁜점)와인색 으로 샀어요!화면에 있는 걸랑 색은 비슷해요!구리고 꽈배기나 다 마음에 들어요 하지만...기장이 힙까지 가려지지는 않네여~
dltnqls1**|추천!!- 키, 몸무게 155-착용사이즈 s-착용후느낌은?(좋은점/나쁜점)고고싱에서 3개시켰는데 하나가 입고지연이라 말쯤에 배송된다고해서 걱정하고있었는데 배송비추가로 안받고 따로보내주셔서 감사했어요 역시 고고싱!!바지너무너무이뻐요ㅠㅠ맨날이거만 입고다닐듯 싶네요ㅎㅎ
yes96**|고민하고계신분들 꼭사세요 ㅠㅠ♥- 키, 몸무게 160cm, 45kg-착용사이즈 25-착용후느낌은?(좋은점/나쁜점) 처음에 사이즈를 선택할때 25가 살이쪄서 들어갈지 긴가민가하다가 큰것보단 작은거 입는게 낫겠다 해서 25로 시켰어요!같이 주문한 티셔츠가 입고지연되서 바지만 먼저 받고 싶다고 글올렸었는데 글올린지 24시간만에 집에 와있는 바지 ㄷㄷ 고고싱은 배송쪽으로는 어떤쇼핑몰도 못이길것 같네요 짱짱일단 종아리까지 넣었을때 꽉껴서 불안불안 하면서 올렸는데 허리도 가뿐하게 잠기네요! 사진처럼 무릎 들어올려도 문제없이 올라가네요!약간 돌청느낌도나고 스키니한 느낌도 대박! 짱짱한게 정말 활동성도 대박! 발목까지 끼는것도 대박! 앞테도 최고 뒷태도 최고 최고최고!너무 감사한게 많아서 후기쓸라고 제 dslr 꺼냈어요....♥ 그만큼 the love...... 고고싱 사랑합니다ㅠㅠㅠㅠㅠㅠㅠㅠㅠ♥얼론 티도 오면 바로 후기 남길게요! 잘입겠습니다 ♥-♥
apple85**|좋아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)블랙 구매 가격대비 좋아요
yeazzi**|만족해요- 키, 몸무게 162,52-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점) 하늘하늘하니 봄에 딱 맞는 원피스에요 이뻐서 만족중입니다 나쁜점은 없어요
yeazzi**|좋아요 이쁩니다- 키, 몸무게 162,52-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점) 쫀쫀하고 라인을 살려주는것 같네요 좋아요 아직 나쁜점은 없습니다
yours9**|블랙 26 후기고고싱에서는 스키니 처음 구매해보는데 완전 맘에들어요!제 키 때문에 길이는 좀 길지만 핏이 너무 좋네요!!이렇게 발목까지 잘잡아주는 스키니는 처음 인거 같아요ㅎㅎ다리까지 얇아보이는거 같아서 너무 좋네용다음에 스키니 살때도 고고싱에서 사려구용 좋은 상품 감사해요^^
yys32**|보시카블랙후기- 키, 몸무게167/57-착용사이즈-착용후느낌은?(좋은점/나쁜점)안에 까칠까칠할꺼같았는데 아니여서 놀랐고요 사진보다 실물이 더 예뻐서 또 놀랐어요. 제가 샀던 니트중에 이게 제일 이쁜거같아요! 별로 기대안했는데 진짜 맘에 들고 친구들도 이쁘다고 어디서 샀냐고 물어볼 정도에요.자주 자주 이용하고 싶어요!
tk15**|베이지 후기- 키, 몸무게: 158 46-착용사이즈 :베이지-착용후느낌은?(좋은점/나쁜점)받았을떄 엄청 클거같다는 예감이 들엇는데 막상입으니까 기장은 짧아요팔 부분이랑 몸통 부분이 좀 큰듯그래도 입으면 날씬해보여서 좋아요근데 옷걸이에 걸어놓으면 늘어날 것 같아서 접어서 보관하는게 좋을듯이 가격에 이정도면 만족합니다색상이나 단추 이런거는 문제없었어요ㅎㅎ
yys32**|그레이- 키, 몸무게167-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송이 느렸던거 빼고는 다 좋은거같아요! 인터넷으로 옷 사는걸 믿지못했는데 이번에는 정말 잘 산거같고 주변에서도 다 어디서 샀냐고 물어볼 정도였어요 진짜 이쁘고 니트라고해서 많이 두껍고 불편할 줄알았는데 그렇게 안두껍고 편했어요!! 색깔도 정말 이쁘구요 추천하고싶어요!!!
tk15**|굳굳- 키, 몸무게 :158 46-착용사이즈: 27-착용후느낌은?(좋은점/나쁜점)스판끼가 좋다고 해서 구매했는데 스판기 좀 있어서 입을때 편하구요원래 입으시던 사이즈대로 구매하면 될거같아요다른분들은 좀 작게 나온거 같다고도 하시는데짱짱하게 입으실려면 정사이즈 사셔도 충분하실거같아욯ㅎㅎ디자인도 이쁘고 만족합니당
leesana**|애뻐용- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)보들보들하니 애뻐용ㅋㅋㅋㅋㅋ
nahm41**|그레이 반티- 키, 몸무게 175. ??-착용사이즈 free.그레이-착용후느낌은?(좋은점/나쁜점)일단택배 하루만에 와서 물건 보지도 않고 기분좋네요! 요번에 봄이 되니 또 계절마다 그랬듯이 위에 입을 티가 별로 없더라구요. 계속 샀는데 다 어디로 갔는지 ;;그래서 막입을 수 있는 편안한 티셔츠 여러개 주문해봤어요. 그레이티 색상도 연하고 재질도 보들하니 9부라서 길이도 적당하고 좋네요. 자연스럽게 입기 괜찮은거 같아요. 날씨가 다시 추워졌는데 다시 날씨풀려서 얼릉 입고싶네요. 블루종도 샀는데 거기에 같이 입으면 이쁠꺼같네요^^감사합니다. 수고하세요
dbwjdwjswk**|색깔이...- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)색깔이 우선 너무 이쁘구요 아직 입고나가보진않구 잠깐입어봣는데 너무편하고 괜찮더라구요가격도너무 괜찮아서 ㅠㅠ 잘입고다닐께요~
dldkfk73**|좋아요!!- 키, 몸무게150-착용사이즈F-착용후느낌은?(좋은점/나쁜점)이런 느낌의 옷은 처음 사봤는데 이 가격에 나시랑가디건이랑 세트라니 !! 배송도 빨리 받고 옷 뜯고 입어보고 나서 더 좋아졌습니다ㅎㅎ 키가 작은편인데 길이가그렇게 길지도 않고 재질도 부드럽고 나시랑 가디건이골지라 몸에 꽉 낄까봐 걱정했는데 생각 했던거와 다르게꽉 끼지도 않고 완전 맘에 들었습니다.~청바지에도 이쁘고 어디에든 어울릴 것 같아용날씨 풀리면 간편하게 스키니에 입어도 이쁠 것 같아용
tk15**|굿굿- 키, 몸무게-착용사이즈 : 블랙-착용후느낌은?(좋은점/나쁜점)바지가 다 입다보면 허리가 커져서 벨트가 필요해서 샀는데만족하구요가죽냄새가 좀 나긴하지만 디자인이 무난해서 다 잘어울리는 것같아용잘 착용하고 다닐수있을거같아요
jieunto**|레드색상~!- 키, 몸무게165.55-착용사이즈라지-착용후느낌은?(좋은점/나쁜점)색도 맘에들고 치마주름도 이쁘게 되서 좋아요ㅎㅎ길이도 짧지도않고 적당해요~!!약간 교복치마같은느낌도 없지않아잇지만 개인적으로는 마음에들어요~!ㅎㅎ짱짱 이쁘고 좋아요~~~^^다른색도 사고싶어요ㅠㅠㅎㅎ
totory**|이뻐요ㅎㅎ- 키, 몸무게161/47-착용사이즈-착용후느낌은?(좋은점/나쁜점)딱붙는 치마 조금 부담스러워서 잘 안사는 편인데후기가 너무 좋길래 샀어요!ㅎㅎ많이 얇아서 봄에 입으면 좋을거 같구 생각보다그렇게 부담스럽지도 않고 진짜 이쁜거 같아요:)그리고 가격까지 너무 괜찮아서ㅠㅠ잘산거 같아요 봄에 많이 입고 다닐게용ㅎㅎ
