bu030**|와..  이거 제 인생바지인거 같아요...♡ 받아서 입어보고는 너무 편하고 이쁘고 다리도 날씬해 보이고 이건 진짜 최고의 바지ㅠㅠb 색깔별로 여러가지 많았으면 다 샀을거 같아요!! 이쁘게 잘 입고다닐게요~
bu030**|택배 받고, 옷 꺼내봤을땐 어.. 너무 큰데..? 해서 좀 당황했는데, 입어보니까 오버핏으로 딱 이쁘게 잘 떨어지더라구요! 전부 이쁘다고 칭찬해주고ㅎㅎ 잘산거 같아요~ 지금 같은 초봄에 입기 좋은 청자켓이예요! 잘입겠습니다~
cyj93**|저번에 구매하고 마음에 들어서 재구매하게 되었어용!로퍼에 신으면 넘 잘어울리는거 같아요봄이라 치마입을 일도 많은데 치마+양말+로퍼꿀조합은 계속될거 같네용ㅎㅎㅎ예쁘게 잘 신을게요~
qotjsgml10**|엄청기여워요 ㅋㅋㅋㅋ 맨투맨이랑 입으면 이쁠듯 검은색은 남자친구 주고 커플로 신을라구용 막여성스러운 스타일은 아니긴한데 기여우니만족
qotjsgml10**|엄청기여워요 ㅋㅋㅋㅋ 맨투맨이랑 입으면 이쁠듯 검은색은 남자친구 주고 커플로 신을라구용 잘신겟습니댱
7775192**|소라색상 구입했습니다 ! 매치하기도 좋고 색상도 너무 예뻐요재질도 주름 많이 지는 재질도 아니고 편하고 매우 마음에 들어요 !
7775192**|블랙 색상으로 s사이즈 구입했어요 !s사이즈로도 허리둘레가 다양해서 조절할수없을때 곤란한데 이 치마는 자크와 단추로 채운뒤에 벨트로도 조절 가능해서 좋아요
fromey**|음... 가격만큼 하네~ 정도? 너무 기대한건지, 기대한 것보다는 좀 덜한데 그래도 입을만합니다! 색깔도 나쁘지 않고 올 봄에 데일리로 자주 입을 듯해요~ 날씨 좀 더 풀리길 기다리는중~!
fromey**|음... 가격만큼 하네~ 정도? 너무 기대한건지, 기대한 것보다는 좀 덜한데 그래도 입을만합니다! 색깔도 나쁘지 않고 올 봄에 데일리로 자주 입을 듯해요~ 날씨 좀 더 풀리길 기다리는중~!
7775192**|네이비 색상 s사이즈로 샀어요s사이즈인데 조금 커요 디자인이나 재질은 고급져서 좋아용다른색상으로도 구입 예정 입니다 !
soyeon07**|고고싱 배송은 항상 빨라서 너무 좋아요 ㅎㅎ 가디건 받아서 입어보니 색은 사진보다 살짝 어두운? 핑크였고 무난하게 코디하기 좋은 것 같아요~~옆으로 너무 커서 부해보이기도 하네요ㅠ
soyeon07**|고고싱 배송은 매번 빨라서 너무 만족했어요~~실버링 포인트가 이뻐요 ㅎ 재질도 이정도면 엄청 만족하구요 데일리로 평소에 하고 다니기 딱인 것 같아요!
fromey**|색상은 일단 너무 마음에 드는데 살~짝 어깨 깡패로 보일 수 있어요ㅋㅋ 겉에 가디건 같은거 걸치면 괜찮겠지만... 여성스러워 보여서 봄처녀 느낌도 나고 출근할때 입어도 부담없는 블라우스 같아요
