tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
asgq17**|크림샤워랑 헤이즐넛 색상 구매했어요!사진은 헤이즐넛 색상입니다롱치마, H치마, 스키니 어디든 다 잘어울려요~!넥라인에 반해서 샀는데 정말 만족합니다!!
baba14**|안에 이너로 받쳐입기 좋은거 같아요! 신축성 좋아서 딱 붙는 거에 비해 불편하진 않았어요흰색이라 속옷이 살짝 비치기는 한데 이너로 입으려고 산거라서 크게 불편한건 모르겠더라구요근데 옷 품이 좀 작아서 숨쉬기가 힘들긴 했어요..ㅋㅋㅋ 그래도 자주 입을거 같아요 잘산거 같아요!!
mulan1**|가디건이 정말 예뻐요.  따뜻하고 색도 포근해서 봄, 가을에 입고 다니기가 진짜 좋을 것 같아요. 박시하게 입고 다니는 걸 좋아하는데 정말 박시합니다!
baba14**|보자마자 너무 예뻐서 샀는데 색상이 네이비라서 쪼끔 아쉬웠어요ㅜㅜ 블랙에 꽃 색상도 좀더 밝았으면 더 예뻤을 건데 아쉽네요 (근데 실제로 보면 네이비 보단 블랙이긴 해요)일단 길이는 무릎 조금 밑까지 내려와요! 소매부분이 하늘거려서 되게 예쁩니다아 그리고 허리 밴딩이 저한테는 좀 큰감이 없지 않아 있었습니다 그래서 허리를 못잡아주고 좀 흘러내리더라구요그래도 옷 자체는 너무 예뻐서 마음에 듭니다
wlsqhsk**|라이더 자켓 사서 안어울리까 걱정많이했는데팔길이 긴거 빼고 옷도 이쁘고 가격도 저렴하고머든옷에 다 잘어울리는거같아서 좋았다
asgq17**|모델언니랑 똑같이 입어봤어요!원피스말고 스키니진이나 치마에도 잘 어울려요개인적으로 손목은 한 번 접어서 입는 게 더 예쁜 것 같아요~!
wlsqhsk**|옷도 이쁘고 색깔도 이쁘고블라우스가 생각했던거 비해 이쁘고가격도저렴하고 만족스러웠다길이도 적당하고 만족!!!
ekalaa**|언니주려고 이바지 신상으로 나와서 구매했는데 언니가 완전 맘에든다고해요ㅎㅎ 종아리도 넉넉한게 일자핏이 이쁘게빠졌어요
ekalaa**|롤업이 많이되어서 이쁘구요 일자팬츠같은 스키니에요ㅎㅎ 허벅지쯔음에 워싱이 있어서 더 예쁜거같습니다 발 넣을때조심~~
ekalaa**|이바지 재입고 기다려서 산건데 이쁘긴한데 162인 저한테 좀 짧은감이있어서 긴양말 신고 입어요ㅠㅠ 짧은게 너무 아쉽습니다
lisa08**|완전 대박!!!제가 팔에 살이 많아 남방을 입으려해도 박스스타일 아니면 절대 입을수가없었습니다 근데 이남방은 입는순간 여성스러움이 물씬~~게다가 여유있는 품까지 상체에 살집있는분들에게 적극 추천해드리고싶습니다
lisa08**|친구들이 이뿌다고 난리네요..^^인터넷으로 산옷중에 최고예요재질도 싼티안나고 고급스러워 보이고 안감도 살짝 촌스러울까 걱정했는데 절대 촌스럽지않고 더밝아보여좋아요항공점퍼 엄마것도 하나더 구매합니다!!!
43447405**|치마든 바지든 어디서든 사면 허리가 커서 안맞았는데 이건 그래도 허리가 작게 나와서 배바지하고 입으면 딱 맞아서 좋았어요! 가격도 되게 저렴하게 사서 아주 만족합니다!!!!
43447405**|생각보다 엄청 부드럽고 촘촘하게 되어있고 마감도 깔끔해서 아주 기분좋았어요! 근데 단추구멍이 생각보다 많이 좁아서 처음에 단추뺄때 조심해서 빼고 끼워 넣어야할거같아요 저는 처음에 모르고 왜 안되지 하고 쎼게 했다가 옷이 늘어났거든요....ㅜ 그것 이외에는 아주 만족합니다 !!!
nnauu**|바지 너무맘에들어요!!첨에나오자마자 이거다했더니역시 인기많네요^^ 쫀쫀하고 스판기도 많구요! 길이도 좋아요 접어도 안접어도 이쁜길이! 잘입겠습니다^^
nnauu**|전 무난하게 네이비 샀어요^^ 면 짱짱 좋아여 보들보들하고 쫀쫀해요 크롭이라 다리도 길어보일듯해요^^ 전 치마에 코디해봤어요^^
kna**|쫀쫀하고 몸에 착 달라붙고 보들보들해서 입었을때 기분이 좋아요~ 그리고 쫀쫀해서 위에 얇은옷 입었을때도 티가 잘 안나서 좋아요~
nnauu**|길이감 딱좋아요!!!! 시원한 소재라서 여름에도 입기 좋을거같아요! 지금은 스타킹신고 입으면 딱이구요^^ 할인할때 삿는데 완전 득템요!
kna**|생각보다 구멍이 많이나있고 목쪽도 많이 파여있고 소매도 긴데 봄에 화사하게 입고싶을때나 기분내고싶을때 입기에는 좋은거 같아요
kna**|핏이 이뻐요~ 허벅지랑 엉덩이에 살이 많은편인데 조금 박시한 니트나 맨투맨이랑 같이입으면 이쁜거같아요~ 안감도 바지형태라 좋아요
kna**|예전에도 샀는데 이쁜거같아요! 안에 속바지도 있어서 바람이 많이불때는 못입겠지만 그래도 무난하게 잘 입고다닐수 있는거같아요
woekdms7**|토요일에 주문했는데 월요일에받았어요~ 뜯어봤는데 색이 부담되는 핑크색이 아니라 좋았어요 살짝 탁한핑크? 그런 색이에요 팔통이랑 팔기장이 크긴한데 괜찮아요 슬랙스랑 입으니깐 이쁘네요
kna**|핑크색은 쇼핑몰마다 색이 다 달라가지고 이쁜 색을 찾기가 어려운데 이 니트는 색깔이 적당해서 이뻐요 그리고 조금 얇긴한데 봄에 입기에는 적당한거같아요~
amys32**|너무 좋아요ㅠㅠㅠㅠ 짱입니다 딱 봄에 입기 좋은..?작지는 않을까 걱정했는데 오버핏인지는 모르겠는데 짱입니다...  저같은 퉁퉁이가 맞으면 다 맞으실거예요!! 넉넉하게 조금 커요!! 상체 보완 다되고 진짜 개추천템 이것만입고 살거같네요 약간 비친다해야되나 많이 얇지는 않은데 조금 얇아요! 실밥 2개정도... 딱히 거슬리는 없었어요!  봄에 입기 너무너무 좋습니다,..기본템으로 남방하나 쟁여두세요♡♡ 고고싱짱
amuslove**|이거 진짜 이뻐요ㅠㅠㅠ색깔별로 다 사고 싶어여ㅠㅠㅠ소매부분이 널널한데 이쁘게 널널하고 진짜 고급스러운 재질?그런 느낌이에욤 그리고 생각보다 커요! 길이도 길어서 맘에 듭니당ㅎㅎ
ggopia**|천이,컴퓨터로보던거보다.넘.좋아요.두껍고.맘에들어요.울딸도,넘넘.맘에들어하고.감사해요
amuslove**|너무 예뻐용! 소매부분이 틔어져 있어서 더 하늘하늘한 느낌이 강한 것 같아욤 근데 너무 인기 많은 상품이라 그런지 너무 흔하게 보여서 입기 좀 민망합니닼ㅋㅋ
yeli03**|♡L 사이즈 후기♡요즘 일자팬츠 유행이길래 하나 사봤는데 너무 맘에들어요ㅠㅠ 다리도 더 말라보이고 스키니에비해 넉넉해서 부담스럽지도 않아용  컷팅도 너무 이쁘게 돼있어요ㅠ.ㅠ 바지 밑단에 헤짐도 이쁘고 접어입어도 펴입어도 둘다 이쁘용  스판이 없어서 쪼그려앉거나 아빠다리하기엔 좀 힘든 감이 있지만 전반적으로 완전 만족이에요 개존예 배송도 짱 빨랐습니당
wjddbwls7**|팔부분에 달려있는게 자꾸 빠져요ㅠㅠㅠ 면도, 핏도 너무좋은데 자꾸 빠져서 박음질 해놔야겠어요ㅋㅋㅋㅋ 기장도 너무 맘에들어요! 다음엔 베이지 색도 구매하고싶어요!
wjddbwls7**|편하게 입기 좋을거같아서 구매했어요ㅎㅎㅎ 받아봤는데 생각보다 목부분이 좁아서 입을때 불편했어요ㅠㅠㅠ 화장하고 입으면 안될듯..  그래도 가격대비 만족합니다!
dntn**|생각보다 커요 ㅠㅠㅠㅋㅋㅋㅋ 모델보다 통통한데 왜 제가 입은게 거 커보일까요... ㅠㅠㅠㅠ 제일 기대한건데 조금 속상하네요
alsdhr05**|입어봤는데 생각보다 가슴부분이 너무파여서 좀당황했어요근데 저는 목이짧아서 파인옷좋아해서 괜찮긴합니당일단 디자인이랑 핏은 진짜 너무너무맘에들어요이름처럼 여리여리한블라우스예요 봄에 놀러갈때 자주입을거예요ㅎㅎㅎ
alsdhr05**|진청 색 너무맘에듭니다!!핏도좋아용어울리는 옷이 많아서 자주입고다닐거같아요블라우스에 입어도 이쁘고 기본티랑 입어도 이뻐요너무맘에듭니당ㅎㅎㅎㅎ잘입을게요!
wjdah1**|분홍색 사고 핏이랑 두께랑 맘에들어서 기본템인 흰색으로도 샀어요 ㅎㅎ분홍색이랑 흰색 모두 기본색이라 여기저기 매치하기 좋아요특히 흰색 청바지랑 입어도 예쁘고 치마랑 입어도예쁘고ㅠㅠ완전 데일리템입니다!! 확실히 다른옷들에 비해 손이 자주가는편이에요
rlawlgp1**|무난한 흰양말이예요 엄청 저렴하네요
rlawlgp1**|골지양말 오트밀 색상 참 예쁘네요 잘신을께요
wjdah1**|생각보다 길이도 길고 핏도 오버핏이었어요안에 얇은옷 입고 입으면 여리여리해보이고 좋은데맨투맨처럼 두꺼운옷 입고 입으면 팔뚝깡패 돼버리네요 ㅋㅋㅋ단추가 없는 오픈형이라 가디건이 도톰함에도 불구하고 조금 춥긴해요ㅠㅠ단추나 주머니 있는 버전이 있다면 더 좋을것 같기도..ㅎㅎ바지랑 치마 롱원피스 모두 잘 어울려서 너무 좋네요!색감은 제가 기대했던 색으로 왔어요 탁한 분홍!!완전 연핑크는 아니에요 탁한색이라 여기저기 입기 좋네요
rlawlgp1**|6900원에 득템했어요 카키색 너무 예쁘네요ㅠ 니트는 한철입고 버려서 싼거사는데 정말 잘산것같아요 브이넥이라서 더 날씬해보입니당
rlawlgp1**|니트 정말 저렴하게 잘샀어요 진짜 딱 예쁜 베이지색! 니트가 6900원이라니 진짜 대박ㅠㅠ 니트는 비싼것도 한철입고 버려서 싼거사는데 득템했네요
rlawlgp1**|정말 저렴한 가격에 득템한것같아요 너무 잘입고다니고있어요 질도 튼튼하고 여러번 빨아도 끄떡없네요!다른색도 사고싶을 정도예요
rlawlgp1**|짱짱하고 좋아요
tnalsl**|아이보리 사고 싶었는데 품절이여서 무난한 네이비 샀어요 ㅎㅎ짤막한 가디건은 처음이라 뚱뚱해보이면 어쩌나 걱정 많이 했는데 입자마자 싹 사라졌어요 ㅋㅋ 너무너무 예뻐요 핏 대박!요즘같은 간절기때 입으면 딱 좋아요 꽤 두툼하고 아주 좋아요!ㅎㅎ 따뜻합니당!!
wjdah1**|무난한 검정색이라 여기저기 입기 좋아요!!사기전에도 걱정했고 사고난 후에도 고민인 핏 부분..ㅠㅠ티가 아예 헐렁한 것도 아니고 달라붙는 것도 아니라서 목 돌아간것처럼 보여요..ㅎㅎ제 신체조건이 원래 그런거라 어쩔 수 없고 예뻐서 잘 입을 수 있을것 같아요 ㅋㅋㅋ가격도 착해서 넘좋아요
wjdah1**|속바지 있는거랑 없는거 고민하다가 없는걸로 샀어요!속바지 있으니까 편하고 좋긴한데 없는치마가 핏이 더 예쁘더라구요..사진상 통자처럼 나왔지만 실제로 보면 핏 완전 예뻐요길이도 다른 테니스치마에 비해 긴편이라서 좋네요네이비색이 진해서 언뜻보면 검정색같아요! 개인적으로는 진한남색이 마음에 들었어요..ㅎㅎS사이즈 샀으면 더 예뻤을 것 같기도 하지만 M사이즈는 맨투맨처럼 두꺼운것도 넣을 수 있어서 좋아요 얇은티 넣어입으려면 S사면 더 예쁘게 입을 수 있을 듯 해요
bom3**|네이비색 플라워 패턴 블라우스가 너무 가지고 싶었는데 드디어 발견!!! 촌스럽지도 않고 넘 좋아요...팔뚝이 조금...ㅎ 그거외에는 진짜굿굿
32490845**|조녜보스여서 샀습니다. 다만 올 때 실밥이나 먼지가 잔뜩 묻어서 와서 오자마자 돌돌이 돌리고 라이터로 지지고 난리도 아니었네요. 옷 자체는 진심 예쁨. 다만 피부 예민하신 분들은 속에 뭐 받쳐입으세요. 옷 내부쪽은 좀 까슬합니다. 길이는 제 키에 다리 시작점에서 손바닥 정도 내려온다고 보시면 됩니다. 집에 전신거울이 없어서 포토후기는 못쓰네요, 아쉽다. 잘 입을게요!
hwonp**|평소에 m사이즈 입는데 이건 좀 더 작게 나온거 같아요... 특히 발목 부분이 너무 안들어가서 애 좀 먹었습니다.ㅜㅠ 한 사이즈 크게 주문하세요!
32490845**|먼지 많이 묻어요. 꽤 두께감 있는 편이고, 구김도 좀 있는 편이라 팡팡 털어서 널어야 할 듯 합니다. 그래도 꽤 빳빳해서 흐느적거리지 않아 좋네요. 사고 싶던건데 지난번엔 재고가 없어서 눈물을 훔쳤는데 다행히 이번엔 잘 걸렸네요! 잘 입겠습니다.
hwonp**|사진에서 보는 색상하고 정말 거의 똑같고요 소매도 처음엔 커프스가 적응이 안됐었는데 그래도 지금은 잘 입고 다니고 있어요~
hwonp**|정말 탄탄한 데님 소재고 스판끼도 있어서 좋긴 한데 너무너무 짧네요ㅜㅠ 그점이 정말 많이 아쉬워요 그 점만 빼고는 여러모로 좋은 상품입니다.
qwe2qw**|핑크 가디건 진짜 너무 예뻐요!! 진짜 핏 여리여리하고 색깔도 존예에요!친구들이 다들 가디건 어디서 샀냐고 물어보고 두께도 너무 두껍지도 않고 얇지도 않고 적당해서 너무 죠아용!정말 손이 많이 갈 것 같아요
qwe2qw**|핑크 가디건 진짜 너무 예뻐요!! 진짜 핏 여리여리하고 색깔도 존예에요!친구들이 다들 가디건 어디서 샀냐고 물어보고 두께도 너무 두껍지도 않고 얇지도 않고 적당해서 너무 죠아용!정말 손이 많이 갈 것 같아요
32490845**|모카라떼 샀는데요, 생각보다 붉은기가 돌아서 당황하긴 했는데 그냥 저냥 괜찮았어요. 그냥 입을 게 아니고 셔츠 받쳐 입을라고 산건데 이 가격이면 꽤 잘 산듯? 잘 입겠습니다
1725768214418565**|걍 이거는 꼭사세요 너무 귀엽고 친구들이 다 어디서 삿냐고 물어보네요 이가격에 퀄리티정말 좋고 배송도 빨리와주시고 짱만족합니당
guswl14**|통있는거 처음사봐요.근데생각보다 통이 아니라ㅋㅋㅋ편하게입을수잇을듯조만간 고고싱에서 다른 바지또살거에욥ㅎㅎ이바진 편하구ㅎㅎ사이즈도괜찮은듭ㅎㅎ
eoqkrdlsdu**|하하하하하하하하 입는순강 저한테 조금작아서 제가살을빼야겠죠... 하체비만분들 엠짜하지마시고 엘을사시는걸 추천드립니다 저희엄마에게 드렸는데 너무만족하세요 결국재바지살려다 엄마바지가되었지만 너무만족하고좋아요 고고싱사랑해용
1725768214418565**|정말 저렴하게 잘샀네요 흰셔츠랑 레이어드 하기 딱좋은 아이템입니다 배송도 빨리오고 고고싱 최고에요♡ 자주이용할께요.
x123**|이쁘긴이뻐요...!재질 걱정 많이했는데 딱 여름에 입어도 좋을만한얇은 재질이에요ㅎㅎㅎ제가 생각한대로라서 만족스러워요 다만 구김이 많은 재질이라 그런지 구김이 굉장히 심해서 다림질해서 입어야할거 같아요 그리고 제가 하비라 상의는 괜찮고 넉넉한데 하의는 골반에서 껴서 입기가 좀 힘들었어요..ㅠㅠ살빼서 입어야할거같네요 하하..그치만 코디잘해서 입으면 이쁠거같아 가격대비 만족합니다
eoqkrdlsdu**|진짜 제일맘에들어요 하얀거를주문해서 비침을걱정했는데 진짜 안비치고 옷핏도 너무이뻣어요 배송도넘빠르고 엄마가잘샀다고 이쁘다고 칭찬도해주더라고요 검은색도살까생각중이에요 배송도넘빨라서 좋았어요 고고싱감사합니다 이쁘게입을게요❣️
eoqkrdlsdu**|넘넘넘넘 맘에들었어요 역시고고싱은 배송도빠르고 실패한적이없어요 너무맘에들고 만족스러워요 맨날메고다닐거에요 벨트는사랑입니당❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️
x123**|린넨투피스 사려고 보다가 같이 코디한 로퍼가 너무 이뻐서 같이샀어요! 후기가 없어서 걱정했는데 바닥에 쿠션두 폭신폭신하고 사이즈도 딱맞구 무엇보다 디자인이 군더더기 없이 딱! 깔끔하게 잘나왔어요!!디자인에 반해서 샀는데 실물이 더 이쁩니다....정말 이제까지산 로퍼나 신발 중에 제일맘에들어요ㅠㅠ
wlswn13**|제가 원하던 여리여리한 핏이라 넘 이쁘고 좋아요 :) 얇지도 않고 생각보다 도톰해서 지금시기에 입으면 딱일거 같네요!  어느 코디든 편하게 걸칠수 있어 자주 입을거 같아요ㅎㅎ 이쁜옷 잘입겠습니다 S2
zoselfld**|색상 화이트 , 네이비 둘다 샀어요길이도 적당하고 보통 이런거 사면뒤에가 좀 짧은데 이건 전혀 안그래요그렇다고 긴것도 아니고 넘 이뻐요!
thdpdn**|쫌 파이긴 했는데 예쁘네용근데 사고나니까 바로 쎄일하네요ㅠㅠ그래도 예뻐서 잘 입을께여ㅎㅎ두께도 적당한것같고 흰색도 예쁠것같아요!
x123**|인생바지 찾았어요!!! 제가 하비에다가 상체는 마른편이라서 항상 s사이즈바지사도 허리가 남았었거든요 허리맞는바지는 이 바지가 처음이에요ㅠㅠ입고 지짜 감격...! 색도 딱 원하던 흑청색이구 엄청! 편해요ㅎㅎㅎㅎ스판끼가 좋아서 편한데 딱 잡아줘서 핏도 예뻐요 그리고 발목까지 딱 잡아주는것도 너무 맘에들어요 저번에 천국바지 155ver샀다가 기장이 심하게 짧아서 반품했는데 이건 기장두 밑에 좀만접으면 이뻐요ㅎㅎ다른 천국바지도 또 살 생각입니댜!!
zoselfld**|이뻐요! 근데 생각보다 크기가 많이 작아서놀랐어요.. 좀만 더 컸으면 좋았을텐데 아쉽긴 하지만맘에 들어서 괜찮아요!
sweey16**|주름 주름이 너무 많이져서 왔어요하지만 예뻐여 어깨가 쵀라라라옷 질감도 너무 만족쿠만족쿠ㅋㅋㅋㅋㅋㅋㅋ어서 빨리 입고싶어영가을색상이라는 말은 맞는 곳 같지만봄에도 입을래여ㅎㅅㅎ
wlswn13**|저는 널널한 A핏으로 입고싶어서 L를 시켰어요 ! 근데 옳은 선택이였던거 같아요 L도 제가 원하는 핏이 딱 나오진 않았지만 M 시켰으면 완전 딱맞았을거 같아요ㅎㅎ 그리고 스판끼가 하나도 없다해서 걱정했는데 바지 소재 자체가 완전 두껍고 빡빡한 청이 아니라 오히려 좀 편했던거 같아요! 맞는 숏팬츠개 없어서 걱정했는데 이번여름은 이 바지와 함께하는걸로...ㅎS2 이쁜옷 잘입을게요~
sweey16**|그리노리 후기가 별로 없어서 걱정했는데받아보고 완전 반했어요ㅋㅋㅋㅋ색상이 촌스럽지않고 부드러운 연두색이에요 마음에 쏙들어요꽃구경갈때 입을고에요그리고 좀 커요 어꺄도 소매도 폭도루즈하게입기좋아하시는분 사세여
sweey16**|그리노리 후기가 별로 없어서 걱정했는데받아보고 완전 반했어요ㅋㅋㅋㅋ색상이 촌스럽지않고 부드러운 연두색이에요 마음에 쏙들어요꽃구경갈때 입을고에요그리고 좀 커요 어꺄도 소매도 폭도루즈하게입기좋아하시는분 사세여
sweey16**|쪼매 찡겨요 니트가 짜임이 촘촘해요ㅎㅎㅎㅎ늘어나는재질이 아니라서 좋네용디자인은 사진과 같고 길이감이나 다 괜찮아오색상도 예뻐서 단독으로 입기도 져아여
duddnd01**|흰색이랑 네이비 삿는데 흰색은 새옷 냄새가 심한데 네이비는 냄새가 안나서 좋은거같아요 팔뚝 두꺼운사람들은 조금은 조심해야할거같아요
duddnd01**|생각한것보다 진짜 이븐거같아요~길이도 적당하고 딱 좋아요다만 새거라 냄새가 심하게 나네요 그래도 한사람당 한개쯤은 가지고 있어도 될거같아요
79346058**|네이비 구매했습니다^^원하는 핏이였고 팔도 적당히 가려줘서 완전 취적!!예쁘게 잘입을게요♥안 흐물거리고 짱짱해요^^
79346058**|블랙색상 구매했는데 핏이 이쁘고 넉넉하니 사이즈도 마음에 들었어요!!역시 블랙이라 먼지가 좀 잘 보이는데 그래도 전체적으로 깔끔하니 이뻐요^^
qvws07**|진짜 사진색이랑 똑같아요 완전 보기싫은 초록말고 이쁜초록이에요 진짜 이뻐요 사셔도 후회 안하실거 같아요 잘 입을깨욯ㅎ
dustnr1**|이 원피스 진짜!!!!이뻐요 완전이뻐요!!! 정말정말 예쁩니다.다만 가슴쪽에 고무줄이 아니라 벗는데 살짝 불편해요 ㅋㅋㅋ 좀만 잘못하면 툭 끊어질거 같지만 잘 벗으며 되니까요~ 좀 얇기도 하지만 그래도 너무 예뻐요 ㅎㅎㅎㅎㅎ 완전 추천입니다
79346058**|연한카키색을 구매했는데 완전 색감이 제 맘에 들었어요!!별로 얇지 않아서 따뜻하고 겉옷걸치기에도 적당한 두께 같아요!
qvws07**|딱 사진처럼 나왔어요 정말 잘 산거 같아요 잘 입고 다니겠네요 좀 키가 작아서 길긴한데 상관없어욥 정말 잘 입고 다닐깨욥ㅎㅎ
id05**|너무작아서입을수가없어요..스판끼가1도없어요..그래도막입기엔조아용ㅎㅎㅈ!!색갈이쁘구ㅎㅎ좋습니다
79346058**|맨투맨 완전 이뻐요!!짱짱하고 레터링 크기도 크지 않아서 부담도 안되고 따뜻해요ㅎㅎ완전 잘 샀어요 낙낙하니 편하게 입기 좋아요!
qvws07**|밑에가 펑퍼짐하긴 해요 상관없긴 한데 조금 신경 쓰인달까 그래도 잘 입고 있습니담 좀 접기도 묘하고 안접기도 묘한 길이긴 하네요
flower93**|이뻐요! 완전ㅋㅋㅋㅋ분홍색옷은 너무 많아서 소라색샀는데 만족입니당ㅋㅋ재질도 싸구려같지않구요근데 길에서도 팔아서 좀 흔해요ㅜㅜ그만큼 이쁘다는 거겠죠?
id05**|2번째구매입니다ㅎㅎ살쪄서27입엇다가25로구매여기바지는진짜인생천국바지여기바지따라올태없어요..진심한번사면계속구매하게되는게함정 실화후기요기까지..❤❤
tgu030**|완전 여성미 폴폴 ㅋㅋㅋ 이뿌네요 오늘은 안에 검은티를 받쳐입어서 그렇지만 실제 색상은 하양하양 나풀나풀 이쁘답니다 ㅋㅋ 바지나 치마 아무데나 코디해도 이쁠것 같아요 ! 그리고 안에 넣어입거나 빼입거나 또 잘 어울릴거같구요 ㅋㅋ 프릴 주름이 예쁘게 나있어서 잘 입고 다닐수 있을 것 같습니다 ㅎㅎ 이미 사고 난 후로 한 4번 입은것 같아요 ㅎㅎㅎ 맘에듭니다 아 그리고 배송은 얼마였더라 한 일주일 ?? 정도 후에 받은것 같아요 제 기억으로 아마 금요일인가 목요일날 주문해서 주말 지나가고 그 다음주에 받은걸로 기억납니다 ㅋ 그래도 이쁘니까 조아여
qvws07**|생각보다 모자가 각져있긴 해요 잘 보고 사시길 바래요 그래도 잘 쓰고 다닐께욥 싼가격에 잘 샀어요ㅎㅎ... 잘 쓸게요~~
qvws07**|생각보다 싼가격에 놀랐고 이쁘네욥 잘 입을께요 치마 색도 딱 원하는 색이어서 정말 만족했어요 여름에 입으려고 샀는데 여름에 잘 입고 다닐거 같아요
flower93**|가성비좋아요!! 아빠와이셔츠처럼 빳빳하고 다림질하면 쫙펴지는 그런원단이아니라 원래 살짝 쭈글한 원단이라고해야하나? 오히려 구겨져도 신경안써도되고 좋을듯요!!
seventeen**|일단 배송이 엄청엄청 빨랐어요 조끼니트 말고도 다른 것도 많이 시켰는데 22일에 왔어요!!!노란색이 진짜 병아리색이라서 너무 귀엽구요 사이즈도 적당했습니다
wwws**|귀여워요
wwws**|고고싱 랜덤박스 후기)랜덤박스 사기전에 다른분들 후기를 많이 봤었어요~개인적인 취향으로 꽃무늬랑 특이한 무늬 많이좋아해서 왔으면 했는데 진짜 이쁘고 제 마음에 드는게 많이왔더라구요 :-)만족해서 랜덤박스 1개 더 시킬예정입니다! 고고싱 쇼핑몰 보니까 예쁜옷도 많던데 앞으로 자주 이용해야겠어요~ 구매하실 분들은 참고해주세요- 랜덤박스라 그런가 사이즈, 옷종류는 선택할수 없더라구요~옷들 구겨짐이 조금있어요~ 한번 피팅했던것 같아요 9900원에 이정도면바지하나값도 안할거같아요 한번씩 재미로 구매해보셔도 좋을거 같아요~
sksmsor**|가볍게입으로규가만색으로샇오요~~~~~~~가격대비괜찮거오자마자입어봤는데생각보다따듯한거갗아ㅛ!!!!!!!!!!봄가을겨울에많이입을듯하네오약시고고싱감자합니다예쁘게잘입을게여ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
dowls11**|봄에 입기 딱 이쁜 얇은 니트에요 가격이 저렴해서 이상할까 걱정했는데 걱정안해도 됬어요ㅎㅎ 살짝 비치는 경향이 있는게 시스루처럼 입을 수 있어서 전 좋았어요
dowls11**|재입고하자 마자 바로 샀어요~! 생각한거보다 더 이쁘고 바지에 스판끼가 있어서 편하고 좋아요 밤에 쌀쌀해서 아직은 추운데 날 쪼금 더 풀리면 입고 다녀야 겠어요! 자켓만 따로 입어도 이뻐요
codmsdl**|스판이 짱짱해서 좋운거 같애요 :)) 길이감도 적당하고 허리는 많이 남아영 정사이즈보다 적게 시키는게 좋은거 같에용 색도 똑같애요
ryuhaha111**|블랙살까 고민하다가 아이보리로 구매했어요. 저도 청바지 위에 코디해보았는데 정말 이뻐요!! 편한데 이쁨까지 !!! 사진찍을 때 정말 이쁘게 나와서 요긴하게 입고 다닙니다 ㅎㅎ
ryuhaha111**|ㅠㅠ 정말 예뻐서 샀는데 원하는 핏도 길이도 아니여서 아쉬웠던 스커트입니다ㅠㅠㅠ 이건 근데 제 몸 문제고 옷 자체는 진짜 이뻐요!!
dowls11**|평소에 크로스 에코백을 가지고 싶었는데 딱 맘에 드는 스타일이에요~~^^ 일반 에코백보다는 작아서 더 마음에 들어요! 그리고 안에 칸 나눠져 있어서 편해요~~
dowls11**|가터 스커트라 밋밋하지 않고 이뻐요~~ 봄 날씨에 입기 좋아요!다만 허리부분을 조금 더 잡았으면 좋았을거 같아요~ 재질이 부들부들해요:)
keb**|배송도 진짜 빠르고 착용해봤는데 모양도 상상이상이에요 가성비 짱
codu**|우선 리본을 목에포인트주는 디자인이기때문에 구입했던거고 왔을때 리본끈이 생각보다 길어서 살짝당황ㅋㅋ 그래도 이쁘게묶으면자연스럽게 내려오는것같아요 하늘하늘한분위기도나고 봄패션에 딱인듯싶습니다!
codu**|허리가 너무남지않을까걱정했는데 적당히 맞고 길이감도 너무짧거나 길지않아서좋았어요 무난한소재에 에이라인스커트라 데일리로 적합할것같아요 어디에 매치해서 어울리고 무난해요! 아 위에입은 블라우스도 여기서산거에요 잘어울리는것같아요!
codu**|러블리한옷스타일을 추구하는편이라서 진주단추와 소매물결, 물결라운드 이조합보고 바로 구매하였습니다. 너무너무귀여워요 빨리입고 등교하고싶어요ㅋㅋ 살짝아쉬운점은 옷에서 냄새가좀나요 이건밖에 하루두면사라질테니 괜찮을것같아요 그래도 이것땜에 별하나빼요 근데진짜진짜귀여워요!
eunji17**|키가 작아서 기장이 짧은건 좋았는데 종아리가 딱 달라붙지 않은게 아쉽네요.. 종아리 부분이 약간 붕뜨는 느낌이 있어서 별 두개 뺍니당..
codu**|간단한 니티필요해서구입했던건데 목부분이 너무러블리한느낌이 잘들고 귀엽습니다 그리고 생각보다 도톰해서 놀랐어요 데일리로 적합한옷이고 귀여운거좀좋아하시는분들이라면 절대후회안하실듯 진짜이뻐요!
du46**|아 이거 진짜 최고로 예뻐요ㅠㅠㅠㅠㅠㅠㅠ저 지금 검정도살까 엄청 고민 중 그냥 이거 진짜 예뻐요 근래에 산 옷 중에서 제일로 예뻐요... 애들이 예쁘다고 계속 칭찬해주고ㅠㅠㅠㅠㅠㅠㅠ최고입니다♡... 밑에 치마도 고고싱에서 산 건데 둘이 같이 입으니까 최고돼요bb
