tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
lkaeun10**|진짜 예쁨!  그리고 같이 구입한 청치마랑도 너무 예쁘고 예전에 고고싱에서 산 가디건이랑도 오져버림~ ! 최근에 좀 쌀쌀해서 목 있는 거 입고싶었는데 넘 예뻐서 기분 좋구ㅜㅜ♡♡ 이번엔 배송도 빨랐음bb 이틀? 가디건 시켰을 땐 일주일 넘었는데 이번엔 빨라서 더 만족스러웠고 내일부터 제주도 가는데 산 옷 입고 기분좋게♡♡ 고고싱 사란헤여..... 한아름송이도...... 좋아해요... 내 추억을 만들어준 아름송이...
1798236493795338**|흰색 이뻐요. 안에 비치는거인줄 알았는데, 보니까 안이 파랑색이네요! 만족합니다 넘 예뻐요 잘입을게용~~ 후드하는게 더 이쁜거같아요고고싱에서 옷 많이 샀었는데 박음 만족스럽고 후드도 똑딱이 5개로 연결되어있네요!ㅎㅎ 만족해요
young93**|이런 컬러바지가 필요했었는데 인밴딩이라 허리도 편하고 천국바지라 또 편하고 길이감도 딱 좋아서 괜찮은거 같아요. 고고싱 자주 이용할께요.
69511757**|가오리핏이라서 어깨부분이 쫌 넓어보이긴하지만 키가큰편이라 사이즈는 잘맞는듯해요...마르고ㅠ작은은분들은 너무 클꺼같여요
young93**|이런 기본적이면서 이쁜 벨트가 필요했었는데 벨트모양도 이쁘고 적당히 도톰해서 만족합니당. 고고싱 자주 이용할께요.
thvl**|생각보다 도톰하더라구요 가격대비 괜찮은거같아요먼지가 엄청 날리고 검은실이 떨어져서 세탁하고 입어야될써같네요 핏도 나름 만족이요!
thvl**|생각보다 도톰하더라구요 가격대비 괜찮은거같아요먼지가 엄청 날리고 검은실이 떨어져서 세탁하고 입어야될써같네요 핏도 나름 만족이요!
69511757**|귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ
69511757**|귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ
69511757**|귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ귀여워요 ㅎㅎㅎ 아직 신어보진않앗어여 ㅎ
1798236493795338**|친구주려고샀어용이뻐요색도그렇고 ㅎㅎㅎ화면에보이는색보다 더 예쁘네요고민하시는분들 추천할께요 예쁜 핑크예요!!!이뻐요
yellowss**|더 작을줄알았는데 생각보다는 조금 컸는데 그래도 딱 적당한 크기인것같아요ㅎ 크로스끈은 처음에 어디걸어야할지 조금 해메긴했네요ㅎㅎ 그래도 가방형태도 잘 잡혀있고 무난하게 잘 들고다닐것같아요ㅎㅎ
69511757**|다자인은 너무 만족스럽고 등치좋은 저에게는 딱인듯 싶어요 ㅎㅎ 소매부분이 바느질마감처리가 거칠게되어서 소매긴티 입자않으면 아직까지 소매부분이 거슬리긴해요~ 새옷이라 뻣뻣한느낌이라서 더그런듯싶네여 만족합니다
young93**|하이웨스트말고 천국바지 같은걸 샀는데 색도 이쁘고 너무 편해서 하이웨스트가 나왔길래 사려고 마음먹다가 드디어 샀는데 너무 편하고 이쁘고 좋아요
yellowss**|아름다운밤 구두 검은색 사서 신다가 너무 마음에 들어서 핑크도 구매했어요ㅎㅎ 이제 봄이니까 검은색보다는 핑크로! 굽이 낮은편은 아닌데도 불편함 없이 잘 신고다녀요>_<디자인도 착용감도 최고예요ㅎ
nari06**|진짜 이뻐용 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 재질도 좋고 너무 얇지도 않구 색도 화면하구 똑같구 크다고해서 걱정했는데 7부도 예쁜 길이로 내려오면서 많이 크지두 않네용 ㅎㅎㅎㅎㅎ 사랑해융 고고싱
ghkrud**|완전완전 좋아요!!! 청자켓 살까 하다가 이거 샀는데 너무 잘산거 같아요 제가 뚱뚱한데도 널널하고 길이도 짧지도 않고 매우 만족스워요그리고 이거는 진짜 1~2일안에 와서 다른거에 비해 배송이 빨랐어요!
parksy3**|생각보다 길이가 짧네욯ㅎ 그래도 색상을 예뻐요! 봄인데 너무 밝은 핑크는 아무래도 부담스러워서 이 니트로 구매했는데 귀엽고 좋습니다 길이가 조금 더 길었다면 더 완벽했을것 같아요
55380435**|♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥
parksy3**|바지가 아주아주 편해요! 생각보다 밝은 색상이어서 조금은 놀랐지만 얇고 스판이 짱짱해서 마음에 듭니다 그리고 키가 큰 편도 아닌데 복숭아뼈 보이는 정도의 길이라서 더욱 좋았어요
soojung01**|생각했던 두꺼운 면?재질은 아니어서 검정색이라 하더라도 아주 조오금! 비침이 있더라고요! 재질 확인을 못한 제 잘못이 있기도 하지만 옷 자체는 정말 마음에 들어요! 무난하게 코디할 수 있고 좋습니다.
husj15**|천국바지 155버젼 입어보고 좋아서 구입했는데 아건더조아요 155천국바지는 길이가 짧고 옷이 쫌 싼티가 났는데이건 키 155인 저한테 딱맞고 핏도 이쁘고 색감도 좋아용ㅎㅎ 배송도 빠르고 조아요
iwonder01**|제가 여리여리한 느낌이 아니라 그냥 원피스랄까?? ㅋㅋㅋ 좀 얇은 편이고 비침이 있어요 처음에 끈없는줄알앗는데 있어서 다행 ㅋㅋ 그냥 그렇지만 입기엔무리없어요~
mmis**|ㅠㅠ너무예뻐요 단추가 진주인것도 좀 헐렁하긴 하지만 너무예쁘고 그렇게 달라붙지도않고 많이 박시하지도않고 안에 티입고 잠가입어도 예쁘고 그냥 푸르고 걸쳐입어도 예쁘네요 색상도 상큼해서 진짜 봄느낌나요ㅎㅎ 계속 사려다가 품절되서 못삿는데 품절될만하네요! 대만족입니당
iwonder01**|분홍색 샀어요 길이는 많이 길지않고 색도 적당히 분홍이에요 엄청 촌스러운분홍은아니지만 좀 쨍한 분홍 느낌? 그래도 쫀쫀합니다~!
jessica98**|단독으로 입어도 예쁘고 와이셔츠를 입고 입어도 예쁘고! 목폴라를 입고 입어도 예뻐요!기본템으로 하나씩 가지고 있기 좋은 옷이에요! 특히 색감이 너무 예뻐서 마음에 드네요~
iwonder01**|심플하고 이뻐여 생각보다 가볍더라구요~ 이런 귀걸이 처음 차보는데 이쁜것같아요~!!조심조심 차봤는데 ㅎㅎ 많이많이 파세욤!!
hhr01**|색깔도 진짜 이쁘고 소라보라 둘다 샀는데 둘다 색도 여리여리하규 넘엄 이뻐요 고급스러운 색깔 ㅜㅜ 단추디테일도 짱이구여 그냥 대만족입이다 배송이 늦은거 빠구여 ㅠ
hhr01**|D진짜 존예 ㅠㅠ 색깔도 진짜 파스텔톤?그것처러 원색도 아니고 연하고 이쁜샏이라서 싸보이지도 않고 단추가 지인짜 귀여워요!! 고급스럽고 이쁜거 같습니다!
iwonder01**|조금 구겨져서 왔지만 이뻐여 구김이야 펴서 입으면 되니까~ 괜찮아요!! ㅎㅎㅎㅎ 길이는 많이 길지 않으니까 살때 참고하세요~~
iwonder01**|이뻐여 여성스러워 보이고 무겁지 않아서 좋네요~~ 길어서 무거울줄 알았는데 길이도 많이 길지 않아요 ~~ 이쁘네요 많이파세용
iwonder01**|핏 이뻐여 m샀고 28입는데 28이 딱 맞는 편이라 조금 힘겹게 입었어요...ㅎㅎㅎㅎㅎ 하지만 입으면 이뻐여 길이도 적당합니다~
ssh35**|카키색 샀는데 싼가격에 득템한 기분이에요 !!부분배송으로 하루만에 배송해주셔서 넘나 좋고 후드까지 부착되어있어서 캐주얼하게 귀엽게 입을수 있을꺼같아요 다른거 배송시킨거도 빨리 왓으면 좋겠네영 ㅋㅋ 무튼 가격대비 너무 좋은 소비해서 기분 짱 !!
jessica98**|기장이나 품 같은경우는 넉넉해서 좋았구요. 색상이나 재질도 좋았는데 단지 아쉬운점이 하나 있다면 옷을 좀 두껍게 입으면 팔쪽이 낀다는게 좀 아쉬웠어요ㅠㅠ 그점만 빼면 만족합니다!
dbsdud40**|심플하면서 바지랑 같이 해서 입으면 귀염귀염해요~!포장도 저렇게 귀엽게 싸서 왔는데 착용샷이 없네요!!ㅜㅜㅜ하지만 튼튼하고 오래쓸수 있을 것 같아요 어디에도 어울릴 것 같은 벨트!빨리주문하세요!!! 걱정 노!!!
dbsdud40**|옷 진짜 너무이쁩니다.처음엔 팔에 레이스만 보고 샀는데 전체적으로 너무이뻐요단점이 있다면 통이 크다는 건데, 그 단점도 어차피 안에 넣어입으니까 보완이 되더라구요❣ 가디건이랑 같이 입으니까 완전 여자여자 해졌어요~~모두들 고민하고 있다면! 걱정말고 주문하세요~~
jdy72**|일단 배송 진짜진짜 빠르구여! 옷도 진짜 너무 예뻐요~~생각햇던것보다 옷이 길긴햇는데 박시하게 입으면 될것 같네요 ㅎㅎ
rmsdkw**|완전편하고 어디에도 입을수있어서 좋아여!!색상도 둘다 갖고싶을정도로 완전조음!!나머지 색상도 곧살까 합니다!
gogud4**|플라워원피스를 입어보고싶어서 고민고민하다가 처음으로 주문한 상품이에요!제가 키가 작아서 그런지 평소에 입던 원피스들이랑 다르게 긴 느낌이 들지만 디자인이 예뻐서 마음에 드네요!
gogud4**|평소에 타이트한 치마를 주로 입다가 A자를 주문했어요!입어보니 너무너무 편하네요~블랙이라서 어떤 상의든지 잘 어울릴것같아요!
yhr33**|길이도 적당하고 너무 예쁘네요. 우선 옷은 사이즈도 넉넉하고 길이도 딱 마음에 들어요. 친구가 산거보고 따라 샀는데 잘샀어요. 그런데 친구 옷이랑 약간 색차이가 있었어요. 그리고 중청,흑청같이 샀는데 흑청이 중청보다 얇아요~ 실밥같은것도 많이 튀어나와 있지만 정리하면그만~ 근데 청자켓에 흙?이 묻어있네요..? 그래도 옷이 예쁘니..패스
gogud4**|처음으로 리뷰를 남겨요!고고싱에서 스커트 여러개 시켜서 다 만족했는데이것도 너무너무 만족해요!아이보리색상 샀는데 화이트에 가까운 색상같아서어떤 상의든지 잘어울릴것같아요!살찐것같아서 M으로 주문했는데 널널해서 줄였어요ㅠㅠ
yb9**|네이비 색상 샀어요! 재질이 원하던 재질이 아니면 어쩔까 걱정했는데 딱 원하는 져지 재질이라서 만족스러워요!! 길이가 짧긴하지만 예상했던거니까 그렇게 신경은 안쓰이고 하얀줄이 포인트로 너무 예쁜 것 같아요ㅜㅜ 예쁜 옷 감사합니다ㅎㅎ
kho10**|색깔 너무 이쁘게 나왔어요 원래 26입는데 사이즈표 보니깐 25시켜도 될것같아서 25샀어요 생각보다 막 작게나온것같지는 않아요!!
