u3u**|깔끔해요 생각외로 조금 길어서 놀라긴했는데. 아직 안빨아봐서 모르겠는데 목이 조금 약한것같기도 하고 그래도 편하게 색깔이 이뻐서 입기 좋아요^^ 예뻐요! 깔끔해요 깔끔해요 깔끔해요 깔끔해요 깔끔해요 깔끔해요  깔끔해요 깔끔해요 깔끔해요
u3u**|깔끔해요 생각외로 조금 길어서 놀라긴했는데. 아직 안빨아봐서 모르겠는데 목이 조금 약한것같기도 하고 그래도 편하게 색깔이 이뻐서 입기 좋아요^^ 예뻐요! 깔끔해요 깔끔해요 깔끔해요 깔끔해요 깔끔해요 깔끔해요  깔끔해요 깔끔해요 깔끔해요
u3u**|바지 흰색도 구입하려구요 길이도 딱 맞고 살이 쪄서 다른 바지들은 다 좀 불편한데 너무 편하고 핏도 이뻐요! 앉으면 조금 짧아 지는 느낌은 있는데 여름이니까 그정도는 괜찮은것같아요. 옷 이뻐요! 꼭 구입하세요!!!!!!!!!!!!!!
83221230**|딸이 아주 맘에 들어 합니다 소재뿐 아니라 색깔도 입으면 차분해 보이는게 가격대비 좋습니다다른 색깔도 구매 하고 싶네여 .
83221230**|지금입기에 좋으네요 좀 더 더워지면 더울 듯 합니다소재도 좋습니다
bha11**|블랙과 그레이 화이트 총 3개 구매했습니다. 어두운 상의랑 입으려고요 ㅎㅎ 때타는게 걱정되는거 뺴곤 만족스럽습니다.
bha11**|블랙 화이트 색상과 같이 구매했습니다. 그레이라 살짝 애매한 색상이긴한데 데일리로 편하게 입을수있을거같아 만족합니다
love1245**|이거진짜너무예쁘고 일단 촉감이 부들부들해서좋구다른사이트에서 우연히 똑같은상품봤는데 여기보다 약 8000원정도더비싸더라구요.좋은옷 저렴하게 팔아주셔서 감사행ㄹ용
okc030**|너무 이뻐용 다른 색상도 사고 싶어요 키가 작아서 저한테 길이가 좀 많이 긴데 넣어입고 접어입으면 상관없을 것 같구요 통도 많이큰데 제가 원래 크게 입는걸 좋아해서 (여리여리핏) 아주 잘 입을 것 같아용 그리고 색상은 연보라라고 되있긴한데 그냥 핫핑크색상이고 아주 이뻐요
yes1**|약간 품이 살짝큽니다 저는 평소55사이즈를 입는데 살짝 들뜨는 느낌? 그렇다고 큰거는 아니에요 프릴이 예쁘게 되어있고 꽃모양도 잘 되었어서 여름내내 잘 입고 다닐거 같아요 밑에 흰바지나 사진처럼 청바지도 잘 어울려요 소재가 시원한 소재라서 마음에 듭니다 헤히
okc030**|완전 마음에 들어요!! 시원한 소재라 여름에 입기 너무 좋고 너무 이뻐요 ㅠㅠ 다만 키가 작아서 좀 많이 길긴한데 구두 신으면 괜찮을거 같구요 아쉬운 점은 치마 지퍼 부분이 울어요 하지만 너무 이뻐서 만족합니당
yes1**|이거 진짜 너무너무 예뻐요 보자마자 예뻐서 고민없이 산건데 후회없어요 저는 네이비를 샀고 꽃모양이 선명하게 잘 보여서 더 예뻐요 제가 키가 158인데 길이는 종아리 중간? 너무 길지도 짧지도 않고 활동하기 편하게 되어있고 허리는 뒷부부분이 밴드라서 오히려 티 넣고 입거나 뭐 먹을때나 잘 늘어나서 좋아요 이거 인생치마라고 자는 말씀드리고싶네요 헤헤
