wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
an04**|바지가 신축성하난 최고에요면도아닌거같은게 쫙붙으면서 깔끔하기도하고 .근데 너무얇구...  먼가좀아쉽네요ㅠ
ybyb04**|이거 ㅠㅠㅠ 배송이 좀 느리긴 했는데 예뻐요 ㅠㅠㅠㅠㅠ 딱 제가 원했던 스타일 !  배송올 때 구김이 좀 있어서  다시 빨고 널었더니 사라졌어요 !! 제가 원래 랩 치마바지 좋아해서 많이 사는데, 요고 잘 산 것 같아요  ! 블라우스랑 입으면 예쁠듯 ♡  나중에 보풀 생기면 다시 사야겠어요 ♡!♡
ybyb04**|배송을 좀 늦게 받았지만 그래도 나름 만족해요 화이트 구매하신 분들 많은데 저는 핑크가 너무 예뻐보여서 샀거든요 ㅠㅠ 색상도 인디핑크정도여서 가을에 가디건이랑 입기 좋을 것 같네요 ♡ 생각보다 목 부분이 많이 파이긴 했는데 입는데 지장있을 정도는 아니에요 가격대비 만족합니당♡
dpdms64**|와 아니 이 가격에 이렇게 좋은 색감, 이렇게 좋은 옷이 나올 수가 있나요? 진짜 기대하고 사서 도착하자 마자 바로 입어봤는데 옷이 재질도 좋고 보풀 일어나는 재질이 아니라서 더 좋고 가격도 좋고 길이도 진짜 딱 예쁜 길이라서 너무 마음에 듭니다 ㅎㅎㅎㅎ
dpdms64**|이 가격에 따뜻하고 질 좋고 색감도 좋고 그냥 좋습니다. 가을에 니트하나 입으면 딱 좋고 질도 나쁘지 않아요 싸보이지 않는 옷입니다. 무슨 색이든 다 이뻐서 색깔별로 여러개 주묺ㅆ는데 후회안합니다 ㅎㅎㅎ 고민하지 마시고 색깔별로 여러개 사세요 좋아요
dpdms64**|이 가격에 따뜻하고 질 좋고 색감도 좋고 그냥 좋습니다. 가을에 니트하나 입으면 딱 좋고 질도 나쁘지 않아요 싸보이지 않는 옷입니다. 무슨 색이든 다 이뻐서 색깔별로 여러개 주묺ㅆ는데 후회안합니다 ㅎㅎㅎ 고민하지 마시고 색깔별로 여러개 사세요 좋아요
dpdms64**|초가을에 청바지에 코디하기 딱 좋은 티인거같아여 ㅎㅎㅎㅎ 가격도 착하고 옷 질도 좋고 색깔도 이쁩니다 너무 맘에 들어요 ㅎㅎㅎㅎ 고고싱은 진짜 믿고 사는 것!!!! 옷이 시원하면서 따뜻한 느낌이라서 더 좋은 거 같아요 고민하지 마시고 사세요
dpdms64**|그냥 이쁩니다 사세요 두께, 색상 뭐 하나 나쁜게 없습니다 . 진짜 그냥 색깔별로 사서 입어도 후회 안 하실겁니다 ㅠㅠㅠㅠㅠ너무 좋아요 엄마랑 같이 입을려고 여러개 샀는데 엄마도 마음에 들어하시네요 ㅠㅠ 다만 옷에 주름이 지면 잘 없어지지가 않아서 아쉽네요 ㅠ
dpdms64**|이 가격에 이 두께로 올 수가 없는데 ㅠㅠㅠㅠ 옷이 진짜 두껍고 따듯해요 만원인데 이렇게 좋을 수 있다니 고고싱 짱입니다 초겨울까지 니트 하나만 입어도 안 추울 거같아요 많이 추운날에도 니트하나입고 코트하나걸치면 아무리 추워도 잘 버틸 수 있을 거 같아요 고고싱 짱 ㅎ
ilensy0**|클래식핑크 구매했구요 색감자체는 촌스럽지도않고 괜찮아요~ 아무래도 비싼 가격대는 아니다보니 오래입을수있을것같진않은데 가격대비해선 괜찮은것같아요 잘입을게요~
ilensy0**|여기저기 간단하게 받쳐입기 좋은것같구요~~ 재질도 가을 겨울? 쯤 입기좋은재질이구요 배송은 좀 늦었습니다 ㅠ 어쨋든 잘입을게요~~길이감적당하고예뻐요
wldnjs365**|넘나 이뻐용~ 첨 보자마자 내꺼다! 라는 생각으로 샀는데 역시나.... 핏도 너무 맘에 들구~ 뭣보다 저한테 잘어울려서 너무 좋아용^^ 아껴입어야징><
younjy**|157이라 155스키니라니!!!하고 입었는데 뭔가 애매한 기장이라 동생이 가져갔어요...ㅎ 근데 진짜 너무너무 편하고 핏더 예술이라 일반버전으로 다시 주문하려구요!!!!!! 고고싱은 정말 사랑입니다ㅠㅠㅠㅠㅠㅠㅠㅠ 다리찢기해도 편한 스키니라니ㅠㅠ
thgus06**|넘나 끼요워요 검정으로 잘못왔었는데 다시 교환하는데는 무려 13일이 걸려서 화는조금 났지만 신발은 너무 귀여워요 천으로 만들어서 그런지 먼지는 좀 묻어서오네요
s48**|저 두번째 후기 올리는건데 처음에는 입고나가 보진 않고 집에서만 입어봐서 몰랐는데 이거 바지냄새도 심하고 색빠짐도 너무 심하네요 입고나간 첫날 가디건에 파란물 다들었고 빨면 괜찮을까 싶어서 빨았는데 세탁기 통까지 파란물들고 물빠짐은 여전하고 냄새도 하나도 안빠졌네요.... 이건좀 아닌것같아요
mini08**|이제 니트의 계절이왔죠!!엄청 기다렸는데 배송빨리 와서 좋았어요!! 색깔도 이쁘고 여리여리 하게 내려오는 핏이라서 더 이뻐요~앞으로 여기서만 살게요~하루지낫는데 적립금주세요ㅠㅠㅠ
mini08**|이제 니트의 계절이왔죠!!엄청 기다렸는데 배송빨리 와서 좋았어요!! 색깔도 이쁘고 여리여리 하게 내려오는 핏이라서 더 이뻐요~앞으로 여기서만 살게요~ 하루딱지낫는데 적립금주세요퓨ㅠ
mini08**|이제 니트의 계절이왔죠!!엄청 기다렸는데 배송빨리 와서 좋았어요!! 색깔도 이쁘고 여리여리 하게 내려오는 핏이라서 더 이뻐요~앞으로 여기서만 살게요~
pq123**|@@너무 맘에들어용- 키, 몸무게.156/43-착용사이즈-착용후느낌은?(좋은점/나쁜점)너무 보들보들 하고 따뜻해요 갑자기 추워져서 편하게입을맨투맨찾고있었는데 가격도저렴해서샀난뎅 사진처럼 이뿌네요 ~! 자주자주 애용할거같아요 무난하게 이뻐서 다잘어울릴듯!!
parkyj**|모르고 두개를 주문했어요..여러가지 제품을 사는데 자꾸 장바구니를 왔다갔다 하는바람에... 휴 반품하긴 귀찮고 ..그냥 친구한테 팔거나 생일선물로 주려고해요ㅋㅋㅎㅎ옷은 세일해서샀는데 정말 이뻐용 가격대비 쨩~
