alswjd24**|키가 작아서 기장이 좀 많이 길긴하지만 레깅스입고 위에 티하나 가볍게 딱 입으면 정말편하고 좋아용 ㅎㅎ
akst**|되게 하늘하늘하고 찰랑찰랑? 히요 ㅋㅋ 디자인도 무난무난하고 괜찮아여 색상도 딱 소라색~ 기본셔츠 만족
akst**|그냥 딱 예상한대로 왔어요~ 아직 입고다니지는 않는데 사이즈도 괜찮규 좋습니다 예뻐요~ 굿!
akst**|후기들이 좋아서 많이 망설이지 않고 골랐어오~ 원래 와인색 사려다가 너무 튈거같아서 소심해진 끝에... 네이비를 골랐습니당꽤나 만족해요! 후기들대로 고급진 느낌이 있구 길이도 적당해요~ 굿굿
ehdrud45**|5월 4일쯤 주문해서 5월 9일에 도착했어요! 공휴일이 껴있어서 그랬나봐요! 세일하길래 기대하고 있지 않았는데 정말정말 예뻤어요~ 또 얇은제질일줄 알았지만 지금 단독으로 입어도 괜찮을 정도의 두께였어요~! 그리고 허리가 꽤 쪼입니당 이거 참고하세요~!! 검정색이 되게 깔끔하고 팔도 시스루라 되게 이뻤어요ㅠㅠㅠㅠ 여리여리하게 해 보인달까?! 정말 이뻤습니당 성공적!!
12717104**|66입으시는분들은 XL구매하시면 좋을거같아요길이감도 좋고 사이즈도 잘맞아서 좋네요 ㅎㅎ
shwldls**|베이지,블랙 샀는데 마음에 들어서 아이보리도 구매하려고요 신축성 짱이고 기장도 딱이네요 추천
apple27**|화이트컬러만 구매하기 너무 아까워서 블루컬러도 같이 구매했어요 디자인은 같지만 컬러감 차이가커서 다른옷인듯 잘입고있어용
apple27**|뷔스티에 원피스안에 입을 기본티로 샀어요 길이도 적당하고 두께도 적당하고 약간 슬림한핏으로 찾고있었는데 딱입니당
apple27**|반팔입기는 쌀쌀할때 입기 딱 좋아요 조금 추우면 가디건하나 걸쳐도되고 기본적인 스트라이프라서 어디든 잘어울립니당  목부분이 조금 넓긴하지만 가격대비 괜찮아용
apple27**|디자인이 심플한듯 너무 예뻐서 기본컬러인 화이트부터 담았어요 신상일때샀는데 인기가 많아졌네요 재질도 소재도 다 만족합니당~
