wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
500899323422769**|사진 찍을 여력이 안 돼서 글로 남깁니다!! 160인데 허벅지 반 정도 오고요 제일 처음 배송 왔을 때 꼬깃꼬깃해서 세탁소에 스팀 다림질 맡기고 입었는데 세탁소에서도 천 되게 좋다고 하셨어요!! 보들보들하고 누빔 들어가 있어서 지금 입어도 괜찮습니다! 엄마듀 맘에 드신다고 다음에도 또 여기서 사라규 하셨어요
tlsgkdnjs1**|이거 진짜 이뻐용 모델분이 입으신거처럼 진그레이 색에 청바지 입고 가방도 저런거 매고다니면 정말이뻐요가을에 입으면 이쁠꺼같아용 러블리한거 좋으시면 핑크색 입으시고 데일리룩으로 입으실 분들은 아무색으로 입어도 이쁠꺼같아용가격도 싸고 품질도 좋고 믿고사보세요~~~~
skgmlsp11**|제가 코트가 없어서 코트를 구매하였는데 진그레이가 있었으면 더좋았을것 같은데 카키색도 충분히 만족해요이번에 할인덕분에 더 싼 가격에 구입해서 너무 좋은것같아요!입어보면 되게 두터운?느낌이 들기도하고 길이도 적당해서 코트지만 예상한 코트가 아닌 되게 따뜻하고 안정적이라 너무 좋은거같아요~다리도 어느정도 가려줄 수 있어서 다리가 시려운것도 70~80퍼센트정도 막을 수도 있는듯해서 되게 만족하는 아이템입니다♥잘입고 다닐께요!이번구매에 만족한점은 옷도 만족하지만 상담원분의 상냥한 상담덕분에 안심하고 기다릴 수 있었던거 같아요ㅎㅎㅎㅎ너무 감사하고 다음에도 꼭 이용하겠습니다
opui10**|신축성이 굉장히 좋아요! 지퍼가 잘 안되서 조금 아쉽고 치마가 많이 떠서 안올라가나 잘봐야하는 문제점이ㅠㅠ 그래도 이쁩니다!
vkeh05**|너무 이뻐용~~~~이거 하나만 딱 매면 애들이 너무 이쁘다고 하네요심플해서 더 이쁜 것 같습니다사시려는 분들 정말 강추요근데 클러치 손잡이????? 그부분이 자꾸 빠지긴 해요그래도 너무 예쁩니다ㅣ~~~~ 꼭사세요 저도 다른 색 살까 할정도로 너무 좋아요
mami79**|와.... 이건 진짜 인생바지...  제가 좀 많이 하비 체형인데 이 바지가 제 하체 체형 콤플렉스를 커버해주고 핏이 아주 제대로 빠지네요. 세미배기긴하지만 저한테는 편한 인생바지입니다ㅋㅋ 하비이신 분들은 이 바지 좀 좋은 것같아요 구입하세요!
retrake**|입고지연이라는 시련을안겨준이아이는 입고지연이고뭐고 다용서될정도로 이쁘기만합니다매우예뻐요그냥기본이라아무데나받쳐입기좋고팔과기장이짧은감이있지만제팔이긴걸로생각하겟습니다ㅋㅋ가격도착하고색깔도이쁘고 그냥사세요 좋아옹
tlsgkdnjs1**|맘에 들어용ㅎㅎ 평소 꾸미기 귀찬을때 이거 입고 나가면 진짜 이뻐용ㅎㅎ 날씨 추울때도 이거 입고 나가면 이쁘고 모자가 커서 모자써도 이쁘고 괜춘해요ㅎㅎ이건 꼭사세요 여러분 가격도 괜찬고 아무렇게 입어도 이뻐요!! 박시한거 많이 입으시는 분들한테도 추천해용
mami79**|아 브라운 사고 싶었는데ㅠㅠㅠㅠ 근데 차콜도 관찮은 것같아요 다른 색은 약간 스님들이 입는 옷같기도 한데요. 이건 세련되게 디자인도 잘되어있어서 괜찮은 것같아요. 두꺼워서 엄청 따뜻하고 좋아요. 길이가 딱 좋은 것같아요 너무 짧지 않아서 좋네요!
tachldbsw**|이거 진심 취저 걍 사진 딱 보고 예뻐서 주문했는대 모델입은거랑 나랑은 차원이다를꺼야 하면서 기다리고 잇었는데 딱 오니까 어머 예쁘네? 함입어보니까 어머 취전데?? 모델 맨치는 안되는데 그래도 진짜 괜찮음 개취저 진심 추천함 고민하고있으면 그냥 딱 질러버려여 후회ㄴㄴ 근데 너무 마르신분들은 옷이 많이 클듯
