wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
rlagpwls34**|받아봤을때 생각했던 색이랑 조금 다르고 별로라 조금 산망했는데 입으면입을수록 주위에서도 이쁘다하고 볼수록 예쁜건같아용!.소라색에 가까운 블루같아용~길이가 저한테는 어중간하고 조금 두꺼워서 따듯하긴한데 넣어서 입기에는 이상해요ㅠ
bhn12**|빨강색은 보자마자 와 이거다 하고 바로구매했는데 역시나 대만족 역시 우리들의 대포쇼핑몰 고고싱이죠~ 정말 남는게없는듯한 느낌을받을정도로 이런옷을 어떻게 이가격에 팔지? 라고생각했습니다 사진에서는 좀 튀는 빨강색으로나왔는데 실제색상은 막 튀진않고 딱 적당히 이쁘게입으실수있는 색상입니다! 다만 살짝아쉬운게있다면 목부분이 너무겹겹히 주름잡힌다는점? 이것도 뭐 크게 걸리는점은아니지만 살짝 아쉽다는부분이고 이걸 제외한 모든부분에서는 훌륭한 옷입니다! 고민할시간에 빨리구매하세요!!
accca**|할인한가격에 좋은구매했습니다 후리스재질에 은근따뜻하고요 길이도 은근길어서 마음에쏙듭니다 무슨색살까한참 고민하다 네이비로샀는데 다른것도사보고싶을정도에요 ㅜㅜ 단점이라면 떡볶이단추부분이 잠그기가 살짝힘드네요 ㅎㅎ
lgllove**|너무 따뜻해요사기전에 부해보이지않을까 걱정했는데 그러지도 않고요지퍼가 잘 안올라가던거 빼고는 정말 다 좋라요ㅠㅠ길이도 적당하고 일단 최고는 따뜻하다는점친구들이 보기에도 따뜻해보인다하고 저도 너무 따뜻해요걱정걱정했었는데 정말 맘에들어요 좋아요!
accca**|편하고좋습니다 민무늬라서 너무추레해보이지않을까했는데 색이예뻐서 그래보이진않고여 크기도 낙낙해서 티나 치마에도 잘어울려요ㅋ근데완전얇으네여ㅜㅜ 추운날에는꼭 히트텍안에 받쳐입어야겠어요 그거만빼면 좋은거같아요 다른색도 입고되면 사고싶네용 ㅎㅎ
kgr0**|이번 겨울 제일 추웟던 한파직전에 구매햇엇는데 딱 사자마자 추워져서 잘입고다녓어요 ㅠㅠ진짜 따뜻하고 기장도 딱 적당해서 허벅지도 따뜻하고...근데 길어서 버스오르거나 이런건 조금 불편하긴햇엇디만 추운거보단 나으니까요!ㅎㅎㅎ잘입고다닐께요
bhn12**|솔직히말하자면 그레이는 별로 땡기진않았는데 10000원도안하니까 한번사보자 하는 마믐으로 샀는데 생각외로진짜 색감이 너무이뻐요 너무찐하지도않고 연하지도않아서 딱 이쁘게 잘 코디해서입을수있는듯한 색감?' 어느색상보다 무난하게 잘 코디할수있을색상이라고 추천합니다
yae**|쫀쫀해서 정말 좋ㅇ용 넘나넘ㅁ나 좋은것~~~~♥♥♥♥♥♥♥♥♥♥♥♥♥쫀쫀해서 쫀드기같은것 넘나넘나이쁜것 ㅎ.ㅎ.ㅎ.ㅎ.ㅎ 인생양말? 예쁘게 잘신고다니겠습니당~~^^ 배송은제발 빨리해주세욥~^^!!//@@##
qlrqodv**|편하게 입고 나갈 후드티를 찾다가 구매했는대 진짜 좋은 것 같아요 !! 안에 기모가 있는데 그게 되게 폭신폭신하고 부드러운 느낌이라서 계속 입고 있고 싶은 기분이에욯ㅎㅎㅎㅎㅎ 그냥 아무거나 사자! 해서 산 건대 완전 만족스러워요!!! 다른 색으로 하나 더 사려고 합니다!!!
hany19**|이건 후드티처럼 생겼는데 모자가 없어서 신세계인 옷이에요 색도 제가 좋아하던 파란색이여서 짱짱 좋아요 앞으로도 잘입을게요 싸게 팔아줘서 고마워요~~ 또 구입할게요 이쁜옷 많이 많이 만들어주세요 잘입을게요ㅠㅠ 많이 파세요~~~~
skflqkr**|진짜 이뻐요 브라운 색깔 잘못하면 똥색처럼 보일수있는데 브라운 니트계열 사실거면 이거 기본템으로 소장하시는거 추천합니다 무난해서 스키니에입던지 스커트에입던지 다 잘어울릴것 같아요 사셔도 후회안하실 선택이실 것 같습니당
huy37**|이뻐요 !! 핑크색 샀는데 생각보다 그렇게 이쁜핑크는 아니었지만 입으니까 이쁜것같아요 ~ 근데 저한텐 폴라부분이 너무 긴것같아서 두번접어서 입는답니당 ㅎㅎ 그래도 넘나 이쁜것 ,,^^ 저한텐 핑크색이 안어울릴것같았는데 어울려서 기분 좋습니당 ㅎㅎ 가격도 저렴하고 하니까 살까 고민중이신분들 다 사셔요 ~~
g505**|전에 시킨 코트는 2주 넘도록 안와서 반품시켰는데이 코트는 생각보다 빨리와서 너무 좋았움길이는 무릎살짝 위에 팔길이도 적당하고 다 좋음근뎅 옷이 너무 구겨져서 오고 먼지는 왜이리 많이 붙어있는지 ㅠㅠ그리고 이 옷은 어깨 넓으신 분들은 고려해보셔야될듯저 어깨 없는 편인데 딱 적당하네용!
ju51**|집에 천클러치밖에 없어 클러치의 빳빳함을 느끼고싶어서 이 클러치를 사게됬는데 진짜 빳빳하고 안이 보들보들한 재질로되어있어 안정감있고 엄청 좋아요! 검은색이라서 어느 코디에도 잘어울려서 매일 들고다닐거 같아요!잘쓰겠숩니다^0^
rhdqn**|일단 역시나 짱짱 빠른 배송.. 엄지척! 가격이 저렴해서 조금 걱정했는데 왜 걱정했는지 모르겠어요ㅎㅎ 솔직하게 아이보리색상이여서 그런지 뭘 입어도 잘 어울리고 넘 예뻐요♡ 진짜 사고 목도리할때마다 아 왜샀지?라고 생각한 적이 한번도 없어요!! 길이도 적당하고 !!! 가격은 말이 필요없고!!! 재입고가 된다면 재구매의사? 있습니다! 엄!청! 진짜 후회안해요ㅠㅠ 모두 모두 예쁜 목도리 굿초이스 하세용!!@^-^@
bhn12**|이색상은 어느색상보다 여리여리해보이는색상임 거기에다가 여성스러움까지더해서 진짜 정말마음에드는색상! 썸남만나러갈때입으면 딱 좋을법한색상 꾸민듯 안꾸민듯 이쁘게 잘 입을수있을법한옷이예요 목폴라여서 목도 뜻뜻하니 아주좋아요 대대만족^,^
qls**|이제야 후기 쓰네요ㅎㅎ 같이 산 기모 맨투맨이랑 코디해봤어요! 바지사이즈 원래것보다 한 사이즈 크게사라고 해서 한사이즈 크게샀는데 딱 맞아서 좋네요 바지 살때마다 길이 걱정했었는데 이 바지는 발목도 잡아줘서 너무 좋아요 역시 고고싱3번째 구매도 만족해요
gpwls04**|안예쁘면 어떡하나 되게 고민 많이 했는데 생각보다 너무 예뻐요!!!별로 두껍지는 않아서 아직 입고 나가 보지는 못했지만 날씨 따뜻해지면 바로 입고 나가려구요!! 어떤 옷에나 다 잘어울리는 것 같으니 고민하시는 분들 그냥 구매하셔도 후회 안할 것 같아요~~
rhrnak97**|드디어 기다리고 기다렸던 코트가 왔는데 뜯어보니까 진짜 이뻐요ㅠㅠ저 키도 작은데 길이도 딱 적당하고 사이즈도 좀 크긴 하지만 이쁘면 된거니까!!이뻐서 사진 입고 찍으려고 그랬는데 코드는 이쁜데 제가 않이뻐서..하하^^;;여튼 배송도 완전 빨리 와서 진짜 조았구 키 작고 안맞을 것 같아서 못사시는들한테 완전 강추해요!!♥
skflqkr**|진짜 이뻐요 길이감도 적당하고 색감이 너뮤 이뿌게나온것같아요 초록색계열 별로안좋아하는데 이건 약간 카키색에 초록빛이 더많이도는컬런데 단색으로만 만들었으면 자칫 단조로웠을수도있는데 이건 줄무늬랑 카라에 퍼도 있어서 포인트도 있는것같네요 추천이요!!
shdmswls**|와 저 이거 핑크랑 베이지 샀는데요 정말 좋아요따뜻하고 짜임새 좋아요. 목을 감싸주는게 두껍고 넓어서 따뜻하고 편하게 입을수 있습니다. 저는 덩치가 있는편인데도 넉넉하게 아주 잘 맞고요 저보다 작으신 분들은 박시하게 입을 수 있을거에요 그래도 막 크거나 하지 않아요 정말 이뻐요!
ss0828**|ㅜㅜㅜㅜ목티가 하나도 없어서 샀는데 역시 고고싱!저렴한데 진짜 이것만큼 좋은 퀄리티 니트 못살것같아요ㅜㅜ코코아색...사실 생각했던 색은 아니였는데 그래도 예뻐요!잘입고 다닐것같아요^^이번에 총 옷 3개샀는데 다 만족스럽구 고고싱 자주 애용해야겠어요!!
bhn12**|이거 솔직히 정말 말할필요가없음 누구한테나 다 잘어울리고 남녀노소 구분없이 입을수있는듯 구김도없고 주름도안잡히고 재질이까칠까칠거리지도않고 완전 딱적당함 10000원이하라고 믿기지않을정도에 훌륭한 옷일 고고싱대표상품이라고해도 과언이아닐듯한 옷! 핏은 어떤옷보다 사랑스럽습니다♡
qls**|이제야 후기 쓰네요ㅎㅎ 색깔 뭐할지 고민하다가 와인색했는데 와인하길 잘한거같아요 너무 이뻐요ㅠㅠ 66사이즈라서 그런지 박시하게 입을 수도 있어서 핏이 너무 이뻐요 기모라서 겨울에도 따뜻하게 입을수있어서 좋네요 역시 고고싱짱이에요
dmsgo11**|와인색이랑 같이샀어요 와인색에 더 기대했는데 그레이도 진짜예뻐요!!!오히려 더 맘에들어요 ㅋㅋㅋㅋㅋㅋㅋㅋ배송이 늦게와서 흠이였지만 그래도 편지에 클렌징티슈까지 보내주시고 옷의 질도 좋아소 만족해요!!봄되기전까지는 자주입고다닐것같아요~
hany19**|노랑이라서 그런지 귀엽게 입을수 있어서 좋아요 자주입고 다녀요~~ 어디를 다녀도 잘입고 다녀서 좋아용~~ 이거 잘입고 다닐게요 따뜻하고 두꺼워서 춥지도 않고 딱이에요 하나더 사고싶어지는 옷이에요 잘입고 다닐게요~많이파세용~~
g505**|아..제가 키가 작아서 그런지 많이 크네요.....옷은 정말 두껍고 예쁜데ㅠㅠ남동생이 176에 79인데 딱맞네요...그래도 예뻐서 반품은 안했어요!집앞에서 잠깐은 입을 수 있겠네요키 저보다 조금 더 크신분들은 딱일 것 같네요!!
ask6**|대박대박 제가 ..찾던 바지를  요기서ㅊᆞㅈ았네요  바지 완젼편하구요 안에 담이들어있지 않지만 조금 두꺼워서 그리춥지도 않네요 요번겨울 봄 이바지가 있어서든든하네요!!~ 부츠에도 어울ㅈ리고 운동화에도 완젼굳굳 이예요 진짜마에듭니당ㅋ
skflqkr**|사진찍을 때 캐논이나 이런카메라로 찍어주는 느낌있구여 작아서 그냥 주머니 속에 넣고다니면 정말 불편한 게 하나도 없어요 사용법도 간단해서 셀카봉같은 거 잘 못만지시는 어르신분들도 쉽게 사용하실 수있을거 같습니다 진짜 놀러갈 때 하나씩 사들고 가시는 거 추천이요!!!
xhsl13**|블랙 항공점퍼만잇어서 다른색도 사고싶엇는데 넘 무난하지도 않은 밝은 톤이라 좋아요!! 근데 저번에 걸어가다가 같은 옷 입은 사람 마주침....다행이도 그때저는 안입엇지만 그후로 입기 민망해졋어욬ㅋㅋㅋㅋㅋㅋ그래도 따숩고 가볍게 입기 좋아서 자주 입어요 ㅋㅋ
qlrqodv**|체크무늬로 옷을 사려고 했었눈데 너무 귀여워보여서 삿어요!! 실제로도 되게 귀여운데 크기가 조금 커서 친구가 군밤장사하냐고 그러네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ후드티랑 같이 대충입고 나가도 색 조화가특이햐서 그런지 대충입은 티가 안나는 것 같아요~~ 완전 좋아요~~~
ss0828**|아 이 가디건 진짜 넘 예쁜것같아요ㅜㅜㅜㅜㅜ편하게 입기도 좋고!원피스에 살짝 걸쳐입기도 너무예쁠것같아서 진짜 가격대비 잘 산것같아요♥색도 베이지샀는데 너무 예쁘네요ㅎㅎ기장도 딱 괜찮고ㅎㅎ날씨가 좀 더 풀리면 많이 입을것같아요~고고싱 감사합니다ㅎㅎ
rkgml12**|고민하다가 큰맘먹고 결제 했는데 배송도 금방오고 좋아요~ 고고싱 자주이용하는데 후기는 처음 남겨보네요! 생각보다 도톰한데 되게 가볍고 색깔은 꽤 톤이 다운되있는 느낌이에요! 넉넉해서 안에 좀 껴입고 지금도 안춥게 잘 입을수 있어요~ 밝은색이라 봄까지입을것같아요! 제가키가 작아서 좀 길어보이는데 무릎약간밑까지 정도 길이에요 참고하세요~ 고고싱 항상 애용합니당><
bhn12**|와 그냥 말이필요없음 대박 완전 쩔게 짱짱편하고 핏도 어찌나사랑스럽던지혹여나 고민하시는분들있으시면 고민따윈 개나줘버리시고 구매하시는게 바로 정답일듯.. 고무줄밴딩이라서 누구나 맞는사이즈고 겁나편하게입으실수있음!!주름도 잘 안잡히고 빳빳하진않은데 물렁물렁하지도않으면서 딱적당함^^재질은 까칠까칠거리지도않고 피부에 댷는 촉감은 나쁘진않음 얇기보단 두꺼운쪽에해당됨 속옷선도안보여서 진짜 캡 왕 짱짱임 고고싱 강추템..☆
clclc**|편하게 입고다닐 겉옷 찾고있었는데 싸게 잘샀어요! 키가 살짝 큰편인데 옷이길어서 엄청좋네욤!! 잘입고 다니고 있어요 고고싱에서 이번에 할인할때 잘 건진것 같아요 ㅎ 바닷가쪽 놀러가는데 가져가서 유용하게 쓸수있는엇 생겨서 좋아요 그런데 따듯하긴한데 엄청 따뜻하진 않아서 ㅠㅠ 그래도 가볍고 편하게 입기는 좋아서 추천해요!!
j1nh22**|박시해도 사진으론 괜찮은거 같아서 샀는데 너무 덩치도 커보이고 말그대로 박시였어용..그리고 주머니 입구는 미싱같은걸로 박혀서 막혀있던데 원래 그런건가요?전 뜯어서 주머니로 그냥 쓰고있어요 그래도 잘 입구 다녀용배송도 빠르고 넘나좋아요~~~
shdmswls**|저는 진블루 색상 선택하여 샀는데요 굉장히 옷이 튼튼하고 짜임새가 좋아서 오래 여러번 입을 수 있을것 같아요. 색상도 이쁘고 길이와 품도 적당합니다. 저는 덩치가 있는 편인데도 잘 맞았어요. 저보다 작으신 분들은 박시하게 넉넉하게 입으실수 있고요 저와 비슷하신 분들은 넉넉하게 입을수 있습니다.
hany19**|이건 진짜 최고에요 이런거 하나쯤 있었으면 좋겠다고 생각했는데 여기에서 이렇게 또 엄청 싸게 팔아서 얼른 가져왔죠 추울때 입어도 그렇게 저는 많이 춥다고 못느껴서 지금도 잘 입고 다녀요~ 그렇게 많이 두껍지도 않아서 핏이 괜찮았아요~~~
rlagpwls34**|허리가 안맞는지 ㅠㅜ바지가 자꾸 내려오긴하는데 그것 빼고는 핏도 정말정말 이쁘구 사길 잘한 것 같아요...초겨울에 입기에는 얇아서 좀 춥지만 지금부터 봄까지는 입기 딱 좋습니다~!! 바지 오랜만에 인터넷으로 사는데 후회도 안되고 괜찮네용
qls**|드디어 후기를 쓰네요ㅎㅎ제가 구입한게 좀 많아서 3일 걸렸어요! 그래도 만족 인공양털이라고 해서 별로 안따뜻할줄 알았는데 되게 띠뜻하더라고요!이거 입고 친구들 만났는데 친구들도 이쁘다고 해줚어요 제가 키가 커서 길이 걱정했는데 길이도 딱 적당하고 너무 이쁘네요 자주 이용하겠습니당
xhsl13**|원래 갈색 무스탕이잇는데 핏이 딱 붙는거라 박시한걸 찾고잇엇는데 진짜 딱이엇어요!!!!!!!양털 색도 화이트가 아니라서 촌스러워보이지도 않고 베이지라 더 좋앗어요!!ㅎㅎ 이거입고 나갓을때 옷 이쁘단말 들어서 더 기분좋고 ㅋㅋㅋ딱 원하던 무스탕 ㅠㅠㅜㅜ
yechan07**|제가 구두 운동호ㅏ 다 240신어서 이것도 240시켰는데 작더라구여ㅠㅠ구래서 동생한테 선물겸해서 줬는데 다른 분들은 약간 큰거 시키셔야할 것 같습니다 넘 이뻐서 샀는데 동생 좋은일했네요 ㅋㅋㅋㅋ설날 선물로 주려고요 ㅋㅋ근데 신발자체는 진짜 이뻐용
ask6**|너무좋아요 두장사길 잘한거같아요 한파도 이겨낼꺼같아요!!!!!!!가볍고 지퍼달려있어서 편하구요 검정은 먼지가 붙은게 티가많이나긴하지만 이가격에 너무너무 이쁘고 마음에드네요!~ 또  구매하고 싶어요!!!!~~~ 역시고고싱은 믿고 사요!!~항상싸고 좋은제품에 만족합니다
xhsl13**|요즘 무스탕에빠져서 깔별로 다사는중인데 딱 흰색이 가격도 좋게 나와서 바로 삿어요 ㅋㅋㅋㅋ!!!! 넘나좋은것.. 평소에 검정색옷을 자주 입는편이라 안에는 다 블랙으로 입고 아우터 화이트로 입으니까 뭔가 포인트도 되고 좀 고급져?보인다고 해야되낰ㅋㅋㅋㅋㅋ근데 한가지 단점은....안에블랙입으면 무스탕 양털이 다 묻어요....ㅠㅠㅠㅠ그거빼곤 다 좋아요!ㅋㅋ
dsalsk6**|옷이 쪼금 얇은데 옷은이뻐용~^^ 겨울에입긴그러고날씨쫌풀리면이쁠꺼같아요!!고고싱 역시 옷 믿고봅니다ㅎㅎㅎ세일해서 넘좋앗공옷이좋아서 또만족합니다
hany19**|"이거는 완전 이뻐요 입었을때 진짜 쫀쫀해서 잘암들어갔는디 그래도 한번 입으니까 쑥쑥 잘들어가서 항상 잘 입고 다녀요 사이즈가 맞을까 안맞을까 걱정 많이했는데 그래도 사이즈 많아서 다행이에여~~ 많이 파세요 이쁘게 잘입고 다닐게요|~"
wl11**|고고싱에서 처음구매하는건데~완전만족이에여키가조금큰편이어서살짝길이가 걱정되었지만 딱 무릎쪼큼 위에까지 아주딱맞고좋아요~!~!~!♡♡색깔도딱저색깔이고ㅋㅋㅋㅋ가격도세일할때사서 완전만족만족♡♡♡♡♡♡약간 정말 소귿한쪼금정도아쉬운건 어깨라인? 할튼짱좋하여
thwjd20**|두개 상품을 주문해서 이 제품은 배송지연으로 인해 늦게왔지만예쁜거 같아요! 다만 길이가 좀 짧은 감이 있어서 불편하지만ㅎㅎ... 그래도 나름 상큼한 색이면서도 옷이 목을 감싸줘서 목도리도 따로 안해도 되고 편하네요 겨울에 가장 좋은 완소템인더같아여!!
yechan07**|역시 이렇게 인기가 많은 이유가 있더라구여!! 9cm인거 전혀 안느껴질 정도로 편해요!!! 오래신어도 다른 구두들 처럼 아프지않고 좋아요!! 다리도 길어보이는것 같아요 ㅋㅋㅋ다른분들 사이즈는 정사이즈 시키시면 될 것 같아요!!!
ss0828**|무난하고 예뻐요. 자주입을것같아요ㅋㅋ색깔도 사진ㅇㅣ랑 똑같고 사이즈도 조금큰 감이 있지만 좋네요^^!어디에나 입어도잘아울릴것같아요 좋습니다!이거 말고 가디건도하나 같이 샀는데 그 가디건이랑도 잘 아울릴것같아요!가격대비 넘 잘산것같아요~^^
dlswjd08**|그냥 입어도 되게 여성스러워 보이고 너무 이뻐요ㅠㅠㅠㅠㅠ 진짜 다른 색상들도 더 사고 싶고 이쁘단 소리밖에 안나와요!! 짱ㅠ.ㅠ 이제 봄되서 벚꽃축제하면 꼭 입고 가려구요!! 사이즈 안맞을까봐 걱정도 했는데 입어보면 딱 이쁜 핏나와서 좋아요!
jej37**|따뜻해요! 조금 항아리같을수도 있는데 그래도 부들하고 그래요 추울땐 얇은 흰티를 안에 입고 하면 예쁘고 좋아요 봄에 이것만 입고 다녀도 괜찮을것 같아요~ 색은 이거랑 비슷한데 쫌더 어두워요 음... 모델분 사진 색이랑 비슷해요~ 예뻐요!
hany19**|처음에 사기전에 클까봐 걱정했는데 우려했던데로 엄청커서 아빠옷같다고 그랬는데 그래도 이뻐서 좀만 줄여서 입으면 이쁘게 입고 다닐수 있을것같아요 쌀때사서 그런지 좀 커도 속상하지도 않고 마음에 쏙 들어요 앞으로도 종종 많이 이용할게요~
suin0**|처음에 불편할줄알고 고민했었지만!!! 입어보니 쫙쫙!!!!잘ㄹㄹㄹㄹ!!늘어나고^^편해서좋았어요!! 그리고 키가큰편이라서 길이가 짧을때도 있는데 딱 맞아서!!!!이뿌게 입고있어요^^ 색도너무이뿌고 좋아요!!!
ab0813**|좋아요!!!길이가 좀 짧고 생각한거랑 다른 핏이지만 그래도 이뻐요! 길이가 더길었으면 좋겠어요.좋아요~좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요
ask6**|너무좋아요!!~가볍고따뜻따뜻하네요~!♡♡♡♡
yechan07**|아 이옷 진짜 이뻐요!!!첨엔 약간 털 뭍어나와서 그랬는데 두번?정도 입으니깐 딱 좋고 요즘 날씨에 딱이예요!! 이거 입으면 주위사람들도 다 옷 이쁘다고 한마디씩 하고 진짜 이뻐요!!!추천해융~~~구두 운동화 다 잘어울리고 청바지 치마 검은바지 다 어울려요
qor1**|옷 받은지 좀 됐는데 이제야 쓰네요.......................ㅠㅠ!!옷 너무 귀여워요!!!!!!!!!!!!!!!!회색 후드집업이랑 같이 입고 나갔는데 무난하고 괜찮았어요!!!!!!ㅎㅎㅎㅎㅎ추천합니다!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
wjddhr71**|후기가 조금 늦엇네요코트하나 살려고 이것 저것 많이 보다가 결국 고고싱에서 삿네요.솔직히 기대안하고 구매한거라 별생각없이 받아서 입어봣는데 괜춘하네요! 편하게 입을수 잇고 편하고 이뻐서 마음에 넘넘 드네요 !고고싱에서 코트하나 더살ㄲ
mm9**|후기가 좀 늦었어요 ㅠ^ㅠ 남방 찾고잇엇는데 때마침고고싱에 들어오니까 마음에 드는 남방이 눈에 딱 뛰어서구매했구요 디자인이며 가격이며 다마음에 들어요 저렴한 가격에 이정도면 잘 산것같아요 배송도 그냥저냥 괜찬았구요 실물이 이뻐요
kjm969**|일부러 기장때문에 큰걸로 했는데 괜찮아요!그런데 입어보니까 음.......뒤에가 붕뜬다고 해야하나......뭐랄까 애매모호하게 되어있어요......입었을때 딱 아 이쁘다 라는 느낌은 안들구요ㅜㅠㅠ기장은 딱이여서 너무 마음에 들었는데 전체적인게 조굼 아쉬워용
tjsgml25**|정말 가격대비 짱짱이에용!! 친구들도 에쁘다고햇어욜^~~^ 얇아서여리여리한게 봄느낌15지구요 색깔도 저는 봄느낌물씬나는 핑크로햇답니다 정말만원정도에 어디가서 이런니트를 겟하겟어요#?? 당장 장바구니넣기시전하시길바래요^.^
ssseh**|와인이랑 딥블루 구매했어요~색도 예쁘게 잘 나왔고 한번 빨아서 입었는데도 목도 안늘어나서 좋았어요두께감도 적당해서 다른거랑 레이어드해서 입어도 불편하게 없더라구요!무난한 맨투맨 찾고있었는데 원하는거랑 딱 맞아서 저렴하게 두 장 득템했어요
qlrqodv**|후드랑 같이 입은게 너무 이뻐서 보자마자 바로 샀어요!!! 생각보다 팔통이 넓지 않아서 두꺼운 옷울 입으면 조금 불편하네요~ 봄에.얇은 옷이랑 입으면 이쁠 것 같아요!!! 그리궁 붙어 있는 털 같은게 자꾸 빠져서 조금 불편하긴 하지만 이 가격이라면 만족입니다!!!
awheka**|너무너무 이뻐용 사려던건 아니었지만 눈에 딱 꽂혀서 산 가디건이에요 색도 적당해 핏도 적당해 편하게 입으려고샀는데 잘 산 것 같아요. 봄에는 이거 입고 봄소풍가면 될 듯ㅎㅎ 꾸며 입기도 좋고 편하게 입기도 참 좋은 옷 입니다. 다음에 또 이용하겠습니다 고고싱
rhdthw**|항공점퍼 갖고싶었는데 마침 마음에드는게 딱 있어서 샀는데 완전이뻐요!!!!!안에 양털도있어서 따뜻하고 겉재질은 비닐이긴한대 그래도 좋아요!네이비색도 사고싶어요ㅎㅎㅎㅎ 역시고고싱은 실패하지않아요ㅎㅎㅎㅎ짱!!!!
godhan**|겨울에 레자입는게 좋아유 ㅠ 근데 생각보다 기모가 너무얇아서 너무추울때 한번입었더니 얼어죽는줄ㅋㅋㅋ다리진짜동상걸리는줄알았어요 ㅠㅠ 다른건 다괜찮은데 생각보다 얇은게 함정이라는 그래도 지금은 잘 입을수잇죠 ㅋㅋㅋㅋㅋ굿ㅅㅅ
yechan07**|색깔이 진짜 예뻐요 딱 제가 원하던 청색이라 맘이들고 다른 옷이랑도 매치하기 정말 좋아요~~!!! 배송이 약간 늦긴했지만 이정도면 충분히 만족합니다 좋은 옷 더 많이 만들어서 팔아주세요:)감사합니다 새해 복 많이 받으시고 더 번창하세요!!
kjm969**|색깔도 검은색으로 무난무난하고 좋았어용!ㅎㅎㅎㅎ무늬도 이뻤구요 그런데 조금 얇은느낌? 그리고 기모모직인데 겉면이 맨들맨들한게 싸보이기도 하고.......하긴 이 가격에 이정도면 괜찮은것같아요저랑 키 비슷하신 분들은 기장감 괜찮을것 같아요
akehd**|고고싱에서 몇번째구매인지모르겠네요.^-^매일업데이트뭐있는지 보러오는재미도있고고고싱 너무좋아요♡♡이니트도 루즈해서 치마랑입으면너무이뻐요!!다른색도구매할까생각중  이예요~♡고고싱은니트종류가많아서너무좋네요~♡
wjddhr71**|이건 진짜 보자마자 바로 구매하기햇는데 역시 바로사기 잘한듯해요!!택배와서 받아보니까 너무 맘에 드네요그냥 스키니에도 이쁘지만 트레이닝에 입어도 캐쥬얼하고 어울리네요그리고 편하게 입을수 잇어서 무엇보디ㅡ 좋은거같아요!!
rown66**|색도 너무 이쁘고 옷을 입었을때 핏도 딱좋아요재구매할생각이 너무너무나 있고요 가격도 생각보다 저렴해서 않좋을까 생각도 했었는데 가격대치고 너무나 효율적이고 사용하기 적합해서 재구매할의사가 넘친답니다~~꼭 하나쯤은 있어도 이쁜티네요
godhan**|여름용 포카슬랙스를 좋아해서 이것도 그럴거라고샀는데 ㅋㅋ사이즈 작다는소리는들어서 평소보다 큰사이즈로..ㅋㅋㅋ근데 약간 밑단 통이 큰거같은 느낌이드는것은 기분탓인가여 ㅋㅋㅋ저만그런가.. 너무 펄럭이는 느낌이라 그거때메조금 ㅠㅠ
akehd**|고고싱에서자주구매하는데 역시나맘에드네요~~~!아직은추워서못입고 날씨좀 풀리면입을려고요~~디자인도이쁘고 제가키가큰편인데.팔길이가길게나와서  너무맘에들어요!!!또사러올께요~♡♡이쁜거많이올려주세요.
jinjane**|배송은 너무 오래 걸렸지만 제품 자체는 정말 예뻐요 ㅎㅎ! 생각했던 것보다는 두껍고 탄탄해요. 길이감도 딱 예쁘고요 ㅋㅋㅋ 안에 뭘 입든 무난하게 잘 어울리네요. 역시 실망시키지 않는 고고싱!! 다음에 또 구매할게요. 늘 감사합니다ㅎㅎㅎ
qlrqodv**|깔끔하게 입을 슈 있는 니트를 찾고 있었는데 여기서 이걸 보자마자 바로 질렀어요!! 여성스러워 보이고 치마나 바지 어떤 옷이랑도 잘 어울리는 것 같아요!! 가격이 착해서 엄청 얇진 않을까 걱정했는데 두툼하진 않지만 적당하고 좋은 것 같아요!! ~~
wjddhr71**|별로기대안햇는데 받아보니까 꽤 괜찬앗어요스판도 좋고 편하고 근데 단추가아니라 똑딱이라서 좀 불편한거 빼고는 괜찬은거 같아요!핏도 이정도면 나쁘지않고 좋은거 같아요 !전일단 스판이 잇어서 너무좋네요 ^^많이 파세요!!!!!
suin0**|처음에 가격보고 너무 저렴해서 쪼끔~~~~이상할까봐 걱정 했었는뎈ㅋㅋㅋㅋ 직접 보고 입어보니깐!!!!!!색도 너무너무 이뿌고 편하고!! 길이도 딱적당한거 같아요^^봄이에 아무옷이나 이뿌게 입을수 있을꺼같아요!!^^
godhan**|아직 입어보진못했는데 좀더 따뜻해지면 입을려구요 ㅋㅋㅋㅋ후기가 하도좋고 이정도로 비침있는 스타킹 구하기힘들거같아서 잘산거같아요 후 ㅋㅋㅋ 나중에 신어보고 괜찮으면 이빠이 사게될듯 ㅠㅜ..고고싱은 항상 지름신을 부르지만 어쩌겟슴..
jksiat**|결국 하나 더 샀어요... ㅋㅋㅋㅋㅋ 핏도 딱 좋고 너무 편하고 ㅠㅠ 기모는 없긴 한데 히트텍 안에 입고 입으면 겨울에도 그리 춥진 않아요 ㅋㅋㅋㅋ 다만 몇 번 세탁하고 나니까 보풀이 좀 일어나려 한다는 거? 서너 번 세탁한 거ㅛ 같은데 심하진 않아요 짱
