760366330840784**|친구와 같이 트윈룩으로 구매했습니당~~끈도 다양한곳에해도 되서 너무 좋았습니다 너무만족해요!
20092347**|156에 47입니다 허리는 64cm라 m 시켰는데 진짜  짱잘맞아요 허리가 조금 크긴한대  이정도는 앉았을때 밥 배불리 먹고 그러면 편한 바지에요 진짜 꼭 사세요ㅠㅠㅜㅜㅡㅠ 짱돟습니다
69121687**|너무 예뻐서 집에서도 하고 있을 정도로 정말 많이 하고 다녀요~ 진짜 청순해 보여서 분위기도 업되고 너무 좋았어요!옷을 심플하게 입어도 청순열매 드롭귀찌만하면 엄청 예쁠것같네요ㅎㅎㅎ진짜 강추합니다!!! 너무너너무너무 예뻐요~ >ㅇ<
kjy0**|크기가 적당해서 좋아요! 세로로 A4용지들어가고 닫히는정도이고, 가로는 좀더커요 검은색 사고싶었는데 잘 산거 같아요~
dbalswjd6**|전 아이보리 구매햇습니당!! 약간 살집이 있는 편이여서 걱정했는데 뱃살부분 커버도 되고ㅎㅎ 전체적인 길이감으로 여리여리해보이고 예뻐용ㅎㅎ
dbalswjd6**|야자수!!!! 진짜 강추요ㅜㅠ 넘예뻐요 친구도 어디서 샀냐고 예쁘다고 난리입니다ㅜ 야자수 재입고 되면 모두 쟁여놓으세용
dbalswjd6**|박시한 반팔티를 원해서 여기저기 알아보다가 고고싱에서 저렴한 가격에 디자인도 다양하게 나와있어서 고르는 재미도 있더라구용ㅎㅎ 버몬트t 재질도 좋고 얇아서 편하게 입기 좋아용 ㅎㅎ
1886434328273895**|색감도 너무 이쁘고 디자인도 깨끗하고 마음에 들어요!그리고 코디할때도 고민하지 않게 잘 입을꺼 같아요 질감도 여름에 시원하게 입을 수 있는 그런 질감이라서 좋아요!
snoopy31**|색상이 이쁩니당 여름에 시원하게 입을 수 있을꺼같아요ㅋ 길이감이 쪼끔 짧긴하지만 맘에 듭니당><
snoopy31**|색감이 화면이랑 똑같아욘 시원해보이고 재질도 쫀쫀하고 맘에 들어요ㅋ 여름에 시원하게 입을 수 있을꺼같아욘ㅋ
snoopy31**|스커트 넘나 이쁩니당 단지 한바퀴는 다 둘러질 줄 알았는데ㅠ반바퀴밖에 안둘러져서 트임이 쪼끔 걱정되네요ㅠ 그치만 디자인은 완전 이뻐요
snoopy31**|앞에 레이스가 넘나 이뻐요 같이 코디된 스커트랑 구매했는데 잘 어울려요 색도 이쁘공 만족스럽습니당
snoopy31**|바지 넘 이뻐요 단추가 특이해서 밋밋하지 않고 이쁩니당ㅋ착용감도 편하고 살도 가려줘서 좋아용
haho07**|디자인 예쁘네요 무난하게 잘 입고다닐 수 있을 것 같아요 ㅎㅎ 여름이라서 그런지 하얀 옷들을 자꾸 사고있어용 고고싱 옷들이 진짜 예쁘긴 하네요 ㅠㅠ
423542490**|여리여리해보이고어깨가 없으니 의외로 쉬원하네용 ㅋㅋㅋ근데 팔이 좀 뜡뚱해보이는거같기도... ㅠㅠ
hyoeun6**|냄새가 심해서 한번 빨았더니 뭔가 크기가 줄어든 느낌,,,이지만 잘 입었어요! 비침이 좀 있어서 신경쓰이긴 했는데 안에 받쳐입는 티로 입으려고요!
423542490**|너무이뻐용!!검은색샀는제 다른색도 살까말까 고민즁이예용 이뻐요 얇고 날씬해보여요ㅋㅋㅋ밴딩보다 낫네여
423542490**|괜찮네요무난뮤난근데 흰색 많이 얇아서 비치네영 ㅠㅠ그래도 얇으니 쉬원하게 입을거 같긴하네여 ㅋㅋㅋ
hyoeun6**|신발 신으면 발목에 꽃이 딱 있는게 너무 깜띡해서 좋아요!! 발목 부분이 생각보다 짱짱하지는 않지만 살툭튀 안되고 적당히 짱짱해서 좋아요~
hyoeun6**|수학여행 가서 쓰려고 샀는데 진짜 너무 이쁜거 아닙니까...? 친구들도 가방 이쁘다고 하고 앞 포켓에 틴트나 핸드폰 넣으면 정말 딱이여서 편해요!!
hyoeun6**|교복 바지인 척 하고 입으려고 샀는데 교복보단 통도 넓고 짧지만 너무 편하고 시원해서 계속 입고 다녀요ㅋㅋㅋ
hyoeun6**|고고싱에서 다른 일자연청바지 샀다가 색깔이 화면과 다르고 너무 두꺼워서 실망했었는데 이걸 마지막 일자바지로 한번 사보자!! 하고 샀더니 너무너무 맘에 들어서 이제 일자바지만 입으렵니다... 색상도 화면 그대로고 처음에 입을 때 너무 신나게 발을 집어넣느라 찢어진 곳이 더 찢어졌긴 했지만 너무 이뻐요ㅠㅠ 제가 엉덩이가 많은 편도 아닌데 엉덩이가 쨍긴(?)다는 게 흠이지만 핏도 이쁘고 다 이뻐서 이해하려고요 무조건 사세요!!
hyoeun6**|양말 짱짱함 무엇,,, 교복이 남색이라 깔맞춤 해서 입으면 기분 왕왕 좋고 발목살툭튀 될 정도로 짱짱해요!!ㅋㅋㅋㅋㅋ
ghdwkg**|색깔이 있는 슬랙스를 처음 사봤는데 색도 너무 이쁘고 린넨이라 조금 까슬까슬한거 말고는 너무 맘에 듭니다~ 핏이 진짜 이뻐요!!
a67**|꽃무늬 디자인 너무 이뻐서 보고샀는데 역시 이뻐용 ㅎㅎ 근데 생각보다 조금 짧은감이 있는데 감수하시고 입으시면 될거깉아요~
ghdwkg**|치마를 잘안입는 편인데 너무 맘에 들어요~ 하늘하늘해서 되게 이쁜것 같고 여름에 입으면 시워해서 좋은것 같아요~ 랩스커트라 바람불면 조금 불안한데 옷은 너무 이쁩니다!
ghdwkg**|찢어진 부분이 안크고 적당해서 딱좋구요~ 색도 이쁘고 사이즈고 딱입니다!! 핏도 나쁘지 않구요! 약간 두께감이 있는편이긴 한데 사서 엄청 잘입고 다니고 있습니당~!!!
ghdwkg**|그림이 너무 귀여워서 샀는데 화면에 보이는대로여서 너무 좋아요~평소에 넉넉하게 입는편인데 사이즈도 딱 적당해서 굿입니다!!
65272084**|이뻐요
65272084**|좀 긴거빼고는 팔랑팔랑 예쁜 치마에요
ji109**|배송은 좀 오래 기다렸고 옷은 예뻐요~^^하늘하늘 하고 디자인이랑 색감이 잘 어울리네요 또 속치마도 있어서 좋았고요 상체부분 살~짝 비침이 있긴 한데 안에 나시 입으면 될 것 같아용그리고 원피스가 긴 편이 아니라서 키큰 분들은 좀 짧을 수 있겠네요 목 부분은 많이 파여있지 않아서 좋았습니다~또 허리부분이 고무줄인데 저한테는 좀 쨍쨍하지는 않아요.. 그 점은 아쉽...
toy33**|바지가 다리를 잡아줘서 날씬해보입니다! 제가 하비라 허리는 조금 줄였는데 진심 원래 내바지인듯이 딱 맞았어요~~~>< 다만 바지 단추가 튼튼하지 못한게 조금 아쉽네요
yjroh**|뱃살 빼고 입어야할듯요 배쪽이 약간 끼네요 그래도 시원하고 이뻐요 !!! 잘입을게요 ^^
yjroh**|디자인은 정말 예쁜데 실제는 사진보다 좀더 진하네요 ! 질은 그냥 그렇습니다 ㅋㅋㅋㅋ무난하게 입기 좋아염 !
yjroh**|아 너무 편해요 ㅋㅋㅋㅋ시원하고 세상에 이렇게 편할수가 있나요 ㅋㅋㅋㅋ데일리로 입기에도 핏도 좋아요 ! 강추 !
64717067**|제가 많이통통한편인데 잘맞아요~ 소재도 시원한것같고 딱입자마자 핏이 너무 이뻣어요 날씬한분들도 잘어울리겠지만 통통한분들도 구매해도 좋을것같아요~
64717067**|링귀걸이 종류를 많이껴서 사려구했는데 저렴해서 구입햇어요 큰링귀걸이가 얇아서 잘휘어지네요~ 그래도 다이뻐요~
