wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
gbtjs92**|여행가기전에 구매했어요!!같이입은 흰색가디건도 고고싱에서 구매했던거에요 ㅎㅎ원피스만 입는것보다 같이 입으니까 딱 예뻤던거같아요!얇지만 봄에도 예쁠원피스:)
gbtjs92**|블랙에 스퀘어넥이 예뻐서 구매했어요! 정사이보단 조금은 여유있는 사이즈가 아쉬웠지만 그래도 만족해용!입었을때 포인트되는 티 에요:)
hn107**|위에 남방이 겉기모?라서 만지면 엄청 부들부들해요ㅎㅎ 겨울인데도 잘입고 다녓고 색이 연한하늘색인데 약간탁하다고 해야하나 지금 날씨에 입기 좋앗어요 체크도 이쁘게 되잇고 소매에 고무줄ㄹ 고정되잇어서 바람도 안들어와요 저는 다른색으로 하나더 구매할려구요!! 다들 사세요ㅜㅠㅠ 자꾸 품절되는만큼 정말이뻐요ㅜㅠㅠㅠ
jh1219**|처음에 받은 옷이 어깨부분시 불량이라서 이제 후기를 쓰게되네요ㅜ  제키가 166cm인데 엉덩이 부분을 거의 덮는 길이에요 핏도되게 예쁘고 기모있어서 따듯해요ㅎ 오래기다렸지만 기다린보람이 있는 것 같아요ㅜ
hn107**|저는 제주도 갓을때입으려고 세트로 구입햇어요!! 제가 이옷을 입은날 눈이 왓엇는데 조끼입고 코트입고 다니니까 생각보다 괜찮앗아요 길이는 생각보다 짧은감이잇는데 귀여워보이고 이뻐서 저는 좋앗어요ㅎㅎㅎ 뒤로 리본묶어도 이쁜데 앞으로해서 묶으면 더 귀여워요~! 뒷지퍼는 혼자 다 올리기 생각보다 힘들어요ㅠㅠㅠ 그래도 그만큼 옷이 이뻐서 저는 만족햇습니당ㅎㅎ
twilight77**|핏이 정말 예뻐요 브라운 색감도 예쁘고 ㅠㅠ 재질도 보들보들완전 만족하고있어요:) 고민하시는 분들 빨리 구매하시길..이거 봄 버전 코트도 봄 되면 구매하려구요
nnauu**|기다려서 입고 되서 받았어요 제키엔 너무 짧지않아 좋아요 딱 이길이를 원했어요^^ 감사해용 잘입을게요
onyou05**|따뜻하고 구ㅣ여워요ㅜㅜㅜ 진짜 리본 너무 취저 입니당ㅜㅜ 무엇보다 너무 편하고 안에 뭘입어도 다 가려지니까 생각없이 옷 막 입기도 딱 좋아요ㅎㅎㅎ
nnauu**|이가격에 너무너무 따뜻하게 겨울을 보낼수있으요!!!! 이옷 저옷에 받쳐 입기 너무 좋아요 최고최고
onyou05**|생각했던것 만큼 완전 어어엄청 예쁘고 고퀄은 아니지만 한번 예쁘게 입어볼께요ㅎㅎㅎ 재질이 굉장히 얇고 허리는 밴딩이라 통통이들도 맘 편하게 입을수 있을것 같아요~! 빨리 봄이 됬으면 좋겠네용
nnauu**|너무 이뻐서 맘에 들어 구매했어요ㅠㅠ 사고나니 봄컬러나와서 속상했지만 이뻐요ㅜㅜ 얇은듯 하지만 생각외로 두툼해요 그리고 왜그런진 모르겠지만 걸릴데가 없는데도 실밥이 튀어나와요ㅠㅠ 제가 뭔가 이상한건지...속상해여ㅠㅠ그래도 이뻐요!!!!
nnauu**|귀여워요 배송비맞추려고 주문했지만 이쁘고 귀엽네용 맘에듭니다^^ 잘신고 담에 또 주문할게영
onyou05**|일단 확실한건 저는 살을 빼고 입어야 더 이쁠것 같아요..ㅎㅎ 옷 자체는 예쁩니다!색깔도 여성여성하고 봄처녀 분위기 뿜뿜 낼수 있을것 같아요!! 단점이라면 조금 얇고 지퍼가 너무 약해 보이는 것..? 여하튼 마르신 분들한테는 예쁠것 같아요~!
124884644**|굿.. 말이필요없어용사세여. 너무너무 좋아용 이가격에 이퀄리티라니ㅠㅜㅠ 너무 감동했어요고고싱 완전 번창하세요 고고싱 짱 고고싱 짱입니다 고고싱 최공.!!*!&!&&!&!&@&!&@
138280953**|핑크랑민트랑둘중뭐살지진짜고민많이했어요ㅎㅎ그런데민트색가디건은잘못본거같아서민트로골랐어요짜임도좋고생각보다더두꺼워서버람불때입으면따뜻하더라고요.다른댓글보면단추가없어서아쉬워하는분이많던데저는오히려단추없는게더디자인이이쁘더라고요이제봄되면많이입고다닐거같아요가디건비싼거는4만원정도하는데2만원대면정말저렴하게잘산거같아요저렴한가격에비해옷질도너무좋았어요특히팔부분이맘에들더라고요ㅎ살지말지고민이신분들!!고민하지말고사세요후회안하실거예요진짜에요엄마도옷이쁘다고하셨어요그리고인터넷으로니트재질을사면까칠까칠한게많은데정말부드러워서이부분에있어서진짜품질좋은거인정ㅎㅎ좋은사이트알게되서좋아요앞으로후기꾸준히남길게요
yeseur63**|보들보들하고 따듯하고 코디하기 좋아용 잘샀어요
dltmdgml**|제가다리가짧아서이쁜지는모르겠고살이더빼서입어야할것같아요..역시모델만보고샀다가..참..그래도이뻐용
