wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
skdkfka11**|너무 예뻐서 홀린듯 사버린 가디건.. 솔직히 저 가디건 너무 좋아하는데 코디하기도 애매하고 현재 있는 옷들과도 잘 매치가 안되서 예뻐도 잘 안하는편인데, 이거는 그냥 검정팬츠나 기본스커트에도 잘어울릴거같아서 코디 부담없이 샀어요! 입어보니 진짜 너무 마음에 들구요 ㅠㅠ 진주버튼이 빠진다고 하시는 분들 계셔서 망설였는데 저는 아직까진 전혀 그런거 없이 튼튼하게 잘 박혀있어요! 사이즈도 딱좋구 몸매도 적당히 부각되어서 예뻐요❤️ 고민하시는분들 지금 컬러도 추가되었으니 빨리 득템하세뇨!
tpfla81**|가방 배송왔을때 포장도 너무 잘해서 보내주셨고 가방도 너무 이뻤어요!리본 달려있는게 이쁘고 싼티나지도 않아요 다만 냄새가 심해서 이틀간 냄새빼야해요그거빼면 너무 만족합니다!
ywsj01**|아이보리색 구매했는데 색감이 너무 이뻐서 반했고 길이감이 딱 맞아서 좋았어요ㅎㅎ 한가지 아쉬운점은 속치마가 살짝 짧아서 수선해서 입어야겠어요 그래도 너무 이뻐서 만족합니다❤️
wndmsxv20**|완전 예뻐요 ‼️‼️ 여리여리하고 특히 넥라인이 진짜 예버요 ㅠㅠ 대박이에요 사세요 ㅎㅡㅎ‼️‼️
dmstjs60**|이거랑 똑같은데 색만 다른 니트 두개 더 구매했어서 이건 후기 짧게 남길게요. 당연 색감도 좋구 음 색은 쨍한 빨강? 안어울릴줄 알았는데 생각보다 괜찮구 데일리로 입기에 역시 좋은제품인거 같아요!!
wjdgustn99**|생각보다 길이가 짧아서 쪼금 그렇긴한데 색상도 예쁘고 폴라답게 목쪽이 따뜻해서 지금 날씨에 입기좋은거같아요
wjdgustn99**|생각보다 별로였어요.. 안쪽에 칸을나누는 안감?이 가방가로길이보다 짧은지 가방을 들면 한쪽이 접히고 다 펴지지않네요..
wjdgustn99**|재질도 괜찮고 크기도 적당해서 데일리로 간편하게 들고다닐수 있을꺼같아서 좋아요ㅎㅎ 잘 매고다닐께요~
wjdgustn99**|평소에도 벌룬을 좋아해서 자주입는편인데 화이트색상 셔츠를 다 버려서ㅠ 이번에하나 샀어요! 박시하고 길이도 적당해서 즐겨입을꺼같아요♡
qufqlc9**|바지사이즈로 24~25정도 입는데.. 저한테 이 치마는 조금 커요 ㅜㅜ 앞쪽에 허리 조금 잡아서 박아야 될것같아요...(뒤에 고무줄이 전혀 늘어나지 않은 옷 상태에서 큰거임...ㄷ;;)
qufqlc9**|예뻐요. 질도 생각보다 좋아요. 치마나 청바지나 다 어울릴것같아요.핑크색도 살까 고민되네요!
kura**|이거 진짜 존예임 길이는 무릎 딱 중간정도 오구요비치는건 거의 없는데 진한 속옷은 좀 피할듯?근데 저 모델분처럼 위에 저끼같은거 레이어 해서 입으면 이쁨충실한 기본템입니다 두께는 딱 그냥 셔츠 정도임ㅇㅇ 봄템ㄱㄱ
thfk28**|너무귀여워요 ㅎㅎ기다렸다가 구매하길 잘한거같아요 ! 자주 입을게요 ! 프릴달린거 너무 좋아요 !!
thfk28**|체크스커트찾고잇었는데 딱 이뻐요 !!!! 안에 속바지도 있어 입기 편하구요 ! 자주 꺼내입을거같아용
qufqlc9**|화면보다 색이 진해요.지퍼가 고장인건지 ㅜㅜ 어제 택배와서 오늘 입고 나왔는데.. 지퍼가 계속 내려가요 오늘 입고다녀서 반품교환도 안될것같고...그냥 다이소 가서 열쇠고리 사서 지퍼를 단추에 고정해서 입어야할것같아요
hyj16**|포근하고 탄탄해요색깔도 보는 그대로이고요따뜻하게 입을수잇어서 좋아요이런 원피스 찾고있었는뎅 아주 딱이에요
hyj16**|허리 밴딩 쫀쫀하고 길이도 잘 맞아요탄탄한 느낌이라 오래 입을수있을것같아요다만 냄새가.. 엄청나네요ㅋㅋㅋ 잘 안빠져요입고 다니다보면 빠지겠져 뭐만족합니당
hyj16**|정말 부드럽고 포근해요!포근하다는 말이 딱 어울리는 니트에요 ㅎ얇을까 걱정했는데 도톰해서 잘 입고 있어요뭔가 보풀이 잘 일어날것같은 느낌이라조심조심 입고 있어요 이쁩니당
younggg**|생각한것보다는 가방 크기가 작았지만 이뻐서 만족!!!!아무옷에나 들고다니면 어울릴거같아요 크로스백으로 사용하면 이뻐요고민하시는분 고민하지말고 사는거 추천!
lovesd**|고등학교 기본 가디건 같은 느낌?? 모델이 입었을땐 그런느낌없었는데 포장지 뜯고 보니깐 그렇드라구요....?당홛당황 아직 안입어봐서 모를수도..
lovesd**|생각보다 사이즈가 크더라구요?ㅠㅠㅠㅠ좀 놀랬어요..그래도 안에 기모가 가득 들어있어서 이거 입구 겨울마무리 잘할거같아용~
lovesd**|사진으로 본것보다 너무 괜찮구 이뻐요!!요즘 레이어드오 입는게 유행이라 고민하다가 산건데...후회 안할것같아요!
lovesd**|제가 키가 작아서 최근에 맞는바지 찾기 정말 힘들었거든요ㅠㅠㅠ 다막 통두크구 이래서ㅠㅠ 근데 이번바지 저한테 길이 딱이에요! 만약 키크신분들 사실려면 이글 참고하세용~ㅋㅋ 스판도 짱짱하고 너무 편해요!
msuhy**|음....꼬꼬마들에게는 비추...가슴부분은 딱맞고 아래로갈수록너무부해보여서 핏이이상했어요ㅠㅠ....
msuhy**|와..이거대박잘건진아이템이에요ㅠㅠ지금도입고출근중입니다너무맘에들어요....진짜....봄에는 가볍게걸치는용도로입으려구요!
msuhy**|블랙사고너무맘에들어서핑크도샀어요ㅠㅠ역시...질도너무좋은데예쁘기까지해서너무맘에들었어요ㅠㅠㅠㅠ!
shingaw**|보통 M사서 괜찮을 줄 알았는데 살짝 커요ㅠㅠ 그래도 벨트입으면 괜찮을 거같구 예쁘네요 어디에도 잘어울릴만한?
shingaw**|살짝 어깨부분이 크고 구겨져서 오긴했는데너무 예쁘고 색도 너무예뻐요 생각보다 얇지도 안구요
blackp**|이거 초겨울에는 못입습니다 ㅎㅎ여름후반이랑 가을정도에 입으면 딱 좋을거같아여 근데 진짜 예쁩니다 ㅠㅠ고마워요 이런거 팔아주셔서요 ㅠㅠ
blackp**|이거 ....개쩔어요 진짜 구매하시고 옷 받아보신분들은 아실텐데 개 두꺼워요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 입으면 배쪽이 붕떠서 쪼금 배시렵습니다....⭐️
blackp**|기모도 적당하니 가을에서 겨울중반까지 입을수있을거같아요!실물은 모델착용 핏이랑 똑같구여 길이감도 아주 나이스합니다 ㅋㅋㅋ
blackp**|으아아ㅏ앙 너무 예뻐요 진짜
wjy01**|프릴이랑 자수가 엄청 사랑스럽고 면이라 좋네요. 배송만 빨랐다면 좋았을꺼 같아요 옷은 진짜 맘에 들어요
wjy01**|진짜 이뻐요 색깔은 화면이랑 좀 다른거 같은데 이쁜색이고 일자핏 첨 입어보는데 맘에들어요 스판이라 편하고 배송 좀 늦은거 빼면 좋네요
khw29**|후기가 좋아서 후기 보다가 좋은후기 많아서 구입하게됬어요통통한편인데 품도 괜찮고 길이도 괜찮고 데일리로 자주 입을수있을거같아요가격도 싸고 배송도 빨리와서 좋네요!!다른색도 사고싶네요
155570871579073**|바스락거리는거 외에는 그냥저냥 부담없이 걸치기는 좋은듯. 놀러나갈때두 쏘쏘고.. 그냥저냥 만족이여
db08**|핏이 귀엽고 예쁘면서 따뜻하기까지 합니다. 근데 조금 부해보일 수도 있어요. 꽃샘추위까지 잘 입을 것 같아요.
db08**|딱 기본 흰 양말입니다. 어느 코디에나 다 어울릴 것 같아서 구매했습니다. 발이 좀 큰 편인데도 편하게 신어요.
jungje03**|처음 사보는 터틀넥티인데 너무 맘에들어요~ 이번 여행 내내 이것만 입었어요목도리가 필요없을정도로 따뜻하고 두툼하네요코코아색 많이 사셨던데 검은색도 이뻐요ㅎㅎ사진에서보는것보다 소매 부분이 생각보다 넓긴 한데 괜찮아요강추합니다!!!
836774303117149**|굿굿 색깔별로 다 사고싶엉ㅎ 너무 예뻐요!
836774303117149**|옷은 예뻐요 날씨 조금 더 풀리면 입어야겠어욤>.<
836774303117149**|좋아요~~~~~~ 부들부들하고 귀여워요 ㅎㅎㅎㅎ
twinsi**|리본 달린 블라우스 하나 장만하려구 샀는데요 진짜 상상 이상으로 이쁩니다 ㅠㅠ 약간 실물갑인 거 같아요 단추도 되게 고급져보이네요 얇기도 얇고 당연히 비침도 있지만 블라우스는 이런 맛이죠 ;;; 진짜 이뻐요 ㅠㅠㅠ 소매도 고퀄리티에요 너무나 만족만죡 고고싱 요즘 옷이 너무 예뻐서 엄청 자주 애용하고 있네요 ! ❣️❣️
eunjin9**|실자체가 두꺼워서 옷 두께 자체는 두꺼운데 촘촘하지 못해서 바람이 슝슝 들어오는게  목만 따뜻한 느낌...이너도 따뜻하게 입고 입어야 돼요그리고 무거워요... 엄청! 무겁습니다 그래도 잘 느껴지지 않으니까 무게는 중요하지 않아요폴라부분 완전 짱짱해요  벌써 네다섯번 빨았는데도 멀쩡하답니다
2112590165694348**|제가 쇼핑몰에서 옷을 처음 사 보는데 이게 프리 사이즈라 걱정 많이 했는데 이 투피스 중에 고고싱이 후기가 제일 많고 인기도 많은 쇼핑몰이리도 해서 샀는데 배송도 이틀만에 오고 와 진짜 입자마자 엄마가 완전 예쁘다 했어요진짜 진짜 예뻐요 ㅠㅠㅠㅠㅠㅠ 치마도 되게 편하고 근데 좀 짧아요 .. 그치만 옷 진짜 너무 예뻐요 ㅠㅠㅠㅠ ❣️❣️❣️❣️❣️
eunjin9**|두꺼운데도 가벼워요 가벼운데도 따뜻해요완전 매직^~^아모튼! 사진으로 보시는 것과 같이 예뻐요목과 소매 물결 포인트도 예쁘고 짱짱해요
eunjin9**|색상은 화면이랑 똑같아요 핏이 낙낙한데도 여리여리해보이고 어두운하의, 밝은하의 둘다 어울려요 보들보들하고 두꺼운데도 가벼워요
kahee**|아무대나 입기 딱 좋아요 ㅎㅎㅎ 사도 후회 없으실거에요 ㅎㅎ 꼭 사세요~ 무늬도 이뻐요 ㅎㅎ
zzxx18**|옷 진짜 얇아요! 봄, 여름에 많이 입어야겠어용ㅎㅎ 배송도 빠르고 옷도 너무 예뻐요! 잘입겠습니당!
zzxx18**|배송 진짜 빨라요.. 짱.. 제가 통통한 편인데 날씬해 보여요! 단추 잠글 때 살짝 걸리는건 불편하지만 옷이 예쁘니까 감수할게용ㅎㅎ 잘입겠습니당!
hsy67**|떡볶이 코트 너무 예뻐요 !! 귀여워요 !! 옷을 4개나 시켰는데 2일만에 배송왔어요 ㅠㅠ 감동입니다,, 일단 코트를 입어본게 처음인데 사길 잘한거같아요 키가 작아서 롱코트는 감당이 안돼서 떡볶이 코트를 시켰는데 핏 너무 귀엽고 길이도 저한텐 딱좋았어요 ! 품이 넉넉해서 안에 후드티나 다른 옷 껴입을 수 있어서 한겨울만 아니면 입을수 있을거 같아요 배송받자마자 옷에 주름이 많이있어서 세탁소에서 드라이하거나 다리미 사용 가능하면 다리미질해서 입어야겠다고 생각했어요 ㅠ 그래도 진짜 넘 예뻐요 베이지색 짱짱 딱 베이지색이에요 사진그대로 !! 제 첫 코트 구매 성공입니다 ♡
ggoeu**|레이스가 예뻐서 깜짝 놀랐어요!! 근데 딱 달라붙는 티일줄 알았는데 몸쪽이 여유로웠어요~!! 참고하세요 ㅎㅎ
rutc10**|롱코트 이뻐요 조금 얇은감이 없지않아있긴하지만 예뻐요 놀러갈땨입었더니 굿굿 많이파시고 많이사에여 ㅎㅅㅎ
dnwjd07**|예뻐요! 화면그대로입니다~ 깔끔 단정한옷 찾으시는 분들 추천드립니다@옷이 입어야할 날까지 안올까봐 걱정했는데 부분배송으로 먼저 받아서 좋았어요~
hsy67**|일단 되게 만족하고요 ! 코트랑 치마,티셔츠 같이 시켰는데 2일만에 배송이 와서 너무 좋았어요 제가 키도 작고 마른편이라 옷이 크지 않을까 생각했는데 입어보니 크긴하지만 큰게 예쁘더라구요 ,, 귀엽게 보이는거 같아요 ! 길이는 무릎 조금 위에요 뒤에서 보면 무릎보다 길어요 ㅠ ㅠ 저는 길이만 줄여서 입으려구요 이제 고고싱에서 많이 구매할거 같아요 ♡
qksel3**|사진에 속치마가 짧아서 걱정했는데 속치마가 길더라고요 그래서 더 좋았어요생각보다 허리통이 여유가 많이있어요 가격도 저렴하고 봄이랑 가을에 입으면 너무 좋을것같네요
cri**|사진으로는 앞의 트인 부분이 어디까지인지 잘 안 보여서 살짝 걱정했어요. 그런데 실제로 입어보니 걸어다닐 때는 다리 속이 보이진 않는데 걷거나 앉을 때 편해서 좋아요! 재질도 부드럽습니당
wldus77**|만져지는 질감이 골덴이라서 골덴성애자인 저는 너무너무 좋아구여 안에 폴라랑 같이 입어두 예쁘고 따로 입어두 여성스러워보여요ㅠㅠ 진짜 예쁩니당
cri**|예상한대로 편하고 좋습니당 다만 다른분들이 말했듯이 먼지가 잘 붙고 좀 약한? 재질인 건 맞네요ㅠ 그래도 편한 복장으로 입고 다니기 좋아요.
minje96**|잠옷 입고 찍느라 사진이 엉망이지만 평소에 허리 27-28정도 입는데 하비라서 그런지 입을 때 약간 타이트하고 골반에서 조금 막혔어요,,,그래서 사이즈 크게 다시 구매 하려구요! 신축성이 없어서 좀입을 때 좀 불편했는데 저랑 비슷한 체형이신 분들은 L구매 하세욤... 바지가 너무 예뻐서 포기를 할 수가 없슴다 M을 다이어트 해서 걍 입을까 했지만 편한게 최고니까요 사이즈만 맞게 시킨시다면 레알 인생바지 될듯요
708045982**|F사이즈는 혹시나 작을거 같아서 L사이즈로 구매했더니 딱 맞아요평소 바지 29정도 입어요H라인 치마만 줄곧 입다가 도전했는데생각보다 날씬해보이고 너무 예뻐요다른 디자인도 나오면 구매할께요♡
yy09**|일단 엄청커요 엄청엄청 커요 남자가 입어도 클것같아욬ㅋㅋㅋㅋㅋ근데 밑에를 넣어입으면 여리여리해집니당ㄹㄹ그게 장점!
yy09**|짱 예쁩니다!! 냄새가 조금나고 진주 단추가 입자마자 떨어졌지만..다시 끼우면되요! 남사친이 할머니같다고 했는데 아닙니다 짱예뻐요..
yy09**|치마바지라서 너무 편하구 라인을 잘 잡아줘서 정말 예뻐요! 다만 허리가 고무줄이 아니어서 사이즈가 조금 다를경우 좀 남거나 낄수도 있을것같아요
gahee06**|넉넉하고 좋아요 ㅎㅎ
koo67**|기본템! 적당한 발목길이의 정말기본템인 양말 교복에 막신으려고 두개샀어용
koo67**|입어봤을때 치마가 뒤에 밴딩인지라 옆모습이 별로 이쁘진않았어요 엄청 부해보이는 느낌..? 제가 키가작은데 치마길이는 적당했고 위에 셔츠?남방은 생각보다 겨울느낌많이나는 두꺼운재질이였고 맨살에입으면 까슬까슬한느낌이 좀 없지않아있어요 안에 이너티나 입고 입으시는거 추천할께요 아니면 나시나! 두개같이입었을때도 괜찮고 따로따로 다른코디해서도 입어봤는데 상당히 괜찮더라구요 자주 입을꺼같아요 잘입겠습니다!
104758348**|제가 통통한편이라 사이즈가 안맞을까봐 걱정했었는데 다행히 맞았어요 저는 다음날 바로왔고 완전 추천합ㄴ다
koo67**|바지 걍 대박임 저한테는 길이감이 조금 짧았는데 완전편하고 허리사이즈도 괜찮았고 정말 혁명이예요...ㅠㅠㅠㅠㅜㅠ사길 너무나 잘한듯 키가작아서 맨날 수선하고 수선비들고 그랬는데 이바지는 수선도 필요없이 너무좋아요ㅠㅠㅠㅠ검정색스키니도 155버전 나왔으면좋겠어요 정말..차아리 155사이즈 바지를 따로 만들어줬으면 진짜 너무너무 대만족입니다! 고마워요 고고싱! 배송도 최대한 맞춰달라한 기간에 맞춰서 보내주시고 너무감사해영
koo67**|아직신어보진않았는데 기본템이라 두개 사놨습니다! 잘신을께용
infinite1**|약간 펑퍼짐패보이는건 있어요ㅠㅜ 하지만 저렴한 가격에 구매한거같아 만족중입니다 엄청 얇고 그렇진 않아요
gkssk57**|화이트 셔츠를 찾고 있었는데 무난하면서도 소매에 포인트가 있어서 정말 이쁜거같아요! 박시한 스타일이여서 스타일리쉬 하게 연출도 가능해서 정말 가성비 최고로 산거 같습니다! 포인트는 진짜 소매예요! 존예><
infinite1**|쫀쫀하구 코디하기도 불편하지않고 모든옷에 잘 어울리고 좋은거같아요~!질 안 좋고 그렇지도 않고 디자인도 너무 마음에들고 따듯합니다
gkssk57**|너무 이뻐요! 배송도 재고 지연됬는데도 굉장히 빨리왔네요! 같은 가방이라도 고고싱이 더 싸고 가방도 튼튼해요! 어디든 잘어울려요!! 역시 믿고 사는 고고싱 입니다~^^
ekzndpsw**|오자마자 다음날 입어봤어요ㅋㅋㅋ모델 언니처럼 저런식으로 목부분을 살짝 벌렸어야 했는데 너무 꽉 당기구 입고 다녔네요 어쨋든 옷자체는 이쁩니당 치마도 바지도 무리없이 아무곳이나 어울릴듯해요 러블리해보이기도 하고요 추천합니당
ekzndpsw**|일단은 분명 이쁠꺼같아서 주문했어요 무난하기도 하고요 그런데 역시!! 괜찮네요 두깨는 사실 그렇게 두껍지않아요 근데 원피스나 얇은 옷에 겹쳐입기 좋고 일단 뚱뚱해보이지 않아요 그래서 좋네요 촤라락 떨어지는 느낌이라 꼭사세요 추천합니당
thdla73**|정말 앉았다 일어나기 너무너무 편해서 최고에요 색깔도 예쁘게 검정색으로 딱 좋고 발목도 헐렁 하지 않고 딱 쪼여서 너무 좋아요제일 좋은건 앉았다 일어나기 너무 편하고 허리까지 있는 스판이 너무너무 좋아요 최고입니다
52417796**|색감이랑 핏 화면이랑 그냥 똑같아요 맘에듭니당 두꺼운 소재가 아니라 입었을때 전혀 부해보이지 않았어요!
qoi75**|이뿝니다 청바지랑 잘 어울리고 아이보리라서 깔끔해보여요 치마랑 입어도 잘 어울릴것 같습니다 팔길이도 딱 맞아서 불편하지 않아요
52417796**|털이 빈약하고 싼티날까봐 걱정했는데 너무 귀엽고 고급스러워보여요 털빠지면 어쩌나 했는데 생각보다 안그래요 아직 세탁을 안해봐서 그런진 모르겠지만 다른옷에 묻어나지 않았어요! 소매부분이 벌룬형식으로 되어있고 주름이 잡혀있는데 그게 너무 귀여워요ㅠㅠㅜ 안쪽이 까끌까끌하다고했는데 전 맨살에 입어도 괜찮았어요 너무 예민하신 분만 아니면 괜찮을듯해요 부해보이는건 옷 특성상 어쩔수 없는부분인거같구 슬림한 하의랑 입으면 괜찮아용 제일 기대 안하고 산건데 제일 만족스러워요 굿이에여
52417796**|베이지라기보다는 코코아색같은 연한 회갈색 느낌이에요!크기가 생각보다 작다고 생각했는데 핸드폰 파우치지갑 다 넣고도 남네용 들어갈거 다 들어가는 딱좋은 사이즈에요 손잡이가 좀 싼티나는거같아서 아쉬운데 보다보니까 나름 괜찮아요 특이하고 귀여워요~~
looee**|꼭 사세요 후회안합니다. 택배 상자 뜯자마자 넘 예뻐서 놀랬습니다 원피스에 입으면 더 이쁠것같네요
looee**|와 실물 존예입니다. 제가 살짝 통통한편인데 날씬한 분들이 입으면 더 예쁠것같네요 ^^ 암튼 잘입을게요
looee**|봄에 입을려고산건뎅 배송도빠르고  너무예쁩니다 ^^ 하객룩으로도 딱이에요  잘 입고다닐게요
57478831**|너무 이뻐요 v넥인것두 마음에 들고 목부분 디자인도 너무 예뻐서 반해서 샀네여 근데 사시려는분들 주의하세요 보풀이 진짜 잘 일어날거같은 소재입니다 안쪽이 좀 지저분하네여 근데 너무 이뻐 흐헙 ㅜㅜㅜ
orange13**|니트랑 가디건이 세트라서 정말 실용적인것같아요!!니트품도 넉넉해서 웬만한 사이즈는 다 커버할것같아요! 어느정도두께도 있고 무엇보다도 색이 진짜 부드러운 느낌을 주는 색이라서뭔가 더 청순해 보이더라구요! 코디대로 샀는데 적극 추천이에요ㅠㅠ남자친구한테 예쁘다고 칭찬받았어요!! 다른색상도 사고싶어요♥️
shvv1**|엄청 얇을까봐 걱정했는데 생각보다 괜찮네요~재질도 부드럽고 핏도 예뻐요 ㅎㅎㅎ데일리로 자주 입을듯 합니당
shvv1**|치마랑 입으려고 검은스타킹 샀어요보통 싸구려스타킹보다 쫀쫀튼튼하고, 두툼한데 다리 얇아보여서 좋아요~
57478831**|V넥니트*다른 고객분들이 구매하실 때 참고할 수 있게 아래사항 좀 기재해주세요 ^^- 키 168, 몸무게 65-착용사이즈 free-착용 후 느낌은?(좋은점/나쁜점)예뻐요 목부분이 너무 마음에 들어서 샀는데 생각대로 진짜 예뻐요 근데 보풀일어날게 걱정이네요 치마에 코디해서 입었는데 세상 존예ㅜㅜㅜㅜ
orange13**|정말 너무 예뻐요ㅠㅠㅠㅠ 분홍색 스커트라 사면서 실물이 내가봤던 색상이랑 다르면 어쩌지 걱정하면서 샀는데 치마 보자마자 그런생각 다 사라졌구요날씬해보이는것같기도해요! 남자친구가 원래 옷평가 잘안하는데이치마 보고 진짜 예쁘다고 칭찬해줬어요ㅎㅎㅎ 빨리 벚꽃피기만 기다리는중이에요!! 이거입고가야지ㅠㅜ 핑크색상 꼭사세요!
tjsals50**|터틀넥이라서 너무따시고좋아요근데 부풀일어나는게 장난아니예요ㅜㅜ옆부분이 잘려?있는뎌 그부분이커서허벅지가 너무잘보인다는점만빼먼좋아요
shvv1**|그냥 브라운 코트랑 다른 코코아색 코트!! 색감 굿울 함류량도 높아서 따뜻하고, 핏이 딱 맞게 잘나왔어여재질이 약간 까슬까슬하긴한데 크게 신경 쓰일 정도는 아니에요~
shvv1**|목이 답답하다는 후기보고 걱정했는데입어보니까 재질이 부드러워서 그런지 하나도 안답답하고목을 포근하게 감싸줘서 넘 좋아요ㅠㅠ완전 딥브라운색이라서 완전 예쁨..
cutyd**|입자마자 단추떨어짐;; 옷도 적당히 오버핏이여야 이쁜데 너무 어벙해서 뒤에도 뜨고 이상함ㅠㅠ
cutyd**|진짜 핏 개이쁩니다 사이즈도 딱맞고 쫀쫀하고 근데 지금입기엔 얇고 봄에입어야될둣........
apple09**|허리 28입고 골반쫌있눈데요 넘쫑겨서 환불해써여ㅠㅠ
show85**|오버사이즈인건 알고 있었지만 어마어마하게 커요. 통통한 남자가 입어도 될정도로 ㅋㅋㅋ 색상은 어마어마하게 예쁘고 박시한 후드티에 가볍게 입으면 귀여울것 같아요. 안에 엄청 큰거 입으셔도 티도 안나요. 역시 오버사이즈는 어려워요 8ㅅ8...
dbwls7942**|가격대비 완전 만족입니다! 다른색상 하나 더시키려구요기본이라 좋아요 160에엉덩이반까지오고아주얇지도 두껍지도 않아서 좋네용!
dbwls7942**|이거진짜이뻐용ㅎㅎㅎ색상은 와인색에조금가까운것같고키160인데 종아리중간까지와여니트에입음 더이뻐용ㅎㅎ
eundi**|굉장히 부드럽고 추운 날씨에 안에 입고 다니면 정말 따뜻할듯합니다. 색도 하얀색으로 사서 그런지 더 하얀거같아요
eundi**|처음에는 구김이 있어서 조금 당황스러웠는데 잘 빨면 구김이 없을 것 같더라구요 그래서 잘 입고 다닙니다.
sas17**|레이어드 목걸이가 갖고 싶어서 계속 찾아보다가 3개가 분리도 되고 디자인도 심플해서 맘에들어서 바로 구매했어용! 가격에비해 활용도도 높고 너무 만족합니다!
sas17**|기존에 위메프나 11번가에서 자주 나시를 시켰는데 그상품들보다 훨씬짱짱하고 ㅂ부드럽고 좋네요. 위에 넥라인이 둥글지않아서 맘에들어요!
85999473**|진짜 이뻐요!!겉기모라고 써있긴한데 두껍지않구요 두께가 그냥 얇은면티정도에요!제키가 167인데 엉덩이 다가리구요 박시해서 진짜 원하시던걸꺼에요!  색깔은 모델분이 입으신 색이랑 똑같았구요!재질은 부드러워요!!다른 쇼핑앱에서 이런 체크셔츠 찾아보시면 다품절이었는데ㅠ고고싱에서!! 진짜 이것도 무조건 품절될것같네요 빨리쟁겨두세요!진짜 전 만족합니다 사랑해요 고고싱♡
dlrkfla**|이뻐여. 이쁜데 언제 입고나갈까여ㅜㅜㅜ 옷두께는 은근 두껍고좋아여 다른후기처럼단추는불안한데그래도핏이좋아서굳
you04**|바지가 너무편하고날씬해보여요색도 예쁘고 무난해서 어디에도잘어울려요강추입니다 완전..!
neworld9**|목이 따가울줄알았는데 레이스가 생각보다 부드럽구여~ 디자인도 너무 아름답네요. 근데 팔이 왜케 긴지...ㅠㅠ 그냥 입으면 제 팔보다 길어서 고무줄 있는 부분을 사용해서 올려서 입으니 괜찮아요~
jjho12**|치마 검정색 샀는데용 처음에만 구겨져서 오지 세탁하시고 입으시면 딱 이쁘게 모양 잡혀요ㅎㅎ캐주얼하게 입으실때 좋은거같아요!!추천해요~
neworld9**|역시 너~~무 예뻐요. 키가 작은 제가 입어도 길이도 적당히 롱원피스로 입을수있구요~ 조끼랑 입어도 이쁘고 원피스만 입어도 예쁘네요^^ 배송도 빠름빠름빠름!! 아주만족해유
naeun1**|생각보다 정말로 괜찮았어요 길이도 적당했고 허리도 괜찮았고 아쉬운게 있다면 밑단?? 그래도 만족합니다
naeun1**|분명히 이상품 라운드로 주문했습니다 브이넥 니트가 왔어요 하나 사려던터라 반품은 안했지만 많이 당황스러웠습니다..
mmww34**|기본티라 아무데나 입기 좋을거 같아요 여기저기 잘입을께용
mmww34**|딱 검정검정한 티라 집에서도 입기좋을거 같아요
lhe11**|무난하게 신을 양말이 필요하신분들은 모두 이 양말을 사세욧!!깔끔하게 신으려고 화이트색상을 샀는데 기본템이라 아무옷에나 잘 어울려용기장도 발목을 덮어줘서 좋아요 천원에 이정도면 개이득인것같슴다!
rhr**|블라우스 천이 너무 얇아서 초여름까지도 입을 수 있을거같아요. 지금 입었다가는 얼어죽을것 같은.. 안에 나시도 입어야 했습니다.리본이랑 같이해서 입었을때 너무 이뻤습니다. 저는 리본 떼고 그냥 입었을땐 조금 별로라고 생각됐어요. 그래도 배송이 빨리와서 좋았어요 이쁘게 입을게요!
rhr**|노란색이랑 베이지색을 샀는데 둘다 너무 마음에 들어요!  부들부들하지만 조금 짧은 느낌은 있어요. 색감은 노란색이 병아리처럼 너무 귀여웠습니다. 배송도 매우빨랐어요! 이쁘게 입을게요.
lhe11**|니트가 아주 도톰해서 입으면 따뜻해오디자인도 귀엽고 바닐라색이라 살짝 누렇지 않을까(? 하고 걱정했는데 병아리색같이 되게 예뻐서 좋았어욤다만 기장이 짧고 도톰하다보니 옷이 살짝 무거운 것 같아요!너무 예뻐서 봄에 잘 입고 다닐 것 같습니당 감사해오
lhe11**|생각했던것처럼 예뻤고 저는 할인할 때 2만원대로 샀었는데 저렴한 가격에 퀄리티도 좋았어용안에 누빔이 있긴하지만 지금 입기엔 좀 무리인 것 같아서 날씨 좀 풀리면 입고 다닐 것 같아요다만 길이가 좀만 더 길고 품이 좀 넉넉했으면 더 좋았을 것 같다라는 아쉬움이 있네요ㅠㅠ그치만 너무너무 예쁘니깐 네.... 사세요..
soonjong**|우선 배송은 빨랐구요 입어보니  이쁘네요 더날씬해보이고 봄에 입으면 딱일거같네요 기장이 발목정도 내려와요
hanaw**|일단은 무엇보다도 배송이 빨라서 좋았어용!! 10000원대라서 아 뭐 그냥 싼맛에 코트 하나 사보자 이러고 지른거라 별 기대는 안했는데 생각했던 것 보다 이쁘다고 생각해요! 통이 조금 크긴한데 이뻐요, 그래도 가격대 있는 코트와는 좀 다르긴하니까 질 좋고 두껍고 따뜻한거 사실 분들은 생각하시고 사시면 좋겠어요!! 짱이에용
emilypark**|너무너무 예뻐요~~ 치마나 바지랑 코디하니 너무 귀엽고 예쁘네요~~
emilypark**|바지 정말...진짜..너무너무 예뻐요ㅜㅠㅠㅜㅜㅜㅜㅜ 진짜 봄에 입을라고 미리 샀는데 참지 못하고 추운 날씨에 입고 나갔어요ㅜㅠㅠ그래도 예쁘니깐!! 넘넘 예뻐요~~
