kiu26**|괜찮은 옷이고 무난해요~^^ 폼도 적당해서 다른색도 살까 고민중이에요^^~ 근데 베이지색은 약간 어정쩡함
kiu26**|조금 많이 얇아요ㅎㅎㅎㅎ 그래서 이바지는 잘 안입게 되더라구여~~~ 참고하시고 그냥 몇천원 더 주고 다른바지 사세용^^
kiu26**|진짜 인생바지ㅎㅎ 허리부분이 조금 짧아서 불편하긴하지만 이가격에 이정도면 예쁘게 입을수 있을거 같아요
kiu26**|진짜 세상세상 이런 귀요미가ㅠㅜ 넘 귀엽고 폼실폼실 거려요ㅎㅎ 곧 봄이지만 들고다녀도 부담없을듯!
kiu26**|매일매일 입고다닙니당ㅋㅋㅋ진짜 넘 효율갑이에용 늘어나긴하는데 또 사면되죠^^~~~~~~ 넘좋아용
lsj28**|생각보다 줄이 넓다고해야하나.. 잔줄인줄 알았는데 잔줄이 아니었어요 ㅋㅋ ㄱ모델이 입은거랑 그래서 첨엔 다른중 알았는데 뭐이것도 이거나름 예뻐요 잘입을게요
kiu26**|약간 크긴한데 크라고 산거니까 만족해요^^~너무따뜻하고 좋네요ㅎㅎ 다른색으로 또구매하고 싶어용
lsj28**|그냥 기본 셔츠에요 안에 이너로 입으려구요 ㅎㅎ 적당한 기본 셔츠라 편해요 잘입을게요~~ㅎㅎ
kiu26**|기대안하구 샀는뎅 넘넘좋아요~~ 촤르르~떨어지는것도 좋고 살짝 비치는건 어쩔수없지만 넘넘 만족합니당^^
40699881**|사진그대로 실물도 아주 예뻐요 아직 신고 나가보진않았지만 날씨 조금 더 풀리면 신고나가보려구요
40699881**|너무 마음에들어요 v라인이라 더 날씬해보이는느낌? 쇄골이 슬쩍보여서 그런가? 여튼 이쁘네요ㅎㅎ
fnwjdfl**|너무 여성스럽고 예쁜 가디건이에요!! 다른 후기들보면 진주단추가 헐렁거려서 불안하다고 하는데, 저는 괜찮더라구요! 단추가 진주라서 그런지 더 예쁜것같아요~ 날씨 좀만 더 풀리면 이것만 입을 것 같아요 ㅎㅎ
dkdus42**|계속 시키던거만 시키게 되네용 잘 안늘어나서 좋아용하얀색도 아이보리 아니고 아예 하얀색이라서 좋네용깜장양말로는 최고에옹
jiwonderf**|예뻐요 ! 사실 같이 코디된 원피스 안에 입으려고 기대 안하고 샀는데 생각보다 되게 예쁘고 소재도 탄탄해서 너무 마음에 들어요 ~
lynn03**|친구들이랑 놀러가기로 했는데 옷이없어서 급하게 당일발송을 찾다가 발견했어요 당일발송이여서 역시 정말빠른배송이였고 색은 사진과 똑같아요! 목부분도 부드럽고 사이즈도 크지않고 적당해요! 예쁘게 잘입고있습니다ㅎㅎ
81059296**|이 옷은 굉장히 프릴이 로맨틱하면서 단추가 고급진 블라우스에요.원단도 실키하면서 부드럽고 리본이 탈부착이되서 리본 싫어하시는분들은 떼서 입으셔도 예뻐요! 어떤치마에도 굉장히 어울리고 봄에 벚꽃 폈을때 입어도 예쁠거 같아요
bakg**|이런 무난한 티 찾고있었는데 있어서 샀어요 다른 색도 살까 생각중이에요 코디 잘해서 많이 입으려구여
bakg**|생각보다 이뻐서 좋았어요. 무난해서 코디 아무이렇게나 해도 이쁠것같네요 봄에 입기 좋을 것같아여
bakg**|이거 이뻐요 ! 다들 사세요 연청 색 너무이쁘고 봄이나 여름에 잘 입을 수 있을것같네요 잘 산 것같아여
bakg**|색깔은 이쁜데 생각보다 스판끼가 별로 없었어요ㅠㅠ 그래도 색 이쁘니 만족해용 길이도 적당해요
bakg**|이 바지 진짜 이쁜 것 같아요! 길이도 딱 적당하고 스판끼 많아서 입기도 편해요ㅠㅠ 중청이라 색도 무난해서 많이 입을 것 같아용
wjddls051**|음..블랙은 ㄱㅊ은데 화이트티 앞면에 약간 노란얼룩?이있더라고요 빨래해도 안없어지긴 하던데 그냥 입으려고요 그위에 뭐입으려고 산거니까..요즘따라 움..고고싱..잘모르궷숴요
davel**|가격도 싼편이고 딱 찾던 컬러라서 고민 없이 샀고, 사실 기대는 크게 안 했는데 기대 이상으로 핏도 잘 나오고 색도 사진이랑 별반 다를 게 없어서 더더욱 만족했어요! 티 총장이 소매에 비해 짧은 것 같기도 하지만 아 짧다 라는 느낌은 안 들고 적당해요 예뻐요! 추천추천!
lkjhsdf04**|블라우스 여리여리해보임!!! 이쁜거 인정합니다~ 봄에 입으면 이쁠꺼 같아서 샀어요~되게 소재가 얇고 시원한 재질같아요
shlee**|가성비 짱짱이에요~!! 다리 두꺼운거 보완도 되고 엄청 편하구요!!키 작은데 길이도 괜찮아요 차콜색도 사고싶은데 입고예정없나요?ㅠㅠㅠ
wjddls051**|기본티로 입으려고 샀습니다 사이즈도 괜찮고 딱 예쁘네요잘입겠습니다~!~!~!!!개강하고 엄청입을것같아요!!
wjddls051**|색깔 오질나게 예뻐요 약간봄인데 칟칙한색샀다고 엄마가 뭐라하시지만 조녜입니다~!~!~!!!핏도예쁘고 다들예쁘니 구매하세여
wjddls051**|저는...이바지를 빨면 안됫었나봐요..건조기 사용해도 안쭐어들줄알고 그냥 건조기에 넣었는데 28사이즈가 아닌게 되버렸어요,,와서 딱한번입어보고 바로 빨래통넣었는데...하아,,,건조기 사용안된다는거 알려주시ㅈ....쥬륵..
wjddls051**|색깔도 소라색인게 예쁘고 박시한게 증말 좋네여!!!!팔길이도 적당하고 소재도 정말좋습니다 아주조아여 다들사세여
wjddls051**|길이도 적당하고 증말 너무너무너무예뻐요!!!치마바지여서 편하게 입을 수 있을것같고 개강하면 주구장창 입고다니려고합니다 추천드려요!!
wjddks11**|생각보다 길이감이 길줄 알았는데 딱 핏이 맞구요 통도 엄청 큰 바지가 아니라서 롱코트에 입으니깐 너무예쁘드라구요~꼭 사세요
yjroh**|크긴크지만 핏도 좋은편이고 출퇴근용으로 간단하게 입기에 좋네요 ~ 요즘같은 날씨에 입기 딱 좋은것같네요 ^^
jin5**|모델분처럼 원피스에 레이어드하려고 샀어요. 아이보리 계열 나시 원피스랑 잘 어울려요. 물론 단독으로 입어도 이쁠 것 같아요. 색감이 너무 어두운 갈색이 아니라서 차분하고 예뻐요. 데일리로 입기 좋은 무난한 옷이에요.
jin5**|노란옷을 평소에도 좋아해서 기본티 느낌의 티를 사봤어요. 슬림한 핏은 아니고 살짝 여유있는 핏이에요. 쨍한 노란색은 아니고 노란색과 머스타드 중간 정도의 색이에요. 살짝 차분해서 부담없이 입기 좋고 청색 계열의 하의랑 너무 잘 어울려요! 그래서 자주 입게 될 것 같아요!
sally0**|진짜 진짜 진짜예뻐요 소매 접는부분도예쁘고 특히 진주단추가 짱!! 고민하시고 계시면 그냥 사세요ㅠㅠㅠㅠ
park12**|운동화 너무 가볍고 디자인도 이쁘고너무 맘에들어요깊이도 조금 있어 살짝안에 깔창 넣어도 되네요사이즈는 정사이즈고 이뻐요
sally0**|이런 셔츠사고싶어서 다른데 많이돌아다니면서 찾아봤는데 여기가 제일예뻐요 진짜후회 절대안해요
jin5**|모델샷처럼 사실 아이보리 느낌의 베이지 색상은 아니에요. 실제로는 연베이지 느낌에 더 가까워요. 밝은 색상이지만 비침은 거의 없어요. 예전부터 찾던 디자인이라서 고민 많이 안해보고 샀는데 후회 안해요. 치마도 밴딩에 길이가 안 짧아서 좋고 딱 붙는 핏이 맘에 들어요. 니트 상의도 다른 하의랑 매치해서 입어도 예쁠 것 같아요. 추가적으로 팔 길이가 많이 긴 편이라서 접어 입어야 할 것 같아요. 그 외에 불편한 점은 없었어요. 넘 예뻐요~~
aisrmsjo**|디자인 자체는 예뻐요! 근데 흰색인거 감안해도 좀 많이 비치는 편인거 참고해서 사셔야 할 거 같네요ㅜ
park12**|보자마자 너무 이뻐서 주문했는데 진짜 이뻐요^^베이지도 주문할려는데 품절이네요길이감도 색상도 똑같아요  맘에드네용
jin5**|어두운 색의 블라우스가 필요해서 찾다가 모델샷 보고 예뻐서 사게 됐어요. 사실 가격이 저렴해서 딱히 기대 안했는데 생각보다 정말 맘에 들었던 블라우스예요. 재질은 예상대로 얇은 재질이었는데 원래 얇은 걸 선호해서 맘에 들었어요. 푸른 빛이 많이 도는 네이비 색상이 아니라 블랙같은 네이비여서 코디하기도 편해요. 소매 부분이 많이 트여있어서 생활할 때 조금 조심해야 할 것 같긴 해요. 근데 리본 부분도 그렇고 전체적으로 하늘하늘하고 예뻐서 만족스러워요!
jin5**|실제로는 아이보리같진 않고 그냥 화이트 색상같아요. 그래도 기본템으로 입으려고 블랙, 아이보리로 샀는데 자주 입게 될 것 같아요. 슬림한 핏이라서 넘 맘에 들어요. 코디하기도 너무 편하고 얇아서 초여름까지도 입을 수 있을 듯해요.
jin5**|그냥 딱 원했던 핏이에요. 슬림하고 기장도 너무 길지 않아요. 스판은 짱짱한데 살짝 잘 늘어날 것 같기도 해요. 그래도 기본템이라고 생각해요. 원피스랑 레이어드하거나 그냥 여기저기 막 입기 좋을 것 같아서 샀는데 맘에 들어요!
jin5**|실제 색감은 모델샷보다 살짝 어두워요. 밟은 핑크보단 차분한 인디핑크 느낌이고 살짝 보랏빛도 보여요. 얇지도 두껍지도 않아서 봄, 가을철에 입기 딱 좋아요. 모델분처럼 이것만 입거나 겉에 걸쳐 입기도 좋을 듯해요. 팔 부분은 접어 입는게 훨씬 예뻐요! 치마, 청바지 등 이것저것 코디하기도 좋아요. 날 풀리면 자주 입을 것 같아요~
pjeun**|진짜 이건 핏이 너무 예뻐요ㅜㅜ 사이즈가 없어서 살까말까 고민하다가 샀는데 괜찮은거같아요. 진짜 존예핏 맞습니다
pjeun**|너무 예뻐요 조금 겉보기엔 작은가 같은데 생각보다 많이 들어가서 너무 좋았어요. 그리고 블랙색상을 사서 심플해보이고 진짜 예뻐요
pjeun**|너무 편하고 좋아요! 길이가 길어서 줄이긴 했지만 만족스럽습니다. 접어서 입어도 이쁜것같아요. 잘산거같아요. 다음엔 다른 색상도 구매해 볼까합니다
ksh0401**|음 저는 약간 허벅지쪽은 스키니하면서 종아리 부분은 일자핏인 바지를 원했는데 이건 허벅지부터 완전 통바지더라구요ㅜㅜ 그래도 못입을 정도는 아닌데 입으려면 쪼끔 용기가 필요할 것 같아요 ㅎㅎ 저같은 핏 원하시는분들은 이바지말고 다른바지 사시는게 좋을것같아요 그래도 질은 좋아요
pjeun**|색깔도 사진이랑 같고 어디에 입어도 무난하게 잘어울리고 추천드립니다!! 요즘 자주입고있는 옷입니다
726873279**|옷이 너무 예뻐서 주문했는데 입으니까 더 이뻐요 ㅠㅠ
starf**|이쁜데 화면의 코랄분홍빛보다 더 탁하고 어두운색이에요. 구매하실분은 감안하고 사세요! 밝다기보다는 빈티지한 색감입니다.
726873279**|입어보니까 핏이 너무 예뻐요 ㅠㅠ 잘산것같아요!! 배송도 너무 빠르고 좋아요
jin5**|키가 작은 편이어서 안접고 입어도 되는 길이가 가장 맘에 들었어요! 또 길이가 맞아도 허리 사이즈가 너무 커서 따로 수선해야 했던 바지가 많았는데 이건 허리 사이즈도 줄일 필요없어서 넘넘 좋아요. 스판도 짱짱해서 앉거나 움직일 때 전혀 안 불편하고 봄, 여름에도 자주 입을 것 같아요!! 다른 색상도 있으면 사고 싶을 정도로 맘에 들고 핏도 예뻐요~ 참고로 재질은 좀 얇은 편이고 색상도 화면이랑 비슷해요!
bd06**|항상 청바지를 사고 싶은데 고고싱에서 처음 청바지를 사고.                                                                    좋아서 다룬 바지를 구매하였는데 배송을 받아 입어보니무척 마음에 들었어요 ~~^^ 늘 주문을 하면 한번도 후회한적이 없어요밑에 조금 접어서 입으니 예쁘고 편해서 좋아요
bd06**|단가라 티의 옷 중에 무난하면서 어느 바지나 밑에 아무거나 입어서                                          어울릴 만한 티를 찾고 있었는데 딱 요기 이쁜 티를 발견해서 배송을 받으니.                      너무 예뻐요 ~~ 배송도 빠르게 오고 좋습니다
bd06**|늘 항상 고고싱을 믿고 사는데 역시 너무 예뻐요 ~~^^색깔도 진하지 않고 딱 좋아하는 색이에요 !!^^박시한 스타일의 옷을 좋아하는데 티가 몸에 딱 붙지도 않고 헐렁 하니너무 예쁘고 좋아요 다른 분들도 사시면 후회하지 않고역시 잘 삿구나 할 정도랍니다 ~~~~~
christar**|진짜 고민많이 하다가 산 블라우스인데 진짜 잘산거 같아요-!봄에 입을 꽃블라우스인디 빈티지함이 느껴지는거 사고싶었는데 완전 좋은거 같아요ㅎㅎ 레이스가 잘 안어울리는 몸?인데도 진짜 입으면 안어울릴수가 없는 옷이에요!!!! 단점은 옷입을때 목부분이 좀 좁아서 쪼끔 힘들다는정도?리본달린거 앞으로 해서 입어도 되지만 뒤로 리본묶어서 입는것도 진짜 이쁩니다....이제 3월이고 봄이니깐 밑에 어떤옷을 입고 입어도 다 잘어울릴거 같습니다 고민중이신 분들은 꼭사세요!!!!
ehgus57**|예뻐요 날씨풀리고입으면 될거같아요!
christar**|옷 배송오고 나서 입을 일이 없었다가 오늘 겨우입었네요-!진짜 너무너무 이쁜 니트에요ㅠㅠ안에다가 뭘입어도 포근해보이고 핏도 박시핏인데 딱적당합니다ㅎㅎ뭔가 부한 박시핏이 아니라 형태가 잡혀져 있는? 그런 박시핏이어서 어느옷이나 밑에 입어도 잘어울립니다ㅎㅎ색깔도 너무 하연색이 아니라서 오히려 거 마음에 들었어요제가 팔이 엄청긴편이라서 팔은 딱맞거나 조금 짧은 감이 없지않아 있기는 한데 괜찮아요!!! 고민중이신 분들은 어서 구매하세요!!!!!
tndla777**|굿ㅎㅎㅎ무난하니 집에서 편하게입을수있을것같네요배송부분배송으로빠른처리해주셔서감사합니다~^^앞으로두많이애용할께요ㅎㅎㅎ
tndla777**|굿ㅎㅎㅎ무난하니 집에서 편하게입을수있을것같네요배송부분배송으로빠른처리해주셔서감사합니다~^^앞으로두많이애용할께요ㅎ 굿굿
tndla777**|너무이뻐요ㅎㅎ부분배송으로빠른처리해주셔서감사하고날씨따해지면빨리입고어디놀러가고싶네요ㅎㅎ앞으로도많이애용할께요감사해요~^^
29399607**|저는 베이지색상을 구매했는데 체크무늬와 색상은 정말 예쁘네요 봄이랑 가을에 입으면 딱 일것같아요 팔통이 크다는 후기가 많았는데 저는 괜찮았어요!! 하지만 단점이있다면 실밥정리?ㅠㅠㅠ 실밥이정말 많이나오더라구요 잘못자르면 옷이 망가질까봐 좀 무섭긴한데 그래도 교환보단 정리해서 입으려구요 얼른 날씨 풀려서 입고싶습니당!
ndb**|진짜 1위 인만큼 최고로 이뻐용 ㅎㅎㅎ앞으로도 이런 여리여리 한 상품 망ㅎ이 업뎃 해두세용 !=
tndla777**|굿ㅎㅎㅎ무난하니 집에서 편하게입을수있을것같네요배송부분배송으로빠른처리해주셔서감사합니다~^^앞으로두많이애용할께요ㅎ
ndb**|처음에 지퍼 부분이 약간 뻑뻑해서 ㅠ 상품 잘못된줄 알았는데 새거 이다보니 그런거 같아요 임튼 예뻐요 !
ndb**|덧신 필요해서 샀는데 진짜 싸고 일반 덧신보다는 덜 ㄸ 잘벗겨지고 괜찮은거 같아용 빠른배송 감사합니다
29399607**|코코체크박스남방을 장바구니에 담아놨다가 설날때 세일해서 좋은 기회에 구입했어요! 제가 키가 작다보니 기장은 길었는데 저는 긴거좋아해서 괜찮았구 네이비색상이러 여기저기 받쳐입기에 좋았어요 하지만 한가지 아쉬운 점이 있다면 실밥정리가 제대로 되지않았다는 점?ㅠㅠ그 점이 아쉽네요 그래도 남방은 예뻐요 ㅎㅎ
jiro**|생각보다 너무 펑퍼짐해서 놀랐어요..그래도 겨울옷이랑 입으면 괜찮아여!친구들이 어디에서 샀냐고 물어도보고 이쁘다고 해줬습니당~
jiro**|키가 160이라서 160사이즈로 사야되는데 품절이여서 150에 M사이즈로 구매했어요!저는 허리는 약간 커서 벨트착용해야 되고 허벅지랑 종아리 그런부분은 이쁘게 잘맞아요~ 진청으로도 구매하려구욤 (연청도 나오면 좋겠드..)
dltnals2**|팔이길어서 수선할지 살짝 고민되긴하는데 옷은이뻐요 후기가 많은 이유가 있었네요 키 155에 딱 예쁜길이로 맞아서 요번 봄때 자주입을거같아요
dltnals2**|라이더 자켓이랑 같이 입으려고 구매했어요 저한테는 팔이 조금 길었는데 긴게 더 이쁜거같아요 제일 기본템이고 손이 많이갈거같아요 ㅎㅎ예뿝니당
63205839**|정말 저렴한 가격에 잘 샀어요! 이 가격에 이 퀄리티는 정말 고고싱 밖에 없는 것 같아요 날 좀 따뜻한 때네는 이거만 입고 코트 입고 나가도 좋을 것 같아요 프릴과 리본이 포인트라 더 좋고 단추도 진짜 싸보이지 않아서 더 좋은 것 같아요 감사합니다 ^^
jiro**|생각했던거 보다 길이가 약~~~~간 짧았지만 입고 다는데에는 별로 신경 안써도 되요!니트는 빨면 줄어드는걸로 알고있는데 안줄어들고 그대로예요!! 색도 너무 이쁘구 검정목폴라랑 검정바지에 입으면 완존 찰떡~ 착용샷있었는데 날라가벼서 착용샷은 없어요ㅠㅠ
jiro**|새옷이라 빨아서 옷이 많이 쭈글쭈글해여..ㅋㅋ안이 폴라가 다있는데 아니라 목부분,소매부분에만 있어서 겨울에 입기엔 춥워여 봄이나 가을이 딱 적당할거같고 안에 흰색 나시 입으시거나 흰색 기본이 입으시면 될거같아욤! 저는 흰색티입고 다닐려구여
kimseunghyun56**|일요일에 주문했는데 바로 화요일에 왔어요! 짜임도 좋고 사진이랑 완전 똑같아요! 봄에 입기 좋을 것 같습니다~!
jiro**|와 생각보다 너무 이뻐서 놀랐습니다ㅋㅋ길이도 적당하고,춥운건 올 겨울이 너무 추워서 추웠지만 그래도 미친듯이 춥진않았어요 두께도 좋고,무겁지도 않아서 진짜 이름값합니다 꼭 소장해야할 코트 인거 같습니다!! 꼭 구매하세요!
jiro**|이 가방 진짜 고급스러워서 감탄중!ㅋㅋ안이 공간이 넉넉해서 진짜 많이 들어가요ㅠㅜ♡파우치,폰,지갑,이어촌 들어가고도 좀 남아요!색상도 무난해서 너무 이쁘고 자주 애용하려구요~크기는 세손바닥 정도?
jiro**|친구들이 이 가방 보고 완전 이쁘다고 그러고 어디서샀는지도 물어봤어요ㅎㅎ 그만큼 이쁘다는겁니다!!공간도 어느정도 들어가서 무난하게 매고 다닐수 있는 가방이예요 다른 색상들도 구매할까 생각중입니다♡
yura**|되게 예쁜 것 같아요! 제가 사자마다 바로 다음날에 품절됐길래 못받을 줄 알고 걱정했는데 무사히 잘 받았어요! 어떻게 이렇게 예쁜데 사천원밖에 안할 수 있어요 진짜 대박 예뻐어ㅓ...
yura**|여리여리하고 봄봄하고 하늘하늘한 것 같아요! 소매도 너무 나풀나풀거리지 않고 고무줄? 로 잡아줘서 불편하지 않고 편해요! 리본을 잘 못묶어서 리봉 묶는데 애먹었지만 그래도 예뻐요!! 아 단점은 정전기가 어마무시 하다는거....ㅜㅠ
tnwls55**|제가윈하던 박시핏이에요 날씨 풀리면 반바지입고 위에 걸쳐입으려구요 잘산것 같네요 예뻐요!!!
yura**|제가 너무 마른편이라 s사이즈도 큰 편인데 뒤에가 밴딩으로 돼있는 프리사이즈라 마른 저한테도 잘맞았어요! 되게 봄봄 하고 이제 새내기 되는데 새내기 스럽고 남자친구는 없지만 남자친구가 생기면 입고 싶은 옷이에요 ㅋㅋㅋㅋ너무 만족합니당
tnwls55**|깔끔하고너무이뻐요 허리부분도 쫀쫀해서 맘에드네요 블라우스랑입으면 예쁠것 같아요!잘입을게요ㅎㅎ
jew18**|모델보다 키가 작은데 너무 짧아요... 앉으면 종아리 반정도까지 올라올기세... 바지자체는 이쁜데 기장이 왜이리 짧은거죠 ㅠ
sd9402**|뒷밴딩처리 잘돼있어가지고 편하고요 근데 뱃살이 좀 두드러져 보여요 은근히 얇아요 블라우스에 입으면 귀여워보이고 이쁠듯 ㅎㅎ
sd9402**|은근히 면이 두꺼운거 같으면서도 얇아가지고 뱃살이 좀 많이티나긴하는데 그래도 이뻐요 면이좀 좀 많이 주름져서와서 아쉽긴한데 이쁜거같아요ㅎㅎ
lsy2**|예뻐요찰랑찰랑 하늘하늘해요날 좀 풀리면 연청바지에 입으려구요치마에도 잘 어울릴거같아용ㅎㅎ
gowl62**|이런색 옷이 없어서 도전했는데 매우 성공적이예요! 너무 이뻐요!! 니트가 촘촘하게 잘 짜여져 있어요! 잘 입고 다닐게요^^
lsy2**|생각했던거보다 두께가 있어요약간 하늘하늘 할 줄 알았는데 튼튼한?소재에요허리사이즈가 커서 약간 줄여야 할거같아유ㅠㅠ
lsy2**|기본 벨트 하나 사고싶어서 찾아보던 중에가장 저렴해서 구매했어요싼티나지 않고 딱 기본이라 좋아요
lsy2**|리오더 때문ㅇ 오래 걸려 받았어용세탁후에 늘어날까봐 조심스럽지만예뻐욥블랙자켓이나 체크자켓 안에 입으려구요
lsy2**|소재가 생각했던거 보다 보들보들해요흰색도 추가 구매할까 고민 중이에요아직 입어보진 않았지만 여리여리해서 예뻐용ㅎㅎ
gyp031**|진짜 이뻐요. 리본 묶을수있는게 소매 뒷부분이라서 뒷모습이 이쁠것같아요. 봄에 청바지 입고 딱 나가면 완전 좋을것같아요!!!!
gyp031**|완전 이뻐요!!!!!! 저는 베이지를 샀는데 처음 딱 받았을때 그 새거 남새? 락스같은 이런 냄새가 나서 쫑 그랬는데 시간이 지나니까 그런냄새는 사라지더라고요. 가방 리본이 포인트입니다!!!! 그리고 이 가방이 가격에 비해 싼티 진짜 안나요!! 비싼 가방느낌이라서 너무 좋고 디자인도 진짜 이쁘고요. 고민하시는 분이 있다면 당장 구매하세요. 진지합니다.
